Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,4.3524,4.5946,4.3451,4.5946,1246751
2009-05-19 04:00:00,4.5297,4.7254,4.5007,4.6529,1282702
2009-05-20 04:00:00,4.7485,4.8293,4.6091,4.6238,1050511
2009-05-21 04:00:00,4.471,6.38,4.471,6.28,826997
2009-05-22 04:00:00,6.47,6.49,4.6019,4.6019,547749
2009-05-26 04:00:00,4.4066,4.7623,4.4066,4.755,727503
2009-05-27 04:00:00,4.6967,4.7478,4.529,4.5581,1446091
2009-05-28 04:00:00,4.6165,4.6456,4.449,4.6238,685503
2009-05-29 04:00:00,4.6237,4.6528,4.4344,4.5727,703195
2009-06-01 04:00:00,4.6457,4.7405,4.6311,4.704,631258
2009-06-02 04:00:00,4.6808,4.8866,4.6662,4.8499,807186
2009-06-03 04:00:00,4.6897,6.35,4.6164,6.31,548742
2009-06-04 04:00:00,6.4,6.7,4.857,4.8936,575113
2009-06-05 04:00:00,5.024,5.0458,4.7917,4.8353,788986
2009-06-08 04:00:00,4.7915,4.8502,4.7107,4.7988,477983
2009-06-09 04:00:00,4.8862,6.7505,4.8496,6.7,393467
2009-06-10 04:00:00,4.9522,4.9668,4.7257,4.8207,782631
2009-06-11 04:00:00,4.7847,4.9294,4.7702,4.8426,695291
2009-06-12 04:00:00,4.7988,4.8645,4.7696,4.8134,635667
2009-06-15 04:00:00,4.5584,4.5584,4.3465,4.4196,1035890
2009-06-16 04:00:00,4.2874,4.3092,4.106,4.1206,975410
2009-06-17 04:00:00,4.1212,4.1506,3.9669,4.033,1212981
2009-06-18 04:00:00,4.1716,5.92,4.1351,5.86,1357892
2009-06-19 04:00:00,5.94,5.97,5.8,5.83,671937
2009-06-22 04:00:00,5.58,5.59,3.9382,3.9455,1119111
2009-06-23 04:00:00,3.9454,4.0398,3.8001,3.9091,1390177
2009-06-24 04:00:00,4.106,4.2221,4.077,4.1206,1002859
2009-06-25 04:00:00,4.0463,5.89,4.0243,5.88,2122461
2009-06-26 04:00:00,5.99,6.03,4.3392,4.3612,714280
2009-06-29 04:00:00,4.3758,6.1195,4.3612,6.1,517990
2009-06-30 04:00:00,6.3,6.3,4.4558,4.4925,1057040
2009-07-01 04:00:00,4.6165,6.36,4.6018,6.34,719971
2009-07-02 04:00:00,6.15,6.16,4.405,4.405,540540
2009-07-06 04:00:00,4.1787,4.2301,4.1128,4.2081,673458
2009-07-07 04:00:00,4.1494,5.61,4.0621,5.46,540056
2009-07-08 04:00:00,5.48,5.48,3.821,3.8945,1115638
2009-07-09 04:00:00,4.0257,4.0257,3.9382,3.982,679310
2009-07-10 04:00:00,3.7996,3.8873,3.7485,3.8142,781688
2009-07-13 04:00:00,3.91,4.0841,3.881,4.0841,569170
2009-07-14 04:00:00,4.1568,4.1858,4.0772,4.1278,455738
2009-07-15 04:00:00,4.3619,4.5288,4.3619,4.4998,792495
2009-07-16 04:00:00,4.6092,4.6748,4.525,4.6384,799453
2009-07-17 04:00:00,4.6092,4.6457,4.5363,4.58,513422
2009-07-20 04:00:00,4.7768,4.828,4.7549,4.8061,656250
2009-07-21 04:00:00,4.9303,6.69,4.7842,4.7915,755526
2009-07-22 04:00:00,4.6535,4.7967,4.6463,4.7478,601700
2009-07-23 04:00:00,4.8426,6.98,4.8426,6.89,1141028
2009-07-24 04:00:00,6.85,6.93,4.9162,5.0176,548614
2009-07-27 04:00:00,5.1123,7.12,5.105,7.03,789918
2009-07-28 04:00:00,6.71,6.81,4.8644,4.9009,675437
2009-07-29 04:00:00,4.9738,6.8,4.9057,6.76,645490
2009-07-30 04:00:00,6.96,7.1378,5.0832,5.1197,891419
2009-07-31 04:00:00,5.2801,7.43,5.2145,5.4041,847255
2009-08-03 04:00:00,5.6519,7.85,5.6226,7.85,952988
2009-08-04 04:00:00,7.87,7.94,5.7033,5.7615,699930
2009-08-05 04:00:00,5.9001,5.9001,5.6884,5.8344,1090393
2009-08-06 04:00:00,5.9658,5.995,5.827,5.9073,1023179
2009-08-07 04:00:00,6.0824,6.148,6.0022,6.0678,1301987
2009-08-10 04:00:00,6.0022,8.44,5.9803,6.0824,593888
2009-08-11 04:00:00,5.6958,5.7907,5.6594,5.6886,1440743
2009-08-12 04:00:00,5.6736,6.0022,5.6517,5.9876,1036391
2009-08-13 04:00:00,5.5644,5.676,5.5059,5.6156,2315064
2009-08-14 04:00:00,5.5135,7.54,5.3533,7.54,1644512
2009-08-17 04:00:00,7.15,7.16,5.1452,5.1635,1042369
2009-08-18 04:00:00,5.2358,7.4,5.2358,7.36,760398
2009-08-19 04:00:00,7.27,7.34,5.3025,5.3895,1093468
2009-08-20 04:00:00,5.3677,5.426,5.3458,5.3822,852741
2009-08-21 04:00:00,5.5353,7.66,5.5206,7.64,1262666
2009-08-24 04:00:00,7.71,7.78,7.55,7.55,520802
2009-08-25 04:00:00,7.82,7.8604,7.689,7.76,749193
2009-08-26 04:00:00,7.75,7.79,7.63,7.75,581690
2009-08-27 04:00:00,7.62,7.73,7.42,7.69,516809
2009-08-28 04:00:00,7.76,7.77,7.5001,7.58,514381
2009-08-31 04:00:00,7.46,7.52,5.4696,7.5,560424
2009-09-01 04:00:00,7.35,7.51,7.04,7.06,776446
2009-09-02 04:00:00,6.78,6.95,6.73,6.85,854862
2009-09-03 04:00:00,7.12,7.16,5.0831,5.1343,804080
2009-09-04 04:00:00,5.1639,7.26,5.1203,7.25,659675
2009-09-08 04:00:00,7.51,7.524,7.39,7.46,544946
2009-09-09 04:00:00,7.51,7.65,7.4701,7.58,520700
2009-09-10 04:00:00,7.65,7.82,7.5809,7.81,421053
2009-09-11 04:00:00,7.71,7.73,7.54,7.59,392842
2009-09-14 04:00:00,7.38,7.55,5.4696,5.55,426777
2009-09-15 04:00:00,5.6157,7.82,5.5429,7.8,585744
2009-09-16 04:00:00,8.23,8.3,5.9361,8.28,1197877
2009-09-17 04:00:00,8.19,8.37,8.15,8.24,531053
2009-09-18 04:00:00,8.32,8.35,6.0458,6.0824,757702
2009-09-21 04:00:00,5.9511,6.0606,5.9292,5.9876,938352
2009-09-22 04:00:00,6.1845,6.1918,6.1197,6.148,514511
2009-09-23 04:00:00,6.1475,8.51,6.0385,8.27,683307
2009-09-24 04:00:00,8.48,8.53,8.02,8.12,899053
2009-09-25 04:00:00,8.1,8.185,5.8123,5.8636,758233
2009-09-28 04:00:00,5.9434,8.3,5.9361,8.27,435174
2009-09-29 04:00:00,8.31,8.39,6.0313,6.0386,699801
2009-09-30 04:00:00,6.2211,8.48,6.0822,8.44,1067756
2009-10-01 04:00:00,8.42,8.43,5.8344,5.8563,674999
2009-10-02 04:00:00,5.5138,5.8998,5.4847,5.725,908025
2009-10-05 04:00:00,5.667,8.02,5.6161,7.99,1008368
2009-10-06 04:00:00,8.29,8.51,8.27,8.45,897187
2009-10-07 04:00:00,8.32,8.37,5.973,6.024,495784
2009-10-08 04:00:00,6.2574,8.6225,6.1845,8.56,1016881
2009-10-09 04:00:00,8.5,8.57,8.48,8.55,335943
2009-10-12 04:00:00,8.86,8.97,6.4106,6.4616,638252
2009-10-13 04:00:00,6.5566,6.5858,6.4177,6.4762,763661
2009-10-14 04:00:00,6.7534,9.21,6.6586,9.21,822822
2009-10-15 04:00:00,9.11,9.18,6.5938,6.7096,877066
2009-10-16 04:00:00,6.3887,6.4323,6.3086,6.3887,987258
2009-10-19 04:00:00,6.4543,6.536,6.4033,6.52,802813
2009-10-20 04:00:00,6.4688,8.86,6.3959,8.74,551349
2009-10-21 04:00:00,8.64,8.8584,8.55,8.56,1367211
2009-10-22 04:00:00,8.59,8.66,6.2716,6.396,1264063
2009-10-23 04:00:00,6.4033,6.4251,6.2137,6.2647,918943
2009-10-26 04:00:00,5.9949,6.0897,5.7177,5.7615,2324153
