Date,Open,High,Low,Close,Volume
2013-08-01 04:00:00,13.5,13.7,11.691,11.779,3371296
2013-08-02 04:00:00,11.805,12.023,11.696,12.006,412738
2013-08-05 04:00:00,12.015,13.75,11.98,13.75,173355
2013-08-06 04:00:00,13.75,13.9,13.7,13.84,243339
2013-08-07 04:00:00,13.8,13.85,13.73,13.75,156911
2013-08-08 04:00:00,13.75,13.78,13.74,13.75,119054
2013-08-09 04:00:00,13.75,13.89,12.015,12.058,124162
2013-08-12 04:00:00,12.071,12.071,12.019,12.045,151853
2013-08-13 04:00:00,11.901,12.163,11.887,12.163,193733
2013-08-14 04:00:00,12.172,13.84,12.093,13.81,154457
2013-08-15 04:00:00,13.9,13.9,12.049,12.181,208150
2013-08-16 04:00:00,12.22,12.281,12.159,12.159,337332
2013-08-19 04:00:00,12.084,13.87,12.006,13.84,83241
2013-08-20 04:00:00,13.85,13.88,13.81,13.85,94000
2013-08-21 04:00:00,13.85,13.87,13.82,13.86,92005
2013-08-22 04:00:00,13.87,13.95,12.133,12.237,257762
2013-08-23 04:00:00,12.255,12.281,11.844,11.975,92444
2013-08-26 04:00:00,12.058,12.251,11.98,12.023,125191
2013-08-27 04:00:00,11.971,12.128,11.927,12.076,68211
2013-08-28 04:00:00,12.137,12.277,11.884,12.128,105329
2013-08-29 04:00:00,12.211,12.246,11.984,12.001,63901
2013-08-30 04:00:00,12.054,12.089,11.923,11.94,11862
2013-09-03 04:00:00,12.019,13.5,11.556,13.5,138081
2013-09-04 04:00:00,13.45,13.45,13.27,13.45,43727
2013-09-05 04:00:00,13.31,13.52,13.27,13.51,35745
2013-09-06 04:00:00,13.52,13.52,11.49,11.718,151714
2013-09-09 04:00:00,11.761,11.814,11.534,11.709,60726
2013-09-10 04:00:00,11.595,13.51,11.595,13.5,116903
2013-09-11 04:00:00,13.46,13.6,13.46,13.6,28871
2013-09-12 04:00:00,13.6,13.61,13.4752,13.6,20700
2013-09-13 04:00:00,13.4,13.58,13.37,13.58,29450
2013-09-16 04:00:00,13.61,13.61,11.716,11.757,37701
2013-09-17 04:00:00,11.744,11.752,11.552,11.621,48433
2013-09-18 04:00:00,11.53,12.89,11.145,11.267,155974
2013-09-19 04:00:00,11.202,12.92,10.635,12.69,440608
2013-09-20 04:00:00,12.65,12.68,10.822,10.909,111130
2013-09-23 04:00:00,10.966,11.035,10.879,10.966,72973
2013-09-24 04:00:00,10.957,12.52,10.931,12.45,43594
2013-09-25 04:00:00,12.44,12.44,12.15,12.16,114818
2013-09-26 04:00:00,12.26,12.31,12.0,12.08,71205
2013-09-27 04:00:00,12.09,12.18,12.0,12.1,32301
2013-09-30 04:00:00,12.0,12.18,12.0,12.12,33049
2013-10-01 04:00:00,12.16,12.412,10.638,10.883,78500
2013-10-02 04:00:00,10.826,10.914,10.59,10.713,54995
2013-10-03 04:00:00,10.682,12.25,10.551,12.04,82345
2013-10-04 04:00:00,12.15,12.1553,12.0,12.09,46541
2013-10-07 04:00:00,12.01,12.02,10.258,10.451,70612
2013-10-08 04:00:00,10.464,10.464,9.956,10.201,86517
2013-10-09 04:00:00,11.5,11.5,9.891,10.494,44826
2013-10-10 04:00:00,10.529,11.447,10.328,11.272,152167
2013-10-11 04:00:00,11.254,11.254,10.757,11.141,48084
2013-10-14 04:00:00,10.944,11.363,10.944,11.346,9927
2013-10-15 04:00:00,11.482,11.569,11.213,11.359,31277
2013-10-16 04:00:00,11.364,11.458,11.259,11.364,42933
2013-10-17 04:00:00,11.211,11.42,10.814,11.359,69768
2013-10-18 04:00:00,11.346,11.669,11.148,11.661,57941
2013-10-21 04:00:00,11.565,11.573,11.364,11.565,22816
2013-10-22 04:00:00,11.525,11.648,11.482,11.639,36905
2013-10-23 04:00:00,11.608,11.678,11.346,11.538,35986
2013-10-24 04:00:00,11.525,11.569,11.411,11.517,60381
2013-10-25 04:00:00,11.534,11.569,11.351,11.464,31124
2013-10-28 04:00:00,11.495,11.547,11.372,11.503,31312
2013-10-29 04:00:00,11.464,11.781,11.429,11.7,26016
2013-10-30 04:00:00,11.621,11.682,11.351,11.455,83727
2013-10-31 04:00:00,11.578,11.639,11.368,11.429,226126
2013-11-01 04:00:00,11.539,13.2,11.415,11.486,115604
2013-11-04 05:00:00,11.499,13.12,11.438,11.621,41567
2013-11-05 05:00:00,11.641,11.654,11.497,11.532,32955
2013-11-06 05:00:00,11.531,11.653,11.478,11.548,59472
2013-11-07 05:00:00,11.631,11.737,11.5,11.561,72063
2013-11-08 05:00:00,11.478,13.36,11.065,13.35,143162
2013-11-11 05:00:00,13.49,13.49,12.78,13.31,64620
2013-11-12 05:00:00,13.29,13.35,13.17,13.34,38650
2013-11-13 05:00:00,13.4,13.4,13.0,13.18,28904
2013-11-14 05:00:00,13.15,13.2325,12.8708,13.0,53811
2013-11-15 05:00:00,12.99,13.26,12.9875,13.13,21036
2013-11-18 05:00:00,13.24,13.2465,11.478,11.478,46144
2013-11-19 05:00:00,11.465,11.605,11.465,11.509,35439
2013-11-20 05:00:00,11.473,11.526,11.078,11.386,63159
2013-11-21 05:00:00,11.46,11.575,11.179,11.249,60198
2013-11-22 05:00:00,11.228,11.245,10.92,11.184,34804
2013-11-25 05:00:00,11.254,12.73,11.069,12.68,23313
2013-11-26 05:00:00,12.66,13.06,12.55,12.68,21212
2013-11-27 05:00:00,12.69,12.93,12.5,12.61,203491
2013-11-29 05:00:00,12.63,12.85,12.63,12.8,5350
2013-12-02 05:00:00,12.63,12.63,10.683,10.718,65556
2013-12-03 05:00:00,10.712,11.359,10.712,10.881,816863
2013-12-04 05:00:00,10.771,11.034,10.745,10.999,46222
2013-12-05 05:00:00,11.078,11.131,10.771,10.938,54714
2013-12-06 05:00:00,11.004,11.056,10.837,10.916,26112
2013-12-09 05:00:00,10.973,12.71,10.973,12.45,131783
2013-12-10 05:00:00,12.36,12.76,12.23,12.74,146659
2013-12-11 05:00:00,12.77,13.15,11.346,11.46,223072
2013-12-12 05:00:00,11.522,13.44,11.337,11.416,43954
2013-12-13 05:00:00,13.27,13.27,11.324,11.579,15895
2013-12-16 05:00:00,11.601,13.21,11.355,13.01,32213
2013-12-17 05:00:00,13.05,13.22,12.97,13.13,55923
2013-12-18 05:00:00,13.15,13.88,12.11,12.154,135083
2013-12-19 05:00:00,12.062,14.36,12.062,12.536,104085
2013-12-20 05:00:00,12.642,14.27,12.272,12.527,67201
2013-12-23 05:00:00,12.518,14.67,12.378,12.931,85723
2013-12-24 05:00:00,12.87,14.739,12.668,12.949,36362
2013-12-26 05:00:00,12.909,15.42,12.864,15.33,83258
2013-12-27 05:00:00,15.45,15.84,15.2701,15.4,50562
2013-12-30 05:00:00,15.48,15.48,14.65,15.16,84145
2013-12-31 05:00:00,15.16,15.7,15.15,15.56,43387
2014-01-02 05:00:00,15.41,15.41,15.1,15.17,93676
2014-01-03 05:00:00,15.19,15.36,14.87,15.01,59958
2014-01-06 05:00:00,15.29,15.322,13.085,13.12,133098
2014-01-07 05:00:00,13.151,15.01,12.632,13.019,128759
2014-01-08 05:00:00,13.085,14.98,12.909,12.953,46166
2014-01-09 05:00:00,13.164,14.97,12.628,12.725,58400
2014-01-10 05:00:00,12.694,14.55,12.51,12.685,60565
2014-01-13 05:00:00,12.681,14.41,12.514,12.532,36763
2014-01-14 05:00:00,12.499,14.12,12.214,12.486,107661
2014-01-15 05:00:00,12.514,14.43,12.492,12.848,49209
2014-01-16 05:00:00,12.817,14.67,12.721,14.67,40266
2014-01-17 05:00:00,14.664,14.91,14.64,14.75,55079
2014-01-21 05:00:00,14.92,15.03,14.6,14.7,39786
2014-01-22 05:00:00,14.83,15.07,14.72,14.89,18020
2014-01-23 05:00:00,14.94,14.94,14.6036,14.77,62644
2014-01-24 05:00:00,14.77,14.79,12.445,12.672,87359
2014-01-27 05:00:00,12.628,14.36,12.11,12.409,40855
2014-01-28 05:00:00,12.47,14.58,12.47,12.672,40381
2014-01-29 05:00:00,12.685,14.48,12.499,12.641,16019
2014-01-30 05:00:00,12.699,12.911,12.239,12.646,163022
2014-01-31 05:00:00,12.57,14.81,12.499,14.73,77781
2014-02-03 05:00:00,14.58,14.76,14.32,14.66,48630
2014-02-04 05:00:00,14.79,14.79,12.712,12.73,76168
2014-02-05 05:00:00,12.778,14.45,12.141,12.371,96107
2014-02-06 05:00:00,12.358,14.05,12.27,12.385,45967
2014-02-07 05:00:00,12.365,14.19,12.237,12.555,28236
2014-02-10 05:00:00,12.593,14.17,12.464,14.16,12336
2014-02-11 05:00:00,12.495,14.14,12.195,12.398,18433
2014-02-12 05:00:00,12.367,13.99,12.323,12.358,25614
2014-02-13 05:00:00,12.27,13.85,11.598,12.367,171233
2014-02-14 05:00:00,12.367,14.11,12.261,12.367,40713
2014-02-18 05:00:00,12.354,14.02,12.23,12.265,43729
2014-02-19 05:00:00,12.207,13.61,11.758,11.881,35356
2014-02-20 05:00:00,11.898,13.34,11.492,11.713,25344
2014-02-21 05:00:00,11.669,13.17,11.518,11.562,93946
2014-02-24 05:00:00,11.806,13.3275,11.54,11.575,32464
2014-02-25 05:00:00,13.19,13.19,11.456,11.518,60031
2014-02-26 05:00:00,11.487,12.95,11.346,11.558,231131
2014-02-27 05:00:00,13.02,13.13,11.35,11.642,39336
2014-02-28 05:00:00,13.59,13.59,11.314,11.493,26384
2014-03-03 05:00:00,11.421,13.18,11.138,11.509,62282
2014-03-04 05:00:00,11.359,12.8,11.05,12.54,471480
2014-03-05 05:00:00,12.55,13.69,11.717,12.071,561216
2014-03-06 05:00:00,12.371,13.77,11.93,13.63,2403348
2014-03-07 05:00:00,13.6,13.64,11.938,11.938,346723
2014-03-10 04:00:00,11.951,13.66,11.943,13.64,298464
2014-03-11 04:00:00,13.74,14.14,12.137,12.279,516476
2014-03-12 04:00:00,12.08,13.73,11.965,13.7,214167
2014-03-13 04:00:00,13.62,13.67,13.245,13.62,170837
2014-03-14 04:00:00,13.56,13.7201,12.018,12.08,211211
2014-03-17 04:00:00,12.08,13.75,12.053,12.062,80703
2014-03-18 04:00:00,12.013,13.7527,11.722,12.287,288529
2014-03-19 04:00:00,12.283,13.91,12.142,12.203,83025
2014-03-20 04:00:00,12.146,13.8,11.925,12.075,73781
2014-03-21 04:00:00,12.093,13.8,11.89,11.969,128081
2014-03-24 04:00:00,11.925,13.35,11.722,11.757,108301
2014-03-25 04:00:00,11.744,13.52,11.726,13.36,148136
2014-03-26 04:00:00,13.334,13.474,11.68,11.689,70319
2014-03-27 04:00:00,11.677,13.1301,11.377,11.527,205133
2014-03-28 04:00:00,11.531,13.18,11.514,11.62,44019
2014-03-31 04:00:00,11.615,13.44,11.589,11.766,112669
2014-04-01 04:00:00,11.744,13.47,11.679,11.903,93981
2014-04-02 04:00:00,11.841,13.56,11.841,11.982,157397
2014-04-03 04:00:00,11.894,13.57,11.885,13.2801,75707
2014-04-04 04:00:00,13.266,13.4,11.683,11.741,119821
2014-04-07 04:00:00,11.721,12.93,11.094,11.262,272588
2014-04-08 04:00:00,11.266,12.74,11.187,12.52,194926
2014-04-09 04:00:00,12.52,12.6099,10.833,10.974,278696
2014-04-10 04:00:00,10.926,12.47,10.881,11.005,104539
2014-04-11 04:00:00,11.032,12.61,10.974,10.987,101131
2014-04-14 04:00:00,11.072,12.59,10.983,11.133,54841
2014-04-15 04:00:00,12.43,12.48,10.771,11.195,199909
2014-04-16 04:00:00,11.204,12.84,10.965,12.77,76675
2014-04-17 04:00:00,12.82,12.91,12.56,12.6,141383
2014-04-21 04:00:00,12.76,13.05,12.61,12.89,168458
