Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,8.87,8.94,8.5405,8.88,8179615
2009-05-19 04:00:00,8.97,9.34,8.84,9.16,11437334
2009-05-20 04:00:00,9.36,10.05,9.34,9.99,24308912
2009-05-21 04:00:00,9.99,10.51,9.59,10.47,25289741
2009-05-22 04:00:00,10.59,10.95,10.57,10.72,16712554
2009-05-26 04:00:00,10.29,10.7,10.13,10.63,10793053
2009-05-27 04:00:00,10.67,10.78,10.41,10.65,12975783
2009-05-28 04:00:00,10.83,11.23,10.79,11.14,17640573
2009-05-29 04:00:00,11.71,11.84,11.44,11.76,19669816
2009-06-01 04:00:00,11.9,12.0,11.35,11.38,16945767
2009-06-02 04:00:00,11.32,11.93,11.32,11.84,13776185
2009-06-03 04:00:00,11.57,11.72,10.66,10.93,17300408
2009-06-04 04:00:00,11.23,11.4,11.07,11.31,13415443
2009-06-05 04:00:00,10.76,10.95,10.47,10.64,15981729
2009-06-08 04:00:00,10.31,10.74,10.17,10.71,15191511
2009-06-09 04:00:00,10.99,11.06,10.61,10.62,11085737
2009-06-10 04:00:00,10.81,10.83,10.05,10.15,19887325
2009-06-11 04:00:00,10.05,10.315,9.755,9.91,22445696
2009-06-12 04:00:00,9.69,9.8,9.4,9.5,14881303
2009-06-15 04:00:00,9.48,9.5,8.88,9.0,25432821
2009-06-16 04:00:00,9.24,9.41,9.03,9.2,16823845
2009-06-17 04:00:00,9.27,9.27,8.85,9.19,16173107
2009-06-18 04:00:00,9.18,9.38,8.88,8.91,15466202
2009-06-19 04:00:00,9.01,9.34,8.97,9.17,13128377
2009-06-22 04:00:00,8.81,8.85,8.44,8.4501,22964022
2009-06-23 04:00:00,8.54,8.84,8.25,8.81,15023781
2009-06-24 04:00:00,9.07,9.3,8.95,9.09,14974782
2009-06-25 04:00:00,9.21,9.39,9.07,9.35,11761625
2009-06-26 04:00:00,9.48,9.5,9.07,9.11,10499052
2009-06-29 04:00:00,9.15,9.32,9.08,9.18,6887454
2009-06-30 04:00:00,9.22,9.26,8.72,8.86,11324396
2009-07-01 04:00:00,9.13,9.5,9.05,9.44,13319661
2009-07-02 04:00:00,9.15,9.26,8.97,9.19,9401574
2009-07-06 04:00:00,8.87,8.92,8.64,8.75,9076418
2009-07-07 04:00:00,8.85,8.99,8.71,8.74,9715167
2009-07-08 04:00:00,8.66,8.79,8.22,8.41,15036713
2009-07-09 04:00:00,8.56,8.94,8.4762,8.5926,9976645
2009-07-10 04:00:00,8.5,8.659,8.4,8.56,6816549
2009-07-13 04:00:00,8.51,8.82,8.25,8.81,8750130
2009-07-14 04:00:00,8.96,9.1,8.84,9.05,10975100
2009-07-15 04:00:00,9.46,9.51,9.35,9.4,12487462
2009-07-16 04:00:00,9.34,9.47,9.18,9.4101,7233067
2009-07-17 04:00:00,9.46,9.54,9.322,9.44,7272689
2009-07-20 04:00:00,9.78,9.87,9.61,9.82,10874518
2009-07-21 04:00:00,9.94,9.97,9.31,9.52,11113630
2009-07-22 04:00:00,9.41,9.66,9.34,9.48,8610643
2009-07-23 04:00:00,9.41,9.7,9.38,9.44,11245712
2009-07-24 04:00:00,9.54,9.64,9.36,9.42,8507992
2009-07-27 04:00:00,9.53,9.53,9.16,9.21,10117455
2009-07-28 04:00:00,9.1,9.135,8.84,9.012,11460227
2009-07-29 04:00:00,8.89,8.95,8.65,8.75,10073834
2009-07-30 04:00:00,8.99,9.08,8.895,9.0,7916980
2009-07-31 04:00:00,9.07,9.54,8.95,9.48,13685248
2009-08-03 04:00:00,9.71,9.89,9.64,9.64,9817166
2009-08-04 04:00:00,9.73,9.99,9.58,9.82,10444997
2009-08-05 04:00:00,9.74,9.83,9.37,9.64,15385288
2009-08-06 04:00:00,9.72,9.74,9.38,9.43,11551995
2009-08-07 04:00:00,9.41,9.4694,9.18,9.19,9847144
2009-08-10 04:00:00,9.06,9.13,8.92,8.99,8394784
2009-08-11 04:00:00,8.96,9.0,8.83,8.9,8133905
2009-08-12 04:00:00,8.88,9.14,8.85,9.02,11134473
2009-08-13 04:00:00,9.23,9.28,9.02,9.13,9896331
2009-08-14 04:00:00,9.19,9.26,8.92,9.01,9748035
2009-08-17 04:00:00,8.68,8.75,8.42,8.54,10581390
2009-08-18 04:00:00,8.63,8.75,8.56,8.68,9377662
2009-08-19 04:00:00,8.52,8.98,8.51,8.91,11933991
2009-08-20 04:00:00,8.86,8.99,8.82,8.91,6783628
2009-08-21 04:00:00,9.08,9.2,9.01,9.01,7733670
2009-08-24 04:00:00,9.04,9.2,8.93,8.98,9803722
2009-08-25 04:00:00,9.17,9.2,8.97,9.02,7117742
2009-08-26 04:00:00,9.03,9.03,8.83,8.9,6955215
2009-08-27 04:00:00,8.91,9.12,8.68,9.1,8662746
2009-08-28 04:00:00,9.27,9.36,9.16,9.32,8799043
2009-08-31 04:00:00,9.15,9.24,9.05,9.21,7805290
2009-09-01 04:00:00,9.14,9.38,8.97,9.0,10316590
2009-09-02 04:00:00,9.18,10.25,9.17,10.19,34637666
2009-09-03 04:00:00,10.34,10.8,10.01,10.6,35168504
2009-09-04 04:00:00,10.51,10.78,10.38,10.6,20410529
2009-09-08 04:00:00,11.19,11.31,10.46,10.5,29601603
2009-09-09 04:00:00,10.58,10.66,10.06,10.17,18180680
2009-09-10 04:00:00,10.04,10.67,10.01,10.63,15730131
2009-09-11 04:00:00,11.0,11.14,10.67,10.78,17536806
2009-09-14 04:00:00,10.51,10.77,10.51,10.68,10612030
2009-09-15 04:00:00,10.65,11.14,10.59,11.09,14171071
2009-09-16 04:00:00,11.48,11.5,11.32,11.38,16183955
2009-09-17 04:00:00,11.29,11.49,10.84,11.08,17707357
2009-09-18 04:00:00,11.15,11.17,10.73,10.85,12261691
2009-09-21 04:00:00,10.37,10.81,10.3,10.77,14341625
2009-09-22 04:00:00,11.2,11.24,10.92,11.0,12607311
2009-09-23 04:00:00,10.98,11.1,10.62,10.64,13391953
2009-09-24 04:00:00,10.83,10.83,10.16,10.34,14809190
2009-09-25 04:00:00,10.19,10.36,10.01,10.09,14355291
2009-09-28 04:00:00,10.08,10.35,10.01,10.07,9286225
2009-09-29 04:00:00,10.05,10.46,10.05,10.38,13814424
2009-09-30 04:00:00,10.58,10.84,10.3187,10.69,17820524
2009-10-01 04:00:00,10.8,10.8,10.05,10.12,17540418
2009-10-02 04:00:00,10.04,10.48,9.98,10.01,16755529
2009-10-05 04:00:00,10.1,10.53,10.08,10.44,12687753
