Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,6.242,6.525,6.233,6.51,15513535
2009-05-19 04:00:00,6.482,6.675,6.412,6.538,14037070
2009-05-20 04:00:00,6.665,6.812,6.566,6.599,23475223
2009-05-21 04:00:00,6.566,6.614,6.454,6.553,15242101
2009-05-22 04:00:00,6.59,6.73,6.393,6.628,29705823
2009-05-26 04:00:00,6.566,6.953,6.533,6.947,19758429
2009-05-27 04:00:00,6.977,7.104,6.825,6.854,22818732
2009-05-28 04:00:00,7.019,7.132,6.915,7.117,20747819
2009-05-29 04:00:00,7.277,7.277,7.041,7.15,21782721
2009-06-01 04:00:00,7.404,7.568,7.31,7.432,21875960
2009-06-02 04:00:00,7.385,7.583,7.334,7.361,21175617
2009-06-03 04:00:00,7.24,7.272,6.822,7.041,32277937
2009-06-04 04:00:00,7.009,7.267,6.99,7.235,14370564
2009-06-05 04:00:00,7.391,7.417,7.089,7.187,21085261
2009-06-08 04:00:00,7.078,7.253,6.957,7.164,13303728
2009-06-09 04:00:00,7.347,7.376,7.095,7.215,11635527
2009-06-10 04:00:00,7.301,7.343,7.051,7.225,12069437
2009-06-11 04:00:00,7.305,7.45,7.203,7.395,12821240
2009-06-12 04:00:00,7.277,7.493,7.24,7.447,17652366
2009-06-15 04:00:00,7.277,7.305,6.953,7.141,15433246
2009-06-16 04:00:00,7.221,7.31,7.019,7.051,18243542
2009-06-17 04:00:00,6.938,7.014,6.822,6.971,17785690
2009-06-18 04:00:00,6.966,7.06,6.864,6.92,13255417
2009-06-19 04:00:00,7.055,7.127,6.976,7.019,16255386
2009-06-22 04:00:00,6.822,6.895,6.542,6.549,20763237
2009-06-23 04:00:00,6.585,6.665,6.473,6.562,20630097
2009-06-24 04:00:00,6.595,6.726,6.533,6.628,22769393
2009-06-25 04:00:00,6.67,6.971,6.637,6.929,18365941
2009-06-26 04:00:00,7.028,7.117,6.966,7.014,21395607
2009-06-29 04:00:00,7.104,7.104,6.957,7.032,13867354
2009-06-30 04:00:00,7.112,7.117,6.905,6.953,16837434
2009-07-01 04:00:00,7.135,7.15,7.005,7.028,12984650
2009-07-02 04:00:00,6.915,6.943,6.793,6.797,13273878
2009-07-06 04:00:00,6.614,6.745,6.558,6.726,20940129
2009-07-07 04:00:00,6.698,6.774,6.486,6.496,17239675
2009-07-08 04:00:00,6.566,6.576,6.209,6.35,31883710
2009-07-09 04:00:00,6.769,6.769,6.27,6.317,25101222
2009-07-10 04:00:00,6.279,6.359,6.19,6.335,18608772
2009-07-13 04:00:00,6.35,6.553,6.275,6.515,20347298
2009-07-14 04:00:00,6.51,6.542,6.374,6.459,16036290
2009-07-15 04:00:00,6.651,6.947,6.599,6.891,15196665
2009-07-16 04:00:00,6.815,7.009,6.793,6.934,14146071
2009-07-17 04:00:00,6.981,7.037,6.882,6.999,12262406
2009-07-20 04:00:00,7.164,7.259,7.141,7.248,16809874
2009-07-21 04:00:00,7.335,7.371,7.097,7.206,16098060
2009-07-22 04:00:00,7.135,7.347,7.107,7.23,14021156
2009-07-23 04:00:00,7.282,7.573,7.259,7.455,19680012
2009-07-24 04:00:00,7.414,7.504,7.371,7.485,13328888
2009-07-27 04:00:00,7.516,7.573,7.447,7.525,11573275
2009-07-28 04:00:00,7.432,7.516,7.31,7.455,9297273
2009-07-29 04:00:00,7.343,7.376,7.196,7.259,9158587
2009-07-30 04:00:00,7.479,7.535,7.442,7.488,14679534
2009-07-31 04:00:00,7.442,7.525,7.371,7.404,12884725
2009-08-03 04:00:00,7.649,7.799,7.611,7.752,16249914
2009-08-04 04:00:00,7.695,7.78,7.635,7.715,16472367
2009-08-05 04:00:00,7.71,7.931,7.512,7.865,18191744
2009-08-06 04:00:00,7.884,7.935,7.615,7.673,14514045
