Date,Open,High,Low,Close,Volume
2020-09-30 04:00:00,10.0,10.43,6.5,7.04,12486243
2020-10-01 04:00:00,7.11,7.11,6.01,6.35,1925647
2020-10-02 04:00:00,5.88,6.48,5.67,6.21,859993
2020-10-05 04:00:00,6.09,6.5,5.986,6.17,2103769
2020-10-06 04:00:00,6.2,6.4,6.0201,6.12,656070
2020-10-07 04:00:00,6.05,6.2,6.01,6.08,426968
2020-10-08 04:00:00,6.09,6.4,6.09,6.24,801996
2020-10-09 04:00:00,6.2,6.99,6.2,6.78,1799606
2020-10-12 04:00:00,6.99,7.02,6.67,6.68,448397
2020-10-13 04:00:00,6.56,6.5824,6.1008,6.14,466462
2020-10-14 04:00:00,6.32,6.82,6.315,6.62,743854
2020-10-15 04:00:00,6.63,6.63,6.1663,6.32,585118
2020-10-16 04:00:00,6.34,6.48,6.16,6.1746,260610
2020-10-19 04:00:00,6.19,6.3199,5.92,6.16,716214
2020-10-20 04:00:00,6.2,6.2,6.0,6.02,352322
2020-10-21 04:00:00,6.1,6.1,5.85,5.86,486784
2020-10-22 04:00:00,5.93,5.93,5.75,5.82,250900
2020-10-23 04:00:00,5.9,5.9,5.6,5.66,228497
2020-10-26 04:00:00,5.59,5.59,5.3,5.33,357126
2020-10-27 04:00:00,5.37,5.37,5.0134,5.14,290570
2020-10-28 04:00:00,5.02,5.02,4.32,4.49,561068
2020-10-29 04:00:00,4.48,4.665,4.36,4.405,407647
2020-10-30 04:00:00,4.4,4.58,4.2,4.27,409247
2020-11-02 05:00:00,4.33,4.76,4.33,4.55,280762
2020-11-03 05:00:00,4.67,4.67,4.4884,4.62,115097
2020-11-04 05:00:00,4.7,4.75,4.06,4.08,600720
2020-11-05 05:00:00,4.24,4.375,4.16,4.316,120745
2020-11-06 05:00:00,4.37,4.37,4.2001,4.35,118354
2020-11-09 05:00:00,4.55,4.65,4.42,4.64,261646
2020-11-10 05:00:00,4.8,5.94,4.76,5.38,2182940
2020-11-11 05:00:00,5.59,5.59,5.12,5.415,674144
2020-11-12 05:00:00,5.24,5.39,5.105,5.33,360176
2020-11-13 05:00:00,5.45,5.6,5.24,5.58,359923
2020-11-16 05:00:00,5.83,5.9182,5.15,5.22,970802
2020-11-17 05:00:00,5.25,5.25,5.05,5.135,204502
2020-11-18 05:00:00,5.1,5.23,5.06,5.12,201784
2020-11-19 05:00:00,5.0,5.26,4.87,4.9,387645
2020-11-20 05:00:00,4.9,4.99,4.8,4.95,145808
2020-11-23 05:00:00,4.96,5.07,4.7,4.79,316344
2020-11-24 05:00:00,4.7,5.0,4.6,5.0,247764
2020-11-25 05:00:00,4.99,6.22,4.745,6.08,2474306
2020-11-27 05:00:00,6.3,6.75,5.65,6.58,1983010
2020-11-30 05:00:00,6.6,6.71,6.05,6.65,461885
2020-12-01 05:00:00,6.8,6.9,6.35,6.62,381395
2020-12-02 05:00:00,6.4,6.83,6.26,6.63,305391
2020-12-03 05:00:00,6.48,6.56,6.04,6.0899,351602
2020-12-04 05:00:00,6.08,6.17,5.8,5.8,296489
