Date,Open,High,Low,Close,Volume
2018-02-01 05:00:00,17.0,17.99,16.38,16.5,9796471
2018-02-02 05:00:00,16.27,16.95,16.26,16.57,1465309
2018-02-05 05:00:00,16.6,16.88,16.42,16.47,1044192
2018-02-06 05:00:00,16.5,16.7,16.41,16.5,776720
2018-02-07 05:00:00,16.49,16.64,16.32,16.47,442748
2018-02-08 05:00:00,16.49,16.52,15.0,15.81,756050
2018-02-09 05:00:00,15.82,16.09,15.16,15.98,435955
2018-02-12 05:00:00,16.0,16.19,15.92,16.14,88920
2018-02-13 05:00:00,16.15,16.23,15.911,16.2,227764
2018-02-14 05:00:00,16.19,16.66,16.13,16.42,288939
2018-02-15 05:00:00,16.4,16.5018,16.29,16.33,501342
2018-02-16 05:00:00,16.4,16.7,16.4,16.56,483054
2018-02-20 05:00:00,16.6,16.6,16.27,16.36,207645
2018-02-21 05:00:00,16.38,16.5,15.99,16.18,134501
2018-02-22 05:00:00,16.19,16.208,15.7,15.77,192924
2018-02-23 05:00:00,15.79,15.94,15.35,15.52,116257
2018-02-26 05:00:00,15.58,15.89,15.53,15.79,113280
2018-02-27 05:00:00,16.01,16.4,15.44,15.57,273923
2018-02-28 05:00:00,15.62,16.16,15.62,15.85,271186
2018-03-01 05:00:00,15.91,15.91,15.34,15.34,118914
2018-03-02 05:00:00,15.63,15.63,15.12,15.29,34165
2018-03-05 05:00:00,15.31,15.31,14.96,14.96,75972
2018-03-06 05:00:00,15.15,15.2,14.6201,14.71,677749
2018-03-07 05:00:00,14.51,14.69,14.05,14.15,291452
2018-03-08 05:00:00,14.14,14.14,13.48,13.8,291169
2018-03-09 05:00:00,13.77,14.57,13.7,14.42,1709073
2018-03-12 04:00:00,14.37,15.11,14.36,14.71,285060
2018-03-13 04:00:00,14.75,15.0,14.4577,14.85,91184
2018-03-14 04:00:00,14.76,14.85,14.1,14.22,295708
2018-03-15 04:00:00,14.25,14.36,13.69,14.2,311631
2018-03-16 04:00:00,14.09,14.49,14.0,14.18,109142
2018-03-19 04:00:00,14.15,14.38,13.65,13.76,135970
2018-03-20 04:00:00,13.77,13.84,13.65,13.78,208083
2018-03-21 04:00:00,13.72,13.91,13.0,13.01,702922
2018-03-22 04:00:00,13.03,13.12,12.45,12.81,291326
2018-03-23 04:00:00,12.76,13.0,12.64,12.7,342095
2018-03-26 04:00:00,12.73,12.8,12.44,12.49,521286
2018-03-27 04:00:00,12.6,12.6,12.32,12.39,68630
2018-03-28 04:00:00,12.37,12.37,11.89,11.91,106472
2018-03-29 04:00:00,12.0,12.45,11.87,12.35,343014
2018-04-02 04:00:00,12.34,12.35,11.84,11.96,133221
2018-04-03 04:00:00,12.0,12.26,11.93,12.15,102658
2018-04-04 04:00:00,12.14,12.75,12.0,12.54,135464
2018-04-05 04:00:00,12.63,12.99,12.59,12.82,123265
2018-04-06 04:00:00,12.64,13.02,12.64,12.83,256493
2018-04-09 04:00:00,13.03,13.03,11.96,12.33,290691
2018-04-10 04:00:00,13.41,13.41,12.23,12.4,97706
2018-04-11 04:00:00,12.47,12.86,12.075,12.21,89049
2018-04-12 04:00:00,12.21,12.2982,11.89,12.14,149392
2018-04-13 04:00:00,12.18,12.48,12.17,12.18,25846
2018-04-16 04:00:00,12.48,12.88,12.01,12.01,165812
2018-04-17 04:00:00,12.3,12.4,12.01,12.19,176731
2018-04-18 04:00:00,12.29,12.675,12.0,12.54,143255
2018-04-19 04:00:00,12.53,12.79,12.09,12.66,101655
2018-04-20 04:00:00,12.86,12.955,12.41,12.74,154975
2018-04-23 04:00:00,12.74,13.24,12.54,12.84,103114
2018-04-24 04:00:00,12.96,13.04,12.51,12.62,52903
2018-04-25 04:00:00,12.8,12.81,12.25,12.4,111557
2018-04-26 04:00:00,12.56,12.56,11.41,11.79,180323
2018-04-27 04:00:00,11.9,11.93,11.21,11.71,148208
2018-04-30 04:00:00,11.82,12.37,11.75,12.33,145101
2018-05-01 04:00:00,12.27,12.3,12.02,12.23,71093
2018-05-02 04:00:00,12.18,12.19,11.74,11.8,125757
2018-05-03 04:00:00,11.78,11.9,11.09,11.3,83789
2018-05-04 04:00:00,11.3,11.63,11.22,11.25,104022
2018-05-07 04:00:00,11.3,11.46,11.03,11.2,197285
2018-05-08 04:00:00,11.26,11.26,10.34,10.65,427531
2018-05-09 04:00:00,10.65,10.87,10.15,10.37,345975
2018-05-10 04:00:00,10.457,10.86,10.08,10.23,281513
2018-05-11 04:00:00,10.36,10.78,10.2,10.7,474028
2018-05-14 04:00:00,10.67,10.75,9.9392,10.05,163534
2018-05-15 04:00:00,10.18,10.67,10.12,10.41,245200
2018-05-16 04:00:00,10.54,11.61,10.38,11.38,465900
2018-05-17 04:00:00,11.39,12.04,11.28,11.79,291147
2018-05-18 04:00:00,11.74,11.78,11.07,11.25,118994
2018-05-21 04:00:00,11.23,11.39,11.0,11.1,43789
2018-05-22 04:00:00,11.17,11.55,11.1497,11.51,85860
2018-05-23 04:00:00,11.24,11.74,11.04,11.59,199486
