Date,Open,High,Low,Close,Volume
2018-02-02 05:00:00,16.5,18.0,16.1,17.258,6193474
2018-02-05 05:00:00,16.966,18.0295,16.82,17.5,775943
2018-02-06 05:00:00,17.2,17.77,16.6,17.6,807341
2018-02-07 05:00:00,17.63,18.721,16.644,16.683,520334
2018-02-08 05:00:00,16.643,17.17,15.748,16.44,378044
2018-02-09 05:00:00,16.72,17.56,15.6057,17.3,469260
2018-02-12 05:00:00,17.36,17.37,16.51,16.71,267117
2018-02-13 05:00:00,16.74,17.2,16.527,16.595,213065
2018-02-14 05:00:00,16.586,17.551,16.283,17.453,246775
2018-02-15 05:00:00,17.629,18.15,17.297,17.941,567334
2018-02-16 05:00:00,17.912,18.36,17.649,17.795,448852
2018-02-20 05:00:00,17.629,18.4,17.522,18.18,320829
2018-02-21 05:00:00,18.09,18.44,17.94,18.0,264543
2018-02-22 05:00:00,18.06,18.125,17.249,17.346,268420
2018-02-23 05:00:00,17.465,17.602,16.945,17.161,151559
2018-02-26 05:00:00,17.191,17.54,16.508,16.556,221387
2018-02-27 05:00:00,16.948,17.4,16.713,16.75,611217
2018-02-28 05:00:00,17.0,17.15,16.4501,16.66,337090
2018-03-01 05:00:00,16.75,17.15,16.58,16.64,261689
2018-03-02 05:00:00,16.6,16.78,16.205,16.449,278188
2018-03-05 05:00:00,16.43,17.03,16.381,17.02,272878
2018-03-06 05:00:00,17.15,17.3,16.76,17.2,186050
2018-03-07 05:00:00,17.1,17.5,17.1,17.1,78096
2018-03-08 05:00:00,17.12,17.389,16.8,16.82,65570
2018-03-09 05:00:00,16.86,17.25,16.86,17.14,111861
2018-03-12 04:00:00,17.22,17.62,17.0,17.41,82417
2018-03-13 04:00:00,17.35,17.51,16.97,17.37,142737
2018-03-14 04:00:00,17.41,17.45,17.01,17.16,108037
2018-03-15 04:00:00,17.15,17.28,16.81,17.15,130265
2018-03-16 04:00:00,17.12,17.27,17.01,17.26,97254
2018-03-19 04:00:00,17.28,17.28,16.468,16.547,205166
2018-03-20 04:00:00,16.581,17.15,16.405,16.751,178732
2018-03-21 04:00:00,16.644,17.24,16.595,16.82,100783
2018-03-22 04:00:00,16.809,17.67,16.741,17.45,311299
2018-03-23 04:00:00,17.45,17.7699,16.49,16.49,332439
2018-03-26 04:00:00,16.85,17.3225,16.81,17.06,128647
2018-03-27 04:00:00,17.2086,17.32,16.858,16.956,82338
2018-03-28 04:00:00,16.907,17.41,16.497,17.015,48717
2018-03-29 04:00:00,17.63,17.63,16.098,16.576,147670
2018-04-02 04:00:00,16.567,16.92,16.234,16.391,60856
2018-04-03 04:00:00,16.381,16.87,16.234,16.41,88245
2018-04-04 04:00:00,16.35,17.05,16.233,16.88,73049
2018-04-05 04:00:00,17.0,17.25,16.8584,17.22,76181
2018-04-06 04:00:00,17.1722,17.24,16.95,17.05,54445
2018-04-09 04:00:00,17.12,17.2799,16.98,17.19,32437
2018-04-10 04:00:00,17.1,17.11,16.84,17.0,84331
