Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,7.77,8.16,7.65,8.09,6658376
2009-05-19 04:00:00,8.0,8.25,7.93,8.04,6489190
2009-05-20 04:00:00,8.09,8.75,8.09,8.18,7447155
2009-05-21 04:00:00,8.06,8.279,7.46,7.65,6622230
2009-05-22 04:00:00,8.0,8.21,7.59,8.04,4506695
2009-05-26 04:00:00,8.33,8.89,8.11,8.85,10802179
2009-05-27 04:00:00,9.09,9.8899,8.92,9.4,14315714
2009-05-28 04:00:00,9.62,9.62,8.93,9.339,8741452
2009-05-29 04:00:00,9.54,9.82,9.33,9.75,7349433
2009-06-01 04:00:00,9.94,10.5,9.86,10.3,7456998
2009-06-02 04:00:00,10.1,10.46,9.86,10.2,5853277
2009-06-03 04:00:00,10.16,10.185,9.82,10.17,4413130
2009-06-04 04:00:00,10.18,10.25,9.71,9.98,4740780
2009-06-05 04:00:00,10.07,10.5,9.68,9.98,4394801
2009-06-08 04:00:00,9.82,10.07,9.66,10.0,4747279
2009-06-09 04:00:00,9.93,10.22,9.8401,10.13,4076971
2009-06-10 04:00:00,10.17,10.34,9.97,10.26,5914317
2009-06-11 04:00:00,10.25,10.4,10.1,10.14,5363176
2009-06-12 04:00:00,10.05,10.38,9.74,10.33,4643461
2009-06-15 04:00:00,10.15,10.2,9.68,9.94,5005012
2009-06-16 04:00:00,10.02,10.02,9.06,9.21,6959298
2009-06-17 04:00:00,9.18,9.5,8.75,9.3699,7047395
2009-06-18 04:00:00,9.34,9.62,9.2,9.55,5332100
2009-06-19 04:00:00,9.65,10.21,9.65,10.15,7340783
2009-06-22 04:00:00,9.97,9.98,9.58,9.68,4840533
2009-06-23 04:00:00,9.63,9.79,9.43,9.47,4386663
2009-06-24 04:00:00,9.57,9.99,9.57,9.96,6444742
2009-06-25 04:00:00,9.9,10.71,9.843,10.53,11867485
2009-06-26 04:00:00,9.96,10.34,9.02,9.09,22903925
2009-06-29 04:00:00,9.15,9.76,9.15,9.51,8009908
2009-06-30 04:00:00,9.77,9.8702,9.35,9.7199,7062276
2009-07-01 04:00:00,9.7,10.11,9.53,9.89,3796690
2009-07-02 04:00:00,9.63,9.77,9.14,9.2,5524940
