Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,6.229,6.373,6.185,6.333,3005914
2009-05-15 04:00:00,6.313,6.421,1.335,1.339,8661223
2009-05-18 04:00:00,1.362,6.446,1.357,1.376,5886443
2009-05-19 04:00:00,1.399,6.416,1.358,6.313,10150013
2009-05-20 04:00:00,6.446,6.461,1.331,1.333,6741334
2009-05-21 04:00:00,1.325,1.325,1.287,1.297,17350377
2009-05-22 04:00:00,1.322,6.259,1.304,6.225,15230451
2009-05-26 04:00:00,6.185,6.34,6.185,6.254,5275088
2009-05-27 04:00:00,6.322,6.362,6.199,6.235,4306719
2009-05-28 04:00:00,6.333,6.396,6.249,6.387,3085861
2009-05-29 04:00:00,6.465,6.657,6.387,6.495,4687822
2009-06-01 04:00:00,6.673,6.781,6.569,6.678,3656016
2009-06-02 04:00:00,6.667,6.732,6.569,6.663,5867116
2009-06-03 04:00:00,6.51,6.644,6.51,6.644,7102787
2009-06-04 04:00:00,6.618,6.954,6.618,6.939,6850559
2009-06-05 04:00:00,6.988,7.082,1.495,1.509,14569673
2009-06-08 04:00:00,1.482,7.053,1.464,6.979,8834976
2009-06-09 04:00:00,7.023,7.057,6.831,6.889,3401154
2009-06-10 04:00:00,6.979,7.023,6.86,6.994,4313158
2009-06-11 04:00:00,7.007,7.343,6.9,7.22,4284384
2009-06-12 04:00:00,7.165,7.397,1.563,1.573,19785182
2009-06-15 04:00:00,1.52,7.175,1.505,7.096,5548805
2009-06-16 04:00:00,7.136,7.136,6.791,6.796,3226023
2009-06-17 04:00:00,6.781,6.895,1.421,6.825,16188167
2009-06-18 04:00:00,6.835,6.91,6.741,6.796,3886344
2009-06-19 04:00:00,6.964,6.964,6.786,6.805,2884019
2009-06-22 04:00:00,6.796,6.835,1.371,1.384,12932872
2009-06-23 04:00:00,1.4,1.411,1.373,1.378,20097435
2009-06-24 04:00:00,1.435,6.624,1.372,1.389,7863190
2009-06-25 04:00:00,1.385,1.415,1.378,1.415,16967194
2009-06-26 04:00:00,1.425,6.805,1.409,1.445,9582230
2009-06-29 04:00:00,1.449,1.465,1.433,1.438,16380633
2009-06-30 04:00:00,1.454,6.634,1.402,6.628,12506090
2009-07-01 04:00:00,6.815,6.895,6.736,6.766,2665730
2009-07-02 04:00:00,6.717,6.727,1.414,1.414,13365195
2009-07-06 04:00:00,1.395,6.614,1.377,6.609,9458736
2009-07-07 04:00:00,6.549,6.574,1.362,1.367,8456574
2009-07-08 04:00:00,1.369,6.471,1.347,6.435,17943112
2009-07-09 04:00:00,6.377,6.614,6.377,6.535,2537833
2009-07-10 04:00:00,6.402,6.495,1.373,1.376,4141346
2009-07-13 04:00:00,1.37,1.397,1.344,1.395,27011644
2009-07-14 04:00:00,1.395,1.395,1.359,1.369,17548492
2009-07-15 04:00:00,1.393,6.638,1.385,6.634,13462117
2009-07-16 04:00:00,6.599,6.663,1.4,6.638,15058735
2009-07-17 04:00:00,6.693,6.702,6.595,6.628,3226383
2009-07-20 04:00:00,6.727,6.776,1.431,1.437,13718415
2009-07-21 04:00:00,6.811,6.811,6.634,6.713,2541306
2009-07-22 04:00:00,6.678,6.741,6.628,6.634,2940336
2009-07-23 04:00:00,6.727,6.786,6.648,6.756,3564626
2009-07-24 04:00:00,6.727,6.771,1.418,6.697,8150517
2009-07-27 04:00:00,6.732,6.776,6.678,6.751,2201306
2009-07-28 04:00:00,6.722,6.91,6.653,6.9,2939876
2009-07-29 04:00:00,6.855,7.007,6.845,6.994,6654018
2009-07-30 04:00:00,7.057,7.239,1.525,1.532,12720204
2009-07-31 04:00:00,1.52,7.155,1.505,7.053,13538894
2009-08-03 04:00:00,7.269,7.333,1.543,7.329,12426856
2009-08-04 04:00:00,7.416,7.491,1.586,1.605,18233600
2009-08-05 04:00:00,1.594,1.611,1.57,1.605,15969622
2009-08-06 04:00:00,1.645,1.653,1.605,1.627,15765762
2009-08-07 04:00:00,1.649,1.667,1.62,1.627,16500597
2009-08-10 04:00:00,1.626,7.525,1.585,7.521,14586859
2009-08-11 04:00:00,7.437,7.471,1.574,1.594,9020895
2009-08-12 04:00:00,1.588,7.525,1.586,7.485,3335806
2009-08-13 04:00:00,7.505,7.53,7.383,7.471,3663069
2009-08-14 04:00:00,7.653,7.674,1.565,1.581,6187267
2009-08-17 04:00:00,1.519,7.165,1.502,7.141,7412386
2009-08-18 04:00:00,7.125,7.289,7.125,7.255,3672029
2009-08-19 04:00:00,7.125,7.259,1.537,1.554,7176557
2009-08-20 04:00:00,7.314,7.338,1.549,1.552,8372460
2009-08-21 04:00:00,1.569,7.353,1.558,7.333,5792382
2009-08-24 04:00:00,7.387,7.413,1.569,7.377,13157051
2009-08-25 04:00:00,7.235,7.446,1.547,1.555,11901226
2009-08-26 04:00:00,1.545,1.553,1.536,1.553,10712231
2009-08-27 04:00:00,1.548,7.368,1.525,7.338,7743581
2009-08-28 04:00:00,7.383,7.383,1.54,1.545,5266599
2009-08-31 04:00:00,1.536,7.278,1.519,7.205,6544411
2009-09-01 04:00:00,7.195,7.255,7.042,7.053,4818602
2009-09-02 04:00:00,7.027,7.085,1.494,1.496,8590969
2009-09-03 04:00:00,1.525,7.111,1.499,7.111,2206848
2009-09-04 04:00:00,7.141,7.185,7.042,7.155,1628437
2009-09-08 04:00:00,7.111,7.314,1.536,7.308,12253012
2009-09-09 04:00:00,7.358,7.482,7.343,7.442,3438124
2009-09-10 04:00:00,7.491,7.491,1.569,1.614,9337594
2009-09-11 04:00:00,1.626,7.614,1.609,7.505,8234251
2009-09-14 04:00:00,7.413,7.525,1.58,1.583,6882396
2009-09-15 04:00:00,1.588,1.591,1.56,1.583,11985127
2009-09-16 04:00:00,1.602,1.624,1.579,1.623,19984777
