Date,Open,High,Low,Close,Volume
2009-11-19 05:00:00,6.05,6.25,5.39,5.9,1321073
2009-11-20 05:00:00,5.95,5.98,5.5,5.75,307899
2009-11-23 05:00:00,5.85,6.1,5.69,6.1,111160
2009-11-24 05:00:00,6.1,6.16,5.95,6.07,54600
2009-11-25 05:00:00,6.0,6.24,5.97,6.24,72400
2009-11-27 05:00:00,6.02,6.18,6.0,6.16,18120
2009-11-30 05:00:00,6.23,6.24,6.08,6.1,21667
2009-12-01 05:00:00,6.12,6.12,6.01,6.08,21378
2009-12-02 05:00:00,6.1,6.11,6.0,6.02,307285
2009-12-03 05:00:00,6.02,6.03,5.8,6.03,47640
2009-12-04 05:00:00,6.03,6.19,5.92,6.05,90466
2009-12-07 05:00:00,6.12,6.16,5.9,5.99,8000
2009-12-08 05:00:00,5.9799,5.99,5.79,5.95,30350
2009-12-09 05:00:00,5.9,5.9,5.65,5.65,41100
2009-12-10 05:00:00,5.8,5.9,5.69,5.69,16100
2009-12-11 05:00:00,5.79,5.9799,5.69,5.78,47908
2009-12-14 05:00:00,5.7,5.79,5.59,5.59,7015
2009-12-15 05:00:00,5.5901,5.65,5.5901,5.6,56150
2009-12-16 05:00:00,5.6,5.6136,5.6,5.6,7100
2009-12-17 05:00:00,5.6,6.1,5.6,5.98,510683
2009-12-18 05:00:00,6.01,6.1,5.9,5.94,50333
2009-12-21 05:00:00,6.0,6.02,5.98,5.98,44269
2009-12-22 05:00:00,6.03,6.03,5.88,5.9,33745
2009-12-23 05:00:00,5.91,5.95,5.85,5.94,35405
2009-12-24 05:00:00,5.9,5.9014,5.85,5.9,11500
2009-12-28 05:00:00,5.89,5.91,5.6,5.84,20985
2009-12-29 05:00:00,5.86,5.95,5.66,5.95,9200
2009-12-30 05:00:00,6.05,6.69,6.0009,6.69,176100
2009-12-31 05:00:00,6.6,6.72,6.12,6.5,219565
2010-01-04 05:00:00,6.48,6.48,6.21,6.29,31615
2010-01-05 05:00:00,6.36,6.36,6.2,6.3,20218
2010-01-06 05:00:00,6.31,6.35,6.25,6.25,42418
2010-01-07 05:00:00,6.29,6.35,6.29,6.29,18000
2010-01-08 05:00:00,6.3,6.75,6.3,6.3464,68100
2010-01-11 05:00:00,6.59,6.71,6.51,6.65,47340
2010-01-12 05:00:00,6.56,6.6,6.38,6.4,88850
2010-01-13 05:00:00,6.49,6.49,6.23,6.27,45880
2010-01-14 05:00:00,6.42,6.5,6.31,6.31,20915
2010-01-15 05:00:00,6.22,6.48,6.22,6.31,18400
2010-01-19 05:00:00,6.32,6.3464,5.91,5.92,41025
2010-01-20 05:00:00,5.88,5.9899,5.85,5.91,7700
2010-01-21 05:00:00,6.0,6.0,5.86,5.86,4548
