Date,Open,High,Low,Close,Volume
2014-01-22 05:00:00,36.58,36.65,35.95,35.95,36632
2014-01-23 05:00:00,35.92,36.37,35.5,35.91,67302
2014-01-24 05:00:00,35.95,39.8,35.31,35.54,52880
2014-01-27 05:00:00,35.35,35.64,34.15,34.64,90126
2014-01-28 05:00:00,34.82,35.029,34.57,34.95,24266
2014-01-29 05:00:00,34.58,34.88,34.3,34.69,29526
2014-01-30 05:00:00,34.9,34.9,34.35,34.68,20924
2014-01-31 05:00:00,34.7,34.73,34.24,34.58,43339
2014-02-03 05:00:00,34.65,34.79,33.86,33.9,132598
2014-02-04 05:00:00,33.85,34.29,33.72,34.17,54440
2014-02-05 05:00:00,35.0,35.0,33.95,33.98,23195
2014-02-06 05:00:00,33.98,34.6683,33.88,34.52,20048
2014-02-07 05:00:00,35.6,35.6,34.2601,34.3099,35281
2014-02-10 05:00:00,34.33,34.56,34.27,34.5,17940
2014-02-11 05:00:00,34.78,34.78,34.43,34.64,32630
2014-02-12 05:00:00,34.9,35.18,34.87,35.178,57013
2014-02-13 05:00:00,35.5,35.5,34.78,35.33,22821
2014-02-14 05:00:00,35.11,35.65,35.11,35.5,32832
2014-02-18 05:00:00,35.92,36.29,35.17,35.51,68053
2014-02-19 05:00:00,35.5,35.5,34.83,34.87,48259
2014-02-20 05:00:00,34.84,35.26,34.84,34.995,45595
2014-02-21 05:00:00,34.88,35.07,34.78,34.93,31952
2014-02-24 05:00:00,35.21,35.78,35.03,35.29,24921
2014-02-25 05:00:00,35.6,35.6,34.83,35.25,41146
2014-02-26 05:00:00,35.15,35.15,34.81,34.85,17821
2014-02-27 05:00:00,35.08,35.08,34.6,34.64,13549
2014-02-28 05:00:00,34.74,35.18,34.74,35.08,40411
2014-03-03 05:00:00,34.97,35.28,34.97,35.11,23960
2014-03-04 05:00:00,35.28,35.28,34.93,35.06,13795
2014-03-05 05:00:00,35.5,35.5,34.81,35.11,48593
2014-03-06 05:00:00,35.39,35.4,35.16,35.35,47697
2014-03-07 05:00:00,35.54,35.54,35.12,35.332,13369
2014-03-10 04:00:00,35.36,35.36,35.1,35.2,16190
2014-03-11 04:00:00,35.1,35.2599,34.84,34.9,14515
2014-03-12 04:00:00,34.77,35.99,34.77,35.94,75801
2014-03-13 04:00:00,36.29,36.78,36.25,36.39,39787
2014-03-14 04:00:00,36.13,36.63,36.13,36.49,25058
2014-03-17 04:00:00,36.63,36.63,36.22,36.23,27063
2014-03-18 04:00:00,36.53,36.59,36.0913,36.24,70416
2014-03-19 04:00:00,36.29,36.29,35.69,35.87,24169
2014-03-20 04:00:00,35.73,35.97,35.66,35.96,17303
2014-03-21 04:00:00,36.0,36.31,36.0,36.2,28698
2014-03-24 04:00:00,36.2,36.2208,35.89,35.95,44127
2014-03-25 04:00:00,35.98,36.1498,35.8601,36.02,30745
2014-03-26 04:00:00,36.12,36.184,35.74,36.184,67017
2014-03-27 04:00:00,35.98,36.2,35.93,36.11,32530
