Date,Open,High,Low,Close,Volume
2009-05-13 04:00:00,2.83,2.8601,2.72,2.786,305935
2009-05-14 04:00:00,2.78,2.8,2.77,2.79,158560
2009-05-15 04:00:00,2.78,2.82,2.74,2.77,339128
2009-05-18 04:00:00,2.77,2.81,2.76,2.8,249424
2009-05-19 04:00:00,2.81,2.83,2.78,2.8,165251
2009-05-20 04:00:00,2.82,2.89,2.8126,2.85,271996
2009-05-21 04:00:00,2.85,2.88,2.81,2.81,386871
2009-05-22 04:00:00,2.84,2.85,2.8,2.83,340537
2009-05-26 04:00:00,2.83,2.89,2.8298,2.89,143015
2009-05-27 04:00:00,2.89,2.95,2.89,2.93,267863
2009-05-28 04:00:00,2.95,2.99,2.9499,2.98,323233
2009-05-29 04:00:00,2.97,3.04,2.96,3.0,221657
2009-06-01 04:00:00,3.01,3.03,2.95,2.97,398354
2009-06-02 04:00:00,2.97,3.03,2.97,3.02,333477
2009-06-03 04:00:00,3.01,3.02,2.98,3.02,85228
2009-06-04 04:00:00,3.02,3.02,3.01,3.01,116016
2009-06-05 04:00:00,3.04,3.06,3.03,3.05,268864
2009-06-08 04:00:00,3.04,3.0499,3.03,3.03,132147
2009-06-09 04:00:00,3.03,3.07,3.02,3.07,326198
2009-06-10 04:00:00,3.07,3.07,3.03,3.06,105694
2009-06-11 04:00:00,3.06,3.1,3.05,3.1,176696
2009-06-12 04:00:00,3.08,3.13,3.05,3.12,101546
2009-06-15 04:00:00,3.1,3.1,3.01,3.04,202400
2009-06-16 04:00:00,3.05,3.08,3.0,3.03,125969
2009-06-17 04:00:00,3.05,3.05,2.97,2.98,128058
2009-06-18 04:00:00,2.99,3.0,2.97,2.98,210454
2009-06-19 04:00:00,3.0,3.0,2.98,2.98,133627
2009-06-22 04:00:00,3.0,3.01,2.98,3.01,193720
2009-06-23 04:00:00,3.01,3.04,2.98,3.0399,166169
2009-06-24 04:00:00,3.04,3.05,3.01,3.03,114780
2009-06-25 04:00:00,3.03,3.04,3.0101,3.04,95045
2009-06-26 04:00:00,3.05,3.08,3.02,3.05,221069
2009-06-29 04:00:00,3.05,3.09,3.03,3.06,215092
2009-06-30 04:00:00,3.11,3.11,3.04,3.06,160204
2009-07-01 04:00:00,3.05,3.09,3.04,3.08,80426
2009-07-02 04:00:00,3.06,3.09,3.05,3.09,145033
2009-07-06 04:00:00,3.05,3.08,3.05,3.07,61912
2009-07-07 04:00:00,3.05,3.08,3.0,3.03,144520
2009-07-08 04:00:00,3.02,3.03,2.94,2.94,313543
2009-07-09 04:00:00,2.99,3.03,2.97,3.0199,244731
2009-07-10 04:00:00,2.99,3.04,2.979,3.01,205647
2009-07-13 04:00:00,3.02,3.05,3.0,3.05,153116
2009-07-14 04:00:00,3.05,3.06,3.0205,3.06,119206
2009-07-15 04:00:00,3.07,3.09,3.05,3.05,156784
2009-07-16 04:00:00,3.06,3.08,3.05,3.05,101838
2009-07-17 04:00:00,3.08,3.1,3.0607,3.09,60628
2009-07-20 04:00:00,3.08,3.13,3.08,3.13,88840
2009-07-21 04:00:00,3.14,3.15,3.1,3.12,113282
2009-07-22 04:00:00,3.13,3.15,3.1,3.15,131112
2009-07-23 04:00:00,3.15,3.2,3.05,3.17,231627
2009-07-24 04:00:00,3.17,3.2,3.17,3.18,117740
2009-07-27 04:00:00,3.22,3.24,3.2,3.22,269211
2009-07-28 04:00:00,3.44,3.44,3.2,3.24,153961
2009-07-29 04:00:00,3.25,3.26,3.18,3.23,303314
2009-07-30 04:00:00,3.25,3.32,3.22,3.3,337254
2009-07-31 04:00:00,3.3,3.34,3.27,3.33,255427
2009-08-03 04:00:00,3.35,3.36,3.33,3.35,462409
2009-08-04 04:00:00,3.35,3.4,3.34,3.36,282097
2009-08-05 04:00:00,3.38,3.41,3.36,3.41,267735
2009-08-06 04:00:00,3.4,3.44,3.36,3.36,281953
2009-08-07 04:00:00,3.38,3.42,3.37,3.42,265494
2009-08-10 04:00:00,3.4,3.43,3.38,3.42,241031
2009-08-11 04:00:00,3.42,3.43,3.39,3.39,429721
2009-08-12 04:00:00,3.41,3.418,3.3703,3.4,458579
2009-08-13 04:00:00,3.39,3.42,3.37,3.37,472761
2009-08-14 04:00:00,3.36,3.4,3.35,3.35,224322
2009-08-17 04:00:00,3.32,3.33,3.22,3.25,450663
2009-08-18 04:00:00,3.27,3.3,3.24,3.25,266730
2009-08-19 04:00:00,3.24,3.25,3.22,3.24,212801
2009-08-20 04:00:00,3.25,3.3,3.25,3.3,167269
2009-08-21 04:00:00,3.32,3.34,3.29,3.3,369873
2009-08-24 04:00:00,3.3,3.35,3.27,3.28,379747
2009-08-25 04:00:00,3.29,3.34,3.28,3.32,199306
2009-08-26 04:00:00,3.51,3.51,3.32,3.36,338731
2009-08-27 04:00:00,3.37,3.39,3.31,3.31,543933
2009-08-28 04:00:00,3.33,3.34,3.28,3.28,338801
2009-08-31 04:00:00,3.26,3.3,3.26,3.28,238143
2009-09-01 04:00:00,3.31,3.31,3.26,3.27,164103
2009-09-02 04:00:00,3.26,3.28,3.25,3.2683,174316
2009-09-03 04:00:00,3.27,3.28,3.24,3.25,288753
2009-09-04 04:00:00,3.27,3.29,3.2395,3.28,500267
2009-09-08 04:00:00,3.31,3.34,3.28,3.34,437313
2009-09-09 04:00:00,3.35,3.35,3.31,3.3291,255390
2009-09-10 04:00:00,3.32,3.36,3.31,3.36,197919
2009-09-11 04:00:00,3.35,3.379,3.34,3.37,193439
2009-09-14 04:00:00,3.36,3.41,3.35,3.41,314068
2009-09-15 04:00:00,3.41,3.44,3.41,3.44,284121
2009-09-16 04:00:00,3.45,3.49,3.45,3.47,187805
2009-09-17 04:00:00,3.49,3.5,3.47,3.5,132638
2009-09-18 04:00:00,3.49,3.5,3.43,3.45,347138
2009-09-21 04:00:00,3.42,3.46,3.42,3.46,302400
2009-09-22 04:00:00,3.45,3.52,3.45,3.5096,455508
2009-09-23 04:00:00,3.49,3.55,3.48,3.5,383121
2009-09-24 04:00:00,3.5,3.54,3.49,3.52,322388
2009-09-25 04:00:00,3.5,3.54,3.48,3.53,249462
2009-09-28 04:00:00,3.67,3.67,3.52,3.55,194865
2009-09-29 04:00:00,3.53,3.57,3.52,3.55,322495
2009-09-30 04:00:00,3.54,3.56,3.53,3.55,104950
2009-10-01 04:00:00,3.53,3.55,3.51,3.53,211957
2009-10-02 04:00:00,3.51,3.52,3.46,3.5,357289
2009-10-05 04:00:00,3.52,3.53,3.48,3.52,142256
2009-10-06 04:00:00,3.54,3.58,3.53,3.54,270010
2009-10-07 04:00:00,3.57,3.57,3.52,3.54,230634
2009-10-08 04:00:00,3.56,3.57,3.53,3.54,386132
