Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,4.03,4.16,4.03,4.14,50624
2009-05-19 04:00:00,4.08,4.33,4.08,4.29,87713
2009-05-20 04:00:00,4.34,4.41,4.25,4.3,94405
2009-05-21 04:00:00,4.28,4.28,4.08,4.16,53045
2009-05-22 04:00:00,4.16,4.27,4.16,4.23,30920
2009-05-26 04:00:00,4.17,4.4,4.14,4.37,83003
2009-05-27 04:00:00,4.35,4.4598,4.29,4.35,120368
2009-05-28 04:00:00,4.4,4.5,4.31,4.451,194913
2009-05-29 04:00:00,4.46,4.56,4.44,4.55,219313
2009-06-01 04:00:00,4.82,5.08,4.72,5.03,66010
2009-06-02 04:00:00,5.0,5.15,4.99,5.11,64415
2009-06-03 04:00:00,5.06,5.12,4.92,5.05,69446
2009-06-04 04:00:00,5.09,5.09,4.88,4.97,128197
2009-06-05 04:00:00,5.01,5.0391,4.9,4.96,59746
2009-06-08 04:00:00,4.96,4.96,4.84,4.89,56267
2009-06-09 04:00:00,4.91,4.94,4.75,4.85,81837
2009-06-10 04:00:00,4.89,4.9399,4.66,4.7,343381
2009-06-11 04:00:00,4.7,4.82,4.67,4.75,40300
2009-06-12 04:00:00,4.69,4.89,4.66,4.83,88411
2009-06-15 04:00:00,4.75,5.0,4.75,4.92,184043
2009-06-16 04:00:00,4.97,4.97,4.85,4.9,146574
2009-06-17 04:00:00,4.91,5.04,4.9,4.95,274104
2009-06-18 04:00:00,4.93,5.28,4.88,5.01,123886
2009-06-19 04:00:00,5.06,5.14,5.02,5.07,210094
2009-06-22 04:00:00,5.19,5.21,4.87,4.95,71961
2009-06-23 04:00:00,4.92,4.93,4.82,4.87,64996
2009-06-24 04:00:00,4.91,4.92,4.79,4.87,42922
2009-06-25 04:00:00,4.8,4.825,4.75,4.79,40300
2009-06-26 04:00:00,4.78,4.95,4.75,4.87,113396
2009-06-29 04:00:00,4.9,4.9,4.74,4.82,20179
2009-06-30 04:00:00,4.83,4.83,4.67,4.68,81272
2009-07-01 04:00:00,4.65,4.79,4.65,4.7,75990
2009-07-02 04:00:00,4.61,4.61,4.53,4.56,32631
2009-07-06 04:00:00,4.55,4.56,4.29,4.34,65589
2009-07-07 04:00:00,4.32,4.36,4.21,4.21,40079
2009-07-08 04:00:00,4.21,4.34,4.05,4.23,55842
2009-07-09 04:00:00,4.24,4.25,4.02,4.04,48775
2009-07-10 04:00:00,4.03,4.1675,3.89,4.0,90561
2009-07-13 04:00:00,4.0,4.25,3.98,4.21,46743
2009-07-14 04:00:00,4.2,4.27,4.09,4.24,43237
2009-07-15 04:00:00,4.25,4.44,4.25,4.4,37135
2009-07-16 04:00:00,4.36,4.36,4.25,4.3,32150
2009-07-17 04:00:00,4.32,4.37,4.27,4.31,18400
2009-07-20 04:00:00,4.31,4.33,4.22,4.28,23087
2009-07-21 04:00:00,4.28,4.3,4.18,4.27,16298
2009-07-22 04:00:00,4.27,4.33,4.25,4.295,27308
2009-07-23 04:00:00,4.3,4.41,4.21,4.4,82905
2009-07-24 04:00:00,4.4,4.65,4.24,4.47,76356
2009-07-27 04:00:00,4.51,4.65,4.32,4.64,112904
2009-07-28 04:00:00,4.65,4.7,4.53,4.64,60107
2009-07-29 04:00:00,4.55,4.67,4.55,4.62,74130
2009-07-30 04:00:00,4.68,4.73,4.61,4.67,49514
2009-07-31 04:00:00,4.69,4.77,4.63,4.71,103110
2009-08-03 04:00:00,4.75,4.75,4.47,4.73,112220
2009-08-04 04:00:00,4.72,4.72,4.65,4.68,36638
2009-08-05 04:00:00,4.69,4.72,4.64,4.65,38448
2009-08-06 04:00:00,4.68,4.72,4.61,4.61,51900
2009-08-07 04:00:00,4.69,5.04,4.6,5.02,59499
2009-08-10 04:00:00,4.99,5.13,4.7201,5.13,40828
2009-08-11 04:00:00,5.14,5.14,5.02,5.05,51710
2009-08-12 04:00:00,5.05,5.84,5.0,5.63,96833
2009-08-13 04:00:00,5.67,5.67,5.39,5.44,40469
2009-08-14 04:00:00,5.4,5.4,5.15,5.33,47893
2009-08-17 04:00:00,5.25,5.36,5.09,5.32,50041
2009-08-18 04:00:00,5.28,5.54,5.25,5.39,51694
2009-08-19 04:00:00,5.35,5.35,5.13,5.22,47327
2009-08-20 04:00:00,5.22,5.22,5.09,5.17,27714
2009-08-21 04:00:00,5.23,5.33,5.18,5.26,93246
2009-08-24 04:00:00,5.26,5.29,5.14,5.24,31850
2009-08-25 04:00:00,5.26,5.42,5.17,5.37,30293
2009-08-26 04:00:00,5.37,5.8,5.3,5.67,92717
2009-08-27 04:00:00,5.7,5.75,5.45,5.74,79365
2009-08-28 04:00:00,5.78,5.94,5.65,5.85,115474
2009-08-31 04:00:00,5.82,5.945,5.63,5.86,30341
2009-09-01 04:00:00,5.83,6.09,5.72,5.87,213647
2009-09-02 04:00:00,5.88,6.01,5.7,5.95,131239
2009-09-03 04:00:00,5.97,6.07,5.91,6.02,59113
2009-09-04 04:00:00,6.03,6.09,5.92,6.0,39194
2009-09-08 04:00:00,6.01,6.1699,6.01,6.13,250454
2009-09-09 04:00:00,6.14,6.21,6.05,6.11,62534
2009-09-10 04:00:00,6.12,6.21,6.1,6.2,84966
2009-09-11 04:00:00,6.2,6.42,6.16,6.22,37789
2009-09-14 04:00:00,6.21,6.36,6.06,6.29,50800
2009-09-15 04:00:00,6.29,6.4,6.25,6.3,33197
2009-09-16 04:00:00,6.33,6.49,6.25,6.48,29513
2009-09-17 04:00:00,6.5,6.6,6.44,6.5,75091
2009-09-18 04:00:00,6.51,6.9,6.49,6.77,117793
2009-09-21 04:00:00,6.7,6.7,6.53,6.63,17344
2009-09-22 04:00:00,6.72,6.8,6.67,6.79,17802
2009-09-23 04:00:00,6.8,6.97,6.76,6.78,74329
2009-09-24 04:00:00,6.79,6.79,6.58,6.62,28994
