Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,15.41,15.9,15.13,15.78,1302220
2009-05-19 04:00:00,16.21,16.9,16.08,16.28,2412449
2009-05-20 04:00:00,16.77,17.2,16.05,16.12,1687744
2009-05-21 04:00:00,15.87,15.97,15.24,15.69,1233064
2009-05-22 04:00:00,16.06,16.22,15.63,15.72,759576
2009-05-26 04:00:00,15.4,16.25,15.22,16.2,1375765
2009-05-27 04:00:00,16.31,17.16,16.27,16.38,1542224
2009-05-28 04:00:00,16.63,17.38,16.36,17.27,1913237
2009-05-29 04:00:00,17.7,18.5,17.69,18.03,2230272
2009-06-01 04:00:00,18.75,19.0,18.14,18.2,2425578
2009-06-02 04:00:00,18.35,18.87,17.72,17.7701,1638419
2009-06-03 04:00:00,17.63,17.63,15.89,16.5,3485507
2009-06-04 04:00:00,16.52,16.97,16.22,16.62,1449340
2009-06-05 04:00:00,17.09,17.2,16.02,16.11,2175720
2009-06-08 04:00:00,15.98,16.07,15.5,15.74,1759040
2009-06-09 04:00:00,16.08,16.54,15.9,16.36,1070610
2009-06-10 04:00:00,16.7,16.7,15.81,16.19,1040150
2009-06-11 04:00:00,16.07,16.6,15.85,16.16,1687476
2009-06-12 04:00:00,16.18,16.18,15.55,15.74,1259990
2009-06-15 04:00:00,15.57,15.57,15.07,15.25,1048718
2009-06-16 04:00:00,15.44,15.77,14.87,15.0,1175835
2009-06-17 04:00:00,14.87,15.0,13.95,14.75,1657863
2009-06-18 04:00:00,14.8,14.81,14.3,14.66,903263
2009-06-19 04:00:00,14.7,14.72,14.22,14.36,1248334
2009-06-22 04:00:00,14.13,14.13,13.06,13.09,1627084
2009-06-23 04:00:00,13.13,13.55,12.8,13.42,1166200
2009-06-24 04:00:00,13.63,14.24,13.61,13.73,1177054
2009-06-25 04:00:00,13.78,13.8,13.41,13.67,1228724
2009-06-26 04:00:00,13.7,13.99,13.45,13.82,1149203
2009-06-29 04:00:00,14.07,14.17,13.66,13.8024,581698
2009-06-30 04:00:00,14.02,14.02,13.13,13.32,921790
2009-07-01 04:00:00,13.55,13.6818,13.17,13.23,734395
2009-07-02 04:00:00,12.87,13.07,12.6,12.76,1528997
2009-07-06 04:00:00,12.4,12.45,11.94,12.43,1522558
2009-07-07 04:00:00,12.9,13.1,12.5201,12.95,2012069
2009-07-08 04:00:00,13.02,13.25,12.51,12.92,1491633
2009-07-09 04:00:00,13.14,13.32,12.8301,13.12,810385
2009-07-10 04:00:00,12.99,13.3,12.67,13.23,781241
2009-07-13 04:00:00,13.23,13.41,12.6,13.3,1413236
2009-07-14 04:00:00,13.49,14.08,13.3601,14.0,1645893
2009-07-15 04:00:00,14.48,14.57,14.17,14.29,1185040
2009-07-16 04:00:00,14.3,14.5,13.9,14.38,605440
2009-07-17 04:00:00,14.21,14.6,14.0,14.21,982642
2009-07-20 04:00:00,14.32,14.65,14.2,14.58,674099
2009-07-21 04:00:00,14.75,14.9,14.3,14.46,1049113
2009-07-22 04:00:00,14.19,14.48,14.06,14.2,704680
2009-07-23 04:00:00,14.3,14.61,14.2,14.5,1251225
2009-07-24 04:00:00,14.35,14.66,14.24,14.6,846130
2009-07-27 04:00:00,14.5,15.05,14.4543,14.91,1037633
2009-07-28 04:00:00,15.01,15.01,14.66,14.7014,810092
2009-07-29 04:00:00,14.51,14.51,13.95,14.18,1198464
2009-07-30 04:00:00,14.49,14.56,14.25,14.28,801254
2009-07-31 04:00:00,14.28,14.51,14.1511,14.21,682988
2009-08-03 04:00:00,14.33,14.8,14.32,14.65,680686
2009-08-04 04:00:00,14.56,14.7,14.321,14.4,763261
