Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,4.64,4.8,4.5,4.71,727034
2009-05-15 04:00:00,4.73,4.73,4.25,4.29,751175
2009-05-18 04:00:00,4.43,4.43,3.97,4.12,1120830
2009-05-19 04:00:00,4.19,4.43,4.0751,4.2,848042
2009-05-20 04:00:00,4.25,4.33,4.0,4.01,731908
2009-05-21 04:00:00,4.0,4.1,3.96,4.04,547234
2009-05-22 04:00:00,4.05,4.11,3.98,3.99,375015
2009-05-26 04:00:00,4.0,4.35,3.94,4.31,780323
2009-05-27 04:00:00,4.3,4.43,4.27,4.3,669990
2009-05-28 04:00:00,4.3,4.64,4.3,4.57,736820
2009-05-29 04:00:00,4.61,4.7213,4.4793,4.52,679528
2009-06-01 04:00:00,4.7,4.91,4.57,4.75,858253
2009-06-02 04:00:00,4.78,4.87,4.64,4.69,738947
2009-06-03 04:00:00,4.68,4.68,4.297,4.43,532710
2009-06-04 04:00:00,4.37,4.56,4.31,4.45,466006
2009-06-05 04:00:00,4.57,4.5858,4.45,4.46,567882
2009-06-08 04:00:00,4.47,4.5,4.26,4.3102,344200
2009-06-09 04:00:00,4.35,4.5,4.35,4.45,438297
2009-06-10 04:00:00,4.55,4.58,4.22,4.26,655959
2009-06-11 04:00:00,4.33,4.5,4.29,4.36,401576
2009-06-12 04:00:00,4.33,4.4,4.25,4.34,403063
2009-06-15 04:00:00,4.24,4.33,4.13,4.22,399154
2009-06-16 04:00:00,4.24,4.25,4.01,4.02,405720
2009-06-17 04:00:00,4.0,4.07,3.88,4.05,394706
2009-06-18 04:00:00,4.05,4.09,3.85,3.91,711285
2009-06-19 04:00:00,3.98,3.98,3.85,3.9,629458
2009-06-22 04:00:00,3.87,3.89,3.55,3.56,490297
2009-06-23 04:00:00,3.6,3.68,3.56,3.57,351636
2009-06-24 04:00:00,3.68,3.88,3.61,3.72,561513
2009-06-25 04:00:00,3.73,3.92,3.73,3.9,373117
2009-06-26 04:00:00,3.83,4.05,3.83,4.0,523310
2009-06-29 04:00:00,4.2,4.2,3.91,4.06,420861
2009-06-30 04:00:00,4.11,4.23,4.0883,4.18,752863
2009-07-01 04:00:00,4.25,4.32,4.18,4.25,976401
2009-07-02 04:00:00,4.19,4.19,4.01,4.03,651148
2009-07-06 04:00:00,3.84,4.18,3.76,4.04,755787
2009-07-07 04:00:00,3.97,4.03,3.8298,3.83,790579
2009-07-08 04:00:00,3.8,3.93,3.7476,3.87,921120
2009-07-09 04:00:00,3.79,4.08,3.75,3.93,918225
2009-07-10 04:00:00,3.91,4.13,3.77,4.03,717011
2009-07-13 04:00:00,4.05,4.42,4.05,4.38,1171752
2009-07-14 04:00:00,4.37,4.67,4.27,4.6552,1364457
2009-07-15 04:00:00,4.7,4.9,4.7,4.83,1057166
2009-07-16 04:00:00,4.8,4.83,4.64,4.76,407708
2009-07-17 04:00:00,4.68,4.79,4.6,4.76,663639
2009-07-20 04:00:00,4.76,5.01,4.76,4.99,527831
2009-07-21 04:00:00,5.0,5.06,4.67,4.8,332300
2009-07-22 04:00:00,4.76,4.83,4.7,4.75,200853
2009-07-23 04:00:00,4.66,4.78,4.57,4.6,616409
2009-07-24 04:00:00,4.58,4.69,4.54,4.65,246316
2009-07-27 04:00:00,4.71,4.75,4.6,4.65,256634
2009-07-28 04:00:00,4.56,4.57,4.29,4.48,399306
2009-07-29 04:00:00,4.32,4.36,4.16,4.21,450286
2009-07-30 04:00:00,4.25,4.51,4.22,4.38,380207
2009-07-31 04:00:00,4.34,4.52,4.29,4.45,210263
2009-08-03 04:00:00,4.48,4.7,4.48,4.7,499216
2009-08-04 04:00:00,4.71,4.82,4.63,4.76,337028
2009-08-05 04:00:00,4.77,4.83,4.61,4.63,213587
2009-08-06 04:00:00,4.67,4.68,4.45,4.47,188319
2009-08-07 04:00:00,4.53,4.65,4.4888,4.58,216035
2009-08-10 04:00:00,4.55,5.0,4.5,4.99,586135
2009-08-11 04:00:00,4.94,4.98,4.65,4.83,694561
2009-08-12 04:00:00,4.83,4.98,4.69,4.8734,526691
2009-08-13 04:00:00,4.91,4.95,4.8107,4.9,329795
2009-08-14 04:00:00,4.86,4.95,4.68,4.78,508596
2009-08-17 04:00:00,4.62,4.7,4.48,4.5,448929
2009-08-18 04:00:00,4.52,4.85,4.49,4.82,698137
2009-08-19 04:00:00,4.73,5.24,4.715,5.23,1144089
2009-08-20 04:00:00,5.23,5.4,5.14,5.2,508170
2009-08-21 04:00:00,5.3,5.38,5.2,5.24,652630
2009-08-24 04:00:00,5.3,5.35,5.1,5.18,572740
2009-08-25 04:00:00,5.21,5.28,4.87,4.88,833370
2009-08-26 04:00:00,4.88,4.97,4.8,4.9,425870
2009-08-27 04:00:00,4.91,4.92,4.73,4.87,428740
2009-08-28 04:00:00,4.97,5.03,4.72,4.72,542794
2009-08-31 04:00:00,4.72,4.8,4.62,4.72,367131
2009-09-01 04:00:00,4.7,4.7,4.28,4.4,844078
2009-09-02 04:00:00,4.39,4.5306,4.31,4.44,553280
2009-09-03 04:00:00,4.45,4.52,4.35,4.42,232870
2009-09-04 04:00:00,4.46,4.51,4.36,4.48,296260
2009-09-08 04:00:00,4.51,4.74,4.51,4.63,448657
2009-09-09 04:00:00,4.63,4.75,4.54,4.7,377681
2009-09-10 04:00:00,4.71,4.83,4.66,4.79,262180
2009-09-11 04:00:00,4.89,4.92,4.7,4.8,428693
2009-09-14 04:00:00,4.82,4.92,4.76,4.86,331890
2009-09-15 04:00:00,4.85,4.91,4.67,4.69,559940
2009-09-16 04:00:00,4.7,4.89,4.69,4.87,523867
2009-09-17 04:00:00,4.87,4.9101,4.78,4.79,275080
2009-09-18 04:00:00,4.8,4.9,4.74,4.87,603004
2009-09-21 04:00:00,4.8,4.86,4.76,4.79,204389
2009-09-22 04:00:00,4.84,4.8699,4.74,4.83,369611
2009-09-23 04:00:00,4.82,4.92,4.69,4.7,584699
2009-09-24 04:00:00,4.73,4.86,4.51,4.57,393194
2009-09-25 04:00:00,4.58,4.67,4.52,4.65,419249
2009-09-28 04:00:00,4.67,4.833,4.6,4.76,327101
2009-09-29 04:00:00,4.64,4.7,4.4,4.6,391854
2009-09-30 04:00:00,4.6,4.7,4.46,4.59,278362
2009-10-01 04:00:00,4.55,4.64,4.39,4.39,403410
2009-10-02 04:00:00,4.32,4.4,4.2402,4.36,345230
2009-10-05 04:00:00,4.39,4.54,4.31,4.53,227570
2009-10-06 04:00:00,4.58,4.64,4.47,4.57,292960
2009-10-07 04:00:00,4.56,4.59,4.44,4.53,267711
2009-10-08 04:00:00,4.53,4.84,4.51,4.77,442820
2009-10-09 04:00:00,4.76,4.86,4.72,4.84,199970
2009-10-12 04:00:00,4.85,5.04,4.79,4.89,371110
2009-10-13 04:00:00,4.87,4.9,4.68,4.81,384817
2009-10-14 04:00:00,4.94,4.94,4.69,4.83,378052
2009-10-15 04:00:00,4.8,4.85,4.7003,4.8,578450
2009-10-16 04:00:00,4.74,4.89,4.73,4.8,316028
2009-10-19 04:00:00,4.8,4.83,4.69,4.76,342641
2009-10-20 04:00:00,4.71,4.8,4.59,4.63,347654
2009-10-21 04:00:00,4.62,4.87,4.62,4.66,674130
2009-10-22 04:00:00,4.66,4.85,4.58,4.81,290082
2009-10-23 04:00:00,4.84,4.9,4.72,4.72,364932
2009-10-26 04:00:00,4.74,4.87,4.5,4.59,730143
2009-10-27 04:00:00,4.64,4.74,4.54,4.55,381866
2009-10-28 04:00:00,4.54,4.55,4.32,4.38,535037
2009-10-29 04:00:00,4.4,4.54,4.4,4.52,371482
2009-10-30 04:00:00,4.49,4.56,4.21,4.27,441375
2009-11-02 05:00:00,4.31,4.39,4.12,4.23,383474
2009-11-03 05:00:00,4.22,4.52,4.2001,4.48,482783
2009-11-04 05:00:00,4.56,4.68,4.49,4.58,536960
2009-11-05 05:00:00,4.61,4.75,4.56,4.69,388288
2009-11-06 05:00:00,4.64,4.7,4.53,4.58,211423
2009-11-09 05:00:00,4.6,4.73,4.5925,4.69,381130
2009-11-10 05:00:00,4.66,4.66,4.43,4.56,334920
2009-11-11 05:00:00,4.59,4.67,4.55,4.62,339123
2009-11-12 05:00:00,4.6,4.6,4.3987,4.55,705446
2009-11-13 05:00:00,4.58,4.59,4.36,4.42,732601
2009-11-16 05:00:00,4.5,4.6,4.45,4.48,568111
2009-11-17 05:00:00,4.46,4.54,4.4199,4.45,586535
2009-11-18 05:00:00,4.48,4.5,4.41,4.47,411520
2009-11-19 05:00:00,4.46,4.46,4.32,4.34,714771
2009-11-20 05:00:00,4.33,4.33,4.17,4.19,571667
2009-11-23 05:00:00,4.23,4.35,4.195,4.25,363938
2009-11-24 05:00:00,4.23,4.3,4.1,4.29,279006
2009-11-25 05:00:00,4.26,4.33,4.23,4.29,214219
2009-11-27 05:00:00,4.19,4.23,4.1,4.12,138536
