Date,Open,High,Low,Close,Volume
2016-04-21 04:00:00,6.46,6.61,6.0,6.55,58500
2016-04-22 04:00:00,6.59,6.81,6.55,6.7,35300
2016-04-25 04:00:00,6.66,6.66,6.32,6.48,35120
2016-04-26 04:00:00,6.41,6.45,6.25,6.34,20332
2016-04-27 04:00:00,6.66,6.66,5.4769,5.6616,451951
2016-04-28 04:00:00,5.709,6.2525,5.6625,6.02,210181
2016-04-29 04:00:00,6.0,6.311,5.4582,5.8356,1009596
2016-05-02 04:00:00,5.7438,6.21,5.5243,6.15,282481
2016-05-03 04:00:00,6.12,6.25,6.03,6.07,393321
2016-05-04 04:00:00,6.1,6.15,5.83,6.03,2300256
2016-05-05 04:00:00,6.01,6.16,5.98,6.04,1284714
2016-05-06 04:00:00,6.02,6.17,5.95,6.0,374923
2016-05-09 04:00:00,5.94,6.02,5.81,5.895,364557
2016-05-10 04:00:00,5.9,5.98,5.875,5.93,359778
2016-05-11 04:00:00,5.88,6.04,5.825,5.95,372850
2016-05-12 04:00:00,5.95,6.04,5.9,5.92,124306
2016-05-13 04:00:00,5.86,5.89,5.6,5.64,210080
2016-05-16 04:00:00,5.55,5.78,5.33,5.51,820026
2016-05-17 04:00:00,5.38,5.66,5.33,5.66,521404
2016-05-18 04:00:00,5.69,5.75,5.45,5.45,374694
2016-05-19 04:00:00,5.32,5.5,5.32,5.45,372654
2016-05-20 04:00:00,5.39,5.505,4.9104,5.42,297709
2016-05-23 04:00:00,5.48,5.48,5.25,5.31,534510
2016-05-24 04:00:00,5.22,5.57,5.22,5.37,734364
2016-05-25 04:00:00,5.34,5.67,5.34,5.58,574422
2016-05-26 04:00:00,5.57,5.6,5.51,5.55,758220
2016-05-27 04:00:00,5.55,5.57,5.0432,5.0936,424149
2016-05-31 04:00:00,5.0748,5.73,5.0105,5.66,1503437
2016-06-01 04:00:00,5.66,5.73,5.56,5.73,882056
2016-06-02 04:00:00,5.74,5.74,5.1669,5.2035,881273
2016-06-03 04:00:00,5.2034,5.76,5.1575,5.73,1411726
2016-06-06 04:00:00,5.72,5.79,5.2218,5.2493,381147
2016-06-07 04:00:00,5.176,5.79,5.1302,5.75,493464
2016-06-08 04:00:00,5.8,5.82,5.73,5.79,427774
2016-06-09 04:00:00,5.71,5.78,5.6,5.68,867554
2016-06-10 04:00:00,5.66,5.67,5.0661,5.0661,417698
2016-06-13 04:00:00,5.0478,5.5,4.9469,5.46,676871
2016-06-14 04:00:00,5.42,5.47,5.32,5.3801,644275
2016-06-15 04:00:00,5.35,5.47,5.35,5.46,237407
2016-06-16 04:00:00,5.38,5.48,5.24,5.47,515378
2016-06-17 04:00:00,5.39,5.5533,4.9836,5.1211,287271
2016-06-20 04:00:00,5.0755,5.715,5.0755,5.69,257136
2016-06-21 04:00:00,5.6,5.71,5.56,5.6,324026
2016-06-22 04:00:00,5.58,5.72,5.1577,5.1669,350141
2016-06-23 04:00:00,5.2677,5.79,5.1392,5.2585,261621
2016-06-24 04:00:00,5.1118,5.68,5.0475,5.64,220482
2016-06-27 04:00:00,5.59,5.59,5.29,5.52,467879
2016-06-28 04:00:00,5.57,5.7174,5.1305,5.2676,236278
2016-06-29 04:00:00,5.2675,5.81,5.2489,5.286,267723
2016-06-30 04:00:00,5.2129,5.88,5.1672,5.84,177397
2016-07-01 04:00:00,5.8,5.89,5.63,5.74,137327
2016-07-05 04:00:00,5.7,5.77,5.62,5.74,111230
2016-07-06 04:00:00,5.66,5.84,5.64,5.79,115497
2016-07-07 04:00:00,5.72,5.8,5.64,5.7,89146
2016-07-08 04:00:00,5.77,5.8,5.61,5.63,9554379
2016-07-11 04:00:00,5.67,5.83,5.62,5.74,177480
2016-07-12 04:00:00,5.75,5.84,5.735,5.76,340026
2016-07-13 04:00:00,5.7,5.86,5.2493,5.2951,354500
2016-07-14 04:00:00,5.2218,5.905,5.1211,5.79,331781
2016-07-15 04:00:00,5.73,5.87,5.73,5.8,1280710
2016-07-18 04:00:00,5.7,5.94,5.69,5.93,138180
2016-07-19 04:00:00,5.89,5.97,5.3134,5.3684,498753
2016-07-20 04:00:00,5.3043,5.91,5.2768,5.77,889184
2016-07-21 04:00:00,5.84,5.9,5.78,5.81,423958
2016-07-22 04:00:00,5.77,5.9299,5.35,5.3593,400963
2016-07-25 04:00:00,5.4327,5.8,5.2767,5.3226,347486
2016-07-26 04:00:00,5.3134,5.8,5.2126,5.7601,247816
2016-07-27 04:00:00,5.72,5.75,5.1943,5.2218,320828
2016-07-28 04:00:00,5.231,5.75,5.1213,5.74,459081
2016-07-29 04:00:00,5.67,5.83,5.66,5.76,156089
2016-08-01 04:00:00,5.72,5.78,5.66,5.72,412736
2016-08-02 04:00:00,5.65,5.77,5.65,5.76,152248
2016-08-03 04:00:00,5.72,5.89,5.69,5.87,136466
2016-08-04 04:00:00,5.85,5.91,5.81,5.88,106120
2016-08-05 04:00:00,5.86,5.92,5.85,5.91,566311
2016-08-08 04:00:00,5.91,6.025,5.3869,6.0,1090412
2016-08-09 04:00:00,6.03,6.03,5.92,5.96,256338
2016-08-10 04:00:00,6.0,6.0,5.4417,5.4509,323486
2016-08-11 04:00:00,5.4692,6.0128,5.4142,5.96,124432
2016-08-12 04:00:00,6.0,6.054,5.82,5.83,281815
2016-08-15 04:00:00,5.88,5.9,5.64,5.695,664321
2016-08-16 04:00:00,5.73,5.81,5.0387,5.0661,899580
2016-08-17 04:00:00,5.0661,5.4565,4.8279,5.27,762023
2016-08-18 04:00:00,5.28,5.55,5.28,5.4601,980804
2016-08-19 04:00:00,5.42,5.56,5.38,5.38,438956
2016-08-22 04:00:00,5.44,5.49,5.34,5.47,263649
2016-08-23 04:00:00,5.48,5.53,5.44,5.46,613878
2016-08-24 04:00:00,5.48,5.52,5.41,5.49,879202
2016-08-25 04:00:00,5.5,5.62,5.39,5.565,242575
2016-08-26 04:00:00,5.57,5.591,5.42,5.48,226258
2016-08-29 04:00:00,5.52,5.56,4.9564,5.0203,142437
2016-08-30 04:00:00,5.0479,5.54,4.9747,5.5299,1018932
2016-08-31 04:00:00,5.48,5.51,5.31,5.42,294242
2016-09-01 04:00:00,5.45,5.48,5.295,5.34,143691
2016-09-02 04:00:00,5.41,5.455,5.31,5.42,195380
