Date,Open,High,Low,Close,Volume
2014-03-10 04:00:00,37.0,37.75,36.3,36.9,1562970
2014-03-11 04:00:00,36.77,37.68,36.7,36.99,1653786
2014-03-12 04:00:00,37.1,37.45,36.31,36.38,695983
2014-03-13 04:00:00,36.25,36.68,35.67,36.08,552281
2014-03-14 04:00:00,35.8,36.71,35.8,36.32,572389
2014-03-17 04:00:00,36.37,36.73,35.99,36.25,542091
2014-03-18 04:00:00,36.3,36.57,35.65,35.85,542819
2014-03-19 04:00:00,35.82,36.0599,35.22,35.47,389589
2014-03-20 04:00:00,35.19,35.7699,33.4,34.62,1134866
2014-03-21 04:00:00,34.75,35.12,34.32,34.72,1041242
2014-03-24 04:00:00,34.76,35.11,34.18,34.26,460512
2014-03-25 04:00:00,34.4,34.899,34.25,34.27,162654
2014-03-26 04:00:00,34.32,34.5,33.92,34.014,218014
2014-03-27 04:00:00,33.89,34.365,33.55,34.0,389603
2014-03-28 04:00:00,34.09,34.5,33.32,33.34,295574
2014-03-31 04:00:00,33.45,34.11,33.31,33.89,496395
2014-04-01 04:00:00,33.99,35.19,33.77,34.97,296687
2014-04-02 04:00:00,35.08,35.84,35.0501,35.34,304250
2014-04-03 04:00:00,35.3,35.67,35.08,35.38,199046
2014-04-04 04:00:00,35.6,35.78,35.09,35.09,241401
2014-04-07 04:00:00,35.0,35.24,33.59,33.63,118295
2014-04-08 04:00:00,33.7,34.53,33.7,34.37,180594
2014-04-09 04:00:00,34.53,34.8699,34.26,34.59,149143
2014-04-10 04:00:00,34.57,35.11,34.24,34.38,189227
2014-04-11 04:00:00,34.21,34.98,34.21,34.67,187666
2014-04-14 04:00:00,34.84,35.44,34.77,35.0,234951
2014-04-15 04:00:00,35.0,35.22,34.5,34.87,341873
2014-04-16 04:00:00,35.0,35.45,34.97,35.2,182431
2014-04-17 04:00:00,35.14,35.33,34.9,34.96,189224
2014-04-21 04:00:00,34.96,35.349,34.8201,35.19,165614
2014-04-22 04:00:00,35.14,35.76,35.1,35.72,196693
2014-04-23 04:00:00,35.53,36.81,29.22,29.31,217270
2014-04-24 04:00:00,29.53,36.53,28.71,35.56,185874
2014-04-25 04:00:00,35.6,35.9,34.75,34.93,257998
2014-04-28 04:00:00,34.98,35.37,34.76,35.22,109596
2014-04-29 04:00:00,35.28,36.657,35.16,36.06,123529
2014-04-30 04:00:00,36.01,36.13,35.31,35.33,147999
2014-05-01 04:00:00,35.03,35.86,34.6641,35.51,339302
2014-05-02 04:00:00,35.6,36.13,35.12,35.96,135215
2014-05-05 04:00:00,35.77,36.51,35.73,36.36,159998
2014-05-06 04:00:00,36.32,36.73,36.155,36.41,113149
2014-05-07 04:00:00,36.4,36.94,35.76,36.05,147166
2014-05-08 04:00:00,35.91,36.33,29.02,29.02,305650
2014-05-09 04:00:00,29.1,36.12,28.83,35.73,142401
2014-05-12 04:00:00,35.92,37.1,35.6,36.6,181442
2014-05-13 04:00:00,36.61,37.07,36.6,36.96,188594
2014-05-14 04:00:00,36.91,37.3698,36.57,37.24,347621
2014-05-15 04:00:00,37.29,37.66,37.08,37.53,321207
2014-05-16 04:00:00,37.5,38.47,37.38,38.15,323080
2014-05-19 04:00:00,38.07,39.12,37.9001,38.54,413789
2014-05-20 04:00:00,38.14,39.4,37.7,39.14,311864
2014-05-21 04:00:00,39.09,39.437,38.26,39.35,228218
2014-05-22 04:00:00,39.43,40.5,39.43,39.85,263404
2014-05-23 04:00:00,39.87,40.64,39.87,40.48,195299
2014-05-27 04:00:00,40.6,41.18,40.39,40.65,126021
2014-05-28 04:00:00,40.68,42.069,33.9,33.9,439763
2014-05-29 04:00:00,33.95,41.33,33.3,41.0,247873
2014-05-30 04:00:00,40.93,41.31,40.87,41.21,137194
2014-06-02 04:00:00,41.11,41.495,40.74,41.15,170598
2014-06-03 04:00:00,41.16,41.19,40.57,40.8,125824
2014-06-04 04:00:00,40.82,41.04,40.4,40.88,229740
2014-06-05 04:00:00,40.86,42.12,40.78,41.7,221933
2014-06-06 04:00:00,41.87,42.08,41.14,41.94,243010
2014-06-09 04:00:00,41.84,42.52,41.84,41.95,89153
2014-06-10 04:00:00,41.97,42.512,41.536,42.18,182833
2014-06-11 04:00:00,41.93,42.34,41.416,41.63,161753
2014-06-12 04:00:00,41.73,42.0,40.99,41.33,262853
