Date,Open,High,Low,Close,Volume
2009-05-12 04:00:00,4.31,4.52,4.22,4.51,109162
2009-05-13 04:00:00,4.4,4.4,4.13,4.14,70169
2009-05-14 04:00:00,4.13,4.2,4.03,4.12,63817
2009-05-15 04:00:00,4.14,4.18,4.05,4.13,64676
2009-05-18 04:00:00,4.22,4.24,4.15,4.22,30830
2009-05-19 04:00:00,4.22,4.28,4.12,4.22,37510
2009-05-20 04:00:00,4.26,4.26,4.09,4.09,188001
2009-05-21 04:00:00,4.07,4.15,3.97,4.02,98240
2009-05-22 04:00:00,4.02,4.13,4.01,4.01,54676
2009-05-26 04:00:00,3.96,4.2,3.96,4.17,71146
2009-05-27 04:00:00,4.16,4.22,4.09,4.14,49679
2009-05-28 04:00:00,4.2,4.22,4.05,4.18,69940
2009-05-29 04:00:00,4.24,4.25,4.1,4.2,82830
2009-06-01 04:00:00,4.36,4.57,4.29,4.53,151748
2009-06-02 04:00:00,4.26,4.98,4.26,4.96,187400
2009-06-03 04:00:00,4.95,5.028,4.61,5.02,108950
2009-06-04 04:00:00,5.05,5.46,5.04,5.4,172750
2009-06-05 04:00:00,5.47,5.51,5.17,5.44,191140
2009-06-08 04:00:00,5.36,5.37,5.19,5.21,98244
2009-06-09 04:00:00,5.23,5.38,5.2,5.31,121240
2009-06-10 04:00:00,5.4,5.4,5.09,5.28,84922
2009-06-11 04:00:00,5.3,5.64,5.3,5.43,89005
2009-06-12 04:00:00,5.41,5.49,5.3,5.48,72155
2009-06-15 04:00:00,5.45,5.47,5.36,5.41,58718
2009-06-16 04:00:00,5.13,5.53,4.75,4.78,111830
2009-06-17 04:00:00,4.8,4.8,4.6394,4.75,70205
2009-06-18 04:00:00,4.74,4.86,4.63,4.73,89689
2009-06-19 04:00:00,4.83,4.83,4.44,4.47,200957
2009-06-22 04:00:00,4.36,4.44,4.01,4.04,161379
2009-06-23 04:00:00,4.04,4.14,4.03,4.06,81082
2009-06-24 04:00:00,4.1,4.15,4.05,4.1,72413
2009-06-25 04:00:00,4.11,4.43,4.05,4.25,104022
2009-06-26 04:00:00,4.36,4.61,4.23,4.41,130930
2009-06-29 04:00:00,4.4,4.61,4.4,4.52,76550
2009-06-30 04:00:00,4.53,4.56,4.39,4.43,82530
2009-07-01 04:00:00,4.5397,4.636,4.4489,4.57,123280
2009-07-02 04:00:00,4.46,4.46,4.0,4.1,126010
2009-07-06 04:00:00,4.1,4.12,3.84,3.98,187790
2009-07-07 04:00:00,3.93,4.12,3.87,4.11,75747
2009-07-08 04:00:00,4.11,4.15,3.78,3.93,153396
2009-07-09 04:00:00,3.95,3.95,3.762,3.762,100795
2009-07-10 04:00:00,3.77,3.83,3.66,3.74,54770
2009-07-13 04:00:00,3.79,3.84,3.65,3.77,119832
