Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,0.4,0.63,0.21,0.57,328084
2009-05-15 04:00:00,0.64,0.64,0.54,0.55,624800
2009-05-18 04:00:00,0.56,0.6,0.53,0.54,579582
2009-05-19 04:00:00,0.6,0.6,0.49,0.54,332479
2009-05-20 04:00:00,0.5501,0.58,0.5,0.53,434025
2009-05-21 04:00:00,0.51,0.55,0.49,0.5087,415340
2009-05-22 04:00:00,0.49,0.55,0.4712,0.48,1290981
2009-05-26 04:00:00,0.5,0.62,0.48,0.59,3158520
2009-05-27 04:00:00,0.601,0.67,0.51,0.57,708682
2009-05-28 04:00:00,0.56,0.59,0.5,0.55,313159
2009-05-29 04:00:00,0.55,0.55,0.47,0.49,865464
2009-06-01 04:00:00,0.49,0.52,0.47,0.5,492389
2009-06-02 04:00:00,0.49,0.58,0.49,0.5602,582932
2009-06-03 04:00:00,0.54,0.57,0.5399,0.56,243015
2009-06-04 04:00:00,0.56,0.58,0.54,0.57,156810
2009-06-05 04:00:00,0.58,0.58,0.55,0.5608,224402
2009-06-08 04:00:00,0.56,0.58,0.55,0.57,165991
2009-06-09 04:00:00,0.58,0.61,0.53,0.6068,522178
2009-06-10 04:00:00,0.61,0.66,0.55,0.6,430675
2009-06-11 04:00:00,0.59,0.61,0.5601,0.61,128006
2009-06-12 04:00:00,0.63,0.64,0.56,0.6,105105
2009-06-15 04:00:00,0.61,0.61,0.5603,0.57,107003
2009-06-16 04:00:00,0.61,0.61,0.57,0.6,118975
2009-06-17 04:00:00,0.58,0.63,0.56,0.63,242353
2009-06-18 04:00:00,0.62,0.63,0.59,0.61,72318
2009-06-19 04:00:00,0.63,0.67,0.58,0.62,301571
2009-06-22 04:00:00,0.637,0.64,0.56,0.57,213690
2009-06-23 04:00:00,0.56,0.62,0.56,0.59,190369
2009-06-24 04:00:00,0.6,0.61,0.55,0.55,380088
2009-06-25 04:00:00,0.56,0.59,0.56,0.57,125827
2009-06-26 04:00:00,0.588,0.588,0.49,0.5,1235791
2009-06-29 04:00:00,0.46,0.4836,0.4306,0.473,1253378
2009-06-30 04:00:00,0.48,0.5,0.48,0.48,186735
2009-07-01 04:00:00,0.4,0.49,0.4,0.47,111065
2009-07-02 04:00:00,0.47,0.48,0.44,0.44,225559
2009-07-06 04:00:00,0.41,0.49,0.356,0.45,309494
2009-07-07 04:00:00,0.43,0.46,0.4,0.41,259317
2009-07-08 04:00:00,0.42,0.45,0.4,0.4001,210526
2009-07-09 04:00:00,0.44,0.44,0.4008,0.41,96615
2009-07-10 04:00:00,0.42,0.444,0.4109,0.444,138407
2009-07-13 04:00:00,0.47,0.49,0.43,0.48,308879
2009-07-14 04:00:00,0.42,0.5,0.4,0.4684,88630
2009-07-15 04:00:00,0.5,0.5,0.45,0.48,122517
2009-07-16 04:00:00,0.49,0.49,0.46,0.46,100014
2009-07-17 04:00:00,0.48,0.48,0.4101,0.43,260077
2009-07-20 04:00:00,0.47,0.47,0.43,0.44,99451
2009-07-21 04:00:00,0.47,0.4899,0.4303,0.48,244036
2009-07-22 04:00:00,0.5114,0.5114,0.45,0.4899,319950
2009-07-23 04:00:00,0.48,0.49,0.46,0.47,236538
2009-07-24 04:00:00,0.49,0.49,0.46,0.47,94258
2009-07-27 04:00:00,0.48,0.5,0.45,0.4998,343093
2009-07-28 04:00:00,0.4619,0.58,0.4619,0.56,554829
2009-07-29 04:00:00,0.5828,0.59,0.482,0.4979,484969
2009-07-30 04:00:00,0.52,0.56,0.46,0.54,646767
2009-07-31 04:00:00,0.55,0.6,0.52,0.58,226460
2009-08-03 04:00:00,0.58,0.65,0.52,0.6,510609
