Date,Open,High,Low,Close,Volume
2010-05-13 04:00:00,17.0,17.4,16.5,16.75,8714705
2010-05-14 04:00:00,16.85,16.85,15.59,15.85,1692820
2010-05-17 04:00:00,15.86,16.1,15.27,16.0,889697
2010-05-18 04:00:00,16.0,16.12,15.47,15.5,744551
2010-05-19 04:00:00,15.8,15.8,14.65,14.92,1031870
2010-05-20 04:00:00,14.65,14.78,14.22,14.77,649642
2010-05-21 04:00:00,14.72,14.98,14.65,14.89,563685
2010-05-24 04:00:00,14.66,14.96,14.31,14.78,401626
2010-05-25 04:00:00,14.51,14.75,14.26,14.5,452226
2010-05-26 04:00:00,14.49,14.51,13.58,14.39,299148
2010-05-27 04:00:00,14.49,15.32,14.29,14.35,484785
2010-05-28 04:00:00,14.45,14.63,14.18,14.32,331824
2010-06-01 04:00:00,14.4,14.51,14.12,14.25,313732
2010-06-02 04:00:00,14.06,14.35,13.82,14.29,477196
2010-06-03 04:00:00,14.5,14.73,14.33,14.6401,754724
2010-06-04 04:00:00,14.3,14.46,13.77,13.96,120656
2010-06-07 04:00:00,13.95,14.13,13.5,13.58,402900
2010-06-08 04:00:00,13.4,13.54,12.89,13.26,577161
2010-06-09 04:00:00,13.29,13.55,13.0,13.41,850112
2010-06-10 04:00:00,13.53,14.415,13.3,13.98,130245
2010-06-11 04:00:00,14.25,16.0,14.18,15.61,501832
2010-06-14 04:00:00,15.7,17.04,15.627,16.68,652899
2010-06-15 04:00:00,16.6,17.0,15.75,16.92,423029
2010-06-16 04:00:00,16.68,16.95,16.32,16.89,176449
2010-06-17 04:00:00,16.69,16.9,16.17,16.8,131755
2010-06-18 04:00:00,16.56,17.0,16.56,16.93,114583
2010-06-21 04:00:00,17.0,17.25,16.74,16.88,297485
2010-06-22 04:00:00,17.35,17.85,17.08,17.2101,667268
2010-06-23 04:00:00,17.33,17.6,16.67,16.75,424409
2010-06-24 04:00:00,16.89,16.98,15.8915,16.15,230670
2010-06-25 04:00:00,16.37,16.81,16.03,16.5,523461
2010-06-28 04:00:00,16.55,16.75,16.43,16.66,452613
2010-06-29 04:00:00,16.43,16.85,16.29,16.67,344150
2010-06-30 04:00:00,16.72,17.0,16.32,16.4,332849
2010-07-01 04:00:00,16.14,16.31,15.795,15.97,317359
2010-07-02 04:00:00,16.04,16.0595,14.98,15.22,439221
2010-07-06 04:00:00,15.45,16.06,15.45,15.96,483153
2010-07-07 04:00:00,16.06,16.06,15.42,15.78,246202
2010-07-08 04:00:00,16.01,16.1,15.53,15.75,238881
2010-07-09 04:00:00,15.7,15.82,15.5,15.76,96054
2010-07-12 04:00:00,15.78,16.12,15.74,16.08,396147
2010-07-13 04:00:00,16.27,16.83,15.99,16.82,233612
2010-07-14 04:00:00,16.61,17.18,16.61,17.12,286006
2010-07-15 04:00:00,17.12,17.41,16.9,17.29,211965
2010-07-16 04:00:00,17.25,17.25,16.72,16.9,309085
2010-07-19 04:00:00,16.89,17.24,16.77,17.17,254344
2010-07-20 04:00:00,16.99,17.96,16.98,17.89,307584
2010-07-21 04:00:00,17.96,17.98,17.16,17.22,164061
2010-07-22 04:00:00,17.56,18.27,17.46,18.27,492253
2010-07-23 04:00:00,18.06,18.75,17.87,18.63,163956
2010-07-26 04:00:00,18.65,19.05,18.53,18.98,183401
2010-07-27 04:00:00,19.08,19.1,18.7,18.74,130277
2010-07-28 04:00:00,18.65,18.88,17.79,17.85,132998
2010-07-29 04:00:00,17.94,18.0,17.198,17.37,135126
2010-07-30 04:00:00,17.39,17.73,17.39,17.52,120261
2010-08-02 04:00:00,18.0,18.0,16.97,17.03,163308
2010-08-03 04:00:00,16.93,16.99,16.63,16.69,96030
2010-08-04 04:00:00,16.71,16.88,16.65,16.72,168655
2010-08-05 04:00:00,16.76,16.8,16.32,16.36,266076
2010-08-06 04:00:00,16.31,16.32,15.76,15.79,101989
2010-08-09 04:00:00,15.93,16.065,15.45,15.53,115842
2010-08-10 04:00:00,15.38,15.38,14.61,14.61,190711
2010-08-11 04:00:00,14.16,14.58,14.1,14.19,127857
2010-08-12 04:00:00,14.13,14.89,14.03,14.84,202227
2010-08-13 04:00:00,14.79,15.31,14.43,14.57,208910
2010-08-16 04:00:00,14.4,14.99,14.39,14.79,232415
2010-08-17 04:00:00,14.88,15.04,14.39,14.41,201241
2010-08-18 04:00:00,14.44,14.48,14.12,14.28,425282
2010-08-19 04:00:00,14.29,14.69,14.26,14.49,173615
2010-08-20 04:00:00,14.47,14.56,14.26,14.5,193516
2010-08-23 04:00:00,14.64,14.8,14.24,14.25,105050
2010-08-24 04:00:00,14.09,14.11,13.7,13.74,255474
2010-08-25 04:00:00,13.66,14.1,13.49,14.0,104886
2010-08-26 04:00:00,14.03,14.03,13.75,13.86,222153
2010-08-27 04:00:00,13.92,14.06,13.73,13.95,280690
2010-08-30 04:00:00,14.0,14.25,13.82,13.86,89994
2010-08-31 04:00:00,13.86,14.05,13.55,13.6,182856
2010-09-01 04:00:00,14.77,14.99,12.98,13.04,967368
2010-09-02 04:00:00,13.04,13.37,12.9,12.96,463764
2010-09-03 04:00:00,13.09,13.46,12.93,12.99,214049
2010-09-07 04:00:00,13.03,13.27,12.93,13.15,281661
2010-09-08 04:00:00,13.18,13.45,13.17,13.25,129500
2010-09-09 04:00:00,13.42,13.55,13.16,13.5,281997
2010-09-10 04:00:00,13.55,13.89,13.53,13.82,328918
2010-09-13 04:00:00,13.94,14.28,13.9,14.01,245040
2010-09-14 04:00:00,13.95,14.46,13.95,14.35,261319
2010-09-15 04:00:00,14.36,14.65,14.32,14.58,218390
2010-09-16 04:00:00,14.58,14.67,14.3,14.49,95072
2010-09-17 04:00:00,14.7,14.7,14.4,14.64,146492
2010-09-20 04:00:00,14.73,14.89,14.38,14.85,255971
2010-09-21 04:00:00,14.97,15.2,14.74,15.11,299328
2010-09-22 04:00:00,15.13,15.23,14.76,14.76,150525
2010-09-23 04:00:00,14.7,15.01,14.53,14.61,180407
2010-09-24 04:00:00,14.79,15.03,14.77,14.81,172001
2010-09-27 04:00:00,14.84,14.97,14.6,14.85,98672
2010-09-28 04:00:00,14.94,15.19,14.7,15.11,105142
2010-09-29 04:00:00,15.07,15.23,14.9875,15.09,73938
2010-09-30 04:00:00,15.18,15.32,14.8,15.19,207308
2010-10-01 04:00:00,15.34,15.5,15.03,15.47,295008
2010-10-04 04:00:00,15.48,15.53,15.06,15.14,152234
2010-10-05 04:00:00,15.34,15.5,15.02,15.19,174196
2010-10-06 04:00:00,15.26,15.36,14.74,15.2,171739
2010-10-07 04:00:00,15.31,15.39,14.84,14.91,185177
2010-10-08 04:00:00,14.99,15.15,14.9,14.99,120843
2010-10-11 04:00:00,14.99,15.2,14.79,15.04,74567
2010-10-12 04:00:00,15.06,15.14,14.89,15.04,117799
2010-10-13 04:00:00,15.16,15.16,14.87,14.91,147035
2010-10-14 04:00:00,14.98,15.01,14.74,14.99,79234
2010-10-15 04:00:00,15.02,15.18,14.84,14.96,110553
2010-10-18 04:00:00,15.02,15.02,14.75,14.88,103464
2010-10-19 04:00:00,14.74,15.0,14.51,14.83,159022
2010-10-20 04:00:00,14.88,15.0,14.81,14.89,88187
2010-10-21 04:00:00,14.99,14.99,14.35,14.49,179155
2010-10-22 04:00:00,14.52,14.56,13.91,14.08,285396
2010-10-25 04:00:00,14.17,14.5,14.12,14.26,136845
2010-10-26 04:00:00,14.26,14.49,13.85,14.2,226468
2010-10-27 04:00:00,14.06,14.37,13.6,13.86,253439
2010-10-28 04:00:00,13.93,14.17,13.5,13.95,653005
2010-10-29 04:00:00,13.92,13.92,13.63,13.64,213776
2010-11-01 04:00:00,13.66,14.05,13.65,13.9,223297
2010-11-02 04:00:00,14.0,14.2299,13.905,14.08,153484
2010-11-03 04:00:00,14.1,14.26,13.75,14.19,123480
2010-11-04 04:00:00,14.32,14.55,13.86,14.28,171001
2010-11-05 04:00:00,14.34,14.4,14.09,14.37,166994
2010-11-08 05:00:00,14.31,14.89,14.23,14.58,283551
2010-11-09 05:00:00,14.5,14.76,14.44,14.6,203237
2010-11-10 05:00:00,14.24,14.8,14.02,14.76,158130
2010-11-11 05:00:00,14.65,15.76,14.65,15.49,369300
2010-11-12 05:00:00,15.38,16.45,15.38,15.88,382933
2010-11-15 05:00:00,15.95,16.29,15.5,15.6,249588
2010-11-16 05:00:00,15.56,15.78,15.11,15.19,293605
2010-11-17 05:00:00,15.14,15.61,14.99,15.21,156737
2010-11-18 05:00:00,15.43,15.82,15.2,15.26,171713
2010-11-19 05:00:00,15.28,15.28,14.7,15.02,402569
2010-11-22 05:00:00,14.97,15.065,14.68,14.78,290413
2010-11-23 05:00:00,14.69,15.0,14.47,14.59,254540
2010-11-24 05:00:00,14.72,14.84,14.5,14.6,437729
2010-11-26 05:00:00,14.67,14.95,14.63,14.92,279397
2010-11-29 05:00:00,14.82,15.4,14.82,15.29,445683
2010-11-30 05:00:00,15.2,15.41,15.0,15.05,415499
2010-12-01 05:00:00,15.24,15.8,15.22,15.77,664699
2010-12-02 05:00:00,16.08,17.0,14.93,16.16,1956984
2010-12-03 05:00:00,16.15,16.15,15.88,16.08,381092
2010-12-06 05:00:00,16.01,16.17,15.88,16.12,150572
2010-12-07 05:00:00,16.02,16.12,15.66,15.79,273118
2010-12-08 05:00:00,15.81,15.8498,15.39,15.74,499167
2010-12-09 05:00:00,15.65,15.88,15.57,15.65,372324
2010-12-10 05:00:00,16.32,17.1,16.15,16.82,4921874
2010-12-13 05:00:00,16.75,17.24,16.5,16.99,1038441
2010-12-14 05:00:00,16.63,16.63,16.02,16.51,697153
2010-12-15 05:00:00,16.49,17.0,16.35,16.69,758423
2010-12-16 05:00:00,16.71,16.92,16.66,16.8,464605
