Date,Open,High,Low,Close,Volume
2014-05-07 04:00:00,25.5,26.68,25.5,26.16,4583455
2014-05-08 04:00:00,26.3,26.98,26.2,26.47,488424
2014-05-09 04:00:00,26.72,26.89,26.1101,26.6,260505
2014-05-12 04:00:00,26.4,27.06,26.4,26.93,195829
2014-05-13 04:00:00,27.0,27.22,26.2,26.68,313764
2014-05-14 04:00:00,26.63,27.29,26.27,26.88,105308
2014-05-15 04:00:00,27.29,27.44,26.6,26.7,181429
2014-05-16 04:00:00,26.63,27.2,26.5601,26.75,123409
2014-05-19 04:00:00,26.85,27.06,26.71,26.77,79762
2014-05-20 04:00:00,27.0,27.08,26.66,26.7,118957
2014-05-21 04:00:00,26.71,26.83,26.5,26.63,121048
2014-05-22 04:00:00,26.89,26.89,26.58,26.65,103387
2014-05-23 04:00:00,26.7,26.88,26.52,26.7,80330
2014-05-27 04:00:00,26.75,26.9,26.5,26.52,68356
2014-05-28 04:00:00,26.52,26.698,26.5,26.58,109663
2014-05-29 04:00:00,26.6,27.37,26.5,26.6,194550
2014-05-30 04:00:00,26.71,26.83,26.52,26.53,178184
2014-06-02 04:00:00,27.17,28.81,27.17,27.84,295507
2014-06-03 04:00:00,28.38,28.9,28.09,28.48,200036
2014-06-04 04:00:00,28.56,29.25,28.56,28.89,142758
2014-06-05 04:00:00,29.0,29.05,28.6,28.61,129759
2014-06-06 04:00:00,28.6,29.08,28.6,28.71,77329
2014-06-09 04:00:00,28.9,29.15,28.7901,28.89,82650
2014-06-10 04:00:00,29.07,29.07,28.8,28.83,66269
2014-06-11 04:00:00,28.88,29.42,28.85,28.93,204916
2014-06-12 04:00:00,29.33,30.27,29.02,29.55,114030
2014-06-13 04:00:00,30.0,30.0,29.27,29.77,41667
2014-06-16 04:00:00,30.01,32.41,30.01,31.84,105028
2014-06-17 04:00:00,32.45,33.6697,32.4,33.33,203816
2014-06-18 04:00:00,33.8,35.23,33.36,33.93,240234
2014-06-19 04:00:00,33.97,34.99,33.9605,34.93,214012
2014-06-20 04:00:00,35.19,36.99,35.1,35.7901,212257
2014-06-23 04:00:00,36.44,36.49,33.51,34.44,249311
2014-06-24 04:00:00,34.54,34.59,33.46,33.63,165229
2014-06-25 04:00:00,33.45,33.9099,30.5,33.56,304338
2014-06-26 04:00:00,33.42,34.77,32.681,34.75,117424
2014-06-27 04:00:00,34.9,35.79,34.17,35.44,75126
2014-06-30 04:00:00,35.84,36.75,35.31,36.34,147523
2014-07-01 04:00:00,36.75,37.39,36.24,37.0,108508
2014-07-02 04:00:00,37.27,37.27,34.72,35.29,98068
2014-07-03 04:00:00,35.57,35.57,33.46,34.68,71411
2014-07-07 04:00:00,34.74,35.5175,33.6,33.94,103504
2014-07-08 04:00:00,33.89,34.06,31.3332,32.8,290506
2014-07-09 04:00:00,32.61,33.2389,32.11,32.65,166126
2014-07-10 04:00:00,31.65,33.94,31.6,33.25,155614
2014-07-11 04:00:00,33.05,33.4,32.18,32.23,67665
2014-07-14 04:00:00,32.15,32.89,31.75,32.25,108885
2014-07-15 04:00:00,32.24,32.93,31.9376,32.68,75269
2014-07-16 04:00:00,33.0,33.27,32.263,32.77,46220
2014-07-17 04:00:00,32.27,34.08,32.27,33.99,153950
2014-07-18 04:00:00,33.82,34.0,33.09,33.88,92219
2014-07-21 04:00:00,33.49,33.78,32.75,33.1,75133
2014-07-22 04:00:00,33.1,33.54,33.06,33.24,29099
2014-07-23 04:00:00,33.25,33.47,32.7,33.44,44704
2014-07-24 04:00:00,33.19,33.61,33.1,33.32,101766
2014-07-25 04:00:00,33.22,33.45,33.03,33.32,34386
2014-07-28 04:00:00,33.25,33.9284,32.7001,33.62,119475
2014-07-29 04:00:00,33.72,34.48,33.22,34.28,70153
2014-07-30 04:00:00,34.44,34.83,32.8101,33.145,144572
2014-07-31 04:00:00,31.74,33.84,31.51,33.01,86040
2014-08-01 04:00:00,33.39,34.72,32.36,34.03,53372
2014-08-04 04:00:00,34.5,34.71,33.04,33.295,50173
2014-08-05 04:00:00,33.03,33.1562,32.56,32.875,47053
2014-08-06 04:00:00,32.65,33.89,31.81,32.42,119055
2014-08-07 04:00:00,31.9,32.4,31.04,31.82,69988
2014-08-08 04:00:00,31.69,32.179,31.33,31.99,36265
2014-08-11 04:00:00,32.08,32.735,32.06,32.4,86682
2014-08-12 04:00:00,32.42,32.7699,32.0,32.02,50768
2014-08-13 04:00:00,32.17,32.58,31.87,32.44,49430
2014-08-14 04:00:00,32.54,32.8699,31.61,32.0,289304
2014-08-15 04:00:00,31.91,32.46,31.89,32.35,152120
2014-08-18 04:00:00,32.47,32.9,32.42,32.53,36594
