Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,5.13,5.17,4.57,4.69,21526713
2009-05-18 04:00:00,4.98,5.22,4.85,5.16,19707294
2009-05-19 04:00:00,5.3,5.75,5.02,5.49,23849019
2009-05-20 04:00:00,5.63,5.94,5.13,5.17,27568339
2009-05-21 04:00:00,5.0,5.25,4.8,4.97,20166327
2009-05-22 04:00:00,5.17,5.17,4.79,4.87,12015395
2009-05-26 04:00:00,4.75,5.03,4.54,5.0099,16342895
2009-05-27 04:00:00,5.05,5.09,4.71,4.72,11536142
2009-05-28 04:00:00,4.75,5.19,4.58,5.17,24169117
2009-05-29 04:00:00,5.25,5.92,5.05,5.9,29915655
2009-06-01 04:00:00,6.28,6.74,6.13,6.58,28950155
2009-06-02 04:00:00,6.65,6.87,6.0,6.62,21479868
2009-06-03 04:00:00,6.5,6.6,6.02,6.12,18471896
2009-06-04 04:00:00,6.36,6.575,6.15,6.49,13864195
2009-06-05 04:00:00,6.75,6.85,6.48,6.66,15382620
2009-06-08 04:00:00,6.38,6.53,6.2,6.45,14030375
2009-06-09 04:00:00,6.53,6.53,6.25,6.37,13158387
2009-06-10 04:00:00,6.43,6.55,6.2,6.32,14370164
2009-06-11 04:00:00,6.3,7.05,6.29,6.91,21698642
2009-06-12 04:00:00,6.89,6.9,6.54,6.75,12498437
2009-06-15 04:00:00,6.51,6.69,6.3,6.34,12581286
2009-06-16 04:00:00,6.53,6.6,6.2,6.3,10817104
2009-06-17 04:00:00,6.3,6.3,5.51,5.79,16907842
2009-06-18 04:00:00,5.85,6.16,5.58,6.0,13352514
2009-06-19 04:00:00,6.21,6.93,6.2,6.8,24299476
2009-06-22 04:00:00,6.52,6.83,5.98,6.1,23607176
2009-06-23 04:00:00,6.21,6.42,6.05,6.2,12456372
2009-06-24 04:00:00,6.38,6.69,6.29,6.56,14488972
2009-06-25 04:00:00,6.35,6.75,6.34,6.69,14200976
2009-06-26 04:00:00,6.57,6.83,6.54,6.7398,9831628
2009-06-29 04:00:00,6.78,7.41,6.63,7.09,21560341
2009-06-30 04:00:00,7.25,7.33,6.76,6.98,20478138
2009-07-01 04:00:00,7.1,7.15,6.76,6.83,11464585
2009-07-02 04:00:00,6.7,6.8,6.21,6.27,14348367
2009-07-06 04:00:00,6.14,6.43,6.02,6.371,13365310
2009-07-07 04:00:00,6.44,6.519,6.0,6.06,12126235
2009-07-08 04:00:00,6.12,6.27,5.02,5.3199,35615479
2009-07-09 04:00:00,5.48,5.79,5.35,5.63,18818795
2009-07-10 04:00:00,5.56,5.57,5.28,5.34,11944117
2009-07-13 04:00:00,5.49,5.72,5.31,5.718,12743653
2009-07-14 04:00:00,5.75,5.83,5.45,5.52,11862685
2009-07-15 04:00:00,5.67,6.22,5.67,6.15,15093109
2009-07-16 04:00:00,6.02,6.42,5.93,6.36,16617033
2009-07-17 04:00:00,6.29,6.44,6.12,6.24,11087561
2009-07-20 04:00:00,6.29,6.43,6.18,6.3,9923552
2009-07-21 04:00:00,6.34,6.35,5.98,6.11,12917253
2009-07-22 04:00:00,5.91,6.52,5.85,6.42,16765858
2009-07-23 04:00:00,6.45,6.955,6.45,6.89,13761793
2009-07-24 04:00:00,6.71,6.95,6.615,6.87,9091754
2009-07-27 04:00:00,6.9,7.08,6.79,7.0,9023120
2009-07-28 04:00:00,6.93,7.02,6.75,6.91,10289627
2009-07-29 04:00:00,6.79,6.86,6.6,6.63,8780254
2009-07-30 04:00:00,7.02,7.25,6.93,7.1099,19922538
2009-07-31 04:00:00,6.83,7.21,6.45,6.9,20275080
2009-08-03 04:00:00,7.06,7.15,6.83,6.99,14713923
2009-08-04 04:00:00,6.89,7.17,6.83,7.14,17744599
2009-08-05 04:00:00,7.25,8.0,7.16,7.89,26079015
2009-08-06 04:00:00,8.61,8.73,7.9,8.23,25313215
2009-08-07 04:00:00,8.42,8.8,8.32,8.69,19615698
2009-08-10 04:00:00,8.55,9.68,8.33,8.84,25264073
2009-08-11 04:00:00,8.78,8.82,8.02,8.08,17819066
2009-08-12 04:00:00,8.11,8.89,8.07,8.56,21543866
2009-08-13 04:00:00,8.77,8.88,8.55,8.75,11823206
2009-08-14 04:00:00,8.31,8.37,7.9,8.29,19224332
2009-08-17 04:00:00,7.71,7.76,7.51,7.56,14145787
2009-08-18 04:00:00,7.73,7.8174,7.6,7.74,9496312
2009-08-19 04:00:00,7.53,7.95,7.51,7.81,9797539
2009-08-20 04:00:00,7.91,8.16,7.76,7.95,11909172
2009-08-21 04:00:00,8.19,8.6,8.08,8.4,15473621
2009-08-24 04:00:00,8.57,8.85,8.15,8.44,16986495
2009-08-25 04:00:00,8.6,9.08,8.49,8.77,17026803
2009-08-26 04:00:00,8.9,8.9,8.48,8.78,11858559
2009-08-27 04:00:00,8.78,9.63,8.35,9.61,29734887
2009-08-28 04:00:00,9.77,10.47,9.77,9.94,29023011
2009-08-31 04:00:00,9.65,10.72,9.41,10.56,27894945
2009-09-01 04:00:00,10.63,10.72,8.98,9.1,33931018
2009-09-02 04:00:00,8.85,9.41,8.56,8.88,22744645
2009-09-03 04:00:00,9.26,9.49,8.84,9.13,15065603
2009-09-04 04:00:00,9.14,9.26,8.95,9.18,11190367
2009-09-08 04:00:00,9.45,9.59,9.22,9.43,10438668
2009-09-09 04:00:00,9.48,10.43,9.35,10.33,24678150
2009-09-10 04:00:00,10.56,11.56,10.02,10.75,36463202
2009-09-11 04:00:00,10.9,11.26,10.42,11.1799,24180439
2009-09-14 04:00:00,10.86,11.45,10.76,11.38,14685346
2009-09-15 04:00:00,11.97,12.26,11.82,12.06,33529890
2009-09-16 04:00:00,13.02,13.575,12.59,13.15,66567224
2009-09-17 04:00:00,13.5,13.68,12.77,12.92,38724912
2009-09-18 04:00:00,13.11,13.28,12.52,13.03,27030500
2009-09-21 04:00:00,12.72,13.48,12.64,13.23,19449528
2009-09-22 04:00:00,13.57,13.62,13.12,13.31,18954063
2009-09-23 04:00:00,13.29,13.46,12.72,12.79,22162605
2009-09-24 04:00:00,12.97,13.09,11.78,12.05,27046617
2009-09-25 04:00:00,11.84,12.15,11.48,11.89,27034817
2009-09-28 04:00:00,11.94,12.89,11.85,12.86,23722897
2009-09-29 04:00:00,12.92,13.1,12.34,12.43,18371558
2009-09-30 04:00:00,12.7,12.71,11.69,11.96,28775968
2009-10-01 04:00:00,11.79,11.8,10.93,10.98,37857822
2009-10-02 04:00:00,10.46,11.71,10.23,11.32,35556432
2009-10-05 04:00:00,11.4,11.69,11.23,11.66,19218038
2009-10-06 04:00:00,11.99,12.4,11.68,12.07,22087822
2009-10-07 04:00:00,11.96,12.27,11.8,12.1,12110652
2009-10-08 04:00:00,12.39,12.39,11.97,12.03,11263499
2009-10-09 04:00:00,11.87,12.05,11.76,11.87,9387691
2009-10-12 04:00:00,12.01,12.11,11.75,11.8,9240132
2009-10-13 04:00:00,11.67,11.7,10.98,11.05,19365188
2009-10-14 04:00:00,11.55,12.22,11.4,12.14,23693012
2009-10-15 04:00:00,11.8,12.25,11.7,11.98,16248942
2009-10-16 04:00:00,11.48,11.98,11.16,11.24,25010821
2009-10-19 04:00:00,11.35,11.67,10.82,11.24,19560315
2009-10-20 04:00:00,11.35,11.35,10.87,10.89,16359885
2009-10-21 04:00:00,10.82,11.33,10.75,10.78,18344223
2009-10-22 04:00:00,10.86,11.1,10.51,11.05,19542994
2009-10-23 04:00:00,11.25,11.25,10.31,10.41,17912256
2009-10-26 04:00:00,10.44,10.54,9.46,9.57,30534280
2009-10-27 04:00:00,9.49,9.73,9.17,9.4,26191107
2009-10-28 04:00:00,9.41,9.41,8.37,8.71,41297259
2009-10-29 04:00:00,9.18,10.27,9.18,10.17,40376624
2009-10-30 04:00:00,11.15,11.45,9.96,10.63,58173816
2009-11-02 05:00:00,10.99,11.04,9.91,10.15,34749237
2009-11-03 05:00:00,9.48,10.9,9.47,10.87,27761350
2009-11-04 05:00:00,11.12,11.23,9.92,10.08,28500204
2009-11-05 05:00:00,10.3,10.68,10.01,10.66,21958722
2009-11-06 05:00:00,10.35,10.65,10.21,10.6,13886221
2009-11-09 05:00:00,10.86,11.07,10.73,11.0,14403725
2009-11-10 05:00:00,10.84,11.29,10.78,11.22,12671699
2009-11-11 05:00:00,11.36,11.64,11.33,11.6,16940765
2009-11-12 05:00:00,11.47,11.67,11.09,11.16,15203600
2009-11-13 05:00:00,11.33,11.58,11.08,11.27,12331417
2009-11-16 05:00:00,11.49,11.69,11.36,11.51,15417361
2009-11-17 05:00:00,11.5,11.65,11.36,11.6,9606700
2009-11-18 05:00:00,11.64,11.92,11.54,11.74,9800136
2009-11-19 05:00:00,11.58,11.6,11.06,11.14,13427519
2009-11-20 05:00:00,10.93,11.17,10.85,11.01,11911637
2009-11-23 05:00:00,11.24,11.42,10.96,11.05,10118620
2009-11-24 05:00:00,11.03,11.089,10.77,11.04,9263001
2009-11-25 05:00:00,11.15,11.22,11.04,11.08,6215249
2009-11-27 05:00:00,10.57,11.04,10.38,10.69,8949576
2009-11-30 05:00:00,10.91,10.91,10.45,10.76,20013257
2009-12-01 05:00:00,10.93,11.32,10.87,11.2,11413941
2009-12-02 05:00:00,11.43,11.74,11.3,11.53,13314259
2009-12-03 05:00:00,11.75,12.015,11.26,11.32,12918652
2009-12-04 05:00:00,11.73,11.84,11.2,11.59,10914780
2009-12-07 05:00:00,11.58,11.62,11.2,11.25,8142817
