Date,Open,High,Low,Close,Volume
2013-06-17 04:00:00,4.1,4.25,4.0,4.25,185090
2013-06-18 04:00:00,4.25,4.3601,4.25,4.36,50520
2013-06-19 04:00:00,4.36,4.48,4.36,4.45,10810
2013-06-20 04:00:00,4.45,4.45,4.36,4.4,11400
2013-06-21 04:00:00,4.42,4.43,4.36,4.4,20355
2013-06-24 04:00:00,4.38,4.4,4.35,4.4,9700
2013-06-25 04:00:00,4.37,4.37,4.35,4.37,500
2013-06-26 04:00:00,4.3686,4.3686,4.3686,4.3686,200
2013-06-27 04:00:00,4.44,4.44,4.35,4.35,8185
2013-06-28 04:00:00,4.4,4.4,4.35,4.399,2000
2013-07-01 04:00:00,4.46,4.46,4.34,4.39,4000
2013-07-02 04:00:00,4.45,4.45,4.32,4.35,1800
2013-07-05 04:00:00,4.36,4.36,4.3,4.32,1000
2013-07-08 04:00:00,4.25,4.2506,4.25,4.25,2700
2013-07-09 04:00:00,4.24,4.35,4.24,4.29,10400
2013-07-12 04:00:00,4.34,4.39,4.3,4.3,10946
2013-07-15 04:00:00,4.32,4.32,4.3196,4.3196,5200
2013-07-16 04:00:00,4.35,4.35,4.19,4.33,8300
2013-07-17 04:00:00,4.23,4.25,4.2,4.2,2336
2013-07-19 04:00:00,4.2,4.35,4.2,4.3,23855
2013-07-22 04:00:00,4.35,4.35,4.27,4.27,10320
2013-07-23 04:00:00,4.34,4.34,4.31,4.31,300
2013-07-24 04:00:00,4.29,4.2901,4.24,4.24,1300
2013-07-25 04:00:00,4.29,4.3,4.29,4.3,11300
2013-07-26 04:00:00,4.3,4.3,4.1,4.17,9600
2013-07-31 04:00:00,4.3,4.3,4.2,4.25,19650
2013-08-01 04:00:00,4.29,4.5501,4.26,4.54,64672
2013-08-02 04:00:00,4.54,4.54,4.38,4.38,9078
2013-08-05 04:00:00,4.35,4.35,4.32,4.3469,5290
2013-08-06 04:00:00,4.35,4.35,4.2,4.2853,15929
2013-08-07 04:00:00,4.1506,4.332,4.12,4.3195,14950
2013-08-08 04:00:00,4.33,4.34,4.329,4.34,1600
2013-08-09 04:00:00,4.25,4.29,4.25,4.25,4300
2013-08-12 04:00:00,4.32,4.33,4.289,4.289,3400
2013-08-13 04:00:00,4.27,4.75,4.2699,4.33,101624
2013-08-14 04:00:00,4.45,4.5,4.25,4.34,40363
2013-08-15 04:00:00,4.35,4.35,4.25,4.25,10287
2013-08-16 04:00:00,4.3,4.3,4.1606,4.18,5100
2013-08-19 04:00:00,4.15,4.2,4.01,4.2,3471
2013-08-20 04:00:00,4.16,4.32,4.12,4.31,16024
2013-08-21 04:00:00,4.15,4.31,4.12,4.27,10175
2013-08-22 04:00:00,4.3,4.3,4.19,4.1999,4500
2013-08-23 04:00:00,4.16,4.19,4.16,4.17,2100
2013-08-26 04:00:00,4.25,4.25,4.1842,4.21,16660
2013-08-27 04:00:00,4.19,4.2,4.16,4.19,5400
2013-08-28 04:00:00,4.1572,4.21,4.11,4.15,800
2013-08-29 04:00:00,4.11,4.1199,4.11,4.1101,4915
2013-09-03 04:00:00,4.11,4.11,4.11,4.11,5800
2013-09-04 04:00:00,4.23,4.33,4.2,4.25,26074
2013-09-05 04:00:00,4.25,4.25,4.05,4.07,18760
2013-09-06 04:00:00,4.25,4.33,4.24,4.3,7306
2013-09-09 04:00:00,4.3,4.3,4.2,4.29,32003
2013-09-10 04:00:00,4.1515,4.5,4.1515,4.46,77600
2013-09-11 04:00:00,4.5,4.5,4.41,4.49,27911
2013-09-12 04:00:00,4.3,4.5,4.27,4.48,25336
2013-09-13 04:00:00,4.44,4.49,4.39,4.47,13889
2013-09-16 04:00:00,4.47,4.5,4.35,4.47,27554
2013-09-17 04:00:00,4.41,4.47,4.4,4.46,9000
2013-09-18 04:00:00,4.46,4.47,4.31,4.31,1870
2013-09-19 04:00:00,4.39,4.6,4.39,4.57,77101
2013-09-20 04:00:00,4.55,4.7,4.29,4.29,37551
2013-09-23 04:00:00,4.16,4.7,4.16,4.27,75656
2013-09-24 04:00:00,4.36,4.59,4.36,4.57,5988
2013-09-25 04:00:00,4.6,5.0,4.58,4.75,136204
2013-09-26 04:00:00,4.85,5.25,4.85,5.11,103184
2013-09-27 04:00:00,5.29,5.93,5.25,5.25,121603
2013-09-30 04:00:00,5.5,5.65,5.25,5.36,81937
2013-10-01 04:00:00,5.47,5.63,5.25,5.4,73401
2013-10-02 04:00:00,5.45,5.45,5.32,5.36,35750
2013-10-03 04:00:00,5.4,5.44,5.34,5.44,29141
2013-10-04 04:00:00,5.45,5.45,5.3701,5.42,18360
2013-10-07 04:00:00,5.38,5.45,5.3612,5.4,6750
2013-10-08 04:00:00,5.3,5.38,5.17,5.201,38001
2013-10-09 04:00:00,5.15,5.19,5.03,5.15,16004
2013-10-10 04:00:00,5.1,5.14,5.03,5.13,13615
2013-10-11 04:00:00,5.0,5.11,5.0,5.01,6828
2013-10-14 04:00:00,5.03,5.03,4.9,4.94,11900
2013-10-15 04:00:00,4.95,5.0,4.9,4.99,5472
2013-10-16 04:00:00,5.0,5.24,4.999,5.2,19838
2013-10-17 04:00:00,5.09,5.1999,5.01,5.01,17184
2013-10-18 04:00:00,5.09,5.2,5.09,5.15,5138
2013-10-21 04:00:00,5.12,5.13,5.02,5.09,10057
2013-10-22 04:00:00,5.22,5.22,5.01,5.09,19260
2013-10-23 04:00:00,5.06,5.23,5.06,5.14,11849
2013-10-24 04:00:00,5.1,5.1,5.05,5.1,13094
2013-10-25 04:00:00,5.0631,5.1,5.0563,5.1,6827
2013-10-28 04:00:00,5.06,5.09,5.02,5.02,3500
2013-10-29 04:00:00,5.01,5.08,5.01,5.06,7651
2013-10-30 04:00:00,5.08,5.09,5.04,5.07,4286
2013-10-31 04:00:00,5.07,5.07,5.0,5.0,18590
2013-11-01 04:00:00,5.0,5.02,4.97,4.99,9806
2013-11-04 05:00:00,4.98,5.02,4.98,5.0,9568
2013-11-05 05:00:00,4.99,5.03,4.99,5.01,4680
2013-11-06 05:00:00,5.0,5.06,5.0,5.0,3400
2013-11-07 05:00:00,4.99,5.05,4.98,5.0,9037
2013-11-08 05:00:00,4.985,5.04,4.97,4.97,8650
2013-11-11 05:00:00,4.97,4.9999,4.97,4.97,10202
2013-11-12 05:00:00,4.964,4.99,4.83,4.96,12562
2013-11-13 05:00:00,4.95,4.98,4.95,4.95,5423
2013-11-14 05:00:00,5.15,5.35,4.96,5.35,53510
2013-11-15 05:00:00,5.35,5.45,5.33,5.395,25360
2013-11-18 05:00:00,5.35,5.35,5.1,5.19,32157
2013-11-19 05:00:00,5.11,5.1724,5.02,5.05,20325
2013-11-20 05:00:00,5.0,5.1629,4.95,5.05,75638
2013-11-21 05:00:00,5.0396,5.05,4.96,5.05,17080
2013-11-22 05:00:00,5.08,5.15,5.06,5.14,31502
2013-11-25 05:00:00,5.1,5.1,5.02,5.06,48800
2013-11-26 05:00:00,5.03,5.06,5.01,5.01,27290
2013-11-27 05:00:00,5.07,5.15,5.04,5.05,14110
