Date,Open,High,Low,Close,Volume
2011-06-23 04:00:00,15.69,15.69,15.11,15.34,15200
2011-06-24 04:00:00,15.71,15.749,15.2,15.34,37409
2011-06-27 04:00:00,15.14,15.25,15.07,15.19,33993
2011-06-28 04:00:00,15.24,15.44,14.81,15.35,114114
2011-06-29 04:00:00,15.25,15.25,15.08,15.1,6200
2011-06-30 04:00:00,15.12,15.12,14.95,15.0,119657
2011-07-01 04:00:00,15.03,15.16,15.0,15.0,14600
2011-07-05 04:00:00,15.15,15.24,15.14,15.165,27140
2011-07-06 04:00:00,15.06,15.13,14.96,15.05,34900
2011-07-07 04:00:00,15.13,15.13,14.95,15.02,31598
2011-07-08 04:00:00,14.67,14.9,14.66,14.89,9929
2011-07-11 04:00:00,14.67,15.0,14.67,14.94,15728
2011-07-12 04:00:00,14.98,15.0,14.8,14.85,9050
2011-07-13 04:00:00,14.89,14.89,14.68,14.75,14736
2011-07-14 04:00:00,14.79,14.9,14.74,14.9,33390
2011-07-15 04:00:00,14.8,14.99,14.5,14.81,49096
2011-07-18 04:00:00,14.9,14.9,14.14,14.39,29237
2011-07-19 04:00:00,14.31,14.31,13.56,14.24,50996
2011-07-20 04:00:00,14.11,14.25,13.6699,14.2,79549
2011-07-21 04:00:00,14.06,14.18,13.76,14.17,87495
2011-07-22 04:00:00,14.08,14.23,14.08,14.19,5850
2011-07-25 04:00:00,14.07,14.07,13.95,14.06,5210
2011-07-26 04:00:00,13.95,14.0001,13.95,13.9524,11750
2011-07-27 04:00:00,13.86,13.94,13.7,13.85,13030
2011-07-28 04:00:00,13.65,13.76,13.52,13.74,12825
2011-07-29 04:00:00,13.05,13.65,12.7,13.5924,20481
2011-08-01 04:00:00,13.81,13.89,13.53,13.73,20920
2011-08-02 04:00:00,13.65,13.65,12.9,13.12,50677
2011-08-03 04:00:00,13.2,13.25,12.8,12.97,21600
2011-08-04 04:00:00,12.3,13.01,12.2,12.56,102282
2011-08-05 04:00:00,12.55,12.55,11.0,12.42,116769
