Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,9.54,9.91,9.2,9.7762,2530953
2009-05-15 04:00:00,9.71,9.95,9.52,9.77,2849090
2009-05-18 04:00:00,9.89,9.96,9.51,9.78,1374385
2009-05-19 04:00:00,9.7,10.23,9.53,9.86,2279020
2009-05-20 04:00:00,9.99,10.23,9.83,10.14,4050380
2009-05-21 04:00:00,10.02,10.29,9.82,10.21,4290491
2009-05-22 04:00:00,10.41,10.91,10.4,10.82,5001357
2009-05-26 04:00:00,10.44,10.71,10.25,10.55,3138728
2009-05-27 04:00:00,10.61,10.64,10.265,10.42,2678183
2009-05-28 04:00:00,10.65,11.13,10.55,10.88,3217188
2009-05-29 04:00:00,11.3,11.42,11.0,11.25,3744683
2009-06-01 04:00:00,11.3,11.5,10.93,10.99,2943384
2009-06-02 04:00:00,11.14,11.51,11.13,11.19,3494017
2009-06-03 04:00:00,11.07,11.07,10.17,10.38,3837495
2009-06-04 04:00:00,10.6,10.748,10.36,10.61,2686573
2009-06-05 04:00:00,10.25,10.36,9.92,10.06,3008838
2009-06-08 04:00:00,10.05,10.225,9.64,10.19,2257640
2009-06-09 04:00:00,10.47,10.55,10.11,10.16,1419284
2009-06-10 04:00:00,10.29,10.32,10.03,10.19,1959319
2009-06-11 04:00:00,10.19,10.24,9.92,10.11,2125645
2009-06-12 04:00:00,9.86,10.1,9.75,9.85,2486338
2009-06-15 04:00:00,9.92,9.92,9.16,9.26,2820062
2009-06-16 04:00:00,9.61,9.77,9.3,9.55,2194954
2009-06-17 04:00:00,9.63,9.72,9.23,9.65,2633577
2009-06-18 04:00:00,9.65,9.71,9.04,9.12,7597600
2009-06-19 04:00:00,9.19,9.48,9.06,9.37,5629719
2009-06-22 04:00:00,9.25,9.4,9.04,9.051,4024994
2009-06-23 04:00:00,9.09,9.64,9.09,9.61,2989547
2009-06-24 04:00:00,9.72,10.12,9.67,10.03,3455317
2009-06-25 04:00:00,10.1,10.63,10.05,10.59,3825560
2009-06-26 04:00:00,10.57,10.66,10.43,10.48,2841033
2009-06-29 04:00:00,10.65,10.65,10.205,10.3,2165132
2009-06-30 04:00:00,10.2,10.39,9.91,10.13,2776454
2009-07-01 04:00:00,10.34,10.94,10.27,10.65,2432920
2009-07-02 04:00:00,10.36,10.68,10.12,10.43,2453194
2009-07-06 04:00:00,10.03,10.18,9.7,9.92,2822570
2009-07-07 04:00:00,9.95,10.24,9.86,10.0,1807458
2009-07-08 04:00:00,10.02,10.02,8.9,9.15,5193543
2009-07-09 04:00:00,9.39,9.67,9.2,9.23,3603446
2009-07-10 04:00:00,9.26,9.35,8.99,9.08,2603087
2009-07-13 04:00:00,9.17,9.32,8.57,9.32,3756320
2009-07-14 04:00:00,9.54,9.67,9.43,9.65,1633801
2009-07-15 04:00:00,10.04,10.16,9.91,9.94,1434659
2009-07-16 04:00:00,9.87,10.29,9.87,10.06,1807724
2009-07-17 04:00:00,10.1,10.38,10.0,10.22,2207407
2009-07-20 04:00:00,10.58,10.75,10.265,10.72,2921346
2009-07-21 04:00:00,10.85,10.93,10.37,10.73,3069379
2009-07-22 04:00:00,10.67,11.0,10.5,10.95,4582541
2009-07-23 04:00:00,10.88,11.22,10.8,10.94,3703423
2009-07-24 04:00:00,11.07,11.31,10.95,11.09,1995048
2009-07-27 04:00:00,11.17,11.26,10.93,11.0,1750706
2009-07-28 04:00:00,10.86,10.86,10.09,10.42,2301588
2009-07-29 04:00:00,10.31,10.32,9.91,9.95,1935102
2009-07-30 04:00:00,10.12,10.32,9.96,10.17,1376289
2009-07-31 04:00:00,10.12,10.63,10.04,10.56,1600518
2009-08-03 04:00:00,10.85,11.02,10.65,10.69,1431046
2009-08-04 04:00:00,10.64,11.1,10.64,10.88,1366813
2009-08-05 04:00:00,10.94,10.99,10.62,10.82,1203882
2009-08-06 04:00:00,11.25,11.45,10.94,11.43,2338346
2009-08-07 04:00:00,11.4,11.92,11.39,11.86,3987943
2009-08-10 04:00:00,11.62,11.915,11.5,11.83,2385912
2009-08-11 04:00:00,11.66,12.04,11.48,11.96,2293591
2009-08-12 04:00:00,11.82,12.0,11.65,11.88,1976917
2009-08-13 04:00:00,12.21,12.36,12.0,12.19,1655161
2009-08-14 04:00:00,12.28,12.34,11.84,12.04,1651794
2009-08-17 04:00:00,11.65,11.76,11.1,11.16,2652381
2009-08-18 04:00:00,11.12,11.5,11.12,11.402,1217266
2009-08-19 04:00:00,11.29,11.58,11.08,11.43,1482961
2009-08-20 04:00:00,11.38,11.65,11.3,11.48,1458563
2009-08-21 04:00:00,11.85,12.0,11.72,11.918,1277306
2009-08-24 04:00:00,12.04,12.13,11.64,11.71,1363131
2009-08-25 04:00:00,11.96,12.06,11.66,11.7499,1351457
2009-08-26 04:00:00,11.75,11.77,11.45,11.67,1109876
2009-08-27 04:00:00,11.7,11.85,11.38,11.84,1376979
2009-08-28 04:00:00,11.96,12.2,11.93,11.99,1354274
2009-08-31 04:00:00,11.7,11.76,11.27,11.65,2325603
2009-09-01 04:00:00,11.68,11.9,11.14,11.21,2468567
2009-09-02 04:00:00,11.27,12.5,11.19,12.42,5885498
2009-09-03 04:00:00,12.71,14.59,12.62,14.46,13041869
2009-09-04 04:00:00,14.33,14.35,13.57,13.84,7854726
2009-09-08 04:00:00,14.61,14.87,13.37,13.41,7326720
2009-09-09 04:00:00,13.33,13.65,12.9,13.06,5246860
2009-09-10 04:00:00,12.98,13.8901,12.92,13.66,5257362
2009-09-11 04:00:00,14.25,14.44,13.81,14.01,5368701
2009-09-14 04:00:00,13.93,14.44,13.85,14.23,4494723
2009-09-15 04:00:00,14.13,15.3,14.09,15.12,6975668
2009-09-16 04:00:00,15.63,15.86,15.43,15.69,6385175
2009-09-17 04:00:00,15.46,15.64,14.59,14.75,9180269
2009-09-18 04:00:00,14.72,15.365,14.29,14.76,9443151
2009-09-21 04:00:00,14.07,14.08,13.41,13.99,6636176
2009-09-22 04:00:00,14.76,14.85,14.56,14.76,4496176
2009-09-23 04:00:00,14.76,14.8,13.93,13.98,5326088
2009-09-24 04:00:00,14.19,14.25,13.16,13.29,5030653
2009-09-25 04:00:00,13.06,13.21,12.67,12.95,5125871
2009-09-28 04:00:00,13.0,13.82,12.97,13.14,3879145
2009-09-29 04:00:00,13.08,13.9,13.03,13.78,3891991
2009-09-30 04:00:00,14.23,14.39,13.56,14.14,5477840
2009-10-01 04:00:00,14.29,14.29,12.91,13.01,4960894
2009-10-02 04:00:00,12.79,13.64,12.64,13.24,5287183
2009-10-05 04:00:00,13.38,13.98,13.33,13.81,3620187
2009-10-06 04:00:00,14.49,15.03,14.26,14.58,6340659
2009-10-07 04:00:00,14.75,14.88,14.21,14.4899,4403791
2009-10-08 04:00:00,14.64,15.2,14.38,14.83,6091401
2009-10-09 04:00:00,14.59,14.97,14.315,14.62,3694992
2009-10-12 04:00:00,14.92,15.15,14.36,14.54,2724216
2009-10-13 04:00:00,14.66,15.12,14.44,14.9101,5344616
2009-10-14 04:00:00,15.1,15.175,14.78,14.85,3347676
2009-10-15 04:00:00,14.77,14.97,14.32,14.39,4327857
2009-10-16 04:00:00,14.4,14.78,14.25,14.41,3843140
2009-10-19 04:00:00,14.54,14.69,14.13,14.67,4129102
2009-10-20 04:00:00,14.71,14.71,13.88,14.06,4064725
2009-10-21 04:00:00,13.83,14.55,13.81,14.01,3933397
2009-10-22 04:00:00,13.93,13.99,13.52,13.98,4381724
2009-10-23 04:00:00,14.11,14.19,13.66,13.78,4021765
2009-10-26 04:00:00,13.93,14.31,13.21,13.29,4249790
2009-10-27 04:00:00,13.42,13.52,12.69,13.36,5266715
2009-10-28 04:00:00,13.22,13.44,12.19,12.27,8719791
2009-10-29 04:00:00,12.45,13.6425,12.45,13.49,4794047
2009-10-30 04:00:00,13.3,13.31,12.42,13.15,7405962
2009-11-02 05:00:00,13.53,13.92,12.96,13.27,6225653
2009-11-03 05:00:00,13.02,14.97,12.92,14.91,7831118
2009-11-04 05:00:00,15.68,15.85,14.91,15.61,11116014
2009-11-05 05:00:00,15.61,15.94,15.3,15.91,6784102
2009-11-06 05:00:00,15.86,16.83,15.68,16.49,10431243
2009-11-09 05:00:00,17.18,17.87,17.06,17.4,9584370
2009-11-10 05:00:00,17.24,17.69,16.97,17.65,6838955
2009-11-11 05:00:00,18.11,18.38,17.72,17.93,6710741
2009-11-12 05:00:00,17.74,17.76,16.865,17.05,6841710
2009-11-13 05:00:00,17.07,18.75,16.96,18.42,10240660
2009-11-16 05:00:00,19.1,19.12,18.4,18.78,7702977
2009-11-17 05:00:00,18.43,18.92,18.14,18.91,4738567
2009-11-18 05:00:00,19.08,19.43,18.37,18.61,5787678
2009-11-19 05:00:00,18.08,19.29,17.56,19.14,7594279
2009-11-20 05:00:00,18.69,19.04,18.54,18.92,4964186
2009-11-23 05:00:00,19.73,20.13,19.3,19.55,5931633
2009-11-24 05:00:00,19.67,19.68,18.74,19.22,4223136
2009-11-25 05:00:00,19.79,19.97,19.39,19.9,3838846
2009-11-27 05:00:00,18.5,19.11,17.94,18.72,5073879
2009-11-30 05:00:00,18.51,19.24,18.5,18.98,5997864
2009-12-01 05:00:00,19.5,20.44,19.46,20.32,6660189
2009-12-02 05:00:00,20.55,21.0,20.2,20.29,8093114
2009-12-03 05:00:00,19.98,20.0,19.01,19.2,8158258
2009-12-04 05:00:00,19.05,19.05,17.65,18.22,10468494
2009-12-07 05:00:00,17.29,17.945,16.83,17.53,10498874
2009-12-08 05:00:00,17.37,17.37,16.62,16.7348,8862561
2009-12-09 05:00:00,16.94,17.54,16.71,17.2,7628420
2009-12-10 05:00:00,17.35,17.36,16.87,16.94,5656970
2009-12-11 05:00:00,16.9,17.04,16.27,16.47,7351059
2009-12-14 05:00:00,16.54,16.99,16.34,16.97,4412525
2009-12-15 05:00:00,16.81,17.19,16.5,16.5899,4933020
2009-12-16 05:00:00,16.89,17.34,16.77,16.88,5155300
2009-12-17 05:00:00,16.51,16.51,15.11,15.16,11739295
2009-12-18 05:00:00,15.25,15.84,15.19,15.67,7791555
2009-12-21 05:00:00,15.82,15.82,15.02,15.13,5177432
2009-12-22 05:00:00,15.19,15.71,15.1,15.18,6936405
2009-12-23 05:00:00,15.42,15.95,15.36,15.64,4981998
2009-12-24 05:00:00,16.02,16.1,15.75,15.79,2147633
2009-12-28 05:00:00,15.99,16.22,15.47,15.59,2248514
2009-12-29 05:00:00,15.88,16.07,15.6494,15.7,4159736
2009-12-30 05:00:00,15.52,15.68,15.23,15.46,3134448
2009-12-31 05:00:00,15.68,15.88,15.6,15.68,1682672
2010-01-04 05:00:00,16.26,16.45,16.01,16.11,3736735
2010-01-05 05:00:00,16.3,16.34,15.56,15.82,5278885
2010-01-06 05:00:00,16.01,16.37,15.6,16.08,6760328
2010-01-07 05:00:00,16.08,16.08,15.62,15.9,4420843
2010-01-08 05:00:00,16.02,16.94,16.0,16.93,6226550
2010-01-11 05:00:00,17.63,17.71,16.9,17.06,5707672
2010-01-12 05:00:00,16.74,17.19,16.3,16.36,4765734
2010-01-13 05:00:00,16.47,17.1,16.23,16.988,3784591
2010-01-14 05:00:00,16.99,17.15,16.78,16.94,4012870
2010-01-15 05:00:00,16.71,16.85,16.31,16.51,4944389
2010-01-19 05:00:00,16.55,16.77,16.35,16.5,3382247
2010-01-20 05:00:00,16.0,16.08,15.23,15.64,5653821
2010-01-21 05:00:00,15.27,15.51,14.28,14.39,9679432
2010-01-22 05:00:00,14.02,14.95,13.76,14.58,7144373
2010-01-25 05:00:00,14.75,14.76,14.02,14.12,4333203
2010-01-26 05:00:00,13.75,14.32,13.65,14.01,4165734
2010-01-27 05:00:00,13.96,14.05,13.435,13.8,5698724
2010-01-28 05:00:00,14.0,14.1,13.18,13.47,6960343
2010-01-29 05:00:00,13.46,13.64,13.08,13.17,7067479
2010-02-01 05:00:00,13.36,13.9,13.31,13.86,5564973
2010-02-02 05:00:00,14.08,14.74,13.9109,14.63,8504858
2010-02-03 05:00:00,14.54,14.92,14.25,14.25,5192593
2010-02-04 05:00:00,13.81,13.89,13.143,13.22,6569216
2010-02-05 05:00:00,13.22,14.0,13.0,13.99,8938425
2010-02-08 05:00:00,14.08,14.1,13.27,13.2901,6793237
2010-02-09 05:00:00,13.6,14.43,13.6,14.16,7560066
2010-02-10 05:00:00,14.08,14.34,13.81,14.21,6544433
2010-02-11 05:00:00,14.35,14.97,14.17,14.94,7037286
2010-02-12 05:00:00,14.54,14.89,14.39,14.73,7547083
2010-02-16 05:00:00,15.34,15.5,15.17,15.28,5185774
2010-02-17 05:00:00,14.9,15.49,14.88,15.02,6809351
2010-02-18 05:00:00,15.05,15.49,15.02,15.25,5963961
2010-02-19 05:00:00,15.0,15.36,14.93,14.99,3770153
2010-02-22 05:00:00,15.22,15.25,14.62,14.64,3760286
2010-02-23 05:00:00,14.42,14.63,13.83,13.85,4412796
2010-02-24 05:00:00,13.82,14.25,13.81,13.9,3901646
2010-02-25 05:00:00,13.64,14.36,13.51,14.34,4385579
2010-02-26 05:00:00,14.49,14.8,14.21,14.73,3794114
2010-03-01 05:00:00,14.86,14.9,14.34,14.822,3488579
2010-03-02 05:00:00,15.0,15.42,14.86,15.2398,4290931
2010-03-03 05:00:00,15.42,15.7,15.24,15.53,4399383
2010-03-04 05:00:00,15.49,15.57,15.05,15.16,3940965
2010-03-05 05:00:00,15.42,15.75,15.3,15.65,3646993
2010-03-08 05:00:00,15.96,16.0,15.21,15.21,4255441
2010-03-09 05:00:00,15.0,15.2,14.78,14.88,3364851
2010-03-10 05:00:00,14.94,15.13,14.49,14.62,3350621
2010-03-11 05:00:00,14.58,14.82,14.29,14.78,2435464
2010-03-12 05:00:00,14.92,14.99,14.53,14.6,2637859
2010-03-15 04:00:00,14.79,14.79,14.26,14.49,2093451
2010-03-16 04:00:00,14.87,14.89,14.6,14.78,3410703
2010-03-17 04:00:00,14.89,14.9493,14.66,14.68,3122314
2010-03-18 04:00:00,14.78,14.8725,14.35,14.59,2404988
2010-03-19 04:00:00,14.61,14.69,14.1,14.3,3304923
2010-03-22 04:00:00,14.0,14.49,13.97,14.46,2512357
2010-03-23 04:00:00,14.4,14.59,14.1,14.37,2788660
2010-03-24 04:00:00,14.15,14.18,13.48,13.49,5036769
2010-03-25 04:00:00,13.73,13.8,13.2,13.21,3710117
