Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,39.9,41.25,37.65,38.25,50153
2009-05-18 04:00:00,38.85,39.6,35.25,38.1,94721
2009-05-19 04:00:00,38.25,42.15,38.25,41.1,50303
2009-05-20 04:00:00,42.45,46.35,41.7,41.85,67157
2009-05-21 04:00:00,41.25,41.7,37.8,40.2,51264
2009-05-22 04:00:00,40.5,42.3,40.2,42.0,55061
2009-05-26 04:00:00,41.55,45.0,40.8,44.25,76560
2009-05-27 04:00:00,44.1,44.85,42.75,42.75,37815
2009-05-28 04:00:00,43.05,43.275,39.0,41.7,51577
2009-05-29 04:00:00,41.85,43.2,40.65,42.15,48919
2009-06-01 04:00:00,44.55,46.65,44.4,45.6,70127
2009-06-02 04:00:00,45.75,49.5,42.75,46.65,218856
2009-06-03 04:00:00,46.35,47.55,42.15,43.5,117948
2009-06-04 04:00:00,44.4,45.9,42.9,45.0,73206
2009-06-05 04:00:00,45.75,46.5,43.5,43.95,61032
2009-06-08 04:00:00,43.65,43.8,41.7,42.9,41356
2009-06-09 04:00:00,43.2,45.6,42.75,43.05,127774
2009-06-10 04:00:00,43.8,45.9,43.5,45.75,80507
2009-06-11 04:00:00,46.35,50.7,45.75,48.9,156516
2009-06-12 04:00:00,49.05,52.35,46.35,48.15,41119
2009-06-15 04:00:00,48.45,50.25,45.45,48.6,69257
2009-06-16 04:00:00,48.75,49.2,46.65,47.1,73576
2009-06-17 04:00:00,46.95,47.1,43.8,44.55,70133
2009-06-18 04:00:00,44.1,44.7,43.5,43.5,44507
2009-06-19 04:00:00,44.7,44.7,41.7,41.85,95169
2009-06-22 04:00:00,41.7,42.0,36.15,36.3,83179
2009-06-23 04:00:00,36.0,39.0,36.0,36.45,50479
2009-06-24 04:00:00,37.2,38.85,35.7,36.0,40457
2009-06-25 04:00:00,35.7,37.8,35.4,37.8,59424
2009-06-26 04:00:00,38.25,40.8,38.1,40.8,126436
2009-06-29 04:00:00,40.2,40.8,38.25,38.85,64409
2009-06-30 04:00:00,39.0,39.9,37.65,38.7,51623
2009-07-01 04:00:00,38.7,39.75,36.75,37.35,66130
2009-07-02 04:00:00,36.45,36.6,35.55,35.85,58638
2009-07-06 04:00:00,34.65,34.65,29.25,31.05,141690
2009-07-07 04:00:00,30.9,32.4,30.0,31.05,89960
2009-07-08 04:00:00,31.8,31.8,28.2,29.1,133728
2009-07-09 04:00:00,28.95,31.8,28.95,29.85,62856
2009-07-10 04:00:00,30.0,31.05,29.1,30.75,37881
2009-07-13 04:00:00,30.9,32.4,29.475,32.25,59197
2009-07-14 04:00:00,32.25,34.35,31.8,33.0,68510
2009-07-15 04:00:00,33.45,34.8,33.3,34.5,60784
2009-07-16 04:00:00,35.4,35.7,33.6,34.95,44689
2009-07-17 04:00:00,34.5,36.9,34.05,35.4,55474
2009-07-20 04:00:00,36.45,37.95,32.7,35.4,53890
2009-07-21 04:00:00,35.85,37.35,34.5,37.05,91739
2009-07-22 04:00:00,36.9,37.8,35.4,37.65,70056
2009-07-23 04:00:00,37.65,38.7,36.75,38.25,102654
2009-07-24 04:00:00,37.65,39.6,37.5,39.6,67691
