Date,Open,High,Low,Close,Volume
2017-11-16 05:00:00,8.25,8.43,8.0,8.39,8195903
2017-11-17 05:00:00,8.22,8.28,7.15,7.2,2908643
2017-11-20 05:00:00,7.31,7.59,7.31,7.4,780209
2017-11-21 05:00:00,7.14,7.3,5.5,6.6,5913420
2017-11-22 05:00:00,6.3,6.41,5.57,5.75,1771357
2017-11-24 05:00:00,5.76,5.76,4.86,4.9,1846381
2017-11-27 05:00:00,5.08,5.2,4.75,5.0399,1240397
2017-11-28 05:00:00,5.06,5.29,4.83,5.25,1354057
2017-11-29 05:00:00,5.3,5.312,4.8,5.0,714364
2017-11-30 05:00:00,5.08,5.3,4.855,5.21,589263
2017-12-01 05:00:00,4.85,5.18,4.85,5.025,556073
2017-12-04 05:00:00,5.1,5.3,4.89,5.15,643673
2017-12-05 05:00:00,5.1,5.16,4.9,4.91,429264
2017-12-06 05:00:00,4.98,4.98,4.82,4.85,235865
2017-12-07 05:00:00,4.97,5.65,4.93,5.65,395077
2017-12-08 05:00:00,5.63,6.14,5.34,6.0,1104722
2017-12-11 05:00:00,5.98,6.59,5.98,6.42,1070345
2017-12-12 05:00:00,6.29,6.85,6.21,6.77,696986
2017-12-13 05:00:00,6.59,8.12,6.58,8.0,1990175
2017-12-14 05:00:00,7.88,7.91,7.15,7.44,1945402
2017-12-15 05:00:00,7.39,7.5,7.17,7.5,1190457
2017-12-18 05:00:00,7.37,7.44,6.7,6.71,611899
2017-12-19 05:00:00,6.81,7.25,6.31,6.96,1120828
2017-12-20 05:00:00,7.05,7.05,6.75,6.8,403729
2017-12-21 05:00:00,6.71,6.89,6.6,6.71,382029
2017-12-22 05:00:00,6.73,6.78,6.59,6.7,257046
2017-12-26 05:00:00,6.67,6.67,6.45,6.5,422784
2017-12-27 05:00:00,6.46,6.57,6.42,6.54,304926
2017-12-28 05:00:00,6.67,6.7691,6.61,6.64,545389
2017-12-29 05:00:00,6.61,6.685,6.46,6.5,477587
2018-01-02 05:00:00,6.77,7.2,6.46,6.5,245367
2018-01-03 05:00:00,6.6,6.8558,6.5,6.59,212612
2018-01-04 05:00:00,6.73,6.73,6.33,6.38,368350
2018-01-05 05:00:00,6.41,6.86,6.41,6.8,264122
2018-01-08 05:00:00,7.04,7.48,6.96,7.46,592811
2018-01-09 05:00:00,7.52,7.85,7.42,7.71,876214
2018-01-10 05:00:00,7.57,7.7,7.22,7.495,489047
2018-01-11 05:00:00,7.48,7.68,7.38,7.56,452412
2018-01-12 05:00:00,7.49,7.49,6.85,7.07,613397
2018-01-16 05:00:00,7.01,7.17,6.907,7.02,225434
2018-01-17 05:00:00,7.01,7.0999,6.87,7.03,186765
2018-01-18 05:00:00,7.11,7.65,7.1,7.35,405219
2018-01-19 05:00:00,7.31,7.7249,7.31,7.62,322326
2018-01-22 05:00:00,7.78,7.84,7.42,7.58,168616
2018-01-23 05:00:00,7.57,8.0,7.55,7.7,272554
2018-01-24 05:00:00,7.79,8.85,7.7,8.81,677762
2018-01-25 05:00:00,8.8,9.49,8.19,8.82,982990
2018-01-26 05:00:00,8.82,8.82,8.23,8.39,445663
2018-01-29 05:00:00,8.38,8.3993,8.15,8.37,136266
2018-01-30 05:00:00,8.36,8.36,8.13,8.24,239804
2018-01-31 05:00:00,8.26,8.299,7.4,7.72,392684
2018-02-01 05:00:00,7.71,8.019,7.47,7.6,299583
2018-02-02 05:00:00,7.48,7.655,7.25,7.56,165187
2018-02-05 05:00:00,7.5,7.6199,7.05,7.1,199259
2018-02-06 05:00:00,6.81,7.1,6.6,6.71,487551
2018-02-07 05:00:00,6.75,6.9795,6.61,6.76,215441
2018-02-08 05:00:00,6.77,6.9399,6.6,6.64,120962
2018-02-09 05:00:00,6.64,6.7399,6.56,6.65,368766
2018-02-12 05:00:00,6.68,7.0,6.61,6.78,290846
2018-02-13 05:00:00,6.87,6.87,6.65,6.71,357593
2018-02-14 05:00:00,6.77,6.98,6.69,6.83,275129
2018-02-15 05:00:00,6.88,7.49,6.8,7.23,354645
2018-02-16 05:00:00,7.35,7.45,7.2,7.26,130254
2018-02-20 05:00:00,7.53,7.78,7.31,7.375,233525
2018-02-21 05:00:00,7.28,7.4621,7.2,7.366,151127
2018-02-22 05:00:00,7.35,7.65,7.25,7.46,218399
2018-02-23 05:00:00,7.47,7.61,6.8688,7.38,168339
2018-02-26 05:00:00,7.5,7.5,7.2614,7.32,114281
2018-02-27 05:00:00,7.35,7.39,7.2,7.28,145695
2018-02-28 05:00:00,7.25,7.31,6.6,6.705,321971
2018-03-01 05:00:00,6.74,6.7558,6.5941,6.73,274713
2018-03-02 05:00:00,6.7,7.09,6.59,6.94,256331
2018-03-05 05:00:00,7.09,7.25,6.6,6.7159,476130
2018-03-06 05:00:00,6.73,6.77,6.28,6.29,436576
