Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,6.23,6.25,6.01,6.1399,30177
2009-05-19 04:00:00,6.08,6.113,5.9801,6.04,4741
2009-05-20 04:00:00,6.08,6.19,6.0301,6.19,12700
2009-05-21 04:00:00,6.02,6.15,5.95,6.05,1900
2009-05-22 04:00:00,6.09,6.09,6.05,6.07,2500
2009-05-26 04:00:00,6.04,6.16,5.55,5.73,29822
2009-05-27 04:00:00,5.99,5.99,5.825,5.95,2200
2009-05-28 04:00:00,5.8501,5.87,5.7,5.76,8532
2009-05-29 04:00:00,5.73,5.74,5.5,5.62,2478
2009-06-01 04:00:00,5.95,6.02,5.81,5.91,2834
2009-06-02 04:00:00,5.8216,6.0,5.8,5.81,5949
2009-06-03 04:00:00,5.85,5.85,5.63,5.71,6384
2009-06-04 04:00:00,5.72,5.72,5.68,5.68,3200
2009-06-05 04:00:00,5.6,5.74,5.6,5.69,4675
2009-06-08 04:00:00,5.73,5.73,5.62,5.64,2100
2009-06-09 04:00:00,5.6,5.8,5.6,5.8,9200
2009-06-10 04:00:00,5.75,5.75,5.66,5.69,14000
2009-06-11 04:00:00,5.75,6.05,5.73,6.03,31163
2009-06-12 04:00:00,6.2,6.29,6.11,6.29,7250
2009-06-15 04:00:00,6.15,6.4,5.65,6.0,19733
2009-06-16 04:00:00,5.98,6.01,5.84,5.99,9800
2009-06-17 04:00:00,6.05,6.5,6.05,6.21,18592
2009-06-18 04:00:00,6.21,6.26,6.0,6.0,4000
2009-06-19 04:00:00,6.2,6.2,5.84,6.04,7355
2009-06-22 04:00:00,6.42,6.42,5.8,5.97,13816
2009-06-23 04:00:00,5.99,6.0,5.65,5.99,16421
2009-06-24 04:00:00,5.96,6.0,5.76,6.0,15360
2009-06-25 04:00:00,6.0,6.0,5.85,6.0,23724
2009-06-26 04:00:00,6.0,6.84,6.0,6.59,363820
2009-06-29 04:00:00,6.73,7.74,6.65,7.5,138606
2009-06-30 04:00:00,7.5,7.5101,6.871,7.03,45806
2009-07-01 04:00:00,7.27,7.37,6.84,7.06,26641
2009-07-02 04:00:00,7.04,7.04,6.75,6.85,25424
2009-07-06 04:00:00,6.85,6.9,6.75,6.87,20231
2009-07-07 04:00:00,6.83,7.84,6.76,7.26,53693
2009-07-08 04:00:00,7.15,7.2893,6.66,6.9,24074
2009-07-09 04:00:00,6.8,7.1,6.75,6.96,14170
2009-07-10 04:00:00,6.95,7.34,6.95,7.01,23778
2009-07-13 04:00:00,7.01,7.02,6.94,7.01,10700
2009-07-14 04:00:00,7.01,7.555,7.01,7.4,37931
2009-07-15 04:00:00,7.23,8.0,7.23,7.95,56127
2009-07-16 04:00:00,7.95,7.95,7.61,7.9,21950
2009-07-17 04:00:00,7.82,8.23,7.82,7.961,31621
2009-07-20 04:00:00,8.66,8.66,7.89,8.49,19354
2009-07-21 04:00:00,8.65,9.5,8.41,9.37,73839
2009-07-22 04:00:00,9.23,9.49,8.47,9.35,39971
2009-07-23 04:00:00,9.5,9.57,9.3,9.46,49634
2009-07-24 04:00:00,9.5,9.56,8.9,9.52,31525
2009-07-27 04:00:00,9.5,9.5,9.03,9.44,20777
2009-07-28 04:00:00,9.45,9.7,9.31,9.68,44657
2009-07-29 04:00:00,9.67,9.74,9.45,9.45,23813
2009-07-30 04:00:00,9.41,9.49,9.0,9.47,16560
2009-07-31 04:00:00,9.49,9.49,8.76,8.85,32483
2009-08-03 04:00:00,8.9,8.9,8.23,8.65,35480
2009-08-04 04:00:00,8.61,8.66,8.28,8.65,18430
2009-08-05 04:00:00,8.63,8.72,8.3699,8.62,15420
2009-08-06 04:00:00,8.68,8.68,8.11,8.15,14639
2009-08-07 04:00:00,8.25,8.25,7.91,8.0,19468
2009-08-10 04:00:00,7.98,8.059,7.6,8.01,31667
2009-08-11 04:00:00,8.0,8.14,7.87,7.91,8410
2009-08-12 04:00:00,7.97,8.82,7.93,8.71,23148
2009-08-13 04:00:00,9.03,9.03,8.35,8.58,12442
2009-08-14 04:00:00,8.52,8.57,8.25,8.38,29360
2009-08-17 04:00:00,8.36,8.36,8.07,8.18,14765
2009-08-18 04:00:00,8.19,8.45,8.12,8.41,10892
2009-08-19 04:00:00,8.35,8.58,8.25,8.5,11024
2009-08-20 04:00:00,8.5,8.5,8.31,8.4,5748
2009-08-21 04:00:00,8.55,9.04,8.55,9.04,36220
2009-08-24 04:00:00,9.51,9.52,9.0,9.23,32375
2009-08-25 04:00:00,9.23,9.35,9.06,9.33,9120
2009-08-26 04:00:00,9.29,9.42,9.25,9.41,7871
2009-08-27 04:00:00,9.42,9.54,9.02,9.54,11227
2009-08-28 04:00:00,9.55,9.55,9.12,9.18,10700
2009-08-31 04:00:00,9.11,9.11,8.24,8.6,24801
2009-09-01 04:00:00,8.55,8.76,7.9,8.03,46248
2009-09-02 04:00:00,7.71,8.29,7.47,7.83,37340
2009-09-03 04:00:00,7.86,7.86,7.3,7.42,24154
2009-09-04 04:00:00,7.39,8.29,7.35,8.0,23187
2009-09-08 04:00:00,8.03,8.75,8.03,8.35,40634
2009-09-09 04:00:00,8.48,8.98,8.38,8.89,29680
2009-09-10 04:00:00,8.95,9.23,8.38,8.46,86256
2009-09-11 04:00:00,8.5,8.5,7.5,7.74,79970
2009-09-14 04:00:00,7.8,8.5,7.76,8.3784,65963
2009-09-15 04:00:00,8.82,8.89,8.07,8.1001,20279
2009-09-16 04:00:00,8.14,8.49,8.1,8.43,17089
2009-09-17 04:00:00,8.45,8.81,8.4,8.72,61863
2009-09-18 04:00:00,8.36,8.94,8.36,8.56,58050
2009-09-21 04:00:00,8.48,8.75,8.48,8.57,17200
