Date,Open,High,Low,Close,Volume
2014-04-17 04:00:00,10.8,12.0,9.51,11.86,8868508
2014-04-21 04:00:00,12.0,12.37,10.78,11.79,1335610
2014-04-22 04:00:00,11.71,13.0,11.71,12.32,1498289
2014-04-23 04:00:00,12.47,12.47,11.45,11.55,489883
2014-04-24 04:00:00,12.0,12.0,11.2,11.47,725729
2014-04-25 04:00:00,11.3,11.44,10.47,10.61,220113
2014-04-28 04:00:00,10.65,10.93,10.0505,10.35,703417
2014-04-29 04:00:00,10.51,11.09,10.45,10.55,663139
2014-04-30 04:00:00,10.79,10.9,10.1,10.5,273446
2014-05-01 04:00:00,10.46,11.43,10.376,10.67,481515
2014-05-02 04:00:00,10.97,10.97,10.6,10.8,281463
2014-05-05 04:00:00,10.6,10.92,10.5,10.74,62249
2014-05-06 04:00:00,11.0,11.0,10.16,10.2675,171845
2014-05-07 04:00:00,10.56,10.71,9.29,9.84,665397
2014-05-08 04:00:00,9.74,9.96,9.43,9.44,166597
2014-05-09 04:00:00,9.43,10.22,8.01,9.9901,236301
2014-05-12 04:00:00,10.45,11.08,9.82,9.99,774533
2014-05-13 04:00:00,10.1,10.98,10.1,10.78,418965
2014-05-14 04:00:00,10.64,11.34,10.56,10.85,74135
2014-05-15 04:00:00,10.82,10.82,10.35,10.49,76668
2014-05-16 04:00:00,10.38,10.54,10.12,10.42,72254
2014-05-19 04:00:00,10.34,10.42,9.71,10.04,247381
2014-05-20 04:00:00,10.99,11.1,10.32,10.75,418050
2014-05-21 04:00:00,10.87,12.15,10.87,12.15,782537
2014-05-22 04:00:00,12.26,13.37,11.89,12.75,804857
2014-05-23 04:00:00,13.18,13.18,12.26,12.55,342396
2014-05-27 04:00:00,12.59,12.79,12.02,12.23,137011
2014-05-28 04:00:00,12.39,12.602,11.77,12.13,408068
2014-05-29 04:00:00,12.19,13.3,11.67,12.33,497931
2014-05-30 04:00:00,12.72,12.78,11.51,11.62,461478
2014-06-02 04:00:00,11.5,11.68,11.1,11.11,230052
2014-06-03 04:00:00,11.01,11.78,11.01,11.61,331217
2014-06-04 04:00:00,11.5,11.5,10.9,10.99,230992
2014-06-05 04:00:00,10.94,11.43,10.8,11.34,239558
2014-06-06 04:00:00,11.41,11.93,11.35,11.78,246404
2014-06-09 04:00:00,11.79,11.95,11.55,11.73,246763
2014-06-10 04:00:00,11.67,11.85,11.13,11.15,310219
2014-06-11 04:00:00,11.13,11.65,10.9,11.52,251092
2014-06-12 04:00:00,11.6,11.6,10.385,10.92,835161
2014-06-13 04:00:00,10.27,10.998,10.27,10.47,297705
2014-06-16 04:00:00,10.51,10.76,10.3112,10.38,267147
2014-06-17 04:00:00,10.32,10.93,10.21,10.75,245856
2014-06-18 04:00:00,10.64,10.8,9.92,9.94,530324
2014-06-19 04:00:00,10.02,10.29,9.58,9.98,352839
2014-06-20 04:00:00,10.0,10.37,9.56,9.57,266779
2014-06-23 04:00:00,9.55,10.2,9.55,10.1,184125
2014-06-24 04:00:00,10.1,10.49,9.971,9.971,267379
2014-06-25 04:00:00,10.01,10.1999,9.85,9.97,58710
2014-06-26 04:00:00,9.91,10.67,9.91,10.41,316148
2014-06-27 04:00:00,10.39,10.88,10.14,10.47,322727
2014-06-30 04:00:00,10.79,10.79,10.26,10.52,275462
2014-07-01 04:00:00,10.56,11.34,10.49,11.08,622559
2014-07-02 04:00:00,11.34,12.64,11.1,11.15,1166335
2014-07-03 04:00:00,11.21,11.98,11.2,11.63,996479
2014-07-07 04:00:00,11.52,12.3,11.41,11.92,721251
2014-07-08 04:00:00,11.77,11.88,10.64,11.06,628078
2014-07-09 04:00:00,11.15,12.25,11.09,12.07,329745
2014-07-10 04:00:00,11.61,12.15,11.584,11.94,430023
2014-07-11 04:00:00,11.92,11.949,11.609,11.62,393189
2014-07-14 04:00:00,11.72,12.49,11.72,11.81,388327
2014-07-15 04:00:00,12.2,12.2,11.32,11.81,387862
2014-07-16 04:00:00,11.85,12.03,11.53,11.65,196331
2014-07-17 04:00:00,11.56,11.68,11.15,11.37,222951
2014-07-18 04:00:00,11.38,11.81,11.31,11.5,283181
2014-07-21 04:00:00,11.45,12.17,11.45,11.64,438848
2014-07-22 04:00:00,11.78,12.57,11.78,12.07,1140986
