Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,5.72,6.02,5.7,6.0102,1716237
2009-05-19 04:00:00,5.88,6.16,5.79,5.99,1957009
2009-05-20 04:00:00,5.96,6.06,5.56,5.61,1884830
2009-05-21 04:00:00,5.28,5.46,5.19,5.43,933178
2009-05-22 04:00:00,5.51,5.69,5.46,5.57,696872
2009-05-26 04:00:00,5.34,5.6,5.32,5.59,955784
2009-05-27 04:00:00,5.42,5.49,5.3,5.34,981543
2009-05-28 04:00:00,5.24,5.44,5.17,5.43,807323
2009-05-29 04:00:00,5.49,5.53,5.3701,5.5,580020
2009-06-01 04:00:00,5.98,6.0704,5.8414,5.95,1435997
2009-06-02 04:00:00,5.79,5.92,5.76,5.8916,612703
2009-06-03 04:00:00,5.65,5.67,5.41,5.55,675390
2009-06-04 04:00:00,5.7,5.7,5.53,5.6001,844199
2009-06-05 04:00:00,5.66,5.67,5.31,5.404,1106777
2009-06-08 04:00:00,4.78,5.07,4.72,4.98,4299310
2009-06-09 04:00:00,5.05,5.19,5.05,5.17,1300934
2009-06-10 04:00:00,5.36,5.38,5.13,5.17,1213555
2009-06-11 04:00:00,5.22,5.4,5.21,5.35,1047751
2009-06-12 04:00:00,5.2,5.3,5.2,5.28,695466
2009-06-15 04:00:00,5.27,5.36,5.19,5.2776,1010408
2009-06-16 04:00:00,5.47,5.54,5.32,5.38,1187276
2009-06-17 04:00:00,5.38,5.39,5.141,5.31,1491212
2009-06-18 04:00:00,5.29,5.42,5.2701,5.3716,447000
2009-06-19 04:00:00,5.5,5.58,5.42,5.56,899975
2009-06-22 04:00:00,5.53,5.54,5.18,5.18,907707
2009-06-23 04:00:00,4.35,5.26,4.3,5.15,4335839
2009-06-24 04:00:00,4.51,4.81,4.46,4.51,4518923
2009-06-25 04:00:00,4.38,4.59,4.33,4.54,1456898
2009-06-26 04:00:00,4.43,4.67,4.38,4.62,1208446
2009-06-29 04:00:00,4.82,4.99,4.7599,4.87,2184146
2009-06-30 04:00:00,4.84,4.87,4.62,4.69,1556372
2009-07-01 04:00:00,4.62,4.66,4.56,4.57,1506404
2009-07-02 04:00:00,4.5,4.5,4.39,4.41,1110533
2009-07-06 04:00:00,4.37,4.44,4.34,4.42,921286
2009-07-07 04:00:00,4.4,4.43,4.28,4.28,856494
2009-07-08 04:00:00,4.28,4.28,4.02,4.16,1394916
2009-07-09 04:00:00,4.24,4.2738,4.14,4.23,698104
2009-07-10 04:00:00,4.2,4.22,4.15,4.2,555328
2009-07-13 04:00:00,4.17,4.3,4.16,4.3,790041
2009-07-14 04:00:00,4.37,4.41,4.25,4.39,941292
2009-07-15 04:00:00,4.51,4.6,4.5,4.58,1187313
2009-07-16 04:00:00,4.59,4.76,4.58,4.75,1108749
2009-07-17 04:00:00,4.63,4.63,4.46,4.52,812625
2009-07-20 04:00:00,4.79,4.88,4.75,4.88,1298938
2009-07-21 04:00:00,4.96,4.97,4.76,4.85,958633
2009-07-22 04:00:00,4.69,4.88,4.67,4.7997,708619
2009-07-23 04:00:00,4.89,5.12,4.87,5.06,1014785
2009-07-24 04:00:00,5.15,5.23,4.91,5.16,927751
2009-07-27 04:00:00,5.41,5.58,5.37,5.58,1013602
2009-07-28 04:00:00,5.36,5.46,5.3,5.45,941051
2009-07-29 04:00:00,5.48,5.54,5.42,5.482,733291
2009-07-30 04:00:00,5.58,5.64,5.53,5.63,862930
2009-07-31 04:00:00,5.62,5.79,5.58,5.7,801240
2009-08-03 04:00:00,5.89,5.91,5.8,5.89,1187829
2009-08-04 04:00:00,5.72,5.9,5.63,5.87,1423485
2009-08-05 04:00:00,6.48,6.59,6.27,6.56,2280499
2009-08-06 04:00:00,7.15,7.15,6.9,7.07,2610396
2009-08-07 04:00:00,6.9,7.25,6.695,7.12,3532102
2009-08-10 04:00:00,6.56,6.6,6.35,6.43,3099968
2009-08-11 04:00:00,6.14,6.17,6.01,6.1,1824441
2009-08-12 04:00:00,6.27,6.52,6.26,6.46,1405604
2009-08-13 04:00:00,6.66,6.6792,6.49,6.58,1193992
2009-08-14 04:00:00,6.71,6.74,6.54,6.71,1160717
2009-08-17 04:00:00,6.33,6.33,6.16,6.208,1456658
2009-08-18 04:00:00,6.33,6.47,6.2801,6.42,943481
