Date,Open,High,Low,Close,Volume
2009-05-13 04:00:00,4.95,4.96,4.88,4.9,217034
2009-05-14 04:00:00,4.76,4.9,4.75,4.87,173430
2009-05-15 04:00:00,4.8,4.92,4.78,4.81,230399
2009-05-18 04:00:00,4.8,5.03,4.8,4.96,231517
2009-05-19 04:00:00,4.9,4.9,4.7,4.72,357721
2009-05-20 04:00:00,4.87,4.9,4.76,4.78,296513
2009-05-21 04:00:00,4.73,4.745,4.65,4.69,318086
2009-05-22 04:00:00,4.75,4.79,4.67,4.67,137690
2009-05-26 04:00:00,4.8,4.95,4.7504,4.94,229350
2009-05-27 04:00:00,4.94,4.95,4.74,4.77,159164
2009-05-28 04:00:00,4.85,4.85,4.66,4.8,280596
2009-05-29 04:00:00,4.72,4.89,4.66,4.86,214805
2009-06-01 04:00:00,4.9,5.02,4.86,5.0,272044
2009-06-02 04:00:00,4.9,5.08,4.9,4.96,170813
2009-06-03 04:00:00,4.83,4.9,4.73,4.78,325036
2009-06-04 04:00:00,4.85,5.0,4.85,4.98,269006
2009-06-05 04:00:00,5.05,5.19,4.88,4.92,171899
2009-06-08 04:00:00,5.01,5.31,5.01,5.27,737597
2009-06-09 04:00:00,5.19,5.19,5.05,5.06,226021
2009-06-10 04:00:00,5.23,5.42,5.23,5.4,313681
2009-06-11 04:00:00,5.41,5.7,5.36,5.59,310250
2009-06-12 04:00:00,5.5,5.5,5.38,5.48,120173
2009-06-15 04:00:00,5.3,5.3,5.14,5.19,197394
2009-06-16 04:00:00,5.06,5.11,4.97,4.97,171378
2009-06-17 04:00:00,5.12,5.22,5.09,5.17,235495
2009-06-18 04:00:00,5.03,5.1,4.98,4.99,164694
2009-06-19 04:00:00,5.24,5.24,5.154,5.22,173346
2009-06-22 04:00:00,5.05,5.12,4.96,5.01,251222
2009-06-23 04:00:00,4.95,5.03,4.94,4.98,211623
2009-06-24 04:00:00,4.94,5.06,4.87,4.95,239744
2009-06-25 04:00:00,4.84,5.09,4.83,5.09,149877
2009-06-26 04:00:00,5.0,5.0,4.9,4.92,476926
2009-06-29 04:00:00,4.86,4.86,4.75,4.81,135935
2009-06-30 04:00:00,4.71,4.71,4.61,4.63,162618
2009-07-01 04:00:00,4.75,4.84,4.73,4.8,116872
2009-07-02 04:00:00,4.77,4.77,4.65,4.68,103225
2009-07-06 04:00:00,4.69,4.75,4.68,4.73,139877
2009-07-07 04:00:00,4.56,4.57,4.39,4.39,420787
2009-07-08 04:00:00,4.49,4.5,4.41,4.49,148875
2009-07-09 04:00:00,4.41,4.53,4.37,4.51,328825
2009-07-10 04:00:00,4.41,4.42,4.32,4.35,340329
2009-07-13 04:00:00,4.3,4.33,4.21,4.3,159746
2009-07-14 04:00:00,4.26,4.34,4.24,4.31,324400
2009-07-15 04:00:00,4.2,4.26,4.02,4.18,4804856
2009-07-16 04:00:00,4.15,4.15,4.04,4.1,483723
2009-07-17 04:00:00,4.09,4.11,4.06,4.1,119706
2009-07-20 04:00:00,4.12,4.23,4.11,4.21,493152
2009-07-21 04:00:00,4.21,4.28,4.1907,4.25,346381
2009-07-22 04:00:00,4.3,4.39,4.27,4.37,308870
2009-07-23 04:00:00,4.41,4.5,4.41,4.47,355420
2009-07-24 04:00:00,4.4,4.44,4.35,4.42,155643
2009-07-27 04:00:00,4.39,4.48,4.35,4.48,226452
2009-07-28 04:00:00,4.44,4.51,4.44,4.46,115942
2009-07-29 04:00:00,4.37,4.41,4.31,4.37,256049
2009-07-30 04:00:00,4.48,4.6,4.45,4.56,243511
2009-07-31 04:00:00,4.49,4.74,4.46,4.67,448452
2009-08-03 04:00:00,4.99,4.99,4.84,4.95,714402
2009-08-04 04:00:00,4.82,4.91,4.81,4.86,150764
2009-08-05 04:00:00,4.77,4.81,4.72,4.78,142215
2009-08-06 04:00:00,4.72,4.75,4.68,4.7,97589
