Date,Open,High,Low,Close,Volume
2011-06-30 04:00:00,19.5,19.73,19.26,19.64,2543718
2011-07-01 04:00:00,19.69,19.99,19.55,19.84,291274
2011-07-05 04:00:00,19.89,19.98,19.7,19.71,111260
2011-07-06 04:00:00,19.7,19.84,19.7,19.72,48900
2011-07-07 04:00:00,19.72,19.89,19.68,19.76,41334
2011-07-08 04:00:00,19.75,19.93,19.67,19.8999,110890
2011-07-11 04:00:00,19.85,19.95,19.83,19.95,45848
2011-07-12 04:00:00,19.85,19.95,19.82,19.82,43965
2011-07-13 04:00:00,19.94,19.94,19.8,19.89,50506
2011-07-14 04:00:00,19.9,19.92,19.78,19.91,64757
2011-07-15 04:00:00,19.94,19.94,19.86,19.9,93500
2011-07-18 04:00:00,19.9,19.9,19.7,19.9,24166
2011-07-19 04:00:00,19.85,19.9,19.75,19.86,25342
2011-07-20 04:00:00,19.95,19.95,19.76,19.82,55571
2011-07-21 04:00:00,19.86,19.86,19.71,19.8,39657
2011-07-22 04:00:00,19.85,19.85,19.72,19.8,25350
2011-07-25 04:00:00,19.79,19.86,19.51,19.52,42238
2011-07-26 04:00:00,19.6,19.89,19.6,19.75,35998
2011-07-27 04:00:00,19.73,19.73,19.55,19.57,24075
2011-07-28 04:00:00,19.5719,19.65,19.55,19.57,15389
2011-07-29 04:00:00,19.5,19.5,17.96,19.2899,72328
2011-08-01 04:00:00,19.28,19.28,18.9,19.2,45051
2011-08-02 04:00:00,19.27,19.3,19.07,19.22,27400
2011-08-03 04:00:00,19.27,19.34,18.52,19.25,114609
2011-08-04 04:00:00,19.2,19.3,18.8,18.9,55750
2011-08-05 04:00:00,19.01,19.11,17.5,18.6,62962
2011-08-08 04:00:00,18.15,18.65,18.0,18.34,80664
2011-08-09 04:00:00,18.5,19.22,17.84,19.04,118419
2011-08-10 04:00:00,19.0,19.19,18.5,18.9,107330
2011-08-11 04:00:00,18.9,19.157,18.75,19.0633,46426
2011-08-12 04:00:00,19.17,19.21,18.87,19.19,23249
2011-08-15 04:00:00,19.15,19.4,19.02,19.3,37417
2011-08-16 04:00:00,19.3247,19.35,19.19,19.235,28541
2011-08-17 04:00:00,19.36,19.49,19.35,19.42,29950
2011-08-18 04:00:00,19.37,19.37,19.0,19.075,31772
2011-08-19 04:00:00,18.93,19.09,18.85,19.01,13300
2011-08-22 04:00:00,19.29,19.29,18.25,18.56,26108
2011-08-23 04:00:00,18.59,18.77,18.46,18.69,41651
2011-08-24 04:00:00,18.88,19.26,18.1,18.85,73403
2011-08-25 04:00:00,18.82,18.82,18.32,18.53,74994
2011-08-26 04:00:00,18.37,18.82,18.19,18.72,23166
2011-08-29 04:00:00,18.85,18.8967,18.698,18.7,12660
2011-08-30 04:00:00,18.63,18.9,18.58,18.84,12329
2011-08-31 04:00:00,19.11,19.11,18.3601,18.43,30619
2011-09-01 04:00:00,18.43,18.43,17.7,17.89,53648
2011-09-02 04:00:00,17.65,17.96,17.53,17.91,82019
2011-09-06 04:00:00,17.55,17.71,17.41,17.71,20585
2011-09-07 04:00:00,17.93,18.99,17.93,18.26,46120
2011-09-08 04:00:00,18.07,18.19,17.931,18.02,15002
2011-09-09 04:00:00,18.0,18.06,17.89,17.92,13275
2011-09-12 04:00:00,17.76,18.2012,17.75,17.85,52085
2011-09-13 04:00:00,17.94,18.72,17.91,18.24,35547
2011-09-14 04:00:00,18.25,18.25,17.9,17.92,7348
2011-09-15 04:00:00,18.1,18.23,17.92,18.16,12090
2011-09-16 04:00:00,18.25,18.99,18.25,18.89,8933
2011-09-19 04:00:00,18.95,18.95,18.01,18.68,30059
2011-09-20 04:00:00,18.79,18.96,18.52,18.95,15911
2011-09-21 04:00:00,18.75,18.75,18.45,18.45,27224
2011-09-22 04:00:00,18.05,19.33,17.99,18.69,12776
2011-09-23 04:00:00,18.58,18.91,18.51,18.57,21451
2011-09-26 04:00:00,18.7,18.7,18.25,18.5,17000
2011-09-27 04:00:00,18.93,18.93,17.86,18.43,15739
2011-09-28 04:00:00,18.15,18.19,17.69,17.81,29977
2011-09-29 04:00:00,18.1,18.6,17.82,18.46,19690
2011-09-30 04:00:00,18.3,18.85,18.01,18.48,59594
2011-10-03 04:00:00,18.48,19.0,17.76,17.965,36347
2011-10-04 04:00:00,18.0,18.77,17.76,18.77,65161
2011-10-05 04:00:00,18.74,18.74,17.74,18.26,16499
2011-10-06 04:00:00,18.29,18.4,18.1,18.34,9744
2011-10-07 04:00:00,18.39,18.39,17.61,18.02,70688
2011-10-10 04:00:00,18.15,18.47,17.8,18.34,39058
2011-10-11 04:00:00,18.24,18.68,17.95,18.11,29730
2011-10-12 04:00:00,18.19,18.2,17.92,18.07,23355
2011-10-13 04:00:00,18.04,18.11,17.94,18.1,25230
2011-10-14 04:00:00,18.24,18.7,18.0,18.26,8465
2011-10-17 04:00:00,18.11,18.37,17.7,18.1,16996
2011-10-18 04:00:00,18.22,18.48,17.98,18.19,37850
2011-10-19 04:00:00,18.05,18.1,17.9,18.02,10613
2011-10-20 04:00:00,18.02,18.15,17.56,18.05,40249
2011-10-21 04:00:00,18.32,18.35,17.71,18.31,19768
2011-10-24 04:00:00,18.32,18.67,18.32,18.53,16088
2011-10-25 04:00:00,18.41,18.62,17.94,17.94,4810
2011-10-26 04:00:00,18.2,18.33,17.73,18.26,12467
2011-10-27 04:00:00,18.78,19.22,18.22,18.73,28759
2011-10-28 04:00:00,18.7,18.84,17.52,18.2,18726
2011-10-31 04:00:00,18.08,18.31,17.89,18.03,18419
2011-11-01 04:00:00,18.0,18.24,17.8,17.88,21803
2011-11-02 04:00:00,18.14,18.32,17.91,18.26,6686
2011-11-03 04:00:00,18.42,18.42,17.9801,18.1175,28118
2011-11-04 04:00:00,18.0,18.28,17.9,17.9,7426
2011-11-07 05:00:00,17.85,18.14,17.75,17.8,15163
2011-11-08 05:00:00,17.87,18.085,17.7212,17.805,16747
2011-11-09 05:00:00,17.7,17.7499,17.251,17.31,28782
2011-11-10 05:00:00,17.51,17.98,17.3,17.52,13934
2011-11-11 05:00:00,17.67,17.77,16.48,17.23,50899
2011-11-14 05:00:00,17.6,19.2,17.5201,18.87,49393
