Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,13.62,15.3,13.62,14.96,1564091
2009-05-15 04:00:00,14.56,15.6,14.34,14.68,1201985
2009-05-18 04:00:00,15.08,16.96,14.88,16.44,2025712
2009-05-19 04:00:00,16.4,18.38,16.4,17.78,2672708
2009-05-20 04:00:00,18.64,20.0,18.28,18.9,2871284
2009-05-21 04:00:00,18.48,18.48,16.5,16.98,2540085
2009-05-22 04:00:00,17.9,18.38,17.26,17.46,1542968
2009-05-26 04:00:00,16.9,18.3,16.2,18.2,1728376
2009-05-27 04:00:00,18.48,20.94,18.48,19.52,3234864
2009-05-28 04:00:00,20.28,21.4,20.0,21.36,2386843
2009-05-29 04:00:00,22.2,22.24,21.42,22.06,2272764
2009-06-01 04:00:00,23.28,25.38,23.0,25.04,3609892
2009-06-02 04:00:00,24.3,25.0,22.62,23.84,3221881
2009-06-03 04:00:00,23.0,23.3,20.18,20.62,4439022
2009-06-04 04:00:00,21.56,21.56,19.4,20.64,4651548
2009-06-05 04:00:00,21.86,21.98,20.52,21.18,2223844
2009-06-08 04:00:00,20.4,20.58,19.52,20.183,1696968
2009-06-09 04:00:00,20.36,21.08,19.98,20.44,1997090
2009-06-10 04:00:00,21.16,22.04,20.84,21.7,2351734
2009-06-11 04:00:00,21.38,22.06,21.02,21.34,1997087
2009-06-12 04:00:00,21.2,21.32,19.64,19.86,1972477
2009-06-15 04:00:00,18.96,19.08,17.64,17.68,2847240
2009-06-16 04:00:00,18.58,19.8,18.16,18.7,3140223
2009-06-17 04:00:00,18.88,18.88,17.2,18.008,2135920
2009-06-18 04:00:00,18.16,18.64,17.22,18.3,1585024
2009-06-19 04:00:00,18.88,19.34,18.559,18.6,1526810
2009-06-22 04:00:00,18.2,18.2,15.36,15.38,3952246
2009-06-23 04:00:00,16.0,17.14,15.98,16.96,3443859
2009-06-24 04:00:00,17.74,18.378,16.1,16.3,2960525
2009-06-25 04:00:00,15.58,17.4,15.1,17.18,3617242
2009-06-26 04:00:00,17.26,17.96,16.76,17.78,1865688
2009-06-29 04:00:00,17.82,18.18,16.66,17.02,1419883
2009-06-30 04:00:00,17.0,17.5,16.48,16.62,1208655
2009-07-01 04:00:00,17.08,17.5,16.8,17.0,1474524
2009-07-02 04:00:00,17.1,17.3,16.34,16.6,1504729
2009-07-06 04:00:00,15.96,16.2,15.6,16.0,1675134
2009-07-07 04:00:00,16.0,16.08,14.2,14.32,3121400
2009-07-08 04:00:00,14.54,15.12,13.66,14.34,3069614
2009-07-09 04:00:00,15.32,15.4,14.56,15.0,2182341
2009-07-10 04:00:00,14.58,15.06,14.2,14.72,3652496
2009-07-13 04:00:00,14.78,15.1,14.0,14.74,2363296
2009-07-14 04:00:00,15.0,15.66,14.9,15.38,1670222
2009-07-15 04:00:00,16.38,18.361,16.22,18.18,3230474
2009-07-16 04:00:00,17.7,18.139,16.68,17.92,2314692
2009-07-17 04:00:00,17.6,19.16,17.46,18.94,2018716
2009-07-20 04:00:00,19.52,19.58,18.44,19.02,2569307
2009-07-21 04:00:00,19.48,19.91,18.3,18.8,1675267
2009-07-22 04:00:00,18.7,18.96,17.62,18.08,2740120
2009-07-23 04:00:00,18.88,20.52,18.76,20.42,5194627
2009-07-24 04:00:00,20.16,20.66,19.52,20.44,2135322
2009-07-27 04:00:00,20.8,22.78,20.6,22.54,3695237
2009-07-28 04:00:00,21.06,22.04,20.5,21.38,2844195
2009-07-29 04:00:00,20.34,20.9,19.86,20.0,1845730
2009-07-30 04:00:00,20.6,21.56,20.5,21.44,2785612
2009-07-31 04:00:00,21.4,22.1,21.0,21.26,2154592
2009-08-03 04:00:00,22.18,23.78,22.18,23.2,4156643
2009-08-04 04:00:00,22.6,23.18,21.54,21.82,2672921
2009-08-05 04:00:00,22.32,22.94,21.02,21.56,3085509
2009-08-06 04:00:00,22.36,23.0,21.78,22.1,2034509
2009-08-07 04:00:00,22.74,23.68,22.74,23.2,1997516
2009-08-10 04:00:00,23.02,23.02,21.72,22.08,1516051
2009-08-11 04:00:00,21.7,21.86,20.8,21.66,1830695
2009-08-12 04:00:00,21.18,22.92,21.14,22.68,1422268
2009-08-13 04:00:00,23.2,23.66,22.7,23.18,1495115
2009-08-14 04:00:00,23.38,23.56,21.98,22.18,1333882
2009-08-17 04:00:00,20.76,21.18,20.18,20.32,1513027
2009-08-18 04:00:00,21.18,21.76,20.9,21.12,2054816
