Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,1.92,2.01,1.9,1.98,599373
2009-05-19 04:00:00,2.02,2.03,1.98,1.98,798596
2009-05-20 04:00:00,2.02,2.21,2.01,2.13,1497960
2009-05-21 04:00:00,2.2,2.2,2.0,2.16,1406549
2009-05-22 04:00:00,2.19,2.2,2.04,2.04,1073009
2009-05-26 04:00:00,2.01,2.14,2.01,2.1,649629
2009-05-27 04:00:00,2.1,2.13,2.05,2.06,561170
2009-05-28 04:00:00,2.07,2.23,2.07,2.17,1500973
2009-05-29 04:00:00,2.26,2.32,2.16,2.23,1210802
2009-06-01 04:00:00,2.25,2.48,2.25,2.41,2652372
2009-06-02 04:00:00,2.49,2.75,2.28,2.66,3205880
2009-06-03 04:00:00,2.66,2.66,2.34,2.42,1850918
2009-06-04 04:00:00,2.54,2.65,2.4,2.64,1164785
2009-06-05 04:00:00,2.5,2.55,2.33,2.44,1121979
2009-06-08 04:00:00,2.36,2.44,2.22,2.42,752678
2009-06-09 04:00:00,2.49,2.5,2.4,2.4699,368268
2009-06-10 04:00:00,2.55,2.556,2.45,2.49,473783
2009-06-11 04:00:00,2.51,2.73,2.47,2.65,1275302
2009-06-12 04:00:00,2.61,2.61,2.46,2.54,697552
2009-06-15 04:00:00,2.59,2.59,2.26,2.36,1134538
2009-06-16 04:00:00,2.38,2.45,2.26,2.35,689069
2009-06-17 04:00:00,2.29,2.4,2.25,2.29,714734
2009-06-18 04:00:00,2.39,2.39,2.17,2.2,927188
2009-06-19 04:00:00,2.17,2.39,2.17,2.38,1011000
2009-06-22 04:00:00,2.35,2.35,2.07,2.1099,1310168
2009-06-23 04:00:00,2.12,2.23,1.99,2.19,1054493
2009-06-24 04:00:00,2.26,2.38,2.16,2.26,1014109
2009-06-25 04:00:00,2.26,2.39,2.26,2.38,1087256
2009-06-26 04:00:00,2.41,2.6,2.37,2.54,4758786
2009-06-29 04:00:00,2.57,2.62,2.46,2.47,1626750
2009-06-30 04:00:00,2.51,2.63,2.37,2.6,1228634
2009-07-01 04:00:00,2.63,2.8,2.62,2.78,1732797
2009-07-02 04:00:00,2.72,2.8,2.55,2.79,897598
2009-07-06 04:00:00,2.62,2.705,2.43,2.67,937732
2009-07-07 04:00:00,2.64,2.88,2.55,2.74,1672838
2009-07-08 04:00:00,2.74,2.82,2.3,2.51,1536155
2009-07-09 04:00:00,2.52,2.64,2.47,2.48,829813
2009-07-10 04:00:00,2.46,2.53,2.41,2.48,468346
2009-07-13 04:00:00,2.49,2.6,2.35,2.6,599976
2009-07-14 04:00:00,2.6,2.78,2.6,2.66,631970
2009-07-15 04:00:00,2.69,2.78,2.69,2.7,798411
2009-07-16 04:00:00,2.66,2.75,2.65,2.71,398732
2009-07-17 04:00:00,2.71,2.79,2.66,2.7592,833990
2009-07-20 04:00:00,2.82,3.05,2.82,3.01,2504673
2009-07-21 04:00:00,3.14,3.14,2.83,2.9999,1358097
2009-07-22 04:00:00,3.0,3.12,2.9,3.05,1070618
2009-07-23 04:00:00,3.1,3.14,3.04,3.1,980275
2009-07-24 04:00:00,3.06,3.15,2.99,2.99,579250
2009-07-27 04:00:00,3.13,3.13,2.9,2.97,641618
2009-07-28 04:00:00,2.85,2.94,2.76,2.8891,907217
2009-07-29 04:00:00,2.89,2.89,2.77,2.81,471752
2009-07-30 04:00:00,2.84,2.93,2.8,2.82,467939
2009-07-31 04:00:00,2.77,3.06,2.77,2.96,648637
2009-08-03 04:00:00,3.11,3.14,3.0,3.01,523536
2009-08-04 04:00:00,3.05,3.18,3.01,3.05,1001343
2009-08-05 04:00:00,3.0,3.15,2.98,3.15,651732
2009-08-06 04:00:00,3.15,3.21,3.0,3.01,594154
2009-08-07 04:00:00,3.0,3.14,2.93,2.94,564555
2009-08-10 04:00:00,2.9,2.99,2.8,2.96,605309
2009-08-11 04:00:00,2.94,2.97,2.81,2.85,427809
2009-08-12 04:00:00,2.82,3.0,2.81,2.94,483727
2009-08-13 04:00:00,2.96,3.06,2.96,2.98,569652
2009-08-14 04:00:00,3.0,3.04,2.85,2.89,483304
2009-08-17 04:00:00,2.7,2.78,2.6,2.69,795175
2009-08-18 04:00:00,2.69,2.8,2.69,2.76,426665
2009-08-19 04:00:00,2.75,2.92,2.75,2.89,474567
2009-08-20 04:00:00,2.81,2.9,2.7501,2.87,393548
2009-08-21 04:00:00,2.9,2.96,2.88,2.91,753589
2009-08-24 04:00:00,2.95,2.99,2.78,2.78,569175
2009-08-25 04:00:00,2.81,2.9,2.81,2.86,530285
2009-08-26 04:00:00,2.85,2.88,2.75,2.84,406339
2009-08-27 04:00:00,2.8,3.0,2.8,3.0,684089
2009-08-28 04:00:00,2.95,3.07,2.91,2.92,767316
2009-08-31 04:00:00,2.94,2.94,2.8,2.81,664328
2009-09-01 04:00:00,2.79,2.8099,2.62,2.63,1049252
2009-09-02 04:00:00,2.87,2.95,2.66,2.95,1296546
2009-09-03 04:00:00,3.05,3.12,2.9,3.07,1766599
2009-09-04 04:00:00,3.0,3.44,3.0,3.28,2316429
2009-09-08 04:00:00,3.45,3.53,3.24,3.25,1704787
2009-09-09 04:00:00,3.32,3.33,3.14,3.18,943873
2009-09-10 04:00:00,3.13,3.29,3.13,3.24,915798
2009-09-11 04:00:00,3.34,3.38,3.26,3.26,907874
2009-09-14 04:00:00,3.2,3.27,3.12,3.27,590298
2009-09-15 04:00:00,3.3,3.46,3.24,3.37,1028648
2009-09-16 04:00:00,3.49,3.5,3.29,3.31,1255565
2009-09-17 04:00:00,3.25,3.4,3.12,3.2,1749465
2009-09-18 04:00:00,3.17,3.25,3.05,3.18,2161668
2009-09-21 04:00:00,3.1,3.15,2.93,3.04,1399827
2009-09-22 04:00:00,3.21,3.21,3.04,3.09,857939
2009-09-23 04:00:00,3.1,3.1,2.91,2.92,1082679
2009-09-24 04:00:00,3.0,3.0,2.75,2.84,1518457
2009-09-25 04:00:00,2.8,2.83,2.65,2.79,1380257
2009-09-28 04:00:00,2.82,2.88,2.75,2.78,791138
2009-09-29 04:00:00,2.89,2.89,2.77,2.83,789022
2009-09-30 04:00:00,2.95,2.95,2.85,2.89,1217025
2009-10-01 04:00:00,2.88,2.9,2.67,2.71,1134557
2009-10-02 04:00:00,2.66,2.75,2.62,2.66,1061885
2009-10-05 04:00:00,2.67,2.76,2.6601,2.72,1092753
2009-10-06 04:00:00,2.93,3.01,2.81,2.87,2289763
2009-10-07 04:00:00,2.89,2.99,2.89,2.95,828426
2009-10-08 04:00:00,3.0,3.08,2.89,3.02,1449979
2009-10-09 04:00:00,3.01,3.24,2.97,3.17,1999630
2009-10-12 04:00:00,3.1999,3.24,3.12,3.13,627181
2009-10-13 04:00:00,3.3,3.46,3.25,3.46,3041601
2009-10-14 04:00:00,3.52,3.52,3.4,3.45,1327652
2009-10-15 04:00:00,3.35,3.35,3.23,3.31,1104055
2009-10-16 04:00:00,3.26,3.33,3.22,3.27,623289
2009-10-19 04:00:00,3.22,3.37,3.21,3.37,522419
2009-10-20 04:00:00,3.29,3.37,3.11,3.12,1162988
2009-10-21 04:00:00,3.24,3.26,3.05,3.06,1218461
2009-10-22 04:00:00,3.03,3.08,2.95,3.0,1227797
2009-10-23 04:00:00,3.03,3.126,2.9,2.9,747048
2009-10-26 04:00:00,2.91,2.96,2.68,2.7,1479552
2009-10-27 04:00:00,2.67,2.87,2.63,2.71,1043349
2009-10-28 04:00:00,2.63,2.74,2.54,2.56,1275915
2009-10-29 04:00:00,2.6873,2.88,2.65,2.81,889821
2009-10-30 04:00:00,2.8,2.81,2.65,2.71,908719
2009-11-02 05:00:00,2.73,2.82,2.58,2.68,802180
2009-11-03 05:00:00,2.67,2.98,2.65,2.97,1527777
2009-11-04 05:00:00,3.1,3.1699,2.84,2.87,1240047
2009-11-05 05:00:00,2.9,3.0,2.81,2.97,884539
2009-11-06 05:00:00,3.05,3.05,2.82,2.92,825454
2009-11-09 05:00:00,3.01,3.04,2.83,2.83,1445372
2009-11-10 05:00:00,2.75,2.9,2.73,2.77,809540
2009-11-11 05:00:00,2.79,2.91,2.71,2.7775,959888
2009-11-12 05:00:00,2.8,2.83,2.68,2.73,954901
2009-11-13 05:00:00,2.72,2.8,2.7,2.77,619960
2009-11-16 05:00:00,2.88,2.92,2.8,2.91,1135301
2009-11-17 05:00:00,2.81,2.95,2.81,2.94,1074913
2009-11-18 05:00:00,2.95,3.09,2.91,2.98,1505224
2009-11-19 05:00:00,2.98,3.05,2.76,2.91,965123
2009-11-20 05:00:00,2.92,2.92,2.8,2.88,842105
2009-11-23 05:00:00,2.95,3.04,2.85,2.89,1258377
2009-11-24 05:00:00,2.89,2.9401,2.82,2.87,572293
2009-11-25 05:00:00,3.01,3.01,2.88,2.98,897918
2009-11-27 05:00:00,2.76,2.91,2.76,2.82,723066
2009-11-30 05:00:00,2.82,2.88,2.81,2.82,857886
2009-12-01 05:00:00,2.88,2.91,2.81,2.89,2072096
2009-12-02 05:00:00,2.95,3.1,2.9,3.09,2149064
2009-12-03 05:00:00,3.1,3.1,2.94,2.96,1420002
2009-12-04 05:00:00,2.91,2.94,2.73,2.82,1523921
2009-12-07 05:00:00,2.73,2.8,2.65,2.71,1254944
2009-12-08 05:00:00,2.73,2.74,2.63,2.64,823653
2009-12-09 05:00:00,2.65,2.8,2.63,2.74,818891
2009-12-10 05:00:00,2.75,2.79,2.65,2.68,717562
2009-12-11 05:00:00,2.66,2.69,2.55,2.58,1187173
2009-12-14 05:00:00,2.54,2.71,2.5,2.51,1382773
2009-12-15 05:00:00,2.5,2.56,2.45,2.47,920114
2009-12-16 05:00:00,2.49,2.51,2.44,2.4699,584451
2009-12-17 05:00:00,2.42,2.46,2.24,2.27,1459138
2009-12-18 05:00:00,2.17,2.36,2.17,2.32,1180547
2009-12-21 05:00:00,2.35,2.44,2.26,2.26,1047202
2009-12-22 05:00:00,2.26,2.3,2.22,2.3,820133
2009-12-23 05:00:00,2.29,2.59,2.29,2.56,1155838
