Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,34.0,34.0,32.3,33.81,1131670
2009-05-19 04:00:00,33.8,33.88,33.0,33.43,708083
2009-05-20 04:00:00,33.5,34.03,33.0,33.14,778401
2009-05-21 04:00:00,32.65,32.85,32.0,32.38,681717
2009-05-22 04:00:00,32.55,32.94,31.96,32.01,714977
2009-05-26 04:00:00,32.21,32.95,32.05,32.88,546029
2009-05-27 04:00:00,32.93,33.56,32.16,32.53,929672
2009-05-28 04:00:00,32.91,33.24,32.12,32.91,919598
2009-05-29 04:00:00,33.19,33.6,33.01,33.57,759063
2009-06-01 04:00:00,33.87,34.68,33.7,34.45,952960
2009-06-02 04:00:00,34.45,34.45,33.57,33.76,539975
2009-06-03 04:00:00,33.58,33.62,32.61,33.0,618808
2009-06-04 04:00:00,33.27,33.64,32.6701,33.18,496670
2009-06-05 04:00:00,33.36,33.53,32.66,32.81,323189
2009-06-08 04:00:00,32.66,32.9,32.2,32.64,432608
2009-06-09 04:00:00,33.58,33.75,32.73,33.58,565813
2009-06-10 04:00:00,34.14,34.6,33.35,34.06,818925
2009-06-11 04:00:00,34.28,34.39,33.6,33.65,444100
2009-06-12 04:00:00,33.4,33.57,32.9,33.3,355165
2009-06-15 04:00:00,33.09,33.09,32.12,32.42,565684
2009-06-16 04:00:00,32.51,32.59,32.0,32.03,525472
2009-06-17 04:00:00,32.09,32.43,31.3,31.96,616391
2009-06-18 04:00:00,32.05,32.48,31.5,32.39,399881
2009-06-19 04:00:00,32.77,33.01,31.8,32.12,435319
2009-06-22 04:00:00,32.19,32.19,31.12,31.22,579599
2009-06-23 04:00:00,31.31,31.4,30.02,30.72,879877
2009-06-24 04:00:00,31.0,31.76,30.78,31.25,488275
2009-06-25 04:00:00,31.16,32.0,31.0,32.0,335610
2009-06-26 04:00:00,31.92,32.24,31.27,31.97,373533
2009-06-29 04:00:00,32.34,32.35,31.43,31.96,491501
2009-06-30 04:00:00,31.92,32.2,31.52,31.84,295482
2009-07-01 04:00:00,31.93,32.32,31.64,31.86,258424
2009-07-02 04:00:00,31.62,31.62,31.12,31.32,341379
2009-07-06 04:00:00,31.0,31.1,30.16,30.71,583654
