Date,Open,High,Low,Close,Volume
2019-10-31 04:00:00,4.33,4.34,4.31,4.315,3949158
2019-11-01 04:00:00,4.37,4.46,4.24,4.43,2886344
2019-11-04 05:00:00,4.42,4.78,4.33,4.68,5644601
2019-11-05 05:00:00,4.78,4.78,4.48,4.52,2200731
2019-11-06 05:00:00,4.52,4.55,4.05,4.07,3324716
2019-11-07 05:00:00,4.81,5.7,4.81,5.16,5532822
2019-11-08 05:00:00,5.31,5.465,5.12,5.37,2658977
2019-11-11 05:00:00,5.31,5.39,5.04,5.31,1961715
2019-11-12 05:00:00,5.31,5.31,5.09,5.165,1293298
2019-11-13 05:00:00,5.18,5.18,4.81,4.83,1975489
2019-11-14 05:00:00,4.84,5.01,4.75,4.76,1222600
2019-11-15 05:00:00,4.84,5.025,4.83,4.91,1179356
2019-11-18 05:00:00,4.88,4.88,4.59,4.74,1379143
2019-11-19 05:00:00,4.75,4.75,4.48,4.66,1081600
2019-11-20 05:00:00,4.7,4.75,4.42,4.58,1443000
2019-11-21 05:00:00,4.59,4.66,4.45,4.6,801024
2019-11-22 05:00:00,4.62,4.72,4.545,4.67,657552
2019-11-25 05:00:00,4.68,4.89,4.65,4.84,1633664
2019-11-26 05:00:00,4.82,4.85,4.64,4.73,738093
2019-11-27 05:00:00,4.78,4.97,4.72,4.94,786731
2019-11-29 05:00:00,4.85,4.915,4.74,4.8,314475
2019-12-02 05:00:00,5.0,5.18,4.9,5.09,1848189
2019-12-03 05:00:00,4.99,5.14,4.94,5.08,1949144
2019-12-04 05:00:00,5.21,5.32,5.09,5.275,1387150
2019-12-05 05:00:00,5.34,5.34,5.04,5.15,1667850
2019-12-06 05:00:00,5.2,5.55,5.11,5.5,1956310
2019-12-09 05:00:00,5.42,5.62,5.4,5.59,1644361
2019-12-10 05:00:00,5.62,5.8,5.45,5.68,1908673
2019-12-11 05:00:00,5.8,6.095,5.6,5.91,1700522
2019-12-12 05:00:00,5.99,6.32,5.99,6.27,1688762
2019-12-13 05:00:00,6.25,6.38,6.15,6.38,1861698
2019-12-16 05:00:00,6.42,6.76,6.37,6.65,1905546
2019-12-17 05:00:00,6.86,6.86,6.63,6.78,2396872
2019-12-18 05:00:00,6.75,6.9076,6.67,6.74,1173996
2019-12-19 05:00:00,6.74,6.89,6.7,6.74,1328689
2019-12-20 05:00:00,6.8,6.85,6.52,6.67,1439429
2019-12-23 05:00:00,6.69,6.93,6.54,6.91,940661
2019-12-24 05:00:00,6.93,6.99,6.85,6.89,313341
2019-12-26 05:00:00,6.97,6.97,6.77,6.82,597624
2019-12-27 05:00:00,6.84,6.84,6.51,6.53,1164548
2019-12-30 05:00:00,6.56,6.7,6.46,6.7,1159649
2019-12-31 05:00:00,6.63,6.83,6.53,6.7,1193309
2020-01-02 05:00:00,6.75,6.7598,6.38,6.51,1360644
2020-01-03 05:00:00,6.71,6.78,6.505,6.73,1220037
2020-01-06 05:00:00,6.87,7.14,6.82,7.01,2009182
2020-01-07 05:00:00,7.03,7.03,6.75,6.87,1093325
2020-01-08 05:00:00,6.9,6.9399,6.28,6.47,1550601
2020-01-09 05:00:00,6.56,6.64,6.42,6.59,935519
2020-01-10 05:00:00,6.52,6.685,6.4,6.61,1252658
2020-01-13 05:00:00,6.61,6.625,6.42,6.43,983312
2020-01-14 05:00:00,6.37,6.46,6.18,6.42,1074737
2020-01-15 05:00:00,6.32,6.555,6.32,6.44,1763730
2020-01-16 05:00:00,6.61,6.96,6.59,6.82,2180676
2020-01-17 05:00:00,6.87,6.94,6.76,6.78,1635688
2020-01-21 05:00:00,6.76,6.76,6.22,6.24,4592444
2020-01-22 05:00:00,6.19,6.285,5.91,6.16,4562671
2020-01-23 05:00:00,6.05,6.16,5.78,5.87,3723044
2020-01-24 05:00:00,5.82,5.84,5.41,5.45,2777566
2020-01-27 05:00:00,5.25,5.32,5.13,5.18,1439603
2020-01-28 05:00:00,5.23,5.39,5.1,5.33,1374251
2020-01-29 05:00:00,5.4,5.57,5.3,5.31,1085363
2020-01-30 05:00:00,5.19,5.4,5.13,5.38,950623
2020-01-31 05:00:00,5.26,5.28,5.05,5.14,1164531
2020-02-03 05:00:00,5.19,5.19,4.82,4.85,1152235
2020-02-04 05:00:00,5.0,5.24,5.0,5.19,1474172
2020-02-05 05:00:00,5.3,5.78,5.3,5.74,1826582
2020-02-06 05:00:00,5.73,5.74,5.16,5.185,1599637
2020-02-07 05:00:00,5.11,5.37,5.04,5.21,1664189
2020-02-10 05:00:00,5.12,5.13,5.02,5.05,1616584
2020-02-11 05:00:00,5.17,5.27,5.06,5.19,1946048
2020-02-12 05:00:00,5.35,5.47,5.125,5.33,1733864
2020-02-13 05:00:00,5.27,5.45,5.27,5.35,1098717
2020-02-14 05:00:00,5.38,5.49,5.265,5.46,905535
2020-02-18 05:00:00,5.36,5.44,5.25,5.36,814981
2020-02-19 05:00:00,5.42,5.73,5.37,5.66,936892
2020-02-20 05:00:00,5.67,5.81,5.61,5.74,1007196
2020-02-21 05:00:00,5.66,5.66,5.36,5.51,1094853
2020-02-24 05:00:00,5.29,5.36,5.14,5.18,1159827
2020-02-25 05:00:00,5.2,5.2,4.94,5.12,1934051
2020-02-26 05:00:00,5.14,5.155,4.81,4.89,1467165
2020-02-27 05:00:00,4.72,4.8,4.38,4.66,1167924
2020-02-28 05:00:00,4.51,4.66,4.445,4.64,1354864
2020-03-02 05:00:00,4.68,4.735,4.305,4.52,1711273
