Date,Open,High,Low,Close,Volume
2009-03-09 04:00:00,9.03,9.03,9.03,9.03,15912
2009-03-10 04:00:00,9.0,9.06,9.0,9.06,26000
2009-03-11 04:00:00,9.05,9.06,9.02,9.06,4000
2009-03-12 04:00:00,9.06,9.06,9.0599,9.06,10300
2009-03-13 04:00:00,9.06,9.06,9.06,9.06,5257
2009-03-16 04:00:00,9.06,9.06,9.03,9.06,19400
2009-03-17 04:00:00,9.06,9.06,9.03,9.03,177700
2009-03-18 04:00:00,9.06,9.06,9.06,9.06,1500
2009-03-19 04:00:00,9.06,9.06,9.03,9.03,300
2009-03-20 04:00:00,9.05,9.07,9.05,9.07,202000
2009-03-23 04:00:00,9.09,9.09,9.02,9.02,69600
2009-03-24 04:00:00,9.0,9.02,8.97,9.02,32500
2009-03-25 04:00:00,9.03,9.03,8.99,8.99,24500
2009-03-26 04:00:00,9.01,9.04,8.99,9.02,110900
2009-03-30 04:00:00,9.04,9.04,9.02,9.02,1700
2009-04-01 04:00:00,9.03,9.04,9.02,9.03,426600
2009-04-02 04:00:00,9.03,9.05,9.03,9.05,159118
2009-04-03 04:00:00,9.05,9.07,9.05,9.05,125109
2009-04-06 04:00:00,9.07,9.07,9.07,9.07,200
2009-04-07 04:00:00,9.08,9.1,9.05,9.08,140400
2009-04-08 04:00:00,9.08,9.08,9.08,9.08,6300
2009-04-09 04:00:00,9.07,9.08,9.07,9.07,3600
2009-04-13 04:00:00,9.08,9.08,9.0776,9.08,47500
2009-04-14 04:00:00,9.08,9.08,9.06,9.08,5600
2009-04-15 04:00:00,9.05,9.07,9.05,9.07,6700
2009-04-16 04:00:00,9.07,9.08,9.07,9.08,9100
2009-04-17 04:00:00,9.07,9.11,9.07,9.11,450100
2009-04-20 04:00:00,9.12,9.12,9.07,9.08,10725
2009-04-21 04:00:00,9.08,9.1,9.08,9.09,27800
2009-04-22 04:00:00,9.1,9.1,9.08,9.09,71700
2009-04-23 04:00:00,9.1,9.1,9.1,9.1,210200
2009-04-24 04:00:00,9.32,9.32,9.09,9.18,17175
2009-04-27 04:00:00,9.1001,9.2,9.1,9.2,6700
2009-04-28 04:00:00,9.14,9.14,9.1,9.12,12300
2009-04-29 04:00:00,9.23,9.24,9.17,9.17,3950
2009-05-01 04:00:00,9.2,9.2,9.2,9.2,100
2009-05-08 04:00:00,9.19,9.33,9.16,9.16,16500
2009-05-11 04:00:00,9.19,9.19,9.11,9.16,453000
2009-05-12 04:00:00,9.16,9.2,9.15,9.17,1200
2009-05-15 04:00:00,9.13,9.15,9.13,9.15,900
2009-05-18 04:00:00,9.31,9.31,9.26,9.26,800
