Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,5.0,5.42,4.94,5.36,835897
2009-05-19 04:00:00,5.43,5.43,5.11,5.12,594936
2009-05-20 04:00:00,5.23,5.44,5.11,5.3,1175864
2009-05-21 04:00:00,5.16,5.35,4.92,5.14,992483
2009-05-22 04:00:00,5.16,5.32,5.07,5.19,764674
2009-05-26 04:00:00,5.24,6.0,5.13,5.76,992609
2009-05-27 04:00:00,5.71,5.74,5.46,5.51,959161
2009-05-28 04:00:00,5.53,5.53,5.3,5.49,715545
2009-05-29 04:00:00,5.49,5.69,5.46,5.59,794180
2009-06-01 04:00:00,5.96,6.08,5.63,5.9,875367
2009-06-02 04:00:00,5.88,5.9,5.63,5.81,500568
2009-06-03 04:00:00,5.79,5.82,5.56,5.72,290758
2009-06-04 04:00:00,5.81,6.1,5.65,6.04,486081
2009-06-05 04:00:00,6.1,6.4,6.04,6.18,931770
2009-06-08 04:00:00,6.37,6.37,5.76,5.95,516779
2009-06-09 04:00:00,6.01,6.15,5.5,5.81,849622
2009-06-10 04:00:00,5.85,5.93,5.55,5.68,520751
2009-06-11 04:00:00,5.64,5.7998,5.49,5.53,335202
2009-06-12 04:00:00,5.5,5.8,5.5,5.77,277038
2009-06-15 04:00:00,5.62,5.9,5.24,5.27,682941
2009-06-16 04:00:00,5.5,5.61,5.0,5.12,521622
2009-06-17 04:00:00,5.11,5.27,4.9,4.95,428115
2009-06-18 04:00:00,4.96,5.06,4.76,4.85,382159
2009-06-19 04:00:00,4.98,5.55,4.75,5.23,910658
2009-06-22 04:00:00,5.68,5.73,4.95,5.08,560010
2009-06-23 04:00:00,5.35,5.35,4.95,5.0,380151
2009-06-24 04:00:00,5.03,5.16,4.89,4.92,297328
2009-06-25 04:00:00,4.86,5.1,4.83,5.04,257320
2009-06-26 04:00:00,5.01,5.49,4.96,5.33,498941
2009-06-29 04:00:00,4.94,5.11,4.87,5.02,1120621
2009-06-30 04:00:00,5.11,5.22,4.96,4.96,1007668
2009-07-01 04:00:00,5.09,5.14,4.94,4.95,1544027
2009-07-02 04:00:00,4.96,4.99,4.58,4.6,749648
2009-07-06 04:00:00,4.67,4.8,4.5,4.68,543751
2009-07-07 04:00:00,4.75,4.8,4.41,4.46,471246
2009-07-08 04:00:00,4.52,4.52,4.0,4.09,801913
2009-07-09 04:00:00,4.175,4.175,3.87,3.97,649534
2009-07-10 04:00:00,3.99,4.14,3.91,4.0,369136
2009-07-13 04:00:00,4.1,4.47,4.02,4.39,488788
2009-07-14 04:00:00,4.45,4.52,4.19,4.35,343792
2009-07-15 04:00:00,4.5,4.85,4.36,4.63,592857
2009-07-16 04:00:00,4.62,4.75,4.44,4.64,287656
2009-07-17 04:00:00,4.63,4.69,4.25,4.33,473913
2009-07-20 04:00:00,4.39,4.54,4.3566,4.48,382825
2009-07-21 04:00:00,4.56,4.62,4.46,4.49,286556
2009-07-22 04:00:00,4.49,4.7,4.38,4.69,383788
2009-07-23 04:00:00,4.7,5.26,4.63,5.13,630559
2009-07-24 04:00:00,5.01,5.27,4.92,5.24,294453
2009-07-27 04:00:00,5.27,5.48,5.17,5.48,588000
2009-07-28 04:00:00,5.45,5.48,5.09,5.24,471452
2009-07-29 04:00:00,5.19,5.4,5.05,5.09,759379
2009-07-30 04:00:00,5.19,5.44,5.09,5.21,530913
2009-07-31 04:00:00,5.19,5.34,5.12,5.27,231195
2009-08-03 04:00:00,5.37,5.52,5.3,5.44,449375
2009-08-04 04:00:00,5.42,5.81,5.3301,5.78,671105
2009-08-05 04:00:00,5.77,6.01,5.633,5.99,563433
2009-08-06 04:00:00,6.0,6.5,5.97,6.02,1055369
2009-08-07 04:00:00,6.2,7.13,6.15,6.54,1409441
2009-08-10 04:00:00,6.5,6.5,6.14,6.31,528530
2009-08-11 04:00:00,6.22,6.29,5.86,5.88,384412
2009-08-12 04:00:00,5.98,6.29,5.86,6.15,368762
2009-08-13 04:00:00,6.2,6.34,6.0999,6.32,864415
2009-08-14 04:00:00,6.25,6.3,5.96,6.29,365597
2009-08-17 04:00:00,6.02,6.1,5.8,5.88,360482
2009-08-18 04:00:00,5.97,6.16,5.89,6.03,267351
2009-08-19 04:00:00,5.95,6.2101,5.8,6.19,372900
2009-08-20 04:00:00,6.23,6.37,6.19,6.35,469362
2009-08-21 04:00:00,6.37,6.58,6.31,6.4,509478
2009-08-24 04:00:00,6.4,6.98,6.4,6.6,702778
2009-08-25 04:00:00,6.7,6.98,6.7,6.83,499729
2009-08-26 04:00:00,6.91,7.07,6.71,6.94,559423
2009-08-27 04:00:00,7.05,7.07,6.87,7.0,620521
2009-08-28 04:00:00,6.94,6.98,6.75,6.96,359124
2009-08-31 04:00:00,6.8,6.82,6.55,6.63,443660
2009-09-01 04:00:00,6.64,6.7,6.15,6.21,619351
2009-09-02 04:00:00,6.15,6.25,5.93,5.99,328957
2009-09-03 04:00:00,6.08,6.11,5.81,5.94,424652
2009-09-04 04:00:00,5.92,5.98,5.77,5.92,288864
2009-09-08 04:00:00,5.96,6.05,5.9,6.02,387047
2009-09-09 04:00:00,6.0,6.44,6.0,6.36,316142
2009-09-10 04:00:00,6.36,6.73,6.27,6.7,347531
