Date,Open,High,Low,Close,Volume
2009-05-13 04:00:00,9.12,9.3,9.09,9.185,28386
2009-05-14 04:00:00,9.19,9.865,9.19,9.79,46700
2009-05-15 04:00:00,9.85,9.975,9.515,9.775,69420
2009-05-18 04:00:00,9.97,10.195,9.66,10.17,44308
2009-05-19 04:00:00,10.15,10.15,9.48,9.5,34004
2009-05-20 04:00:00,9.625,10.25,9.625,9.805,49020
2009-05-21 04:00:00,9.37,9.715,9.18,9.685,58422
2009-05-22 04:00:00,9.76,9.9,9.315,9.335,42824
2009-05-26 04:00:00,9.225,10.055,9.225,9.985,41660
2009-05-27 04:00:00,9.95,9.975,9.57,9.57,19922
2009-05-28 04:00:00,9.7,10.45,9.32,10.4,32702
2009-05-29 04:00:00,10.255,10.405,9.555,9.91,42368
2009-06-01 04:00:00,10.135,11.555,10.135,11.47,53154
2009-06-02 04:00:00,11.38,12.31,10.635,11.335,133034
2009-06-03 04:00:00,11.17,11.265,10.35,10.845,56944
2009-06-04 04:00:00,10.885,11.715,10.7,11.03,66622
2009-06-05 04:00:00,10.99,11.2,10.65,10.985,34606
2009-06-08 04:00:00,11.0,11.37,10.53,11.2,27672
2009-06-09 04:00:00,11.425,11.6,11.135,11.55,18426
2009-06-10 04:00:00,11.605,11.69,10.585,11.04,43334
2009-06-11 04:00:00,11.005,12.07,11.005,11.91,54190
2009-06-12 04:00:00,11.735,11.97,11.525,11.915,18856
2009-06-15 04:00:00,11.87,11.995,11.45,11.705,42368
2009-06-16 04:00:00,11.905,11.95,11.2,11.24,26128
2009-06-17 04:00:00,11.245,11.835,11.18,11.725,30170
2009-06-18 04:00:00,11.46,12.0,11.46,11.89,29518
2009-06-19 04:00:00,12.0,12.0,11.605,11.695,54656
2009-06-22 04:00:00,11.685,11.685,10.315,10.36,38228
2009-06-23 04:00:00,10.29,10.675,10.25,10.415,24148
2009-06-24 04:00:00,10.545,10.545,9.415,9.49,45320
2009-06-25 04:00:00,9.45,10.67,9.25,10.635,67212
2009-06-26 04:00:00,10.59,10.59,9.605,10.105,53246
2009-06-29 04:00:00,10.27,10.475,10.04,10.095,14470
2009-06-30 04:00:00,10.37,10.46,9.575,9.815,30164
2009-07-01 04:00:00,9.985,10.075,9.8,9.95,12714
2009-07-02 04:00:00,9.085,9.77,9.085,9.68,31754
2009-07-06 04:00:00,9.465,9.465,9.28,9.425,30900
2009-07-07 04:00:00,9.435,9.575,9.37,9.375,15718
