Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,4.6,4.61,4.4818,4.5,176015
2009-05-18 04:00:00,4.54,4.67,4.52,4.6499,271697
2009-05-19 04:00:00,4.65,4.68,4.6,4.63,280124
2009-05-20 04:00:00,4.59,4.6999,4.59,4.69,232860
2009-05-21 04:00:00,4.63,4.66,4.6,4.62,183402
2009-05-22 04:00:00,4.73,4.77,4.61,4.73,210876
2009-05-26 04:00:00,4.77,4.77,4.68,4.7,176067
2009-05-27 04:00:00,4.74,4.74,4.7,4.71,167709
2009-05-28 04:00:00,4.72,4.8,4.72,4.75,143856
2009-05-29 04:00:00,4.77,4.83,4.75,4.76,181819
2009-06-01 04:00:00,4.84,4.95,4.78,4.88,122913
2009-06-02 04:00:00,4.92,5.04,4.8899,4.99,168858
2009-06-03 04:00:00,4.96,5.08,4.94,4.97,228632
2009-06-04 04:00:00,4.98,5.04,4.97,4.99,198508
2009-06-05 04:00:00,5.04,5.0563,4.95,4.98,143275
2009-06-08 04:00:00,4.93,5.01,4.84,4.84,224453
2009-06-09 04:00:00,4.89,4.92,4.8399,4.88,91892
2009-06-10 04:00:00,4.92,4.92,4.816,4.92,171020
2009-06-11 04:00:00,4.94,5.01,4.92,4.93,232374
2009-06-12 04:00:00,4.88,5.19,4.88,4.98,165696
2009-06-15 04:00:00,5.04,5.04,4.88,4.88,148241
2009-06-16 04:00:00,4.89,4.93,4.84,4.9,144785
2009-06-17 04:00:00,4.99,4.99,4.9,4.9,203316
2009-06-18 04:00:00,4.94,4.99,4.94,4.98,93240
2009-06-19 04:00:00,4.98,5.03,4.94,5.02,134953
2009-06-22 04:00:00,5.02,5.03,4.86,4.9,188698
2009-06-23 04:00:00,4.88,4.91,4.83,4.84,176987
2009-06-24 04:00:00,4.94,4.96,4.9,4.91,189208
2009-06-25 04:00:00,4.96,5.08,4.96,5.07,125708
2009-06-26 04:00:00,5.08,5.1,5.01,5.1,116105
2009-06-29 04:00:00,5.1,5.1,4.96,5.05,159413
2009-06-30 04:00:00,5.03,5.079,4.97,5.04,193975
2009-07-01 04:00:00,5.15,5.15,5.05,5.09,172782
2009-07-02 04:00:00,5.11,5.36,5.09,5.15,123559
2009-07-06 04:00:00,5.09,5.18,5.06,5.1,133044
2009-07-07 04:00:00,5.1,5.18,5.08,5.17,109564
2009-07-08 04:00:00,5.14,5.15,5.06,5.08,117661
2009-07-09 04:00:00,5.13,5.14,5.1,5.13,84700
2009-07-10 04:00:00,5.12,5.15,5.09,5.13,95057
2009-07-13 04:00:00,5.1,5.26,5.1,5.21,136619
2009-07-14 04:00:00,5.24,5.33,5.212,5.294,191174
2009-07-15 04:00:00,5.26,5.38,5.22,5.22,156080
2009-07-16 04:00:00,5.27,5.36,5.236,5.36,140197
2009-07-17 04:00:00,5.36,5.5,5.33,5.45,147092
2009-07-20 04:00:00,5.47,5.52,5.45,5.52,118425
2009-07-21 04:00:00,5.54,5.54,5.16,5.36,286046
2009-07-22 04:00:00,5.35,5.4,5.3351,5.35,82918
2009-07-23 04:00:00,5.4,5.45,5.3,5.42,200593
2009-07-24 04:00:00,5.43,5.57,5.4,5.57,225756
2009-07-27 04:00:00,5.6,5.6,5.48,5.5,128638
