Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,4.63,4.66,4.5401,4.56,300297
2009-05-18 04:00:00,4.58,4.71,4.56,4.63,446120
2009-05-19 04:00:00,4.66,4.69,4.61,4.64,497637
2009-05-20 04:00:00,4.63,4.699,4.62,4.67,362208
2009-05-21 04:00:00,4.6,4.67,4.591,4.636,428199
2009-05-22 04:00:00,4.68,4.74,4.65,4.7101,242329
2009-05-26 04:00:00,4.68,4.75,4.65,4.72,483253
2009-05-27 04:00:00,4.72,4.73,4.699,4.71,241619
2009-05-28 04:00:00,4.74,4.74,4.671,4.71,245374
2009-05-29 04:00:00,4.73,4.75,4.641,4.686,363270
2009-06-01 04:00:00,4.74,4.809,4.73,4.78,417262
2009-06-02 04:00:00,4.79,4.95,4.75,4.86,386933
2009-06-03 04:00:00,4.82,4.92,4.81,4.84,341860
2009-06-04 04:00:00,4.88,4.91,4.84,4.88,380929
2009-06-05 04:00:00,4.9,4.909,4.81,4.87,308053
2009-06-08 04:00:00,4.85,4.86,4.78,4.78,299563
2009-06-09 04:00:00,4.8,4.85,4.77,4.82,185768
2009-06-10 04:00:00,4.85,4.879,4.781,4.85,369717
2009-06-11 04:00:00,4.86,4.889,4.821,4.83,304661
2009-06-12 04:00:00,4.81,4.909,4.81,4.85,304848
2009-06-15 04:00:00,4.82,4.84,4.76,4.8,199266
2009-06-16 04:00:00,4.78,4.82,4.721,4.78,321040
2009-06-17 04:00:00,4.77,4.84,4.7199,4.73,398832
2009-06-18 04:00:00,4.81,4.86,4.78,4.81,273471
2009-06-19 04:00:00,4.85,4.88,4.82,4.87,270631
2009-06-22 04:00:00,4.87,4.87,4.781,4.79,287345
2009-06-23 04:00:00,4.77,4.859,4.76,4.81,303680
2009-06-24 04:00:00,4.86,4.88,4.8,4.85,501354
2009-06-25 04:00:00,4.83,4.9,4.83,4.89,419446
2009-06-26 04:00:00,4.89,4.979,4.87,4.92,300159
2009-06-29 04:00:00,4.97,4.97,4.91,4.94,335608
2009-06-30 04:00:00,4.96,5.0,4.94,4.987,311783
2009-07-01 04:00:00,5.0,5.069,4.98,5.0562,406484
2009-07-02 04:00:00,5.07,5.09,5.03,5.06,215807
2009-07-06 04:00:00,5.09,5.1596,5.05,5.08,299012
2009-07-07 04:00:00,5.06,5.12,5.02,5.03,330146
2009-07-08 04:00:00,5.02,5.0225,4.931,4.95,328198
2009-07-09 04:00:00,4.97,5.01,4.96,5.01,223581
2009-07-10 04:00:00,5.05,5.05,4.95,5.026,177164
2009-07-13 04:00:00,5.0,5.09,4.981,5.08,400088
2009-07-14 04:00:00,5.09,5.17,5.0618,5.139,368706
2009-07-15 04:00:00,5.11,5.209,5.11,5.15,353270
2009-07-16 04:00:00,5.16,5.2,5.16,5.19,198630
2009-07-17 04:00:00,5.19,5.23,5.18,5.2,370328
2009-07-20 04:00:00,5.22,5.25,5.2,5.25,416342
2009-07-21 04:00:00,5.25,5.28,5.19,5.27,520446
2009-07-22 04:00:00,5.22,5.25,5.2,5.21,298596
2009-07-23 04:00:00,5.231,5.26,5.22,5.24,776236
2009-07-24 04:00:00,5.22,5.27,5.22,5.27,425904
2009-07-27 04:00:00,5.27,5.32,5.26,5.29,332630
2009-07-28 04:00:00,5.25,5.3,5.23,5.3,404887
2009-07-29 04:00:00,5.28,5.32,5.22,5.22,364573
2009-07-30 04:00:00,5.3,5.32,5.23,5.25,336003
2009-07-31 04:00:00,5.25,5.37,5.242,5.37,363541
2009-08-03 04:00:00,5.4,5.44,5.38,5.42,360702
2009-08-04 04:00:00,5.43,5.45,5.39,5.45,375941
2009-08-05 04:00:00,5.45,5.5,5.43,5.48,411283
2009-08-06 04:00:00,5.49,5.5,5.43,5.43,304917
2009-08-07 04:00:00,5.47,5.49,5.44,5.45,306013
2009-08-10 04:00:00,5.46,5.466,5.42,5.44,318889
2009-08-11 04:00:00,5.44,5.49,5.42,5.46,240511
2009-08-12 04:00:00,5.48,5.48,5.45,5.48,355769
2009-08-13 04:00:00,5.47,5.5,5.455,5.48,370683
2009-08-14 04:00:00,5.42,5.48,5.41,5.43,401254
2009-08-17 04:00:00,5.42,5.45,5.33,5.35,421830
2009-08-18 04:00:00,5.37,5.48,5.37,5.42,376326
2009-08-19 04:00:00,5.41,5.48,5.41,5.48,262561
2009-08-20 04:00:00,5.44,5.45,5.41,5.44,346805
2009-08-21 04:00:00,5.43,5.48,5.42,5.47,300733
2009-08-24 04:00:00,5.48,5.5,5.43,5.47,572832
2009-08-25 04:00:00,5.48,5.55,5.48,5.521,625318
2009-08-26 04:00:00,5.5,5.58,5.5,5.58,448309
