Date,Open,High,Low,Close,Volume
2017-10-18 04:00:00,34.35,35.45,29.21,29.475,31952748
2017-10-19 04:00:00,29.08,34.91,28.4857,34.811,14841818
2017-10-20 04:00:00,34.77,34.8,32.1,32.97,8772145
2017-10-23 04:00:00,31.89,31.89,26.3,26.52,13150862
2017-10-24 04:00:00,26.62,29.58,26.5,28.41,9967962
2017-10-25 04:00:00,28.74,28.99,26.0,26.31,5699287
2017-10-26 04:00:00,26.66,26.66,22.72,22.82,9728093
2017-10-27 04:00:00,23.9,25.8,23.19,23.26,4998809
2017-10-30 04:00:00,22.8,23.94,22.1,22.1989,2853948
2017-10-31 04:00:00,22.65,25.0,21.9,24.88,4991380
2017-11-01 04:00:00,25.9,28.15,25.76,26.97,7090026
2017-11-02 04:00:00,25.6,26.79,25.03,25.3,2671853
2017-11-03 04:00:00,25.49,26.4,25.0,25.0,1598013
2017-11-06 05:00:00,25.9,27.5,25.6001,27.03,2750085
2017-11-07 05:00:00,27.45,28.0,27.3,27.51,2181247
2017-11-08 05:00:00,27.5,27.59,25.74,26.0,2648788
2017-11-09 05:00:00,25.96,26.1,24.56,25.48,3145592
2017-11-10 05:00:00,26.26,27.6,26.01,27.5,3029454
2017-11-13 05:00:00,28.75,29.3,26.5,27.23,7400866
2017-11-14 05:00:00,27.29,27.92,25.11,25.12,3329026
2017-11-15 05:00:00,24.92,26.1191,24.8,24.98,3127808
2017-11-16 05:00:00,25.48,25.81,23.0,23.22,5349502
2017-11-17 05:00:00,23.63,23.63,21.15,21.1862,6930525
2017-11-20 05:00:00,21.16,21.47,19.66,20.07,9131174
2017-11-21 05:00:00,16.99,19.42,16.0,19.32,25325337
2017-11-22 05:00:00,19.08,19.11,16.1,16.2498,16409412
2017-11-24 05:00:00,14.41,14.54,12.03,12.22,22778102
2017-11-27 05:00:00,12.99,14.78,12.99,13.5,17128223
2017-11-28 05:00:00,14.2,14.6,13.4,13.76,7486531
2017-11-29 05:00:00,14.28,14.47,13.04,14.115,7183220
2017-11-30 05:00:00,14.25,14.72,13.6,13.6,4710019
2017-12-01 05:00:00,13.04,14.72,12.9,13.721,11103099
2017-12-04 05:00:00,14.23,14.59,12.2,12.45,8213305
2017-12-05 05:00:00,12.83,12.86,11.5,11.85,9277689
2017-12-06 05:00:00,11.64,12.38,11.33,11.48,6329264
2017-12-07 05:00:00,11.5,11.97,11.48,11.825,2660461
2017-12-08 05:00:00,12.11,13.85,12.0601,13.6,9357882
2017-12-11 05:00:00,13.53,14.8,13.53,14.05,7042061
2017-12-12 05:00:00,14.24,14.87,13.0,13.22,5787817
2017-12-13 05:00:00,13.31,14.6,13.29,14.0,6371360
2017-12-14 05:00:00,14.01,14.01,12.56,12.68,5132561
2017-12-15 05:00:00,13.14,13.4,12.75,12.95,2287519
2017-12-18 05:00:00,13.12,13.62,13.06,13.27,1923944
2017-12-19 05:00:00,13.27,13.6,12.73,12.89,3239199
2017-12-20 05:00:00,12.92,13.05,11.98,12.43,3505886
2017-12-21 05:00:00,12.42,12.8,12.1767,12.55,2034103
