Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,39.0,40.31,38.94,40.23,376171
2009-05-19 04:00:00,40.95,40.95,39.82,40.46,189646
2009-05-20 04:00:00,41.58,41.58,40.41,40.6,312389
2009-05-21 04:00:00,39.77,40.33,38.9,39.41,131388
2009-05-22 04:00:00,39.48,40.08,39.01,39.99,163221
2009-05-26 04:00:00,39.64,40.95,38.53,40.88,212230
2009-05-27 04:00:00,40.8,41.51,40.03,40.16,143972
2009-05-28 04:00:00,40.42,41.28,40.36,41.26,139534
2009-05-29 04:00:00,42.07,42.13,41.18,41.39,238008
2009-06-01 04:00:00,42.08,42.59,41.74,42.45,259769
2009-06-02 04:00:00,42.45,43.3,42.23,42.38,235483
2009-06-03 04:00:00,42.26,42.55,40.94,41.75,429518
2009-06-04 04:00:00,41.83,42.15,41.38,41.95,288821
2009-06-05 04:00:00,42.52,42.84,41.26,41.95,214618
2009-06-08 04:00:00,41.38,42.83,41.375,42.72,319801
2009-06-09 04:00:00,42.68,43.45,42.68,43.34,198862
2009-06-10 04:00:00,43.62,43.62,42.42,43.24,158666
2009-06-11 04:00:00,42.97,44.64,42.97,44.18,254086
2009-06-12 04:00:00,43.9,44.39,43.59,44.26,199083
2009-06-15 04:00:00,43.01,44.36,42.71,44.16,295424
2009-06-16 04:00:00,44.2,45.07,43.39,43.74,203647
2009-06-17 04:00:00,43.28,44.0777,43.07,43.66,332153
2009-06-18 04:00:00,43.69,44.3,43.51,44.11,170606
2009-06-19 04:00:00,44.29,44.76,44.07,44.13,283255
2009-06-22 04:00:00,43.68,44.2,43.68,44.0,339724
2009-06-23 04:00:00,44.02,44.41,42.62,43.43,534892
2009-06-24 04:00:00,43.89,44.86,43.53,44.78,319298
2009-06-25 04:00:00,43.92,45.46,43.92,45.43,219065
2009-06-26 04:00:00,45.12,45.9,44.99,45.82,111070
2009-06-29 04:00:00,45.99,45.99,44.9178,45.64,141667
2009-06-30 04:00:00,45.72,46.77,45.51,46.6,234505
