Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,4.9,6.05,4.9,5.68,209361
2009-05-15 04:00:00,5.78,6.3,5.78,6.11,239805
2009-05-18 04:00:00,6.105,6.35,6.08,6.34,102398
2009-05-19 04:00:00,6.4,7.54,6.4,7.5299,410734
2009-05-20 04:00:00,7.85,8.7,7.6,7.72,545428
2009-05-21 04:00:00,7.69,7.69,7.01,7.1,372606
2009-05-22 04:00:00,8.01,8.4,7.44,7.6,486587
2009-05-26 04:00:00,7.6,7.63,7.11,7.5,256234
2009-05-27 04:00:00,7.6,7.62,7.05,7.13,286263
2009-05-28 04:00:00,7.37,7.5,6.5,6.82,419821
2009-05-29 04:00:00,7.12,7.4,7.01,7.37,408223
2009-06-01 04:00:00,7.6,8.13,7.6,7.91,349251
2009-06-02 04:00:00,8.05,8.17,7.8,7.82,151331
2009-06-03 04:00:00,7.73,7.73,7.18,7.53,179279
2009-06-04 04:00:00,7.6,7.62,7.15,7.21,254404
2009-06-05 04:00:00,7.27,7.55,7.01,7.19,230161
2009-06-08 04:00:00,7.0,7.16,6.7,6.97,245347
2009-06-09 04:00:00,7.15,7.25,7.0,7.13,203270
2009-06-10 04:00:00,7.3,7.33,7.04,7.13,105656
2009-06-11 04:00:00,7.23,7.23,6.87,7.02,168506
2009-06-12 04:00:00,7.05,7.07,6.75,6.81,164342
2009-06-15 04:00:00,6.86,6.86,6.38,6.51,204470
2009-06-16 04:00:00,6.51,6.75,6.26,6.4,254088
2009-06-17 04:00:00,6.53,6.69,5.9101,6.47,212927
2009-06-18 04:00:00,6.53,6.72,6.28,6.58,237102
2009-06-19 04:00:00,6.63,6.98,6.58,6.6,291801
2009-06-22 04:00:00,6.51,6.54,5.99,6.0,191765
2009-06-23 04:00:00,6.09,6.34,5.96,6.02,146708
2009-06-24 04:00:00,6.2,6.67,6.06,6.44,153439
2009-06-25 04:00:00,6.44,6.668,6.33,6.52,143476
2009-06-26 04:00:00,6.6,6.79,6.42,6.73,187495
2009-06-29 04:00:00,6.87,6.98,6.53,6.85,142976
2009-06-30 04:00:00,7.07,7.07,6.35,6.5673,186598
2009-07-01 04:00:00,6.72,6.85,6.5305,6.54,105477
2009-07-02 04:00:00,6.61,6.61,6.29,6.5,127573
2009-07-06 04:00:00,6.36,6.61,6.05,6.32,140698
2009-07-07 04:00:00,6.25,6.6,6.08,6.14,159851
2009-07-08 04:00:00,6.19,6.21,5.84,6.04,212421
2009-07-09 04:00:00,6.09,6.43,5.97,6.3,129958
2009-07-10 04:00:00,6.2,6.4,6.11,6.33,47999
2009-07-13 04:00:00,6.35,6.44,6.06,6.34,71267
2009-07-14 04:00:00,6.48,6.79,6.38,6.76,73772
2009-07-15 04:00:00,6.79,7.29,6.79,7.2,242044
2009-07-16 04:00:00,7.24,7.4,7.04,7.28,134769
2009-07-17 04:00:00,7.3,7.62,6.995,7.39,128667
2009-07-20 04:00:00,7.52,7.677,7.35,7.64,158943
2009-07-21 04:00:00,7.69,7.8,7.29,7.72,130685
2009-07-22 04:00:00,7.71,7.71,7.37,7.5,143851
2009-07-23 04:00:00,7.5,7.7,7.49,7.61,132984
2009-07-24 04:00:00,7.61,8.0,7.26,7.95,152390
2009-07-27 04:00:00,8.0,8.31,7.99,8.24,164250
2009-07-28 04:00:00,8.07,8.4481,8.0,8.28,101415
2009-07-29 04:00:00,8.24,8.24,7.63,7.91,156392
2009-07-30 04:00:00,8.12,8.25,8.0,8.068,170494
2009-07-31 04:00:00,8.15,8.32,8.03,8.25,82533
2009-08-03 04:00:00,8.42,8.67,8.31,8.63,135276
2009-08-04 04:00:00,8.62,8.74,8.48,8.58,87733
2009-08-05 04:00:00,8.55,8.72,8.32,8.48,96223
2009-08-06 04:00:00,8.48,8.6199,7.63,7.96,161560
2009-08-07 04:00:00,8.11,8.2,7.92,8.01,65090
2009-08-10 04:00:00,8.1,8.15,7.94,8.09,65862
2009-08-11 04:00:00,8.12,8.21,7.88,7.96,65285
2009-08-12 04:00:00,7.98,8.1,7.88,7.93,46380
2009-08-13 04:00:00,7.99,8.25,7.95,8.21,80587
2009-08-14 04:00:00,8.28,8.5,8.21,8.44,87287
2009-08-17 04:00:00,8.29,8.29,7.82,7.96,89600
2009-08-18 04:00:00,8.07,8.29,8.0408,8.1,62982
2009-08-19 04:00:00,8.17,8.17,7.77,7.93,61043
2009-08-20 04:00:00,7.84,7.99,7.84,7.91,69191
2009-08-21 04:00:00,8.02,8.05,7.65,7.8432,94342
2009-08-24 04:00:00,7.85,7.94,7.69,7.74,70271
2009-08-25 04:00:00,7.79,7.89,7.67,7.78,44361
2009-08-26 04:00:00,7.71,7.8,7.65,7.8,48007
2009-08-27 04:00:00,7.9,7.95,7.6,7.86,191586
2009-08-28 04:00:00,7.97,7.97,7.62,7.6999,182256
2009-08-31 04:00:00,7.7,7.7,7.27,7.33,105736
2009-09-01 04:00:00,7.29,7.6599,6.87,6.88,164289
2009-09-02 04:00:00,6.87,6.92,6.616,6.77,101439
