Date,Open,High,Low,Close,Volume
2008-08-15 04:00:00,33.0,34.65,31.56,34.12,3202544
2008-08-18 04:00:00,34.65,35.06,29.6,31.13,5933211
2008-08-19 04:00:00,31.15,33.0,30.95,32.6,3509741
2008-08-20 04:00:00,33.81,34.94,32.34,34.19,2779842
2008-08-21 04:00:00,35.2,35.97,34.38,35.2,2759208
2008-08-22 04:00:00,34.58,35.11,33.59,34.5,2104307
2008-08-25 04:00:00,35.25,35.25,33.68,34.6,1129539
2008-08-26 04:00:00,35.31,37.0,34.57,36.23,2584692
2008-08-27 04:00:00,36.73,37.67,36.35,36.99,1994964
2008-08-28 04:00:00,36.84,37.83,34.15,35.71,2069640
2008-08-29 04:00:00,35.7,36.81,34.86,35.0,1552193
2008-09-02 04:00:00,33.21,33.66,31.07,31.86,2975580
2008-09-03 04:00:00,31.98,32.56,27.75,29.44,7241551
2008-09-04 04:00:00,29.9,29.9,27.3,27.48,5154969
2008-09-05 04:00:00,27.6,29.75,26.06,29.6,5397282
2008-09-08 04:00:00,29.89,30.37,26.8,27.34,2453665
2008-09-09 04:00:00,26.51,26.58,22.73,23.57,5792217
2008-09-10 04:00:00,23.98,25.4,22.95,24.75,3454182
2008-09-11 04:00:00,25.21,26.31,23.09,24.85,2246363
2008-09-12 04:00:00,25.16,26.4,24.94,25.27,1631627
2008-09-15 04:00:00,24.43,24.94,21.28,22.02,2681778
2008-09-16 04:00:00,21.81,22.08,19.9,21.47,3240144
2008-09-17 04:00:00,21.55,23.19,20.07,21.76,4146459
2008-09-18 04:00:00,23.22,24.43,22.06,23.25,3153443
2008-09-19 04:00:00,24.79,28.28,24.5,25.35,3137469
2008-09-22 04:00:00,26.0,27.28,25.13,26.0,2561176
2008-09-23 04:00:00,25.23,27.18,23.18,24.2,2249376
2008-09-24 04:00:00,24.6,25.4,23.66,23.84,1024638
2008-09-25 04:00:00,23.47,24.57,23.47,24.21,1505119
2008-09-26 04:00:00,22.95,23.31,21.59,22.15,1736257
2008-09-29 04:00:00,21.0,21.02,17.46,18.14,4821396
2008-09-30 04:00:00,18.85,19.94,18.24,19.44,3437466
2008-10-01 04:00:00,19.54,19.54,16.82,17.61,3771698
2008-10-02 04:00:00,17.5,17.53,14.76,15.09,4976699
2008-10-03 04:00:00,15.75,16.93,15.0,15.11,4337088
2008-10-06 04:00:00,14.26,15.04,12.77,14.88,5069625
2008-10-07 04:00:00,15.58,15.58,12.17,12.26,3420748
2008-10-08 04:00:00,12.61,14.94,10.5,13.98,10124606
2008-10-09 04:00:00,14.48,15.12,11.97,12.43,3862256
2008-10-10 04:00:00,11.99,12.1,8.81,11.58,7525852
2008-10-13 04:00:00,13.72,14.87,12.37,14.87,4969194
2008-10-14 04:00:00,15.27,16.17,12.5,13.1,6239288
2008-10-15 04:00:00,12.88,12.88,10.0,10.2,5358374
2008-10-16 04:00:00,10.81,11.65,9.0,10.48,6606750
2008-10-17 04:00:00,10.37,12.39,10.0,11.56,5583369
2008-10-20 04:00:00,12.51,12.82,11.82,12.49,4339719
2008-10-21 04:00:00,11.95,12.68,11.34,12.17,3540841
2008-10-22 04:00:00,11.94,11.94,9.94,10.37,2744608
2008-10-23 04:00:00,10.59,11.31,9.38,10.0,3542346
2008-10-24 04:00:00,9.05,10.02,8.0,9.57,2078207
2008-10-27 04:00:00,10.03,10.26,9.0,9.06,2035020
2008-10-28 04:00:00,9.51,9.87,8.54,9.62,1626918
2008-10-29 04:00:00,9.91,11.27,9.51,10.52,3926549
2008-10-30 04:00:00,11.0,11.27,9.81,10.45,3832431
2008-10-31 04:00:00,10.0,11.42,10.0,10.65,3755804
2008-11-03 05:00:00,10.84,10.84,9.7,9.89,2128598
2008-11-04 05:00:00,10.41,12.0,10.25,11.3,4665336
2008-11-05 05:00:00,10.95,13.23,10.62,12.32,4948203
2008-11-06 05:00:00,11.86,12.3,9.92,10.0,4168472
2008-11-07 05:00:00,11.08,11.23,9.93,10.25,3706446
2008-11-10 05:00:00,11.17,11.29,10.33,10.76,2641203
2008-11-11 05:00:00,10.68,11.01,10.0,10.48,2948433
2008-11-12 05:00:00,9.93,10.59,9.46,9.47,2391862
2008-11-13 05:00:00,9.62,11.51,9.01,11.43,4048159
2008-11-14 05:00:00,10.86,11.43,10.05,10.11,2660639
2008-11-17 05:00:00,10.01,10.7,9.68,10.12,3586239
2008-11-18 05:00:00,10.57,10.57,9.68,10.25,1938311
2008-11-19 05:00:00,10.25,10.25,8.57,8.65,3872001
2008-11-20 05:00:00,8.42,8.5,4.85,5.75,8133507
2008-11-21 05:00:00,6.34,7.86,5.47,7.15,6585792
