Date,Open,High,Low,Close,Volume
2020-07-20 04:00:00,2.75,3.03,2.43,2.45,120905
2020-07-21 04:00:00,2.32,2.44,2.0,2.03,121144
2020-07-22 04:00:00,2.18,2.32,2.11,2.14,59191
2020-07-23 04:00:00,2.0,2.25,2.0,2.17,59358
2020-07-24 04:00:00,2.06,2.185,1.9,1.91,106666
2020-07-27 04:00:00,1.94,2.1,1.91,2.0412,46635
2020-07-28 04:00:00,1.99,2.1939,1.99,2.13,105471
2020-07-29 04:00:00,2.7965,2.87,2.2,2.72,1230530
2020-07-30 04:00:00,2.38,2.752,2.3502,2.74,175598
2020-07-31 04:00:00,2.63,2.6969,2.35,2.4175,116684
2020-08-03 04:00:00,2.33,2.425,2.33,2.425,44284
2020-08-04 04:00:00,2.42,2.42,2.27,2.3101,70546
2020-08-05 04:00:00,2.3,2.3286,2.0,2.06,129944
2020-08-06 04:00:00,2.05,2.28,2.01,2.14,78164
2020-08-07 04:00:00,2.1,2.1839,2.03,2.11,65318
2020-08-10 04:00:00,2.225,2.31,2.09,2.16,24758
2020-08-11 04:00:00,2.14,2.289,2.13,2.25,58342
2020-08-12 04:00:00,2.23,2.23,2.0,2.07,97978
2020-08-13 04:00:00,2.087,2.1653,1.85,1.91,148893
2020-08-14 04:00:00,1.91,2.0206,1.91,2.02,26485
2020-08-17 04:00:00,1.96,2.14,1.95,2.05,132028
2020-08-18 04:00:00,1.97,2.04,1.7905,1.82,138066
2020-08-19 04:00:00,2.12,2.12,1.33,1.6,363656
2020-08-20 04:00:00,1.67,1.99,1.6001,1.86,170036
2020-08-21 04:00:00,1.86,1.88,1.69,1.81,75278
2020-08-24 04:00:00,1.67,1.79,1.66,1.7,42408
2020-08-25 04:00:00,1.75,1.93,1.74,1.93,65910
2020-08-26 04:00:00,1.93,1.9599,1.84,1.86,30534
2020-08-27 04:00:00,1.8,1.885,1.73,1.79,40180
2020-08-28 04:00:00,1.75,1.9296,1.75,1.87,42466
2020-08-31 04:00:00,1.84,2.08,1.8,2.01,130884
2020-09-01 04:00:00,1.95,2.01,1.81,1.8926,116150
2020-09-02 04:00:00,1.84,1.9399,1.84,1.84,15494
2020-09-03 04:00:00,1.78,1.835,1.7,1.7,46408
2020-09-04 04:00:00,1.7,1.745,1.61,1.63,86114
2020-09-08 04:00:00,1.6,1.6,1.45,1.5,81074
2020-09-09 04:00:00,1.8,1.8,1.48,1.55,153646
2020-09-10 04:00:00,1.6481,1.8299,1.58,1.78,92106
2020-09-11 04:00:00,1.71,1.8242,1.71,1.74,39692
2020-09-14 04:00:00,1.68,1.795,1.67,1.79,76666
2020-09-15 04:00:00,1.81,1.81,1.74,1.75,18948
2020-09-16 04:00:00,1.87,1.87,1.75,1.77,13239
2020-09-17 04:00:00,1.7517,1.7517,1.69,1.74,33742
2020-09-18 04:00:00,1.72,1.841,1.6307,1.84,52896
2020-09-21 04:00:00,1.66,1.73,1.6,1.61,39521
2020-09-22 04:00:00,1.61,1.6683,1.56,1.6,31683
2020-09-23 04:00:00,1.65,1.6783,1.55,1.6,33766
2020-09-24 04:00:00,1.6,1.7499,1.53,1.68,44617
2020-09-25 04:00:00,1.62,1.82,1.62,1.77,54221
2020-09-28 04:00:00,1.77,1.9,1.77,1.8962,47772
2020-09-29 04:00:00,2.0,2.2,1.78,1.81,580202
2020-09-30 04:00:00,1.78,1.95,1.6827,1.82,82698
2020-10-01 04:00:00,1.85,1.9523,1.7701,1.9523,84884
2020-10-02 04:00:00,1.9,2.2408,1.83,2.02,364954
2020-10-05 04:00:00,2.1,2.1,1.93,1.97,106260
2020-10-06 04:00:00,1.91,2.0,1.71,1.88,221628
2020-10-07 04:00:00,1.85,2.03,1.85,2.02,141818
2020-10-08 04:00:00,1.9,1.98,1.78,1.89,125332
2020-10-09 04:00:00,2.02,2.02,1.8571,1.94,107992
2020-10-12 04:00:00,1.89,2.11,1.88,2.11,379238
2020-10-13 04:00:00,2.27,2.74,2.23,2.69,11758059
2020-10-14 04:00:00,2.44,2.8,2.33,2.8,1137647
2020-10-15 04:00:00,2.55,2.84,2.46,2.7298,600834
2020-10-16 04:00:00,2.5,2.64,2.09,2.1758,747840
2020-10-19 04:00:00,2.2,2.39,2.0664,2.23,376910
2020-10-20 04:00:00,2.35,2.95,2.265,2.585,2305669
2020-10-21 04:00:00,2.55,2.6799,2.4,2.55,319218
2020-10-22 04:00:00,2.55,2.6299,2.4001,2.495,180210
2020-10-23 04:00:00,2.52,2.6,2.48,2.53,150334
2020-10-26 04:00:00,2.53,2.5499,2.4,2.42,100628
2020-10-27 04:00:00,2.4101,2.4801,2.25,2.25,143150
2020-10-28 04:00:00,2.09,2.1764,1.96,2.0051,206834
2020-10-29 04:00:00,1.98,2.09,1.88,2.03,91145
2020-10-30 04:00:00,1.97,2.02,1.88,1.92,36910
2020-11-02 05:00:00,1.91,2.0,1.9,1.9,34564
2020-11-03 05:00:00,1.9,1.94,1.83,1.83,40447
2020-11-04 05:00:00,1.84,1.9298,1.68,1.71,138856
2020-11-05 05:00:00,1.77,1.8412,1.69,1.72,57254
2020-11-06 05:00:00,1.65,1.7929,1.65,1.75,144210
2020-11-09 05:00:00,1.91,2.095,1.8001,2.02,216403
2020-11-10 05:00:00,1.9907,2.3,1.95,2.19,214586
2020-11-11 05:00:00,2.13,2.1999,2.0268,2.09,74652
2020-11-12 05:00:00,2.1303,2.2,2.055,2.13,59972
2020-11-13 05:00:00,2.08,2.12,2.05,2.0599,89828
2020-11-16 05:00:00,2.15,2.2,2.0814,2.17,118056
2020-11-17 05:00:00,2.13,2.1984,2.06,2.14,83880
2020-11-18 05:00:00,2.14,2.14,2.03,2.06,65710
2020-11-19 05:00:00,2.06,2.08,1.93,1.9957,172752
2020-11-20 05:00:00,1.9575,1.9631,1.88,1.92,170296
2020-11-23 05:00:00,1.93,1.93,1.84,1.9,289732
2020-11-24 05:00:00,1.87,2.15,1.8519,2.07,795940
2020-11-25 05:00:00,2.01,2.15,1.93,2.05,457574
2020-11-27 05:00:00,2.01,2.06,1.98,2.0,125144
2020-11-30 05:00:00,2.06,2.2199,1.99,2.12,187293
2020-12-01 05:00:00,2.11,2.12,1.95,2.0,115839
