Date,Open,High,Low,Close,Volume
2018-03-23 04:00:00,13.1,14.08,10.02,11.07,6674894
2018-03-26 04:00:00,11.31,12.15,10.9,11.0,1673782
2018-03-27 04:00:00,11.15,11.25,10.55,10.67,417306
2018-03-28 04:00:00,10.62,10.62,9.56,9.56,878363
2018-03-29 04:00:00,9.54,9.56,8.25,8.35,1097895
2018-04-02 04:00:00,8.51,8.7,7.1115,7.32,2158844
2018-04-03 04:00:00,8.23,8.39,7.52,8.35,1916789
2018-04-04 04:00:00,8.47,8.47,7.88,8.19,763231
2018-04-05 04:00:00,8.23,8.47,8.0,8.1,353919
2018-04-06 04:00:00,8.08,8.1775,7.9,8.02,131716
2018-04-09 04:00:00,8.0,8.4,7.81,7.97,410995
2018-04-10 04:00:00,7.99,8.2,7.91,7.925,490654
2018-04-11 04:00:00,7.86,8.03,7.7801,7.82,744586
2018-04-12 04:00:00,7.75,7.86,7.33,7.4,271876
2018-04-13 04:00:00,7.21,7.69,7.19,7.31,262034
2018-04-16 04:00:00,7.34,7.44,6.8,7.14,290669
2018-04-17 04:00:00,7.2,7.66,7.07,7.55,499247
2018-04-18 04:00:00,7.82,8.0,7.5,7.98,729523
2018-04-19 04:00:00,7.88,7.89,7.5,7.79,358043
2018-04-20 04:00:00,7.75,8.29,7.75,8.07,320071
2018-04-23 04:00:00,8.07,8.07,7.7,7.85,167517
2018-04-24 04:00:00,7.93,8.08,7.8,7.87,263367
2018-04-25 04:00:00,7.73,8.09,7.73,7.9,611571
2018-04-26 04:00:00,7.9,8.1,7.85,8.02,216677
2018-04-27 04:00:00,7.98,8.1538,7.9641,8.13,34062
2018-04-30 04:00:00,8.27,8.96,8.2264,8.92,417657
2018-05-01 04:00:00,9.0,9.8,9.0,9.75,490529
2018-05-02 04:00:00,9.301,9.66,8.8,9.22,580262
2018-05-03 04:00:00,9.25,9.33,8.5,8.97,353605
2018-05-04 04:00:00,8.97,9.17,8.67,9.15,422896
2018-05-07 04:00:00,9.6,9.98,9.4,9.98,249808
2018-05-08 04:00:00,9.98,10.17,9.61,9.99,194286
2018-05-09 04:00:00,9.93,10.5,9.75,10.5,280531
2018-05-10 04:00:00,10.46,11.33,10.46,10.82,383672
2018-05-11 04:00:00,10.77,11.4,9.801,11.12,165494
2018-05-14 04:00:00,11.11,11.14,9.9,9.92,253536
2018-05-15 04:00:00,10.01,10.39,9.9,10.38,66303
2018-05-16 04:00:00,10.48,10.6,10.0,10.25,224670
2018-05-17 04:00:00,10.21,10.42,9.93,10.28,220311
2018-05-18 04:00:00,10.38,10.38,10.01,10.08,99226
2018-05-21 04:00:00,9.91,10.08,9.147,9.99,114910
2018-05-22 04:00:00,9.99,10.6,9.7,10.52,435063
2018-05-23 04:00:00,10.46,10.46,9.92,10.01,184270
2018-05-24 04:00:00,10.18,10.27,9.615,9.68,198531
2018-05-25 04:00:00,9.72,9.78,9.61,9.7,114346
2018-05-29 04:00:00,9.71,9.71,9.4,9.43,331240
2018-05-30 04:00:00,9.48,9.6,9.273,9.46,360501
2018-05-31 04:00:00,9.39,9.64,9.32,9.57,98573
2018-06-01 04:00:00,9.478,10.5,9.478,10.46,206806
2018-06-04 04:00:00,10.5,10.5,10.08,10.18,33104
2018-06-05 04:00:00,10.1,10.16,9.85,10.0,59508
2018-06-06 04:00:00,9.91,10.38,9.87,10.22,86257
2018-06-07 04:00:00,10.15,10.5,10.04,10.25,99280
2018-06-08 04:00:00,10.19,10.35,9.92,9.99,38423
2018-06-11 04:00:00,10.17,10.5,9.6,9.9,187641
2018-06-12 04:00:00,10.089,10.0899,9.81,9.85,78293
2018-06-13 04:00:00,9.92,9.9344,9.28,9.41,112145
2018-06-14 04:00:00,9.4314,9.74,9.21,9.24,143885
2018-06-15 04:00:00,9.05,9.3,8.91,8.99,116130
2018-06-18 04:00:00,9.1,9.1,8.88,9.0,102816
2018-06-19 04:00:00,8.91,9.87,8.86,9.08,305030
2018-06-20 04:00:00,9.01,9.3,9.01,9.1,21625
2018-06-21 04:00:00,9.13,9.13,8.88,8.95,135891
2018-06-22 04:00:00,9.27,9.27,9.0,9.1,52618
2018-06-25 04:00:00,9.09,9.23,8.82,9.15,135535
2018-06-26 04:00:00,9.08,9.26,8.96,9.13,249682
2018-06-27 04:00:00,9.1,9.32,9.07,9.12,80108
2018-06-28 04:00:00,9.11,9.24,9.05,9.2,29478
2018-06-29 04:00:00,9.1,9.26,8.84,8.95,40305
2018-07-02 04:00:00,8.82,9.04,8.8,8.92,79806
2018-07-03 04:00:00,8.88,8.96,8.61,8.78,65613
2018-07-05 04:00:00,8.66,8.6718,8.21,8.33,114160
2018-07-06 04:00:00,8.26,8.3,7.81,8.15,110003
2018-07-09 04:00:00,8.14,8.16,7.59,8.0,146088
2018-07-10 04:00:00,7.96,8.07,7.63,7.89,83450
2018-07-11 04:00:00,7.84,8.0,7.61,7.67,55842
2018-07-12 04:00:00,7.66,7.97,7.6,7.895,47863
2018-07-13 04:00:00,7.84,8.45,7.8,8.37,94592
2018-07-16 04:00:00,8.44,8.56,8.09,8.51,73077
2018-07-17 04:00:00,8.67,8.805,8.5,8.78,546096
2018-07-18 04:00:00,8.71,8.86,8.1,8.25,119920
2018-07-19 04:00:00,8.15,8.16,7.815,7.85,87734
2018-07-20 04:00:00,7.83,7.93,7.7,7.725,61620
2018-07-23 04:00:00,7.77,7.79,7.33,7.41,99242
2018-07-24 04:00:00,7.41,7.49,7.03,7.135,113711
2018-07-25 04:00:00,7.196,7.21,6.12,6.5,718529
2018-07-26 04:00:00,6.6,6.6,5.95,5.98,442907
2018-07-27 04:00:00,5.99,6.64,5.92,6.37,321556
2018-07-30 04:00:00,6.32,6.38,5.77,5.97,384385
2018-07-31 04:00:00,5.86,6.24,5.79,5.99,135076
2018-08-01 04:00:00,5.96,6.09,5.89,6.06,33788
2018-08-02 04:00:00,5.97,6.39,5.94,6.27,36713
2018-08-03 04:00:00,6.2782,6.31,6.0225,6.195,41665
2018-08-06 04:00:00,6.14,6.15,5.9,6.05,40182
2018-08-07 04:00:00,6.05,6.14,6.01,6.14,32527
2018-08-08 04:00:00,6.11,6.2,6.0,6.11,38804
2018-08-09 04:00:00,6.1678,6.5699,6.07,6.31,68382
2018-08-10 04:00:00,6.35,6.7392,6.33,6.48,287430
2018-08-13 04:00:00,6.3,6.38,6.071,6.2,59132
2018-08-14 04:00:00,6.28,6.2969,5.83,6.06,142234
2018-08-15 04:00:00,5.9765,5.9789,5.6,5.67,69409
2018-08-16 04:00:00,5.81,6.15,5.81,6.1,72292
2018-08-17 04:00:00,6.06,6.06,5.0499,5.11,233269
2018-08-20 04:00:00,5.33,5.57,5.31,5.385,186353
2018-08-21 04:00:00,5.47,5.73,5.2,5.56,194590
2018-08-22 04:00:00,5.7,5.7,5.45,5.6,115798
2018-08-23 04:00:00,5.62,5.77,5.52,5.7,70133
2018-08-24 04:00:00,5.49,5.53,5.07,5.4399,238536
2018-08-27 04:00:00,5.46,7.87,5.21,6.15,992028
2018-08-28 04:00:00,5.99,7.76,5.59,6.21,649300
2018-08-29 04:00:00,6.54,6.6663,6.21,6.47,76585
2018-08-30 04:00:00,6.65,6.65,6.31,6.36,38999
2018-08-31 04:00:00,6.46,6.48,6.25,6.38,45349
2018-09-04 04:00:00,6.32,7.08,6.32,6.45,112067
2018-09-05 04:00:00,6.68,6.68,6.13,6.13,62599
2018-09-06 04:00:00,6.17,6.196,5.83,5.99,74456
2018-09-07 04:00:00,5.85,6.01,5.66,6.01,55175
2018-09-10 04:00:00,5.96,6.0,5.76,5.95,50537
2018-09-11 04:00:00,6.05,6.3,5.87,6.3,56647
2018-09-12 04:00:00,6.23,6.46,6.2005,6.25,38337
2018-09-13 04:00:00,6.3,6.56,6.3,6.5,102904
2018-09-14 04:00:00,6.66,6.68,6.22,6.23,181051
2018-09-17 04:00:00,6.21,6.53,6.21,6.48,63384
2018-09-18 04:00:00,6.48,6.48,6.27,6.4,23986
2018-09-19 04:00:00,6.54,6.83,6.3465,6.77,32804
2018-09-20 04:00:00,6.95,6.95,6.67,6.75,93075
2018-09-21 04:00:00,6.8,6.8,6.27,6.36,104320
2018-09-24 04:00:00,6.4,6.53,6.18,6.19,66285
2018-09-25 04:00:00,6.1701,6.48,6.1701,6.39,57329
2018-09-26 04:00:00,6.35,6.38,6.02,6.03,79329
2018-09-27 04:00:00,6.01,6.255,6.01,6.1,78899
2018-09-28 04:00:00,6.0452,6.15,5.8,6.095,85465
2018-10-01 04:00:00,6.2,6.28,5.55,5.57,84439
2018-10-02 04:00:00,5.6,5.81,5.32,5.33,93247
2018-10-03 04:00:00,5.49,5.81,5.41,5.56,92493
2018-10-04 04:00:00,5.5,5.84,5.37,5.58,35188
2018-10-05 04:00:00,5.56,5.69,5.46,5.47,13191
2018-10-08 04:00:00,5.41,5.5,4.18,4.46,248869
2018-10-09 04:00:00,4.55,5.4,4.55,5.25,217062
2018-10-10 04:00:00,5.4,5.48,4.7,4.91,89487
2018-10-11 04:00:00,5.05,5.14,4.67,4.84,75465
2018-10-12 04:00:00,5.08,5.25,4.96,4.98,60120
2018-10-15 04:00:00,4.85,5.0,4.7,4.89,293987
2018-10-16 04:00:00,4.9,5.0,4.74,4.815,272529
2018-10-17 04:00:00,4.85,5.0,4.7501,4.92,578716
2018-10-18 04:00:00,4.96,5.05,4.8501,4.96,56147
2018-10-19 04:00:00,5.0,5.12,4.81,4.87,77046
2018-10-22 04:00:00,5.01,5.08,4.88,4.96,48031
2018-10-23 04:00:00,4.81,5.0,4.7,4.72,101294
2018-10-24 04:00:00,4.79,5.0,4.64,4.69,71052
2018-10-25 04:00:00,4.6,4.82,4.56,4.63,52978
2018-10-26 04:00:00,4.54,4.875,4.54,4.69,38159
2018-10-29 04:00:00,4.61,4.69,4.11,4.23,64612
2018-10-30 04:00:00,4.27,4.4141,4.27,4.3,34614
2018-10-31 04:00:00,4.32,4.45,4.15,4.15,58508
2018-11-01 04:00:00,4.17,4.66,4.17,4.4,97292
2018-11-02 04:00:00,4.53,4.61,4.4,4.45,58864
2018-11-05 05:00:00,4.45,4.53,4.4,4.4,57269
2018-11-06 05:00:00,4.43,4.52,4.4,4.41,41681
2018-11-07 05:00:00,4.49,4.6,4.4,4.41,71367
2018-11-08 05:00:00,4.4891,4.57,4.33,4.55,31635
2018-11-09 05:00:00,4.45,4.45,4.1,4.1,45507
2018-11-12 05:00:00,4.04,4.04,3.92,3.98,27737
2018-11-13 05:00:00,4.0,4.38,3.76,4.21,104869
2018-11-14 05:00:00,4.07,4.44,3.96,4.25,99640
2018-11-15 05:00:00,4.17,4.5,4.16,4.43,73936
2018-11-16 05:00:00,4.22,4.2411,3.71,3.78,46951
2018-11-19 05:00:00,3.8401,3.98,3.78,3.78,57491
2018-11-20 05:00:00,3.7,3.82,3.55,3.78,48913
2018-11-21 05:00:00,3.83,4.15,3.81,4.06,55303
2018-11-23 05:00:00,4.0,4.0,3.57,3.78,91674
2018-11-26 05:00:00,3.8,3.99,3.78,3.79,47830
2018-11-27 05:00:00,3.85,4.04,3.78,3.78,65478
2018-11-28 05:00:00,3.79,3.95,3.79,3.91,55082
2018-11-29 05:00:00,3.89,4.1922,3.83,4.0,60293
2018-11-30 05:00:00,4.07,4.07,3.8,3.98,44272
2018-12-03 05:00:00,4.12,4.16,3.79,3.89,55512
2018-12-04 05:00:00,3.92,4.09,3.78,3.781,35806
2018-12-06 05:00:00,3.75,3.81,3.65,3.73,78467
2018-12-07 05:00:00,3.81,3.81,3.67,3.76,55019
2018-12-10 05:00:00,3.801,3.801,3.21,3.28,49667
2018-12-11 05:00:00,3.56,3.6475,3.34,3.35,46234
2018-12-12 05:00:00,3.4,3.49,3.26,3.26,59774
2018-12-13 05:00:00,3.31,3.4143,3.28,3.28,59232
2018-12-14 05:00:00,3.2727,3.2812,2.98,2.98,35502
2018-12-17 05:00:00,2.98,3.02,2.65,2.66,55523
2018-12-18 05:00:00,2.7013,2.74,2.5,2.51,39147
2018-12-19 05:00:00,2.5,2.6122,2.41,2.41,63276
2018-12-20 05:00:00,2.47,2.47,2.25,2.26,60799
2018-12-21 05:00:00,2.38,2.7,2.26,2.47,94492
2018-12-24 05:00:00,2.38,2.7,2.38,2.7,75784
2018-12-26 05:00:00,2.7,2.84,2.5765,2.82,59736
2018-12-27 05:00:00,2.74,3.045,2.6838,2.93,130877
2018-12-28 05:00:00,2.9,3.08,2.78,3.04,74594
2018-12-31 05:00:00,2.9,3.16,2.83,3.16,61464
2019-01-02 05:00:00,3.03,3.3,3.0,3.3,33717
2019-01-03 05:00:00,3.25,3.5,3.03,3.5,79861
2019-01-04 05:00:00,3.52,3.58,3.34,3.555,35172
2019-01-07 05:00:00,3.6,3.78,3.44,3.7254,72632
2019-01-08 05:00:00,3.7,3.76,3.62,3.76,46412
2019-01-09 05:00:00,3.74,3.821,3.66,3.8,35932
2019-01-10 05:00:00,3.84,3.86,3.6801,3.86,39629
