Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,14.52,15.36,14.52,15.2501,37747
2009-05-15 04:00:00,15.49,16.87,15.1601,16.24,50560
2009-05-18 04:00:00,16.78,17.15,15.81,16.26,120652
2009-05-19 04:00:00,16.2,16.2,15.2608,15.55,79553
2009-05-20 04:00:00,15.92,15.95,15.31,15.69,74562
2009-05-21 04:00:00,15.19,15.633,15.01,15.55,60147
2009-05-22 04:00:00,15.75,15.75,15.5,15.52,29395
2009-05-26 04:00:00,15.5,15.86,15.5,15.75,60928
2009-05-27 04:00:00,15.75,16.24,15.75,15.81,29167
2009-05-28 04:00:00,15.99,16.1724,15.75,16.0,39341
2009-05-29 04:00:00,15.9,16.74,15.89,16.4,53933
2009-06-01 04:00:00,16.4,17.05,16.4,17.0,75175
2009-06-02 04:00:00,17.0,17.0,16.29,16.78,53586
2009-06-03 04:00:00,16.98,16.98,16.0101,16.18,37127
2009-06-04 04:00:00,16.0,16.64,15.5901,16.4,45803
2009-06-05 04:00:00,16.45,16.77,15.72,15.72,27540
2009-06-08 04:00:00,15.72,15.95,15.31,15.93,31363
2009-06-09 04:00:00,15.82,16.13,15.63,16.13,24625
2009-06-10 04:00:00,15.96,15.96,15.74,15.79,18395
2009-06-11 04:00:00,15.63,16.05,15.5,15.51,62061
2009-06-12 04:00:00,15.72,15.9,15.5,15.64,18119
2009-06-15 04:00:00,15.5,15.78,15.5,15.59,56679
2009-06-16 04:00:00,15.61,15.66,15.3,15.3,47577
2009-06-17 04:00:00,15.25,15.44,15.01,15.1599,22853
2009-06-18 04:00:00,15.13,15.42,15.0,15.29,19856
2009-06-19 04:00:00,15.5,15.83,15.0,15.52,13558
2009-06-22 04:00:00,15.53,15.58,14.85,14.98,25995
2009-06-23 04:00:00,15.25,15.25,14.7201,14.98,23622
2009-06-24 04:00:00,15.605,15.605,14.8,14.81,15894
2009-06-25 04:00:00,14.8,15.07,14.64,14.81,25966
2009-06-26 04:00:00,14.85,15.35,14.82,15.35,11086
2009-06-29 04:00:00,15.39,15.39,14.891,14.99,21043
2009-06-30 04:00:00,15.19,15.19,14.82,15.0,14049
2009-07-01 04:00:00,15.17,15.17,14.76,14.94,18237
2009-07-02 04:00:00,15.02,15.0599,14.9,15.0,10593
2009-07-06 04:00:00,15.0,15.0,14.75,14.75,24150
2009-07-07 04:00:00,15.0,15.0,14.79,14.81,36026
2009-07-08 04:00:00,15.0,15.0,14.75,14.76,11637
2009-07-09 04:00:00,14.8,15.0,14.53,14.91,17926
2009-07-10 04:00:00,14.5,14.85,14.5,14.64,26632
2009-07-13 04:00:00,14.85,15.0,14.85,15.0,32602
2009-07-14 04:00:00,14.99,15.0,14.85,14.9973,29159
2009-07-15 04:00:00,15.0,15.0,14.88,14.92,25826
2009-07-16 04:00:00,14.95,15.96,14.95,15.81,35783
2009-07-17 04:00:00,15.91,16.16,15.85,15.9599,18634
2009-07-20 04:00:00,16.0,16.0,14.94,15.07,93510
2009-07-21 04:00:00,15.17,15.39,14.66,14.95,88771
2009-07-22 04:00:00,14.95,15.49,14.8,15.1,81791
2009-07-23 04:00:00,14.8,15.24,14.8,15.11,54701
2009-07-24 04:00:00,14.94,15.24,14.94,15.17,33639
2009-07-27 04:00:00,15.3,15.4,15.01,15.1299,46107
2009-07-28 04:00:00,15.0,15.4,15.0,15.35,25184
2009-07-29 04:00:00,15.47,16.62,15.21,15.36,174872
2009-07-30 04:00:00,15.65,16.0099,15.5,15.5,62927
2009-07-31 04:00:00,15.73,16.27,15.41,16.14,88929
2009-08-03 04:00:00,16.44,16.58,16.05,16.58,92329
2009-08-04 04:00:00,16.69,17.55,16.1,16.61,118261
2009-08-05 04:00:00,16.07,16.07,15.41,15.71,69457
2009-08-06 04:00:00,15.96,15.96,15.35,15.35,26104
2009-08-07 04:00:00,15.51,15.51,15.26,15.4,43646
2009-08-10 04:00:00,15.4,15.49,15.05,15.12,56978
2009-08-11 04:00:00,15.76,15.77,14.75,14.9101,36525
2009-08-12 04:00:00,15.0,15.25,14.9301,15.25,44514
2009-08-13 04:00:00,15.39,15.69,15.2665,15.62,38123
2009-08-14 04:00:00,15.72,15.77,15.5,15.62,24021
2009-08-17 04:00:00,15.21,15.55,15.2,15.28,26818
2009-08-18 04:00:00,15.4,15.42,15.2,15.244,21585
2009-08-19 04:00:00,15.2,15.45,15.2,15.3,38112
2009-08-20 04:00:00,15.33,15.5,15.24,15.26,36566
2009-08-21 04:00:00,15.45,15.8,15.21,15.75,33972
2009-08-24 04:00:00,15.8,15.8,15.5,15.6484,27773
2009-08-25 04:00:00,15.72,15.8,15.66,15.8,25375
2009-08-26 04:00:00,15.701,15.8,15.32,15.4901,28950
2009-08-27 04:00:00,15.47,15.7402,15.3,15.361,27236
2009-08-28 04:00:00,15.5334,15.65,15.4,15.5603,25491
2009-08-31 04:00:00,15.5,15.72,15.4899,15.61,24088
2009-09-01 04:00:00,15.61,15.67,15.4,15.5,33902
2009-09-02 04:00:00,15.4864,15.69,15.45,15.6,27919
2009-09-03 04:00:00,15.69,15.75,15.65,15.74,12455
2009-09-04 04:00:00,15.75,15.8,15.72,15.77,19137
2009-09-08 04:00:00,15.75,15.87,15.7,15.81,29843
2009-09-09 04:00:00,15.84,15.85,15.605,15.7301,25506
2009-09-10 04:00:00,15.75,15.98,15.71,15.828,17990
2009-09-11 04:00:00,15.71,16.38,15.6104,16.33,25494
2009-09-14 04:00:00,16.33,16.67,16.07,16.58,58745
2009-09-15 04:00:00,16.46,16.63,16.03,16.14,66234
2009-09-16 04:00:00,16.03,16.38,16.0,16.1,51955
2009-09-17 04:00:00,16.4,16.6299,16.02,16.3,54599
2009-09-18 04:00:00,16.21,17.02,16.06,17.02,32665
2009-09-21 04:00:00,17.02,17.1,16.25,17.1,32550
2009-09-22 04:00:00,17.85,18.0,17.11,17.6,87633
2009-09-23 04:00:00,17.86,17.86,17.0,17.144,38252
2009-09-24 04:00:00,17.0,17.0,16.57,16.72,78022
2009-09-25 04:00:00,16.5,16.859,16.3,16.72,34485
2009-09-28 04:00:00,16.96,17.5,16.96,17.22,30276
2009-09-29 04:00:00,17.2001,17.3719,17.06,17.09,21577
2009-09-30 04:00:00,17.08,17.47,17.08,17.09,24219
2009-10-01 04:00:00,17.05,17.33,16.55,16.6,39822
2009-10-02 04:00:00,16.59,16.889,16.5,16.85,23555
2009-10-05 04:00:00,17.16,17.45,16.8,17.25,84647
2009-10-06 04:00:00,17.5,17.75,17.25,17.5999,84451
2009-10-07 04:00:00,17.55,17.7,17.55,17.6,22133
2009-10-08 04:00:00,17.82,17.82,17.55,17.6,37573
