Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,15.0,15.19,14.04,14.15,681729
2009-05-18 04:00:00,14.29,14.84,14.29,14.75,789854
2009-05-19 04:00:00,14.88,15.25,14.69,14.7201,712579
2009-05-20 04:00:00,15.05,15.79,14.96,15.22,818648
2009-05-21 04:00:00,15.0,15.19,14.25,14.51,604395
2009-05-22 04:00:00,14.78,14.78,14.0,14.01,467522
2009-05-26 04:00:00,13.85,14.41,13.82,14.18,646284
2009-05-27 04:00:00,14.39,14.39,13.89,13.91,858391
2009-05-28 04:00:00,14.14,15.0,14.0,14.99,823436
2009-05-29 04:00:00,15.11,16.18,15.11,16.04,1067980
2009-06-01 04:00:00,16.49,17.2,16.4,16.85,1176310
2009-06-02 04:00:00,16.71,17.06,16.33,16.59,1101309
2009-06-03 04:00:00,16.44,16.5,15.29,15.55,813733
2009-06-04 04:00:00,15.55,17.33,15.34,17.02,1264327
2009-06-05 04:00:00,17.41,17.88,16.96,17.45,901807
2009-06-08 04:00:00,17.46,18.6467,17.25,18.46,1043599
2009-06-09 04:00:00,18.51,20.66,18.51,20.5,2053710
2009-06-10 04:00:00,20.82,21.73,20.61,21.17,2792965
2009-06-11 04:00:00,21.45,23.83,21.05,23.4,2450249
2009-06-12 04:00:00,22.96,23.05,22.05,23.0,1376343
2009-06-15 04:00:00,22.44,22.6799,21.31,21.85,1123763
2009-06-16 04:00:00,22.06,22.95,21.2,21.61,952104
2009-06-17 04:00:00,21.55,21.92,20.3,20.6,1406554
2009-06-18 04:00:00,20.49,21.05,19.77,20.55,1325631
2009-06-19 04:00:00,20.795,21.36,20.795,21.2,681065
2009-06-22 04:00:00,20.85,20.91,19.26,19.32,809868
2009-06-23 04:00:00,19.51,20.44,19.05,19.67,646010
2009-06-24 04:00:00,19.99,21.32,19.98,20.63,886486
2009-06-25 04:00:00,20.73,21.31,20.37,21.22,788344
2009-06-26 04:00:00,20.64,21.399,20.5,21.2,612457
2009-06-29 04:00:00,21.43,22.01,21.1,21.57,701852
2009-06-30 04:00:00,21.24,21.6,20.55,21.09,990992
2009-07-01 04:00:00,21.31,21.81,21.08,21.14,413076
2009-07-02 04:00:00,20.63,20.66,20.13,20.3,664204
2009-07-06 04:00:00,19.9,19.9,18.97,19.77,749904
2009-07-07 04:00:00,19.92,19.92,19.1,19.19,689118
2009-07-08 04:00:00,18.89,19.26,17.66,18.09,1584267
2009-07-09 04:00:00,18.54,18.75,18.14,18.51,608549
2009-07-10 04:00:00,18.16,18.32,17.79,18.23,562660
2009-07-13 04:00:00,18.34,18.53,17.58,18.46,531821
2009-07-14 04:00:00,18.5,18.85,18.23,18.75,673275
2009-07-15 04:00:00,19.2,19.59,19.05,19.14,1084520
2009-07-16 04:00:00,19.18,19.26,18.55,19.07,631781
2009-07-17 04:00:00,19.0,19.0,18.65,18.73,533126
2009-07-20 04:00:00,19.0,19.21,18.67,18.97,435079
2009-07-21 04:00:00,18.76,18.78,17.7,18.26,1063552
2009-07-22 04:00:00,17.96,18.47,17.84,18.26,412566
2009-07-23 04:00:00,18.32,19.05,18.32,18.77,597323
2009-07-24 04:00:00,18.52,18.96,18.3,18.76,284778
2009-07-27 04:00:00,18.62,19.02,18.3,18.91,610383
2009-07-28 04:00:00,18.01,18.87,17.67,18.22,628472
