Date,Open,High,Low,Close,Volume
2018-11-16 05:00:00,10.28,10.28,9.75,10.0,141110
2018-11-19 05:00:00,10.0,10.22,9.95,10.2,36129
2018-11-20 05:00:00,10.14,10.19,9.97,10.02,15011
2018-11-21 05:00:00,10.0386,10.15,10.03,10.03,7891
2018-11-23 05:00:00,9.95,10.0499,9.95,10.0014,20056
2018-11-26 05:00:00,10.0,10.05,9.89,9.98,49090
2018-11-27 05:00:00,9.9,10.01,9.75,10.0015,32997
2018-11-28 05:00:00,9.9,10.01,9.9,10.0,26312
2018-11-29 05:00:00,9.9297,10.0589,9.9,10.0,6275
2018-11-30 05:00:00,9.9,10.0001,9.9,10.0001,9462
2018-12-03 05:00:00,10.38,10.38,9.9011,10.3,43051
2018-12-04 05:00:00,10.16,10.2,10.0317,10.0317,900
2018-12-06 05:00:00,9.9,10.05,9.9,10.0225,41472
2018-12-07 05:00:00,10.02,10.04,10.0,10.0,13676
2018-12-10 05:00:00,10.0,10.0747,10.0,10.064,6685
2018-12-11 05:00:00,10.2,10.2,10.02,10.15,4176
2018-12-12 05:00:00,10.0432,10.16,10.0,10.0672,6085
2018-12-13 05:00:00,10.0015,10.0423,9.9,10.0,7310
2018-12-14 05:00:00,9.9495,10.055,9.91,10.055,31740
2018-12-17 05:00:00,9.91,9.9391,9.9,9.9,1747
2018-12-18 05:00:00,10.0031,10.0268,9.9,9.91,1300
2018-12-19 05:00:00,10.0,10.0875,9.9,9.92,7890
2018-12-20 05:00:00,9.9684,9.9962,9.9,9.9,1340
2018-12-21 05:00:00,9.9,9.9634,9.9,9.9,1375
2018-12-24 05:00:00,9.8194,9.84,9.8194,9.82,627
2018-12-26 05:00:00,9.7804,9.83,9.7,9.82,1412
2018-12-27 05:00:00,9.81,9.81,9.34,9.34,8018
2018-12-28 05:00:00,9.509,9.51,9.39,9.445,1050
2018-12-31 05:00:00,9.47,9.47,9.14,9.14,1100
2019-01-02 05:00:00,9.25,9.2585,9.16,9.21,1500
2019-01-03 05:00:00,9.34,9.34,9.2176,9.32,1300
2019-01-04 05:00:00,9.45,9.8,9.36,9.77,4174
2019-01-07 05:00:00,9.5587,9.7243,9.531,9.531,600
2019-01-08 05:00:00,9.53,9.53,9.53,9.53,100
2019-01-09 05:00:00,9.6473,9.65,9.6,9.6,1695
2019-01-10 05:00:00,9.61,9.61,9.45,9.45,7304
2019-01-11 05:00:00,9.45,9.45,9.45,9.45,550
2019-01-14 05:00:00,9.45,9.605,9.45,9.605,787
2019-01-15 05:00:00,9.5438,9.5438,9.45,9.45,1153
2019-01-17 05:00:00,9.58,10.0,9.58,10.0,6321
2019-01-18 05:00:00,9.98,9.98,9.8698,9.98,2312
2019-01-22 05:00:00,9.7988,9.8,9.75,9.75,2948
2019-01-23 05:00:00,9.8775,9.8789,9.48,9.5,2001
2019-01-25 05:00:00,9.6503,10.0,9.6503,9.95,6200
2019-01-28 05:00:00,9.73,9.7686,9.63,9.7527,1300
2019-01-29 05:00:00,9.7473,9.75,9.7473,9.75,695
2019-01-30 05:00:00,9.97,9.97,9.84,9.86,600
2019-01-31 05:00:00,9.73,9.76,9.73,9.75,400
2019-02-01 05:00:00,9.76,9.95,9.76,9.7927,500
2019-02-04 05:00:00,9.54,9.55,9.54,9.55,300
2019-02-05 05:00:00,9.69,9.69,9.69,9.69,300
2019-02-06 05:00:00,9.47,9.93,9.36,9.93,3687
2019-02-07 05:00:00,9.92,9.94,9.8999,9.9,3590
2019-02-08 05:00:00,9.7211,9.8221,9.7211,9.8221,300
2019-02-12 05:00:00,9.88,10.1,9.88,10.1,6439
2019-02-13 05:00:00,10.05,10.68,10.05,10.4432,7822
2019-02-14 05:00:00,10.66,10.68,10.44,10.44,1648
2019-02-15 05:00:00,10.5,13.47,10.46,13.195,31984
2019-02-19 05:00:00,13.5,13.63,12.6522,12.8791,26263
2019-02-20 05:00:00,13.0,13.1,12.8505,12.8505,7513
2019-02-21 05:00:00,12.79,12.79,12.6,12.6,1648
2019-02-22 05:00:00,12.6,12.6,12.22,12.22,17807
2019-02-25 05:00:00,12.46,13.23,12.26,12.28,8945
2019-02-26 05:00:00,12.28,12.289,11.9764,11.9764,3847
2019-02-27 05:00:00,12.18,12.18,11.68,11.97,6182
2019-02-28 05:00:00,12.02,12.02,11.6,11.6,3099
2019-03-01 05:00:00,11.9,11.9786,11.8,11.941,2055
2019-03-04 05:00:00,12.13,12.13,11.9675,11.9675,1395
2019-03-05 05:00:00,12.21,12.21,11.95,11.95,1800
2019-03-06 05:00:00,11.92,12.3272,11.8892,12.0,7006
