Date,Open,High,Low,Close,Volume
2012-05-10 04:00:00,18.8,18.9,18.32,18.77,7151420
2012-05-11 04:00:00,18.75,18.9,18.6,18.8,531685
2012-05-14 04:00:00,18.63,18.93,18.63,18.75,198965
2012-05-15 04:00:00,18.75,18.85,18.65,18.72,223888
2012-05-16 04:00:00,18.7,18.85,18.58,18.72,295646
2012-05-17 04:00:00,18.7,18.7,18.5,18.54,287994
2012-05-18 04:00:00,18.5,18.65,18.49,18.54,212312
2012-05-21 04:00:00,18.07,18.75,17.57,18.52,284190
2012-05-22 04:00:00,18.52,18.6,18.37,18.4,262400
2012-05-23 04:00:00,18.41,18.99,18.41,18.91,202935
2012-05-24 04:00:00,19.0,19.05,18.55,18.86,168667
2012-05-25 04:00:00,18.86,19.36,18.81,19.13,256809
2012-05-29 04:00:00,19.25,19.25,18.96,19.01,75259
2012-05-30 04:00:00,18.85,18.98,18.7,18.92,72174
2012-05-31 04:00:00,18.75,19.0,18.65,18.77,67633
2012-06-01 04:00:00,18.57,18.75,18.32,18.49,85514
2012-06-04 04:00:00,18.75,18.99,18.5601,18.85,218138
2012-06-05 04:00:00,18.99,18.99,18.53,18.62,249951
2012-06-06 04:00:00,18.51,18.99,18.51,18.96,45965
2012-06-07 04:00:00,19.05,19.06,18.7538,18.98,83921
2012-06-08 04:00:00,19.02,19.19,18.82,19.1,189072
2012-06-11 04:00:00,19.25,19.25,18.85,18.97,202841
2012-06-12 04:00:00,18.93,19.165,18.85,19.02,87469
2012-06-13 04:00:00,18.99,19.01,18.8,18.93,83338
2012-06-14 04:00:00,18.91,19.13,18.89,19.0,108942
2012-06-15 04:00:00,19.52,19.52,18.9,19.06,80732
2012-06-18 04:00:00,19.03,19.2,18.96,19.03,58996
2012-06-19 04:00:00,19.89,19.89,18.76,19.16,100092
2012-06-20 04:00:00,19.25,19.25,18.75,19.2,70782
2012-06-21 04:00:00,19.04,19.26,18.92,18.98,148973
2012-06-22 04:00:00,19.18,19.2627,18.8,18.8,227736
2012-06-25 04:00:00,19.14,19.35,18.95,19.14,128795
2012-06-26 04:00:00,19.16,19.32,18.9,19.15,102715
2012-06-27 04:00:00,19.23,19.31,19.0899,19.22,118083
2012-06-28 04:00:00,19.16,19.37,18.75,19.25,435735
2012-06-29 04:00:00,19.46,19.52,19.33,19.47,143565
2012-07-02 04:00:00,19.5,19.9,19.25,19.49,197392
2012-07-03 04:00:00,19.52,19.87,19.52,19.83,64141
2012-07-05 04:00:00,19.86,20.0,19.74,19.9699,157502
2012-07-06 04:00:00,19.85,19.98,19.8,19.91,48138
2012-07-09 04:00:00,19.95,19.95,19.67,19.87,73876
2012-07-10 04:00:00,19.95,20.0,19.7,19.79,133804
2012-07-11 04:00:00,19.88,19.88,19.46,19.6,202627
2012-07-12 04:00:00,19.47,19.8,19.47,19.5,338633
2012-07-13 04:00:00,19.5,19.9391,19.5,19.88,149926
2012-07-16 04:00:00,19.91,20.0,19.81,19.94,63953
2012-07-17 04:00:00,20.0,20.03,19.82,19.86,112605
2012-07-18 04:00:00,19.82,20.03,19.82,19.95,84377
2012-07-19 04:00:00,19.98,19.98,19.61,19.76,84078
2012-07-20 04:00:00,19.73,19.98,19.73,19.96,78095
2012-07-23 04:00:00,19.96,19.98,19.77,19.8,60099
2012-07-24 04:00:00,19.93,19.93,19.56,19.66,98130
2012-07-25 04:00:00,19.73,19.85,19.65,19.7,99035
2012-07-26 04:00:00,19.71,19.78,19.63,19.72,54983
2012-07-27 04:00:00,19.85,20.33,19.85,20.02,449271
2012-07-30 04:00:00,20.02,20.23,20.02,20.15,197311
2012-07-31 04:00:00,20.32,20.74,20.15,20.43,409940
2012-08-01 04:00:00,20.37,20.65,20.35,20.42,293576
2012-08-02 04:00:00,20.0,20.39,20.0,20.1,200259
2012-08-03 04:00:00,20.2,20.54,20.01,20.4098,186120
2012-08-06 04:00:00,20.39,20.56,20.14,20.14,254164
2012-08-07 04:00:00,20.19,20.27,19.85,19.97,214699
2012-08-08 04:00:00,19.95,20.47,19.92,20.41,203774
2012-08-09 04:00:00,20.35,20.45,20.12,20.32,85884
2012-08-10 04:00:00,20.41,20.42,19.89,19.97,126034
2012-08-13 04:00:00,19.98,20.23,19.94,20.17,63702
2012-08-14 04:00:00,20.45,20.97,20.3,20.63,412927
2012-08-15 04:00:00,20.64,20.9,20.54,20.79,222560
2012-08-16 04:00:00,20.8,20.948,20.66,20.76,161379
2012-08-17 04:00:00,20.84,20.87,20.41,20.73,91218
2012-08-20 04:00:00,20.9,21.37,20.78,21.05,586940
2012-08-21 04:00:00,21.25,21.32,20.77,20.77,239689
2012-08-22 04:00:00,20.88,21.05,20.48,20.9,219581
2012-08-23 04:00:00,21.03,21.03,20.7,20.77,110522
2012-08-24 04:00:00,21.03,21.09,20.91,20.92,112547
2012-08-27 04:00:00,21.03,21.1374,20.9701,21.05,147504
2012-08-28 04:00:00,21.1,21.29,21.02,21.14,133871
2012-08-29 04:00:00,21.15,21.21,21.1,21.2,134976
2012-08-30 04:00:00,21.19,21.844,21.17,21.68,325248
2012-08-31 04:00:00,21.85,21.85,21.4,21.454,118159
2012-09-04 04:00:00,21.37,21.517,21.25,21.38,171382
2012-09-05 04:00:00,21.46,21.52,21.1801,21.23,94674
2012-09-06 04:00:00,21.25,21.32,21.17,21.28,60584
2012-09-07 04:00:00,21.45,21.45,21.26,21.35,114831
2012-09-10 04:00:00,21.45,21.47,21.2676,21.35,52355
2012-09-11 04:00:00,21.7,21.7,21.35,21.49,77088
2012-09-12 04:00:00,21.34,21.65,21.17,21.54,166967
2012-09-13 04:00:00,21.66,21.71,21.26,21.34,209577
2012-09-14 04:00:00,21.53,21.98,21.385,21.95,288204
2012-09-17 04:00:00,21.98,22.1,21.8,22.07,259460
2012-09-18 04:00:00,22.04,22.08,21.55,21.6,217317
2012-09-19 04:00:00,21.71,22.13,21.54,22.03,251595
2012-09-20 04:00:00,22.15,22.69,22.1,22.31,256482
2012-09-21 04:00:00,24.17,24.46,23.58,24.09,1386128
2012-09-24 04:00:00,24.2,24.69,24.2,24.44,521325
2012-09-25 04:00:00,24.58,24.72,24.01,24.06,406831
2012-09-26 04:00:00,24.19,24.24,23.75,23.87,514930
2012-09-27 04:00:00,23.2,23.38,22.96,23.0,620570
2012-09-28 04:00:00,22.36,22.41,22.2,22.22,5912030
2012-10-01 04:00:00,22.31,22.39,22.27,22.29,1029750
2012-10-02 04:00:00,22.32,22.45,22.25,22.3,1105487
2012-10-03 04:00:00,22.3,22.44,22.3,22.35,575675
2012-10-04 04:00:00,22.43,22.62,22.4,22.57,747874
2012-10-05 04:00:00,22.65,22.8,22.61,22.72,556908
2012-10-08 04:00:00,22.6,22.84,22.5,22.7,460026
2012-10-09 04:00:00,22.75,22.84,22.5,22.59,596154
2012-10-10 04:00:00,22.65,22.65,21.62,22.0,1878693
2012-10-11 04:00:00,22.08,22.22,21.88,21.89,499458
2012-10-12 04:00:00,21.92,21.97,21.07,21.14,1276636
2012-10-15 04:00:00,21.12,21.69,19.68,21.07,2007553
2012-10-16 04:00:00,21.18,21.415,20.8,21.33,678040
2012-10-17 04:00:00,21.39,21.95,21.3,21.87,646115
2012-10-18 04:00:00,22.13,22.13,21.72,21.86,392484
2012-10-19 04:00:00,21.89,21.89,21.37,21.67,442488
2012-10-22 04:00:00,21.62,21.67,21.4717,21.63,205435
2012-10-23 04:00:00,21.65,21.65,21.1,21.38,210150
2012-10-24 04:00:00,21.46,21.5,21.08,21.31,498074
2012-10-25 04:00:00,21.38,21.5,20.84,20.99,512508
2012-10-26 04:00:00,20.99,21.1299,20.66,20.9,438176
2012-10-31 04:00:00,20.9,21.7,20.89,21.46,782984
2012-11-01 04:00:00,21.42,22.03,21.42,21.51,385614
2012-11-02 04:00:00,21.5,21.68,21.28,21.31,236861
2012-11-05 05:00:00,21.25,21.5864,21.09,21.5,249099
2012-11-06 05:00:00,21.52,21.52,21.11,21.23,349122
2012-11-07 05:00:00,20.99,20.99,19.93,20.51,715169
2012-11-08 05:00:00,20.5,21.07,19.91,20.3,1063784
2012-11-09 05:00:00,20.72,20.72,19.81,20.47,830371
2012-11-12 05:00:00,20.68,20.68,20.42,20.5,383904
2012-11-13 05:00:00,20.36,20.38,19.05,19.11,1490977
2012-11-14 05:00:00,19.11,19.2,17.46,17.54,1832692
2012-11-15 05:00:00,17.51,18.86,17.36,18.74,1279390
2012-11-16 05:00:00,19.0,19.5,18.95,19.33,861529
2012-11-19 05:00:00,19.83,20.15,19.45,19.78,874150
2012-11-20 05:00:00,20.04,20.06,19.18,19.25,542917
2012-11-21 05:00:00,19.44,19.69,19.01,19.6,466595
2012-11-23 05:00:00,19.86,19.98,19.73,19.94,205152
2012-11-26 05:00:00,19.99,20.15,19.73,20.0,428223
2012-11-27 05:00:00,20.02,20.22,19.9,19.98,366991
2012-11-28 05:00:00,20.08,20.19,19.7,19.94,354476
2012-11-29 05:00:00,20.08,20.4401,19.96,20.28,560496
2012-11-30 05:00:00,20.38,20.68,20.3625,20.61,630712
2012-12-03 05:00:00,20.75,20.75,20.57,20.68,425582
2012-12-04 05:00:00,20.77,21.1,20.7,20.96,515654
2012-12-05 05:00:00,20.99,21.1,20.61,20.72,347819
2012-12-06 05:00:00,20.87,20.92,20.47,20.55,346571
2012-12-07 05:00:00,20.69,20.7,20.43,20.52,186739
2012-12-10 05:00:00,20.67,20.72,20.46,20.65,315100
2012-12-11 05:00:00,20.8,20.909,20.61,20.81,500116
