Date,Open,High,Low,Close,Volume
2013-01-02 05:00:00,28.6,28.99,27.93,28.91,15324974
2013-01-03 05:00:00,28.91,34.75,28.31,28.67,17232438
2013-01-04 05:00:00,28.28,28.72,28.2,28.31,24963932
2013-01-07 05:00:00,28.11,35.45,28.11,34.47,17047681
2013-01-08 05:00:00,34.29,34.64,27.52,27.75,17128567
2013-01-09 05:00:00,27.69,33.91,27.69,33.88,20967621
2013-01-10 05:00:00,33.35,34.0,33.33,33.97,14921004
2013-01-11 05:00:00,33.59,33.75,27.83,28.2,11981640
2013-01-14 05:00:00,28.3,28.5,28.12,28.4,13128641
2013-01-15 05:00:00,28.08,34.5,28.08,28.82,14103134
2013-01-16 05:00:00,28.74,29.63,28.72,29.61,18731629
2013-01-17 05:00:00,29.68,30.47,29.68,30.34,15292428
2013-01-18 05:00:00,30.47,31.21,30.14,31.09,12930788
2013-01-22 05:00:00,30.91,31.03,29.93,30.34,16859348
2013-01-23 05:00:00,30.74,37.84,30.4,37.81,8882878
2013-01-24 05:00:00,37.79,38.52,31.03,31.21,11277322
2013-01-25 05:00:00,31.25,37.84,30.51,37.61,9044950
2013-01-28 05:00:00,37.95,37.95,30.72,36.85,6253716
2013-01-29 05:00:00,36.69,36.88,30.51,31.08,8594908
2013-01-30 05:00:00,30.66,31.26,30.66,30.76,12160611
2013-01-31 05:00:00,30.69,30.71,30.16,30.56,11270895
2013-02-01 05:00:00,30.69,30.99,30.42,30.97,10669747
2013-02-04 05:00:00,30.51,31.06,30.44,31.06,6861910
2013-02-05 05:00:00,31.15,31.4,30.94,30.99,7449783
2013-02-06 05:00:00,30.8,37.28,30.73,30.94,5606620
2013-02-07 05:00:00,31.31,36.66,29.83,30.34,10395662
2013-02-08 05:00:00,30.3,30.34,29.85,30.2,15797043
2013-02-11 05:00:00,30.11,30.15,29.79,29.86,6995038
2013-02-12 05:00:00,29.79,29.9,29.32,29.51,8604307
2013-02-13 05:00:00,29.51,29.63,29.28,29.38,5525842
2013-02-14 05:00:00,29.2,36.73,29.17,36.57,5723885
2013-02-15 05:00:00,37.28,37.74,31.06,31.31,14140128
2013-02-19 05:00:00,31.28,31.94,30.92,31.81,8791125
2013-02-20 05:00:00,31.81,38.787,31.35,38.59,8300885
2013-02-21 05:00:00,38.49,39.025,38.19,38.76,6666075
2013-02-22 05:00:00,38.79,38.85,31.78,32.04,4058476
2013-02-25 05:00:00,32.08,38.335,31.11,31.13,4502881
2013-02-26 05:00:00,31.32,31.32,30.79,30.9,4663063
2013-02-27 05:00:00,30.79,30.8,30.31,30.6,11783537
2013-02-28 05:00:00,30.54,30.94,30.41,30.76,7916500
2013-03-01 05:00:00,30.64,31.7,30.43,31.5,7390897
2013-03-04 05:00:00,31.26,31.86,31.26,31.86,5872491
2013-03-05 05:00:00,32.04,32.14,31.07,31.25,6543848
2013-03-06 05:00:00,31.3,31.55,31.14,31.44,6115590
2013-03-07 05:00:00,31.36,37.92,31.19,31.23,4198997
2013-03-08 05:00:00,31.37,31.38,30.97,31.11,4477886
2013-03-11 04:00:00,31.03,38.15,30.89,31.38,4553158
2013-03-12 04:00:00,31.4,31.9,30.86,30.96,7351940
2013-03-13 04:00:00,31.0,37.54,30.95,37.155,3431492
