Date,Open,High,Low,Close,Volume
2009-05-13 04:00:00,28.5,29.15,28.3875,28.82,3214250
2009-05-14 04:00:00,28.79,29.07,28.54,28.93,4306930
2009-05-15 04:00:00,28.85,29.2099,28.49,28.84,3453006
2009-05-18 04:00:00,29.09,30.11,28.56,30.08,3730350
2009-05-19 04:00:00,29.89,30.15,29.46,29.95,2174565
2009-05-20 04:00:00,30.0,30.61,29.95,30.32,2821643
2009-05-21 04:00:00,29.96,30.0,29.63,29.91,2575602
2009-05-22 04:00:00,30.04,30.58,30.03,30.36,4082806
2009-05-26 04:00:00,30.31,30.99,29.98,30.93,3329649
2009-05-27 04:00:00,30.81,30.94,30.35,30.38,3360165
2009-05-28 04:00:00,30.35,30.59,29.66,29.98,3717386
2009-05-29 04:00:00,30.39,30.39,29.46,29.93,3990388
2009-06-01 04:00:00,30.17,31.43,29.95,31.3,3589271
2009-06-02 04:00:00,31.35,31.45,31.01,31.17,2088351
2009-06-03 04:00:00,31.01,31.01,29.68,30.39,3411703
2009-06-04 04:00:00,30.27,30.28,29.91,30.21,3785737
2009-06-05 04:00:00,30.38,30.91,30.38,30.51,2823047
2009-06-08 04:00:00,30.49,30.49,29.38,29.71,6297440
2009-06-09 04:00:00,29.79,30.6,29.79,30.33,4066325
2009-06-10 04:00:00,30.42,30.74,30.28,30.66,3151327
2009-06-11 04:00:00,30.61,31.64,30.52,31.29,3431745
2009-06-12 04:00:00,31.28,31.58,31.0,31.46,2270354
2009-06-15 04:00:00,31.74,32.14,31.54,31.74,4512741
2009-06-16 04:00:00,31.84,31.99,31.36,31.52,3081797
2009-06-17 04:00:00,31.45,32.44,31.37,32.32,3980342
2009-06-18 04:00:00,32.24,32.41,31.795,31.96,2681657
2009-06-19 04:00:00,32.12,32.26,31.5,31.71,3385726
2009-06-22 04:00:00,31.53,31.78,30.98,31.13,4273105
2009-06-23 04:00:00,31.3,31.64,31.01,31.2,2141265
2009-06-24 04:00:00,31.53,31.77,31.12,31.43,3376671
2009-06-25 04:00:00,31.36,31.79,31.02,31.78,2975835
2009-06-26 04:00:00,32.38,33.84,32.0,33.67,8031100
2009-06-29 04:00:00,33.76,33.83,32.96,33.45,5055906
2009-06-30 04:00:00,33.33,33.5,33.05,33.48,4605694
2009-07-01 04:00:00,33.28,33.82,33.28,33.71,3147690
2009-07-02 04:00:00,33.54,33.7,32.83,33.26,3936725
2009-07-06 04:00:00,32.95,33.17,32.38,33.15,4027941
2009-07-07 04:00:00,33.15,33.19,32.53,32.54,2893706
2009-07-08 04:00:00,32.5,32.7,32.04,32.63,4219111
2009-07-09 04:00:00,32.85,32.89,32.26,32.38,3846836
2009-07-10 04:00:00,32.18,33.17,32.18,32.73,2629583
2009-07-13 04:00:00,32.67,33.39,32.28,33.35,3306281
2009-07-14 04:00:00,33.14,33.73,32.97,33.68,3263629
2009-07-15 04:00:00,33.86,34.09,33.7,34.0,2901648
2009-07-16 04:00:00,34.04,34.49,33.77,34.37,2135450
2009-07-17 04:00:00,34.2,34.45,33.98,34.4105,2733757
2009-07-20 04:00:00,34.45,34.64,34.12,34.31,2398839
2009-07-21 04:00:00,34.5,34.5,33.83,34.22,2343867
2009-07-22 04:00:00,33.0,34.19,32.57,33.79,4044608
2009-07-23 04:00:00,33.7,35.14,33.64,35.12,4988349
2009-07-24 04:00:00,34.66,35.49,34.48,35.47,3092107
2009-07-27 04:00:00,35.21,35.4,34.93,35.11,3296833
2009-07-28 04:00:00,35.0,35.31,34.67,35.26,2901171
2009-07-29 04:00:00,35.17,35.27,34.83,34.94,2686396
2009-07-30 04:00:00,35.1,35.37,35.02,35.13,2303432
2009-07-31 04:00:00,35.17,35.48,35.01,35.09,2672223
2009-08-03 04:00:00,35.33,36.0,34.87,35.97,4077034
2009-08-04 04:00:00,35.65,36.01,35.33,35.64,3483435
2009-08-05 04:00:00,35.67,35.86,35.0,35.4,2595066
2009-08-06 04:00:00,35.61,35.61,34.92,35.12,1864065
2009-08-07 04:00:00,35.5,35.8,35.14,35.64,1965538
2009-08-10 04:00:00,35.54,35.96,35.35,35.92,2498171
2009-08-11 04:00:00,35.6,35.87,35.35,35.53,2074478
2009-08-12 04:00:00,35.5,35.99,35.16,35.8,2717749
2009-08-13 04:00:00,35.88,36.38,35.55,36.34,4367119
2009-08-14 04:00:00,35.91,36.18,35.77,36.12,3967151
2009-08-17 04:00:00,35.36,36.05,35.36,35.94,3073709
2009-08-18 04:00:00,35.81,36.44,35.6,36.31,2973554
2009-08-19 04:00:00,36.12,36.59,35.955,36.56,2787126
2009-08-20 04:00:00,36.55,36.74,36.14,36.34,3422921
2009-08-21 04:00:00,36.41,36.51,35.37,35.48,6359883
2009-08-24 04:00:00,35.35,35.91,35.28,35.57,3202577
2009-08-25 04:00:00,35.46,35.58,34.53,34.63,6714891
2009-08-26 04:00:00,34.79,35.35,34.61,35.07,6177879
2009-08-27 04:00:00,35.02,35.19,34.79,35.1,4934639
2009-08-28 04:00:00,35.17,35.34,34.06,34.17,8165359
2009-08-31 04:00:00,33.799,34.039,32.9507,33.0506,26356956
2009-09-01 04:00:00,33.27,33.7,32.91,33.19,19514071
2009-09-02 04:00:00,33.48,33.87,33.3,33.35,10334696
2009-09-03 04:00:00,33.61,34.45,33.47,34.41,9769828
2009-09-04 04:00:00,34.43,35.02,34.26,34.66,5566466
2009-09-08 04:00:00,34.91,35.08,34.4,34.51,7421843
2009-09-09 04:00:00,34.49,34.87,34.31,34.75,6088920
2009-09-10 04:00:00,34.69,35.31,34.61,35.15,5864640
2009-09-11 04:00:00,35.28,35.9,35.12,35.7,5662671
2009-09-14 04:00:00,35.32,36.11,35.22,35.81,4065267
2009-09-15 04:00:00,35.71,35.89,35.26,35.79,5034669
2009-09-16 04:00:00,35.63,36.44,35.63,36.43,4462120
2009-09-17 04:00:00,35.81,36.43,35.81,36.26,2975338
2009-09-18 04:00:00,36.36,36.45,35.84,35.84,2565579
2009-09-21 04:00:00,35.75,36.2,35.25,36.06,2709041
2009-09-22 04:00:00,36.14,36.99,35.94,36.93,7625043
2009-09-23 04:00:00,36.92,36.96,36.36,36.41,5067685
2009-09-24 04:00:00,36.37,36.73,35.89,35.96,4855781
2009-09-25 04:00:00,35.59,36.53,35.53,36.13,3390916
2009-09-28 04:00:00,37.29,38.07,37.05,37.94,5997557
2009-09-29 04:00:00,37.79,37.8,37.01,37.31,4324850
2009-09-30 04:00:00,37.5,37.55,36.94,37.3,4268414
2009-10-01 04:00:00,37.17,37.41,36.3,36.4,5390880
2009-10-02 04:00:00,37.11,38.24,36.9,37.58,10784138
2009-10-05 04:00:00,37.69,38.24,37.4,37.99,6606783
2009-10-06 04:00:00,37.71,38.44,37.7,38.38,6744633
2009-10-07 04:00:00,38.07,38.59,38.01,38.4,4619818
2009-10-08 04:00:00,38.49,39.31,38.4,39.09,4208331
2009-10-09 04:00:00,38.99,39.12,38.55,39.07,2970385
2009-10-12 04:00:00,39.0,39.51,38.9,39.51,6338530
