Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,25.94,26.52,25.7,26.47,4034508
2009-05-19 04:00:00,26.25,26.81,26.01,26.56,3182811
2009-05-20 04:00:00,26.7,27.32,26.31,26.39,5091212
2009-05-21 04:00:00,25.92,26.15,25.7,26.04,6004479
2009-05-22 04:00:00,26.22,27.04,26.0,26.48,4789273
2009-05-26 04:00:00,26.44,27.88,26.1,27.83,5789983
2009-05-27 04:00:00,27.67,28.07,27.15,27.24,4459265
2009-05-28 04:00:00,27.25,27.64,26.57,27.54,7502681
2009-05-29 04:00:00,27.36,28.31,27.02,28.2,6296986
2009-06-01 04:00:00,28.3,29.5,28.3,29.35,6297063
2009-06-02 04:00:00,29.23,29.73,29.07,29.53,7014389
2009-06-03 04:00:00,29.05,29.49,28.3,29.06,7832174
2009-06-04 04:00:00,28.71,29.55,28.68,29.44,6160665
2009-06-05 04:00:00,29.45,30.34,28.79,29.99,8617301
2009-06-08 04:00:00,29.91,30.0,28.85,29.14,6251414
2009-06-09 04:00:00,29.35,29.97,29.15,29.78,4999248
2009-06-10 04:00:00,29.88,30.43,29.63,30.13,8161082
2009-06-11 04:00:00,30.29,31.1,30.19,30.47,7009647
2009-06-12 04:00:00,30.6,30.67,29.61,30.16,5097242
2009-06-15 04:00:00,29.92,30.0,28.54,28.85,10798333
2009-06-16 04:00:00,29.06,29.15,28.14,28.18,9054126
2009-06-17 04:00:00,28.27,29.0,28.0,28.7,11929095
2009-06-18 04:00:00,28.95,28.95,28.2,28.69,7037615
2009-06-19 04:00:00,28.95,29.4502,28.94,29.35,8471048
2009-06-22 04:00:00,28.56,28.78,27.32,27.32,11217577
2009-06-23 04:00:00,27.45,27.941,27.29,27.81,7556633
2009-06-24 04:00:00,27.6,28.38,27.5,27.73,6844863
2009-06-25 04:00:00,27.86,28.64,27.41,28.53,5936078
2009-06-26 04:00:00,27.4,28.2083,27.38,28.1,5699477
2009-06-29 04:00:00,28.13,28.76,28.05,28.59,4076764
