Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,36.58,36.76,36.01,36.16,3491376
2009-05-15 04:00:00,36.21,36.45,31.56,35.8,3777182
2009-05-18 04:00:00,36.0,36.07,31.5,31.94,2694786
2009-05-19 04:00:00,31.88,31.98,31.3,31.35,3991609
2009-05-20 04:00:00,31.39,35.61,30.94,30.97,4874619
2009-05-21 04:00:00,30.57,31.1,30.2,31.1,5623832
2009-05-22 04:00:00,31.18,31.84,30.94,31.58,3600571
2009-05-26 04:00:00,31.12,32.55,30.98,32.5,5309938
2009-05-27 04:00:00,32.52,32.95,32.28,32.6,4701086
2009-05-28 04:00:00,32.66,33.51,32.55,33.44,5537993
2009-05-29 04:00:00,33.34,33.44,32.85,33.29,3254940
2009-06-01 04:00:00,33.34,39.08,33.34,34.17,3097343
2009-06-02 04:00:00,33.89,38.76,33.67,38.61,2816651
2009-06-03 04:00:00,38.5,38.5,32.96,33.35,3225719
2009-06-04 04:00:00,33.39,38.24,33.02,38.24,2114281
2009-06-05 04:00:00,38.31,38.94,38.31,38.51,2730315
2009-06-08 04:00:00,38.58,38.58,33.19,33.5,1691486
2009-06-09 04:00:00,33.87,33.89,33.46,33.61,1767360
2009-06-10 04:00:00,33.59,33.59,32.52,32.82,4306982
2009-06-11 04:00:00,32.89,37.63,32.86,37.36,2954155
2009-06-12 04:00:00,37.27,37.48,32.5,32.74,2340771
2009-06-15 04:00:00,32.39,36.58,32.03,36.52,3497618
2009-06-16 04:00:00,36.39,36.7496,36.23,36.23,3521866
2009-06-17 04:00:00,36.04,36.5,31.75,31.79,4296513
2009-06-18 04:00:00,31.17,35.5,30.86,35.4,6447950
2009-06-19 04:00:00,35.73,35.83,31.21,31.33,6385217
2009-06-22 04:00:00,31.05,31.19,30.75,30.89,3356198
2009-06-23 04:00:00,30.91,35.15,30.6,30.79,2572855
2009-06-24 04:00:00,30.93,31.25,30.82,31.15,3257491
2009-06-25 04:00:00,30.61,34.75,30.14,30.39,5290205
2009-06-26 04:00:00,30.31,34.77,30.18,34.69,3506056
2009-06-29 04:00:00,34.71,35.29,30.91,31.0,2465802
2009-06-30 04:00:00,30.98,31.23,30.78,31.12,3666322
2009-07-01 04:00:00,31.08,35.51,30.82,35.35,3361164
2009-07-02 04:00:00,35.03,35.24,29.94,30.0,3962123
2009-07-06 04:00:00,29.91,34.3,29.71,34.27,3336631
2009-07-07 04:00:00,34.18,34.3,29.25,29.26,4110592
2009-07-08 04:00:00,29.89,29.94,29.2,29.81,4992985
2009-07-09 04:00:00,29.88,33.81,29.5,33.73,3495678
2009-07-10 04:00:00,33.66,33.85,29.42,29.61,2609739
2009-07-13 04:00:00,29.57,29.96,29.17,29.86,3161216
2009-07-14 04:00:00,29.72,30.14,29.43,30.14,2947858
2009-07-15 04:00:00,31.16,35.12,30.19,35.11,3282732
2009-07-16 04:00:00,35.09,35.185,30.69,31.15,2921793
2009-07-17 04:00:00,31.26,35.35,30.72,35.31,3568757
2009-07-20 04:00:00,35.1,35.47,30.99,31.24,3020730
2009-07-21 04:00:00,31.41,31.42,31.03,31.36,3669749
2009-07-22 04:00:00,31.24,31.34,30.95,31.08,3465483
2009-07-23 04:00:00,30.61,31.81,30.61,31.61,3733475
2009-07-24 04:00:00,31.6,36.8699,31.49,32.43,3733093
2009-07-27 04:00:00,32.46,37.0,32.16,36.97,3104188
2009-07-28 04:00:00,36.89,37.24,32.5,32.7,2860114
2009-07-29 04:00:00,32.47,33.27,32.35,33.22,5061214
2009-07-30 04:00:00,32.73,37.3997,31.96,36.68,7428483
2009-07-31 04:00:00,36.85,37.63,36.75,37.3,4544535
2009-08-03 04:00:00,37.18,38.06,33.22,33.41,4817386
2009-08-04 04:00:00,33.13,33.55,33.01,33.3,4210042
2009-08-05 04:00:00,33.29,33.32,32.71,33.12,3609459
2009-08-06 04:00:00,33.08,33.12,32.58,32.67,3692732
2009-08-07 04:00:00,33.45,33.89,33.1,33.69,5716359
2009-08-10 04:00:00,33.42,38.092,33.3,33.43,2184959
2009-08-11 04:00:00,33.25,37.96,32.87,37.85,2723982
2009-08-12 04:00:00,38.02,38.51,37.02,38.2,3683620
2009-08-13 04:00:00,38.49,38.49,33.63,34.02,3913427
2009-08-14 04:00:00,33.96,38.7,33.66,38.49,4106365
2009-08-17 04:00:00,38.17,38.26,37.6,37.62,3170061
2009-08-18 04:00:00,37.67,37.92,32.87,32.99,4499491
2009-08-19 04:00:00,32.89,37.84,32.63,32.99,3765163
2009-08-20 04:00:00,33.02,38.01,32.81,37.98,3856874
2009-08-21 04:00:00,38.52,38.52,33.47,34.3,4441428
2009-08-24 04:00:00,34.3,34.44,34.1,34.41,3428139
2009-08-25 04:00:00,34.31,34.63,34.12,34.17,3363510
2009-08-26 04:00:00,34.68,38.73,33.77,38.61,3299024
2009-08-27 04:00:00,38.65,38.73,38.15,38.61,2669176
2009-08-28 04:00:00,38.66,38.88,33.51,33.86,2005223
2009-08-31 04:00:00,33.76,33.92,33.47,33.68,2414412
2009-09-01 04:00:00,33.67,34.06,33.01,33.16,5211320
2009-09-02 04:00:00,33.1,33.2,32.81,33.07,3999606
2009-09-03 04:00:00,32.81,33.24,32.72,33.2,2460456
2009-09-04 04:00:00,33.24,38.83,33.21,33.88,3609221
2009-09-08 04:00:00,33.77,34.12,33.59,34.02,3454590
2009-09-09 04:00:00,33.69,33.85,33.54,33.73,3409203
2009-09-10 04:00:00,33.68,33.85,33.35,33.64,3107750
2009-09-11 04:00:00,33.64,33.76,33.36,33.66,2779499
2009-09-14 04:00:00,33.49,38.41,33.48,33.74,2449191
2009-09-15 04:00:00,33.59,38.75,33.49,33.95,2826869
2009-09-16 04:00:00,34.23,34.59,33.67,34.54,4344816
2009-09-17 04:00:00,34.38,39.49,34.34,34.48,2379952
2009-09-18 04:00:00,34.78,34.78,34.3,34.57,4178175
2009-09-21 04:00:00,34.42,34.63,34.11,34.41,2143777
2009-09-22 04:00:00,34.49,35.05,34.22,34.95,2980110
2009-09-23 04:00:00,34.86,35.51,34.74,34.98,4167811
2009-09-24 04:00:00,34.89,35.09,33.95,34.49,5957219
2009-09-25 04:00:00,34.47,39.18,34.21,34.22,3155840
2009-09-28 04:00:00,34.18,35.08,34.07,35.0,2885310
2009-09-29 04:00:00,34.94,35.02,34.39,34.53,2404637
2009-09-30 04:00:00,34.56,34.8,34.12,34.59,3161072
2009-10-01 04:00:00,34.39,39.22,34.0,38.96,3959613
2009-10-02 04:00:00,38.9,39.35,33.95,38.79,4523861
2009-10-05 04:00:00,38.53,38.9,33.97,34.04,2697366
2009-10-06 04:00:00,33.97,38.99,33.81,34.06,3683371
2009-10-07 04:00:00,33.86,34.49,33.86,34.26,1981046
2009-10-08 04:00:00,40.06,40.06,34.81,34.87,2929697
2009-10-09 04:00:00,34.83,40.21,34.68,40.2,2717604
2009-10-12 04:00:00,39.61,40.31,34.77,35.15,1905491
2009-10-13 04:00:00,34.81,35.12,34.77,35.03,2094923
2009-10-14 04:00:00,35.09,35.86,35.04,35.79,4311097
2009-10-15 04:00:00,35.53,35.88,35.33,35.87,4150234
2009-10-16 04:00:00,35.59,40.77,35.18,40.62,4037368
2009-10-19 04:00:00,40.77,41.12,40.52,40.83,3228446
2009-10-20 04:00:00,40.68,40.74,35.09,35.29,2990650
2009-10-21 04:00:00,35.32,40.82,35.28,40.29,2869652
2009-10-22 04:00:00,40.68,40.68,35.62,36.0,2935477
2009-10-23 04:00:00,35.84,36.08,35.27,35.46,2746146
2009-10-26 04:00:00,35.33,40.49,35.19,40.36,2889140
2009-10-27 04:00:00,40.32,40.75,35.32,40.23,2856570
2009-10-28 04:00:00,40.59,40.59,35.12,35.13,3988536
2009-10-29 04:00:00,35.28,35.51,35.1,35.34,3302501
2009-10-30 04:00:00,35.47,35.64,34.91,34.93,5433393
2009-11-02 05:00:00,35.06,35.71,34.87,35.52,4774122
2009-11-03 05:00:00,35.7,35.72,35.13,35.69,4718919
2009-11-04 05:00:00,36.01,36.26,35.48,35.81,3697094
2009-11-05 05:00:00,36.12,42.24,35.9,42.24,3339382
2009-11-06 05:00:00,42.03,42.16,36.71,37.01,2850089
2009-11-09 05:00:00,37.15,37.7,37.08,37.7,3222461
2009-11-10 05:00:00,37.41,43.21,37.38,37.87,2938575
2009-11-11 05:00:00,37.95,43.4,37.76,43.39,2878281
2009-11-12 05:00:00,43.39,43.57,37.93,38.03,3963958
2009-11-13 05:00:00,38.2,38.2,37.79,38.07,3551882
2009-11-16 05:00:00,38.23,38.63,38.18,38.58,3666146
2009-11-17 05:00:00,38.68,38.68,38.34,38.63,2734960
2009-11-18 05:00:00,38.49,38.64,38.23,38.47,3800172
2009-11-19 05:00:00,38.3,43.53,37.59,43.44,3477919
2009-11-20 05:00:00,43.12,43.64,43.11,43.44,1689784
2009-11-23 05:00:00,38.37,38.96,38.26,38.84,3264587
2009-11-24 05:00:00,38.73,44.09,38.45,43.99,2662451
2009-11-25 05:00:00,44.24,44.24,38.49,38.58,2427059
2009-11-27 05:00:00,37.39,43.875,37.39,43.52,1693754
2009-11-30 05:00:00,43.3,43.6794,37.81,38.15,3029003
2009-12-01 05:00:00,38.48,44.14,38.32,43.81,3774419
2009-12-02 05:00:00,43.79,44.5,38.36,38.45,4916957
2009-12-03 05:00:00,38.27,43.64,38.2,43.2,4015954
2009-12-04 05:00:00,43.73,44.24,38.11,38.35,6871641
2009-12-07 05:00:00,38.44,38.7,38.07,38.53,3221711
2009-12-08 05:00:00,38.29,38.52,37.75,37.77,3516761
2009-12-09 05:00:00,37.48,43.13,37.26,43.07,3611258
2009-12-10 05:00:00,43.18,43.55,43.03,43.2,1949844
2009-12-11 05:00:00,43.34,43.5,42.98,43.04,2171322
2009-12-14 05:00:00,43.38,43.54,37.66,37.73,2389774
2009-12-15 05:00:00,37.77,37.96,37.56,37.65,2355744
2009-12-16 05:00:00,37.85,43.12,37.72,42.89,2356538
2009-12-17 05:00:00,42.3,42.59,37.11,37.15,3724239
2009-12-18 05:00:00,37.29,37.29,36.85,37.19,3968734
2009-12-21 05:00:00,37.29,42.9,37.23,42.78,2126864
2009-12-22 05:00:00,42.78,43.0601,37.6,42.91,1818225
2009-12-23 05:00:00,42.92,42.99,37.47,37.52,1332002
2009-12-24 05:00:00,37.48,37.84,37.36,37.76,656508
2009-12-28 05:00:00,37.7,37.94,37.69,37.91,1178740
2009-12-29 05:00:00,37.95,43.25,37.79,37.95,1180373
2009-12-30 05:00:00,37.92,43.22,37.7,37.97,1297769
2009-12-31 05:00:00,38.22,43.22,37.73,42.82,1398134
2010-01-04 05:00:00,43.54,43.54,37.48,37.6,3244868
2010-01-05 05:00:00,37.44,37.67,37.19,37.41,2782661
2010-01-06 05:00:00,37.58,42.53,36.92,42.5,2857799
2010-01-07 05:00:00,42.13,42.5,37.0,42.5,2254685
2010-01-08 05:00:00,42.42,42.45,37.12,37.23,1919370
2010-01-11 05:00:00,37.26,42.61,37.0,42.58,2266930
2010-01-12 05:00:00,42.36,42.64,36.87,37.15,2245721
2010-01-13 05:00:00,37.43,42.73,36.93,42.62,2238726
2010-01-14 05:00:00,42.33,42.7789,37.28,42.5,2102178
2010-01-15 05:00:00,42.91,42.96,36.72,37.03,2275680
2010-01-19 05:00:00,36.96,37.75,36.93,37.74,2720705
2010-01-20 05:00:00,37.24,37.51,36.57,37.19,3874229
2010-01-21 05:00:00,37.19,42.3,36.97,42.15,3967892
2010-01-22 05:00:00,41.83,42.35,36.22,36.29,3737342
2010-01-25 05:00:00,36.15,41.38,36.05,41.27,2095785
2010-01-26 05:00:00,41.08,41.27,35.97,36.05,2544520
2010-01-27 05:00:00,35.83,41.11,35.76,40.97,3566525
2010-01-28 05:00:00,40.8,41.18,35.44,35.7,4590212
2010-01-29 05:00:00,35.75,41.15,35.66,40.77,3450068
2010-02-01 05:00:00,40.82,41.16,35.87,36.15,3240678
2010-02-02 05:00:00,35.76,41.19,35.72,41.18,3834100
2010-02-03 05:00:00,40.87,41.02,40.51,40.8,2560851
2010-02-04 05:00:00,40.59,40.89,35.44,35.44,3864848
2010-02-05 05:00:00,35.44,35.55,34.87,35.32,4494048
2010-02-08 05:00:00,35.24,35.72,35.08,35.57,3231652
2010-02-09 05:00:00,35.82,36.1,35.54,35.77,3194687
2010-02-10 05:00:00,35.52,35.93,35.49,35.82,1962331
2010-02-11 05:00:00,35.61,36.09,35.29,35.91,2337322
2010-02-12 05:00:00,35.36,40.63,35.36,40.61,2470294
2010-02-16 05:00:00,40.89,41.06,35.9,36.26,2437476
2010-02-17 05:00:00,36.3,41.5,36.25,36.4,1998553
2010-02-18 05:00:00,36.61,36.67,36.11,36.18,4012672
2010-02-19 05:00:00,36.23,36.66,35.98,36.48,3869882
2010-02-22 05:00:00,36.54,41.61,36.33,41.61,3193672
2010-02-23 05:00:00,41.6,41.76,36.04,36.18,3032455
2010-02-24 05:00:00,36.12,42.15,36.12,37.14,4002628
2010-02-25 05:00:00,36.73,36.78,36.0,36.61,3975977
2010-02-26 05:00:00,36.83,41.67,36.16,41.62,3063966
2010-03-01 05:00:00,41.68,42.0,36.6,41.97,2944734
2010-03-02 05:00:00,41.91,42.1,36.72,36.74,2919350
2010-03-03 05:00:00,36.87,42.29,36.79,36.8,3470292
2010-03-04 05:00:00,36.81,41.82,36.67,41.71,4324887
2010-03-05 05:00:00,42.0,43.25,37.3,43.24,4846943
2010-03-08 05:00:00,43.17,43.23,37.78,37.88,3335675
2010-03-09 05:00:00,37.88,38.69,37.83,38.35,5842953
2010-03-10 05:00:00,38.02,43.92,38.02,43.87,4829119
2010-03-11 05:00:00,43.51,43.99,38.41,38.71,3699111
2010-03-12 05:00:00,38.47,38.61,38.36,38.49,2806444
2010-03-15 04:00:00,38.79,38.94,38.52,38.84,2841398
2010-03-16 04:00:00,38.92,44.27,38.78,44.25,2201335
2010-03-17 04:00:00,44.26,44.49,38.98,39.24,2845822
2010-03-18 04:00:00,39.14,39.39,39.06,39.26,1866193
2010-03-19 04:00:00,39.53,44.76,38.72,44.6,2860922
2010-03-22 04:00:00,44.52,44.83,39.25,44.83,4036233
2010-03-23 04:00:00,44.99,45.0,39.2,39.42,2849670
2010-03-24 04:00:00,39.19,44.435,38.92,44.35,4178305
2010-03-25 04:00:00,44.46,44.46,43.94,43.98,3977388
2010-03-26 04:00:00,44.27,44.3702,38.57,44.24,1885385
2010-03-29 04:00:00,44.09,44.66,39.14,39.22,2766144
2010-03-30 04:00:00,44.37,44.7,44.27,44.59,1686988
2010-03-31 04:00:00,44.49,44.52,38.99,44.47,2199033
2010-04-01 04:00:00,44.47,44.66,43.9,44.17,2490269
2010-04-05 04:00:00,44.38,44.64,38.82,38.98,3191911
2010-04-06 04:00:00,38.95,39.01,38.72,38.88,3978064
2010-04-07 04:00:00,38.85,38.89,38.44,38.57,2910392
2010-04-08 04:00:00,38.59,44.02,38.31,43.9,2417454
2010-04-09 04:00:00,44.01,44.04,38.58,38.85,2120560
2010-04-12 04:00:00,38.89,38.89,38.65,38.82,2126606
2010-04-13 04:00:00,38.79,44.08,38.52,43.94,2585624
2010-04-14 04:00:00,43.86,43.92,38.4,38.79,3384995
2010-04-15 04:00:00,38.83,39.28,38.73,39.24,2744564
2010-04-16 04:00:00,39.06,39.4,38.81,38.88,4794960
2010-04-19 04:00:00,38.95,44.64,38.85,39.21,2590513
2010-04-20 04:00:00,39.32,45.045,39.32,45.04,2402702
2010-04-21 04:00:00,45.11,45.11,39.24,39.5,2329209
2010-04-22 04:00:00,39.38,45.06,39.1,39.57,2234549
2010-04-23 04:00:00,39.61,45.5,39.3,45.5,2883123
2010-04-26 04:00:00,45.24,45.712,39.82,39.89,2580206
2010-04-27 04:00:00,39.5,39.74,38.88,39.0,5173446
2010-04-28 04:00:00,39.13,44.29,38.59,44.14,4698668
2010-04-29 04:00:00,44.15,44.35,38.83,38.99,4266848
2010-04-30 04:00:00,39.15,39.15,38.05,38.07,4422955
2010-05-03 04:00:00,38.39,43.76,37.98,38.35,2723355
2010-05-04 04:00:00,38.24,42.92,37.14,37.63,4338558
2010-05-05 04:00:00,37.64,38.22,37.25,37.45,3832829
2010-05-06 04:00:00,37.22,43.06,26.46,41.41,6410988
2010-05-07 04:00:00,41.05,42.14,40.82,41.56,7098520
2010-05-10 04:00:00,42.29,43.08,36.91,37.19,5029171
2010-05-11 04:00:00,37.18,42.95,37.13,42.49,3436651
2010-05-12 04:00:00,42.53,42.99,37.55,37.77,3228804
2010-05-13 04:00:00,37.57,37.74,37.31,37.31,4108843
2010-05-14 04:00:00,36.98,37.23,36.59,36.81,4179361
2010-05-17 04:00:00,41.94,42.32,41.5,42.12,3946058
2010-05-18 04:00:00,42.12,42.48,36.5,36.65,3665978
2010-05-19 04:00:00,36.46,36.88,36.37,36.48,4660827
2010-05-20 04:00:00,36.05,41.16,35.35,35.38,5414912
2010-05-21 04:00:00,34.78,40.63,34.71,40.62,4014644
2010-05-24 04:00:00,40.39,40.73,35.35,35.4,3071108
2010-05-25 04:00:00,34.91,35.24,34.48,35.24,4877387
2010-05-26 04:00:00,35.31,35.77,34.92,35.04,4235318
2010-05-27 04:00:00,35.82,36.13,35.54,36.13,3372687
2010-05-28 04:00:00,36.01,41.29,35.69,40.87,3202366
2010-06-01 04:00:00,40.75,41.27,35.51,35.57,2736051
2010-06-02 04:00:00,35.54,41.155,35.23,36.41,3363199
2010-06-03 04:00:00,36.47,42.05,36.28,36.85,3755975
2010-06-04 04:00:00,35.83,40.88,35.81,40.46,3882540
2010-06-07 04:00:00,40.43,40.54,35.09,35.12,4249087
2010-06-08 04:00:00,35.09,36.09,35.04,36.06,5994129
2010-06-09 04:00:00,35.79,36.36,35.58,35.87,6020804
2010-06-10 04:00:00,36.13,37.18,35.93,37.01,5217489
2010-06-11 04:00:00,36.87,41.88,36.35,41.83,3629910
2010-06-14 04:00:00,41.73,42.44,36.73,36.78,2878623
2010-06-15 04:00:00,37.09,37.47,36.82,37.46,3339835
2010-06-16 04:00:00,37.28,42.62,37.09,42.39,2992037
2010-06-17 04:00:00,42.45,42.58,36.86,37.19,3630331
2010-06-18 04:00:00,37.36,37.39,36.88,37.06,3799615
2010-06-21 04:00:00,37.36,42.02,36.74,41.72,4840973
2010-06-22 04:00:00,41.46,42.16,36.21,36.25,4058290
2010-06-23 04:00:00,36.05,36.33,35.86,36.04,3553027
2010-06-24 04:00:00,35.75,36.0,35.42,35.63,5501195
2010-06-25 04:00:00,35.65,36.06,35.47,35.88,5212400
2010-06-28 04:00:00,36.09,41.09,35.84,40.9,4214472
2010-06-29 04:00:00,40.46,40.87,35.27,40.4,7357335
2010-06-30 04:00:00,40.23,40.69,35.22,35.34,4697244
