Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,18.63,19.12,18.5758,18.85,1819743
2009-05-15 04:00:00,18.79,19.29,18.43,19.0,2642544
2009-05-18 04:00:00,18.6696,19.49,18.5396,19.48,2277957
2009-05-19 04:00:00,19.53,19.86,19.25,19.42,4039491
2009-05-20 04:00:00,19.46,19.88,19.0,19.14,3684782
2009-05-21 04:00:00,18.78,19.0,18.54,18.83,5284075
2009-05-22 04:00:00,21.1,21.52,20.55,20.7,11339022
2009-05-26 04:00:00,20.29,21.22,20.07,21.12,4886673
2009-05-27 04:00:00,21.2,21.86,20.94,21.17,3420603
2009-05-28 04:00:00,21.25,21.73,20.8,21.25,2921526
2009-05-29 04:00:00,21.14,21.5,20.82,21.46,2964738
2009-06-01 04:00:00,21.45,22.75,21.44,22.7,5086083
2009-06-02 04:00:00,22.73,22.85,22.17,22.22,2476361
2009-06-03 04:00:00,22.0,22.35,21.63,22.08,2172369
2009-06-04 04:00:00,22.28,22.37,21.76,22.19,2585970
2009-06-05 04:00:00,22.38,22.6,21.83,22.17,3295479
2009-06-08 04:00:00,22.17,22.24,21.6327,22.02,2810765
2009-06-09 04:00:00,22.18,22.595,21.95,22.45,2691370
2009-06-10 04:00:00,22.57,22.65,21.88,22.31,1901034
2009-06-11 04:00:00,22.26,22.74,22.2,22.4,1759123
2009-06-12 04:00:00,22.01,22.33,21.82,22.3,1974516
2009-06-15 04:00:00,21.97,21.97,21.11,21.29,2467289
2009-06-16 04:00:00,21.18,21.57,20.95,20.98,1931936
2009-06-17 04:00:00,21.06,21.23,20.84,20.94,2543400
2009-06-18 04:00:00,21.03,21.33,20.49,20.7,1893856
2009-06-19 04:00:00,20.93,21.07,20.36,20.6,2979260
2009-06-22 04:00:00,20.25,20.4,19.77,19.81,2941441
2009-06-23 04:00:00,19.93,19.93,19.526,19.68,2712536
2009-06-24 04:00:00,19.74,20.12,19.565,19.84,3060898
2009-06-25 04:00:00,19.39,20.14,19.39,20.08,2379994
2009-06-26 04:00:00,19.71,20.06,19.638,19.76,1828301
2009-06-29 04:00:00,20.12,20.12,19.5,19.52,3444715
2009-06-30 04:00:00,19.54,19.65,18.93,18.98,4254169
2009-07-01 04:00:00,19.12,19.24,18.64,18.66,6331804
2009-07-02 04:00:00,18.63,18.74,18.05,18.11,4332198
2009-07-06 04:00:00,18.07,18.22,17.78,18.17,4538722
2009-07-07 04:00:00,18.4,18.4,17.69,17.69,3620496
2009-07-08 04:00:00,17.68,17.9,16.91,17.02,7575504
2009-07-09 04:00:00,16.96,18.0,16.94,17.79,6235448
2009-07-10 04:00:00,17.34,18.06,17.34,17.79,4144971
2009-07-13 04:00:00,17.81,18.0,17.28,17.95,2387137
2009-07-14 04:00:00,17.82,18.05,17.76,18.05,2835170
2009-07-15 04:00:00,18.16,18.48,18.1,18.45,3960068
2009-07-16 04:00:00,18.29,18.75,18.17,18.7,2458110
2009-07-17 04:00:00,18.73,18.88,18.58,18.77,2486077
2009-07-20 04:00:00,18.77,19.37,18.75,19.31,3425952
2009-07-21 04:00:00,19.26,20.31,19.08,20.27,8046278
2009-07-22 04:00:00,20.53,21.35,20.3,21.13,9004308
2009-07-23 04:00:00,20.88,22.13,20.82,21.95,7420258
2009-07-24 04:00:00,21.6,22.32,21.48,22.3,4550063
2009-07-27 04:00:00,21.64,21.95,21.52,21.9,4604430
2009-07-28 04:00:00,22.45,22.95,22.28,22.5,7644716
2009-07-29 04:00:00,22.41,22.48,21.81,21.93,4588444
2009-07-30 04:00:00,22.3,22.47,21.68,21.79,5516610
2009-07-31 04:00:00,22.02,22.17,21.77,21.83,2831889
2009-08-03 04:00:00,22.23,22.23,21.63,21.89,5193325
2009-08-04 04:00:00,21.77,21.94,21.72,21.92,3050578
2009-08-05 04:00:00,22.24,22.5,21.57,21.76,3932046
2009-08-06 04:00:00,21.76,22.07,21.59,21.82,5129635
2009-08-07 04:00:00,22.6,23.88,22.44,23.76,7672577
2009-08-10 04:00:00,23.27,24.18,23.25,23.87,5995288
2009-08-11 04:00:00,23.8751,24.25,23.7652,23.99,5108611
2009-08-12 04:00:00,23.85,25.16,23.85,24.71,7419376
2009-08-13 04:00:00,24.76,24.89,23.81,24.2,9959338
2009-08-14 04:00:00,25.24,25.61,25.03,25.38,13025838
2009-08-17 04:00:00,24.7,24.96,23.8,23.84,5236314
2009-08-18 04:00:00,24.1,24.39,23.96,24.35,4437077
2009-08-19 04:00:00,23.92,24.27,23.65,24.17,3638859
2009-08-20 04:00:00,24.24,24.63,24.21,24.3101,2280283
2009-08-21 04:00:00,24.58,24.91,24.14,24.5,3687726
2009-08-24 04:00:00,24.54,24.54,23.94,24.02,3426149
2009-08-25 04:00:00,24.15,24.47,24.0,24.29,2643574
2009-08-26 04:00:00,24.21,24.59,23.98,24.18,2410381
2009-08-27 04:00:00,24.29,24.37,23.61,24.26,2282651
2009-08-28 04:00:00,24.37,24.68,23.6299,23.91,2368206
2009-08-31 04:00:00,23.71,23.89,23.32,23.44,2022561
2009-09-01 04:00:00,23.54,23.99,22.691,22.7,3364224
2009-09-02 04:00:00,22.8,22.96,22.5,22.75,2537361
2009-09-03 04:00:00,22.75,22.93,22.3293,22.56,2734322
2009-09-04 04:00:00,22.51,23.3,22.41,23.12,2870754
