Date,Open,High,Low,Close,Volume
2009-05-13 04:00:00,18.049,26.54,17.803,17.83,8021225
2009-05-14 04:00:00,17.92,18.009,17.453,17.611,6959040
2009-05-15 04:00:00,17.433,17.433,16.94,17.084,10159795
2009-05-18 04:00:00,17.214,25.55,17.118,25.54,9207489
2009-05-19 04:00:00,25.6,26.18,25.58,25.8,4458042
2009-05-20 04:00:00,25.93,26.0,17.282,25.09,5852470
2009-05-21 04:00:00,25.05,25.21,17.07,17.159,5377709
2009-05-22 04:00:00,17.214,17.364,17.111,17.227,4460028
2009-05-26 04:00:00,17.282,25.96,17.089,17.707,5479539
2009-05-27 04:00:00,17.748,17.83,17.392,17.412,4316458
2009-05-28 04:00:00,17.542,17.953,17.426,17.871,6049649
2009-05-29 04:00:00,17.919,26.34,17.755,26.34,7489211
2009-06-01 04:00:00,26.58,27.36,26.58,27.25,4822767
2009-06-02 04:00:00,27.31,27.38,26.385,26.45,6560371
2009-06-03 04:00:00,26.42,26.8,26.0,26.35,3019280
2009-06-04 04:00:00,26.5,26.52,17.967,18.07,4156202
2009-06-05 04:00:00,18.131,18.399,17.864,18.358,7327437
2009-06-08 04:00:00,18.234,18.426,17.858,18.063,4897345
2009-06-09 04:00:00,18.139,26.24,17.899,26.13,3154444
2009-06-10 04:00:00,26.33,26.94,18.139,18.358,6309075
2009-06-11 04:00:00,18.453,27.6301,18.432,27.41,6683661
2009-06-12 04:00:00,27.28,27.7801,18.947,19.18,5324161
2009-06-15 04:00:00,18.981,19.104,18.597,18.741,4729344
2009-06-16 04:00:00,18.762,19.104,18.728,18.954,7840086
2009-06-17 04:00:00,18.866,27.9,18.846,27.818,4822173
2009-06-18 04:00:00,27.89,28.12,19.049,19.495,5579890
2009-06-19 04:00:00,19.625,28.56,19.317,28.4,7260737
2009-06-22 04:00:00,28.24,28.93,19.597,19.693,5913316
2009-06-23 04:00:00,19.741,28.4,19.351,28.25,5945209
2009-06-24 04:00:00,28.52,28.95,28.27,28.53,3924899
2009-06-25 04:00:00,28.49,28.54,19.309,19.81,8371822
2009-06-26 04:00:00,19.838,28.75,19.481,28.55,4291180
2009-06-29 04:00:00,28.61,28.95,19.803,19.892,3161593
2009-06-30 04:00:00,19.844,19.94,19.454,19.789,6771972
2009-07-01 04:00:00,19.947,29.19,19.817,29.05,4377812
2009-07-02 04:00:00,28.76,28.86,19.358,19.371,5404159
2009-07-06 04:00:00,19.35,19.858,19.282,19.83,6102447
2009-07-07 04:00:00,19.83,19.858,19.543,19.57,6116539
2009-07-08 04:00:00,19.68,28.42,19.282,28.33,4819021
2009-07-09 04:00:00,28.52,28.64,19.364,19.584,4013223
2009-07-10 04:00:00,19.543,19.604,19.248,19.543,4785444
2009-07-13 04:00:00,19.563,19.714,19.269,19.693,7152486
2009-07-14 04:00:00,19.782,19.871,19.549,19.851,3701666
2009-07-15 04:00:00,19.967,20.37,19.837,20.34,4380345
2009-07-16 04:00:00,20.28,30.09,19.906,29.97,4584009
2009-07-17 04:00:00,29.88,30.14,29.43,29.8,2837450
2009-07-20 04:00:00,30.0,30.1,20.32,20.52,4713264
2009-07-21 04:00:00,20.71,30.24,20.38,30.24,4725886
2009-07-22 04:00:00,30.2,30.27,20.29,20.36,5041696
2009-07-23 04:00:00,20.44,21.0,20.38,20.69,12480664
2009-07-24 04:00:00,20.65,30.97,20.59,30.91,4778179
2009-07-27 04:00:00,30.83,31.15,21.06,31.15,2877429
2009-07-28 04:00:00,31.02,31.04,20.75,20.89,4811808
2009-07-29 04:00:00,20.75,30.61,20.75,30.49,3255016
2009-07-30 04:00:00,30.69,31.0,30.44,30.63,2927796
2009-07-31 04:00:00,31.37,32.36,21.15,21.21,6621469
2009-08-03 04:00:00,21.45,31.04,21.16,31.0,3861878
2009-08-04 04:00:00,21.22,21.39,21.1,21.16,5337859
2009-08-05 04:00:00,21.24,30.78,20.95,21.1,3138138
