Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,720.2,732.0,35.6,732.0,1821983
2009-05-19 04:00:00,743.8,747.8,712.2,724.0,163770
2009-05-20 04:00:00,36.6,742.0,36.4,714.0,1188437
2009-05-21 04:00:00,696.2,704.2,34.8,36.4,550647
2009-05-22 04:00:00,33.8,720.0,32.2,680.0,3368720
2009-05-26 04:00:00,660.0,684.0,648.0,680.0,155068
2009-05-27 04:00:00,680.0,688.0,664.0,664.0,104375
2009-05-28 04:00:00,668.0,672.0,32.6,668.0,1473280
2009-05-29 04:00:00,696.4,696.4,672.0,676.0,90805
2009-06-01 04:00:00,680.0,684.0,660.0,664.0,105135
2009-06-02 04:00:00,654.0,658.0,622.0,626.0,180517
2009-06-03 04:00:00,622.0,622.0,578.0,590.0,242048
2009-06-04 04:00:00,602.0,658.0,598.0,654.0,163830
2009-06-05 04:00:00,676.0,696.0,660.0,684.0,216855
2009-06-08 04:00:00,670.0,678.0,654.0,662.0,98046
2009-06-09 04:00:00,668.0,672.0,652.0,660.0,76069
2009-06-10 04:00:00,666.0,666.0,638.0,642.0,114357
2009-06-11 04:00:00,650.0,658.0,32.0,32.0,301205
2009-06-12 04:00:00,32.2,32.4,31.0,32.0,1568127
2009-06-15 04:00:00,31.6,31.6,30.2,30.8,2063058
2009-06-16 04:00:00,31.0,31.6,29.598,29.8,2607143
2009-06-17 04:00:00,29.8,584.0,28.2,560.0,1812173
2009-06-18 04:00:00,28.2,29.8,28.0,29.4,2216967
2009-06-19 04:00:00,614.0,618.0,594.0,610.0,106832
2009-06-22 04:00:00,594.0,594.0,28.0,28.0,989054
2009-06-23 04:00:00,570.0,578.0,558.0,566.0,66536
2009-06-24 04:00:00,576.0,580.0,564.0,568.0,54148
2009-06-25 04:00:00,586.0,590.0,570.0,582.0,72709
2009-06-26 04:00:00,582.0,590.0,574.0,582.0,57289
2009-06-29 04:00:00,582.0,582.0,510.2,534.0,203532
2009-06-30 04:00:00,546.2,546.2,22.4,22.6,5060689
2009-07-01 04:00:00,19.65,22.96,17.54,17.95,38154218
2009-07-02 04:00:00,17.89,19.5749,17.65,18.33,12141079
2009-07-06 04:00:00,18.3,18.31,15.78,16.25,17177518
2009-07-07 04:00:00,15.85,15.96,13.55,13.61,26619838
2009-07-08 04:00:00,13.35,14.07,12.47,13.13,20708987
2009-07-09 04:00:00,12.25,12.4,9.13,9.41,58895202
2009-07-10 04:00:00,8.85,12.44,8.22,11.77,88493353
2009-07-13 04:00:00,12.5,14.77,12.48,14.51,68755675
2009-07-14 04:00:00,15.65,16.2,13.65,14.23,72656991
2009-07-15 04:00:00,14.7,14.7,13.8,14.091,27967155
2009-07-16 04:00:00,13.82,13.94,12.54,12.83,24003817
2009-07-17 04:00:00,12.59,14.43,12.44,13.47,26977925
2009-07-20 04:00:00,13.85,13.93,13.14,13.37,10527297
2009-07-21 04:00:00,13.52,13.94,13.05,13.17,8010289
2009-07-22 04:00:00,13.14,13.3,13.02,13.11,4935467
2009-07-23 04:00:00,13.11,13.25,12.54,12.62,8666574
2009-07-24 04:00:00,12.68,13.08,12.0876,12.46,10634082
