Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,20.13,26.0,19.597,25.87,6848770
2009-05-19 04:00:00,25.69,27.6799,25.6,26.52,9512607
2009-05-20 04:00:00,26.95,27.15,20.77,20.95,7107896
2009-05-21 04:00:00,20.59,21.46,20.54,21.34,6213195
2009-05-22 04:00:00,21.41,26.6,20.98,26.29,4784654
2009-05-26 04:00:00,26.17,26.34,21.13,21.43,7583764
2009-05-27 04:00:00,21.5,21.65,20.25,20.35,7373947
2009-05-28 04:00:00,20.57,25.56,20.56,20.95,5867786
2009-05-29 04:00:00,20.91,25.79,20.44,25.78,5231306
2009-06-01 04:00:00,25.86,26.4,25.54,26.19,5171601
2009-06-02 04:00:00,26.18,26.8,21.55,26.34,6102706
2009-06-03 04:00:00,26.13,26.2,20.81,21.05,3938384
2009-06-04 04:00:00,21.12,21.38,20.89,21.12,6311119
2009-06-05 04:00:00,21.28,25.51,20.67,25.07,6504460
2009-06-08 04:00:00,25.39,25.79,20.7,20.78,6652684
2009-06-09 04:00:00,20.93,25.65,20.51,20.84,4818700
2009-06-10 04:00:00,20.62,25.32,20.62,24.93,4928935
2009-06-11 04:00:00,24.91,25.35,20.34,20.36,5414131
2009-06-12 04:00:00,20.34,24.98,20.11,20.34,4216423
2009-06-15 04:00:00,20.09,20.27,19.902,19.934,4741537
2009-06-16 04:00:00,20.06,24.26,19.795,23.67,5813835
2009-06-17 04:00:00,23.57,23.76,18.96,19.042,6162828
2009-06-18 04:00:00,19.132,24.16,19.009,23.83,7472227
2009-06-19 04:00:00,23.97,24.5,19.566,19.705,4484020
2009-06-22 04:00:00,19.41,19.598,18.919,18.936,4691193
2009-06-23 04:00:00,19.058,23.51,18.943,23.45,3887287
2009-06-24 04:00:00,23.65,23.93,19.304,19.5,4607388
2009-06-25 04:00:00,19.361,19.869,19.009,19.861,5005195
2009-06-26 04:00:00,19.697,19.975,19.566,19.779,3472223
2009-06-29 04:00:00,19.664,24.66,19.533,24.61,3048871
2009-06-30 04:00:00,24.58,24.58,19.812,19.975,3137801
2009-07-01 04:00:00,20.06,20.65,19.799,20.52,6403167
2009-07-02 04:00:00,20.2,20.32,19.623,19.689,5481840
2009-07-06 04:00:00,19.738,24.71,19.664,24.7,5362588
2009-07-07 04:00:00,24.71,24.72,19.517,19.525,4687695
2009-07-08 04:00:00,19.533,23.63,19.165,23.41,6781550
2009-07-09 04:00:00,23.69,23.9,19.042,19.124,3879551
2009-07-10 04:00:00,18.993,19.263,18.682,18.895,4372152
2009-07-13 04:00:00,19.139,20.25,19.081,20.19,7524734
2009-07-14 04:00:00,20.09,24.26,19.607,19.64,4783508
2009-07-15 04:00:00,19.804,25.05,19.804,24.87,5879505
2009-07-16 04:00:00,24.76,24.9,19.967,20.06,4263617
2009-07-17 04:00:00,20.05,24.33,19.746,19.844,4333181
2009-07-20 04:00:00,19.984,20.0,19.721,19.844,3740409
2009-07-21 04:00:00,19.926,24.85,19.91,20.2,4142916
2009-07-22 04:00:00,19.918,20.64,19.796,20.52,3735958
2009-07-23 04:00:00,20.47,26.11,20.47,25.95,4396276
2009-07-24 04:00:00,25.73,26.54,21.58,21.61,2985862
2009-07-27 04:00:00,21.7,22.0,21.54,21.96,3756589
2009-07-28 04:00:00,21.77,26.51,21.42,26.29,3159244
2009-07-29 04:00:00,26.18,26.47,21.29,21.35,2758354
2009-07-30 04:00:00,21.55,26.82,21.37,21.6,3510096
2009-07-31 04:00:00,21.6,27.05,21.51,22.03,3623057
2009-08-03 04:00:00,22.41,22.51,22.1,22.4,3628688
2009-08-04 04:00:00,22.36,28.28,22.3,23.06,4408543
2009-08-05 04:00:00,23.18,23.23,22.58,23.11,5435300
2009-08-06 04:00:00,22.56,27.5,22.12,27.25,9273559
2009-08-07 04:00:00,27.45,27.59,22.28,22.75,6546328
2009-08-10 04:00:00,22.64,22.75,22.0,22.32,3681696
2009-08-11 04:00:00,22.27,22.38,21.84,21.89,4887441
2009-08-12 04:00:00,22.56,28.825,22.4,23.27,8172408
2009-08-13 04:00:00,23.52,23.89,23.07,23.68,6617615
2009-08-14 04:00:00,23.59,23.67,23.05,23.37,4012160
2009-08-17 04:00:00,22.86,23.17,22.41,22.49,4497413
2009-08-18 04:00:00,22.6,27.52,22.18,27.47,3960969
2009-08-19 04:00:00,27.25,27.59,26.85,27.52,2421316
2009-08-20 04:00:00,27.46,27.97,22.52,22.67,2801612
2009-08-21 04:00:00,23.2,28.72,22.82,23.44,3915528
2009-08-24 04:00:00,23.58,29.17,23.53,28.7,3228626
2009-08-25 04:00:00,28.92,29.33,23.69,28.94,3170535
2009-08-26 04:00:00,28.96,29.2,28.4,29.14,3128352
2009-08-27 04:00:00,28.82,28.94,23.57,24.05,4062717
2009-08-28 04:00:00,24.17,29.3,23.76,29.28,3364302
2009-08-31 04:00:00,28.89,29.35,23.93,24.23,3108840
2009-09-01 04:00:00,24.07,29.71,23.94,28.2,6123543
2009-09-02 04:00:00,28.01,28.35,23.1,23.13,3106271
2009-09-03 04:00:00,23.3,23.5,22.97,23.48,3175160
2009-09-04 04:00:00,23.61,28.83,23.13,23.78,2498079
2009-09-08 04:00:00,24.05,28.84,23.37,28.8,4119948
2009-09-09 04:00:00,28.81,28.88,23.48,23.72,4866012
2009-09-10 04:00:00,23.62,29.33,23.31,29.24,3513761
2009-09-11 04:00:00,28.55,29.13,28.29,28.92,4132396
2009-09-14 04:00:00,28.64,28.92,23.8,23.9,2976443
2009-09-15 04:00:00,23.88,24.16,23.73,23.81,5199171
2009-09-16 04:00:00,23.88,29.82,23.57,24.6,4849255
2009-09-17 04:00:00,24.53,25.11,24.37,25.0,8214063
2009-09-18 04:00:00,25.36,25.49,25.13,25.26,6342638
2009-09-21 04:00:00,25.03,30.54,24.88,30.29,2781078
2009-09-22 04:00:00,30.61,30.64,30.01,30.22,3008451
2009-09-23 04:00:00,30.17,30.7,24.93,29.77,3369474
2009-09-24 04:00:00,29.7,30.225,29.08,29.16,4292320
2009-09-25 04:00:00,29.02,29.67,23.89,24.01,3021813
2009-09-28 04:00:00,24.8,30.9,24.34,25.49,5871047
2009-09-29 04:00:00,25.6,31.32,25.37,30.96,4897796
2009-09-30 04:00:00,31.11,31.45,25.11,30.67,6034906
2009-10-01 04:00:00,30.7,31.36,25.06,25.06,8035318
2009-10-02 04:00:00,24.7,31.24,24.55,30.77,5435065
2009-10-05 04:00:00,31.06,31.15,25.42,25.66,3956393
2009-10-06 04:00:00,25.79,25.97,25.35,25.71,5679862
2009-10-07 04:00:00,25.6,31.32,25.39,25.87,2977137
2009-10-08 04:00:00,26.04,31.755,25.83,25.95,3607250
2009-10-09 04:00:00,25.97,26.32,25.82,26.31,3235656
2009-10-12 04:00:00,26.41,31.66,25.94,31.65,3562842
2009-10-13 04:00:00,31.56,31.56,25.33,25.57,5388184
2009-10-14 04:00:00,25.94,31.74,25.61,26.25,6660302
2009-10-15 04:00:00,26.04,32.13,25.89,26.5,4200585
2009-10-16 04:00:00,26.05,26.23,25.65,26.11,6093309
2009-10-19 04:00:00,26.17,32.12,26.09,31.99,3363866
2009-10-20 04:00:00,32.05,32.05,25.78,26.04,3555346
2009-10-21 04:00:00,25.83,26.25,25.44,25.48,4291224
2009-10-22 04:00:00,25.52,32.23,25.46,26.55,4482694
2009-10-23 04:00:00,26.48,31.651,25.93,31.56,6278764
2009-10-26 04:00:00,31.44,31.66,24.86,25.01,8033898
2009-10-27 04:00:00,25.0,25.24,24.54,24.62,5088010
2009-10-28 04:00:00,24.47,29.7199,24.38,29.3,3868632
2009-10-29 04:00:00,29.67,29.99,24.71,25.35,4574208
2009-10-30 04:00:00,25.21,25.21,24.13,24.38,6108074
2009-11-02 05:00:00,24.52,24.94,23.91,24.43,4375195
2009-11-03 05:00:00,24.33,29.84,24.07,29.71,3516710
2009-11-04 05:00:00,30.06,30.3737,24.37,24.42,5175631
2009-11-05 05:00:00,23.9,24.16,22.8,23.95,12257545
2009-11-06 05:00:00,23.58,24.02,23.56,23.85,3688516
2009-11-09 05:00:00,23.89,29.52,23.77,29.51,5818115
2009-11-10 05:00:00,29.44,29.53,24.12,24.14,5035560
2009-11-11 05:00:00,24.31,24.37,24.02,24.2,5852188
2009-11-12 05:00:00,24.19,24.2,23.74,23.79,4942151
2009-11-13 05:00:00,23.79,23.95,23.55,23.83,4925372
2009-11-16 05:00:00,24.01,29.62,23.97,29.34,4224946
2009-11-17 05:00:00,29.34,29.43,23.9,24.07,2895394
2009-11-18 05:00:00,24.08,29.24,23.82,24.08,3452998
2009-11-19 05:00:00,23.91,28.97,23.5,23.8,3451728
2009-11-20 05:00:00,23.54,24.13,23.49,24.0,5582760
2009-11-23 05:00:00,24.32,29.47,24.07,24.21,4275730
2009-11-24 05:00:00,24.11,24.19,23.87,23.9,4045059
2009-11-25 05:00:00,24.09,29.2473,23.91,24.15,4775538
2009-11-27 05:00:00,23.57,23.76,23.28,23.47,2220306
2009-11-30 05:00:00,23.52,23.64,23.17,23.58,5985671
2009-12-01 05:00:00,23.87,28.56,23.57,28.53,4048090
2009-12-02 05:00:00,28.56,28.83,23.59,23.64,3139362
2009-12-03 05:00:00,23.75,23.88,23.32,23.38,3861021
2009-12-04 05:00:00,23.71,28.62,23.42,28.6,4669669
2009-12-07 05:00:00,28.49,28.74,23.43,23.47,2884465
2009-12-08 05:00:00,23.32,23.4,23.01,23.02,5979172
2009-12-09 05:00:00,23.01,23.08,22.84,23.03,5687567
2009-12-10 05:00:00,23.23,23.23,23.04,23.16,4882984
2009-12-11 05:00:00,23.32,23.76,23.22,23.76,5917969
2009-12-14 05:00:00,23.87,23.91,23.67,23.76,4760944
2009-12-15 05:00:00,23.59,28.5,23.44,28.44,3146944
2009-12-16 05:00:00,28.53,28.8086,23.76,23.84,3486591
2009-12-17 05:00:00,23.59,28.38,23.43,23.5,4177611
2009-12-18 05:00:00,23.52,28.86,23.52,28.85,5793925
2009-12-21 05:00:00,28.95,29.52,28.95,29.34,3592013
2009-12-22 05:00:00,29.31,29.79,29.25,29.58,2908037
2009-12-23 05:00:00,29.58,29.96,24.86,24.99,3691367
2009-12-24 05:00:00,25.07,25.28,25.03,25.09,1240060
2009-12-28 05:00:00,25.08,30.305,24.95,25.19,1785010
2009-12-29 05:00:00,25.28,25.32,25.02,25.18,2639576
2009-12-30 05:00:00,25.0,30.56,24.98,30.55,2028584
2009-12-31 05:00:00,30.54,30.76,24.96,30.04,1914100
2010-01-04 05:00:00,30.36,30.51,24.98,25.24,2540109
2010-01-05 05:00:00,25.31,30.87,25.03,25.66,5367204
2010-01-06 05:00:00,25.67,25.73,25.49,25.67,3911656
2010-01-07 05:00:00,25.62,25.88,25.42,25.8,4187046
2010-01-08 05:00:00,25.63,31.285,25.55,31.22,2903444
2010-01-11 05:00:00,31.34,31.44,25.77,31.2,2102133
2010-01-12 05:00:00,31.44,31.73,25.92,31.17,5418970
2010-01-13 05:00:00,31.19,31.675,31.19,31.47,3102447
2010-01-14 05:00:00,31.35,31.49,25.78,26.26,3328165
2010-01-15 05:00:00,26.2,26.2,25.47,25.66,5344135
2010-01-19 05:00:00,25.55,31.43,25.38,31.41,2873005
2010-01-20 05:00:00,31.23,31.23,30.69,31.2,3371110
2010-01-21 05:00:00,31.16,31.42,25.25,25.59,5347773
2010-01-22 05:00:00,25.61,30.6025,25.28,29.96,7006378
2010-01-25 05:00:00,30.33,30.63,25.17,25.19,4167447
2010-01-26 05:00:00,25.13,25.78,24.98,25.13,4879238
2010-01-27 05:00:00,25.11,25.37,24.72,25.13,5830518
2010-01-28 05:00:00,25.36,30.23,25.05,29.92,2752535
2010-01-29 05:00:00,30.13,30.38,24.84,24.84,2568544
2010-02-01 05:00:00,24.98,25.11,24.67,24.86,2512779
2010-02-02 05:00:00,24.79,30.41,24.79,25.33,2966322
2010-02-03 05:00:00,25.22,25.22,24.59,24.76,4947541
2010-02-04 05:00:00,24.59,24.74,23.81,23.81,6587223
2010-02-05 05:00:00,23.81,28.94,23.34,28.92,6085076
2010-02-08 05:00:00,28.84,28.85,28.32,28.37,2404574
2010-02-09 05:00:00,28.64,28.79,28.23,28.72,2601344
2010-02-10 05:00:00,28.73,28.73,23.63,23.74,4064762
2010-02-11 05:00:00,23.71,24.78,23.45,24.41,6800727
2010-02-12 05:00:00,24.18,24.51,24.07,24.51,6085941
2010-02-16 05:00:00,24.93,30.56,24.79,30.51,5784599
2010-02-17 05:00:00,30.7,30.75,30.47,30.68,4422476
2010-02-18 05:00:00,30.56,31.04,25.7,25.94,5155733
2010-02-19 05:00:00,25.8,31.25,25.64,25.91,4859901
2010-02-22 05:00:00,25.92,26.14,25.76,26.07,4105720
2010-02-23 05:00:00,25.98,26.25,25.79,25.88,6363551
2010-02-24 05:00:00,25.89,25.99,25.74,25.96,4799374
2010-02-25 05:00:00,25.59,25.98,25.44,25.98,4932281
2010-02-26 05:00:00,25.92,31.27,25.71,25.94,4023293
2010-03-01 05:00:00,25.96,26.32,25.95,26.2,5295763
2010-03-02 05:00:00,26.3,32.06,26.28,26.58,5738323
2010-03-03 05:00:00,26.62,26.81,26.5,26.55,5058367
2010-03-04 05:00:00,26.64,26.66,26.44,26.51,5734624
2010-03-05 05:00:00,26.67,26.76,26.42,26.68,4519002
2010-03-08 05:00:00,26.66,26.77,26.54,26.55,4085011
2010-03-09 05:00:00,26.43,31.92,26.35,31.85,4331779
2010-03-10 05:00:00,31.65,31.75,26.19,31.58,4432748
2010-03-11 05:00:00,31.5,31.825,26.45,26.55,3063830
2010-03-12 05:00:00,26.68,26.72,26.18,26.29,4560546
2010-03-15 04:00:00,26.2,30.95,25.63,30.91,7607707
2010-03-16 04:00:00,30.96,31.03,30.7,31.02,4592671
2010-03-17 04:00:00,31.18,31.55,26.09,26.12,5657660
2010-03-18 04:00:00,26.14,26.27,25.9,26.21,4139745
2010-03-19 04:00:00,26.3,26.33,25.98,26.11,5069594
2010-03-22 04:00:00,25.91,31.21,25.82,31.08,5136899
2010-03-23 04:00:00,31.07,31.235,26.07,26.26,2965107
2010-03-24 04:00:00,26.13,31.45,25.97,31.33,3117603
2010-03-25 04:00:00,31.52,31.97,31.32,31.57,5312404
2010-03-26 04:00:00,31.67,32.48,26.82,26.9,6601044
2010-03-29 04:00:00,27.05,27.11,26.86,26.95,3824079
2010-03-30 04:00:00,26.9,32.2,26.75,26.78,2447379
2010-03-31 04:00:00,26.69,32.35,26.61,32.31,3117834
2010-04-01 04:00:00,27.11,32.49,27.05,32.49,2873378
2010-04-05 04:00:00,32.77,32.77,27.15,27.26,2404760
2010-04-06 04:00:00,27.21,27.35,27.04,27.25,3368418
2010-04-07 04:00:00,27.16,27.66,27.09,27.37,4462028
2010-04-08 04:00:00,27.34,33.13,27.15,33.13,4556563
2010-04-09 04:00:00,33.16,33.33,27.41,27.54,3135059
2010-04-12 04:00:00,27.69,33.05,27.48,33.04,2703019
2010-04-13 04:00:00,32.92,33.26,27.6,27.61,4547725
2010-04-14 04:00:00,27.8,28.82,27.75,28.68,9797260
2010-04-15 04:00:00,28.5,34.38,28.37,34.31,4689539
2010-04-16 04:00:00,34.16,34.5285,28.06,28.27,8680520
2010-04-19 04:00:00,28.08,34.31,27.66,34.19,7307670
2010-04-20 04:00:00,34.5,35.51,34.21,35.45,9888945
2010-04-21 04:00:00,35.39,35.46,28.97,29.14,6051311
2010-04-22 04:00:00,28.91,29.39,28.71,29.38,5735992
2010-04-23 04:00:00,29.21,29.44,29.07,29.39,5493154
2010-04-26 04:00:00,29.39,29.48,29.02,29.07,5420063
2010-04-27 04:00:00,28.85,28.85,27.72,27.79,8861149
2010-04-28 04:00:00,28.02,28.53,27.96,28.21,7669878
2010-04-29 04:00:00,28.35,33.79,27.28,33.28,12670536
2010-04-30 04:00:00,33.33,33.33,27.24,27.29,6426042
2010-05-03 04:00:00,27.51,27.89,27.43,27.6,4157340
2010-05-04 04:00:00,27.31,32.4,26.77,32.06,6743689
2010-05-05 04:00:00,31.61,32.77,27.03,32.67,10627309
2010-05-06 04:00:00,32.545,33.04,25.93,26.78,10473568
2010-05-07 04:00:00,26.58,32.66,26.44,26.56,9185393
2010-05-10 04:00:00,27.87,33.35,27.16,33.31,6560789
2010-05-11 04:00:00,32.8,33.17,27.29,27.36,6462156
2010-05-12 04:00:00,27.5,27.73,27.46,27.66,5861747
2010-05-13 04:00:00,27.64,27.64,27.19,27.2,4778718
2010-05-14 04:00:00,26.91,31.95,26.43,31.9,4654563
2010-05-17 04:00:00,31.86,32.1,26.2,26.72,4964500
2010-05-18 04:00:00,26.88,27.01,26.13,26.21,4394264
2010-05-19 04:00:00,25.94,31.61,25.89,31.4,5341201
2010-05-20 04:00:00,30.74,31.0,25.08,25.12,6805086
2010-05-21 04:00:00,24.62,25.53,24.58,25.51,6541661
2010-05-24 04:00:00,25.6,25.6,24.93,24.93,5150051
2010-05-25 04:00:00,24.43,25.1,24.09,25.09,5287453
2010-05-26 04:00:00,25.47,25.47,24.79,24.83,4234923
2010-05-27 04:00:00,25.23,25.87,25.18,25.87,4142555
2010-05-28 04:00:00,25.82,31.02,25.58,30.61,4292926
2010-06-01 04:00:00,30.34,30.54,24.92,24.94,4655338
2010-06-02 04:00:00,25.06,30.23,24.89,30.22,5347359
2010-06-03 04:00:00,30.38,30.48,25.29,25.37,3450615
2010-06-04 04:00:00,24.95,29.005,24.28,28.93,5420951
2010-06-07 04:00:00,29.07,29.39,28.66,28.69,4068244
2010-06-08 04:00:00,28.79,29.26,28.41,29.22,4378683
2010-06-09 04:00:00,29.31,29.49,24.18,24.26,4086570
2010-06-10 04:00:00,24.53,25.08,24.39,25.06,4827367
2010-06-11 04:00:00,24.9,25.24,24.59,25.21,3115270
2010-06-14 04:00:00,25.39,25.67,25.15,25.18,3742498
2010-06-15 04:00:00,25.35,30.52,25.18,25.79,2973051
2010-06-16 04:00:00,25.66,25.68,25.35,25.41,5064532
2010-06-17 04:00:00,25.51,25.55,25.13,25.28,5807987
2010-06-18 04:00:00,25.34,25.71,25.24,25.68,4969709
2010-06-21 04:00:00,25.93,30.68,25.72,30.27,3727068
2010-06-22 04:00:00,30.26,31.04,25.64,25.69,6910540
