Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,10.82,11.15,10.82,11.11,14853859
2009-05-19 04:00:00,11.19,11.31,10.99,11.14,13717445
2009-05-20 04:00:00,11.15,11.46,10.92,10.97,20356198
2009-05-21 04:00:00,10.88,11.03,10.5,10.64,17439994
2009-05-22 04:00:00,10.65,10.85,10.47,10.69,11872913
2009-05-26 04:00:00,10.52,11.14,10.47,10.95,20394643
2009-05-27 04:00:00,10.79,11.4,10.7,11.08,26866042
2009-05-28 04:00:00,11.16,11.37,10.96,11.3,19932593
2009-05-29 04:00:00,11.35,11.4,10.93,11.25,20167584
2009-06-01 04:00:00,11.44,12.1,11.4,12.06,20996358
2009-06-02 04:00:00,11.87,11.88,11.5,11.61,18524263
2009-06-03 04:00:00,11.25,11.45,11.13,11.38,16787766
2009-06-04 04:00:00,11.42,11.69,11.39,11.54,14792913
2009-06-05 04:00:00,11.21,11.4,10.85,10.98,23260807
2009-06-08 04:00:00,10.94,11.06,10.75,10.83,19575290
2009-06-09 04:00:00,11.0,11.16,10.845,11.04,31322636
2009-06-10 04:00:00,11.16,11.17,10.7,10.92,20239248
2009-06-11 04:00:00,11.01,11.2,10.8799,11.15,21678967
2009-06-12 04:00:00,11.19,11.24,10.97,11.23,16352110
2009-06-15 04:00:00,11.05,11.2024,10.85,11.11,17618560
2009-06-16 04:00:00,11.11,11.22,10.86,10.89,16985744
2009-06-17 04:00:00,10.91,11.1,10.62,10.94,23227071
2009-06-18 04:00:00,10.92,11.04,10.81,10.83,11588220
2009-06-19 04:00:00,10.93,11.07,10.81,10.96,16029888
2009-06-22 04:00:00,10.97,11.0,10.5,10.5,16971843
2009-06-23 04:00:00,10.46,10.7,10.305,10.62,17217395
2009-06-24 04:00:00,10.74,10.975,10.67,10.8,14379497
2009-06-25 04:00:00,10.66,10.98,10.63,10.96,11778427
2009-06-26 04:00:00,10.92,11.18,10.88,10.92,12909527
2009-06-29 04:00:00,10.94,11.14,10.83,11.03,11826546
2009-06-30 04:00:00,11.06,11.23,10.82,10.99,14517235
2009-07-01 04:00:00,11.05,11.38,11.0,11.13,17267133
2009-07-02 04:00:00,10.95,11.31,10.93,11.13,27544754
2009-07-06 04:00:00,11.07,11.41,10.86,11.25,24995623
2009-07-07 04:00:00,11.25,11.47,10.9,10.93,20451353
2009-07-08 04:00:00,10.9,10.94,10.54,10.72,17355741
2009-07-09 04:00:00,10.83,11.03,10.792,10.94,19261109
2009-07-10 04:00:00,10.89,11.12,10.79,11.0,15420980
2009-07-13 04:00:00,11.04,11.44,10.82,11.4,21652201
2009-07-14 04:00:00,11.44,11.69,11.42,11.63,19170013
2009-07-15 04:00:00,11.87,12.34,11.83,12.31,36291229
2009-07-16 04:00:00,12.21,12.76,12.11,12.74,27862513
2009-07-17 04:00:00,12.73,12.75,12.29,12.68,20999773
2009-07-20 04:00:00,12.74,12.86,12.54,12.79,15610257
2009-07-21 04:00:00,12.85,12.85,12.34,12.83,24321317
2009-07-22 04:00:00,12.76,13.35,12.65,13.24,22056096
2009-07-23 04:00:00,13.24,13.51,13.05,13.5,22067187
2009-07-24 04:00:00,13.21,13.26,12.91,13.2,21018224
2009-07-27 04:00:00,13.15,13.32,12.9285,13.31,16730259
2009-07-28 04:00:00,13.19,13.52,13.1,13.39,14963370
2009-07-29 04:00:00,13.27,13.71,13.21,13.62,20624659
2009-07-30 04:00:00,13.85,14.19,13.56,13.63,22758517
2009-07-31 04:00:00,13.61,14.06,13.61,13.83,20743466
2009-08-03 04:00:00,13.97,14.13,13.8,14.01,14399560
2009-08-04 04:00:00,13.84,14.01,13.73,13.94,12274700
2009-08-05 04:00:00,13.91,14.03,13.625,13.73,11405238
2009-08-06 04:00:00,13.72,13.89,13.37,13.42,17855807
2009-08-07 04:00:00,13.78,13.79,13.4,13.52,16058896
2009-08-10 04:00:00,13.52,13.66,13.31,13.53,17429283
2009-08-11 04:00:00,13.55,13.55,13.16,13.22,24796644
2009-08-12 04:00:00,13.42,13.9,13.37,13.65,35319571
2009-08-13 04:00:00,13.79,13.98,13.55,13.97,22307635
2009-08-14 04:00:00,13.98,14.01,13.4,13.56,19270048
2009-08-17 04:00:00,13.32,13.36,13.01,13.14,17234041
2009-08-18 04:00:00,13.2,13.4,13.17,13.34,14447933
2009-08-19 04:00:00,13.17,13.39,13.13,13.31,18950029
2009-08-20 04:00:00,13.33,13.5,13.26,13.46,10145103
2009-08-21 04:00:00,13.54,13.75,13.32,13.74,15215603
2009-08-24 04:00:00,13.76,13.98,13.41,13.48,21084218
2009-08-25 04:00:00,13.51,13.61,13.19,13.25,20675715
2009-08-26 04:00:00,13.23,13.43,13.16,13.31,22651265
2009-08-27 04:00:00,13.25,13.35,13.12,13.29,21534004
2009-08-28 04:00:00,13.56,13.67,13.13,13.26,22823295
2009-08-31 04:00:00,13.14,13.26,13.03,13.16,13151023
2009-09-01 04:00:00,13.11,13.46,12.88,12.92,22222523
2009-09-02 04:00:00,12.82,13.03,12.75,12.96,19982671
2009-09-03 04:00:00,13.04,13.18,12.9,13.14,14251072
2009-09-04 04:00:00,13.28,13.45,13.17,13.45,11626436
2009-09-08 04:00:00,13.53,13.69,13.4,13.69,14340118
2009-09-09 04:00:00,13.66,13.92,13.53,13.9,16728370
2009-09-10 04:00:00,13.92,13.98,13.53,13.64,27526143
2009-09-11 04:00:00,13.72,13.84,13.45,13.51,16446129
2009-09-14 04:00:00,13.41,13.49,13.14,13.29,24733715
2009-09-15 04:00:00,13.34,13.4,13.15,13.34,19872084
2009-09-16 04:00:00,13.47,13.5,13.29,13.41,25595812
2009-09-17 04:00:00,13.31,13.36,12.92,13.02,31250394
2009-09-18 04:00:00,13.05,13.19,12.95,13.03,18884340
2009-09-21 04:00:00,12.85,12.86,12.56,12.66,42263856
2009-09-22 04:00:00,12.85,13.34,12.83,13.27,32308290
2009-09-23 04:00:00,13.45,13.5,13.21,13.24,24131614
2009-09-24 04:00:00,13.28,13.3,12.79,13.03,22417888
2009-09-25 04:00:00,12.96,13.15,12.9,13.09,18867212
2009-09-28 04:00:00,13.43,13.64,13.41,13.48,16804592
2009-09-29 04:00:00,13.51,13.535,13.25,13.27,13889779
2009-09-30 04:00:00,13.41,13.54,13.08,13.38,21363655
2009-10-01 04:00:00,13.38,13.51,12.88,12.88,28009089
2009-10-02 04:00:00,12.76,12.839,12.63,12.67,22378416
2009-10-05 04:00:00,12.8,12.81,12.54,12.76,27395444
2009-10-06 04:00:00,12.93,13.26,12.92,13.15,18523131
2009-10-07 04:00:00,13.14,13.15,12.93,13.01,12101090
2009-10-08 04:00:00,13.06,13.15,12.82,13.08,22172369
2009-10-09 04:00:00,13.04,13.23,12.92,13.2,24230737
2009-10-12 04:00:00,13.29,13.85,13.26,13.62,29962817
2009-10-13 04:00:00,13.69,13.7,13.4,13.45,18275997
2009-10-14 04:00:00,13.75,13.75,13.41,13.72,28709322
2009-10-15 04:00:00,13.68,13.75,13.5,13.61,14532242
2009-10-16 04:00:00,13.41,13.51,13.14,13.39,15541982
2009-10-19 04:00:00,13.41,13.6,13.26,13.54,15059079
2009-10-20 04:00:00,13.56,13.76,13.38,13.47,13274030
2009-10-21 04:00:00,13.41,13.67,13.08,13.12,20123740
2009-10-22 04:00:00,13.14,13.28,13.01,13.23,17811117
