Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,4.19,4.25,4.06,4.1499,18734706
2009-05-19 04:00:00,4.31,4.5,4.24,4.4001,21823367
2009-05-20 04:00:00,4.55,4.76,4.44,4.51,24780601
2009-05-21 04:00:00,4.45,4.46,4.25,4.34,14053973
2009-05-22 04:00:00,4.43,4.43,4.25,4.27,7900718
2009-05-26 04:00:00,4.26,4.57,4.23,4.52,15677175
2009-05-27 04:00:00,4.57,4.8,4.55,4.67,20998245
2009-05-28 04:00:00,4.75,4.84,4.54,4.69,17976303
2009-05-29 04:00:00,4.7,4.78,4.38,4.52,23478937
2009-06-01 04:00:00,4.68,4.9,4.64,4.73,26003848
2009-06-02 04:00:00,4.68,4.7,4.55,4.56,24583006
2009-06-03 04:00:00,4.55,4.6,4.34,4.48,18739808
2009-06-04 04:00:00,4.57,4.74,4.54,4.65,18629494
2009-06-05 04:00:00,4.84,4.87,4.61,4.63,17865086
2009-06-08 04:00:00,4.58,4.67,4.5,4.62,12004464
2009-06-09 04:00:00,4.7,4.8,4.68,4.75,18482115
2009-06-10 04:00:00,4.81,4.86,4.7,4.83,17747361
2009-06-11 04:00:00,4.83,4.87,4.68,4.69,15446174
2009-06-12 04:00:00,4.75,4.79,4.33,4.45,39158070
2009-06-15 04:00:00,4.39,4.45,4.21,4.27,25987100
2009-06-16 04:00:00,4.32,4.35,4.1,4.13,26973660
2009-06-17 04:00:00,4.13,4.17,3.86,4.07,32193155
2009-06-18 04:00:00,4.03,4.07,3.81,3.83,28703717
2009-06-19 04:00:00,3.9,3.98,3.86,3.9,19719855
2009-06-22 04:00:00,3.84,3.86,3.61,3.63,20970307
2009-06-23 04:00:00,3.67,3.69,3.425,3.55,20902674
2009-06-24 04:00:00,3.63,3.78,3.6,3.66,19334813
2009-06-25 04:00:00,3.62,3.68,3.53,3.62,14209067
2009-06-26 04:00:00,3.67,3.71,3.62,3.64,10854804
2009-06-29 04:00:00,3.72,3.78,3.65,3.73,14411123
2009-06-30 04:00:00,3.77,3.98,3.74,3.86,23068333
2009-07-01 04:00:00,3.93,4.05,3.88,3.91,25045998
2009-07-02 04:00:00,3.84,3.89,3.76,3.81,12692927
2009-07-06 04:00:00,3.74,3.77,3.5,3.56,26238190
2009-07-07 04:00:00,3.59,3.63,3.35,3.41,19457156
2009-07-08 04:00:00,3.44,3.49,3.22,3.36,31761232
2009-07-09 04:00:00,3.43,3.56,3.38,3.47,19382769
2009-07-10 04:00:00,3.43,3.56,3.42,3.48,12255645
2009-07-13 04:00:00,3.53,3.6,3.36,3.57,14770940
2009-07-14 04:00:00,3.59,3.61,3.49,3.57,13456583
2009-07-15 04:00:00,3.83,3.97,3.8,3.86,33291416
2009-07-16 04:00:00,3.9,3.95,3.76,3.91,18021987
2009-07-17 04:00:00,3.95,4.0,3.89,3.99,15476253
2009-07-20 04:00:00,4.03,4.18,4.0,4.16,30016617
2009-07-21 04:00:00,4.26,4.26,3.95,4.08,42224629
2009-07-22 04:00:00,3.54,3.64,3.41,3.54,62885553
2009-07-23 04:00:00,3.55,3.6,3.49,3.59,24125249
2009-07-24 04:00:00,3.56,3.81,3.54,3.79,23779919
2009-07-27 04:00:00,3.82,3.84,3.71,3.8,14855562
2009-07-28 04:00:00,3.77,3.81,3.7,3.78,15332718
2009-07-29 04:00:00,3.77,3.79,3.65,3.7,17966097
2009-07-30 04:00:00,3.79,3.81,3.65,3.65,19954160
2009-07-31 04:00:00,3.66,3.73,3.65,3.67,13733058
2009-08-03 04:00:00,3.75,3.78,3.7,3.75,11673452
2009-08-04 04:00:00,3.75,3.85,3.68,3.76,19511258
2009-08-05 04:00:00,3.77,3.79,3.7,3.73,11955579
