Date,Open,High,Low,Close,Volume
2009-05-18 04:00:00,48.63,49.46,47.84,49.32,6644921
2009-05-19 04:00:00,49.16,50.07,42.19,42.74,7495902
2009-05-20 04:00:00,42.83,51.0,42.7,50.61,7688115
2009-05-21 04:00:00,50.02,50.43,41.84,42.36,6604853
2009-05-22 04:00:00,42.53,42.7,41.94,42.19,3251563
2009-05-26 04:00:00,41.43,50.35,41.3,50.27,6390627
2009-05-27 04:00:00,50.01,50.38,42.72,49.74,6226789
2009-05-28 04:00:00,49.74,50.32,42.6,42.86,4837413
2009-05-29 04:00:00,42.91,43.25,42.19,42.74,6285820
2009-06-01 04:00:00,43.1,50.31,42.66,50.12,5065732
2009-06-02 04:00:00,50.25,51.3,43.26,50.77,6603338
2009-06-03 04:00:00,50.73,52.12,44.07,44.43,7577106
2009-06-04 04:00:00,44.46,51.36,43.82,51.0,5508435
2009-06-05 04:00:00,51.5,51.75,50.15,50.89,4731621
2009-06-08 04:00:00,50.42,50.93,43.41,43.58,5139995
2009-06-09 04:00:00,43.89,43.9,43.13,43.43,5686320
2009-06-10 04:00:00,43.36,44.43,42.43,42.89,9193624
2009-06-11 04:00:00,42.85,50.58,42.65,42.69,7924526
2009-06-12 04:00:00,42.36,43.4,42.24,43.13,7558557
2009-06-15 04:00:00,42.65,50.085,42.45,49.4,5968567
2009-06-16 04:00:00,42.83,44.19,42.77,43.83,11869329
2009-06-17 04:00:00,43.97,45.5,43.94,45.2,12164485
2009-06-18 04:00:00,45.41,53.08,44.68,53.04,8968122
2009-06-19 04:00:00,53.21,53.85,44.5,44.79,9864925
2009-06-22 04:00:00,44.11,51.32,43.6,50.99,9207103
2009-06-23 04:00:00,51.05,51.52,43.66,43.77,8467994
2009-06-24 04:00:00,43.66,51.22,43.4,51.0,8277255
2009-06-25 04:00:00,51.15,52.15,44.2,44.43,8142442
2009-06-26 04:00:00,44.11,52.55,43.74,45.19,11080312
2009-06-29 04:00:00,44.99,45.58,44.55,45.45,12886734
2009-06-30 04:00:00,45.28,53.39,45.06,45.31,9929176
2009-07-01 04:00:00,45.74,53.19,45.08,45.15,8321761
2009-07-02 04:00:00,44.96,45.25,44.01,44.05,7950383
2009-07-06 04:00:00,43.81,52.18,43.35,52.05,6658972
2009-07-07 04:00:00,51.91,52.65,44.51,44.7,9153377
2009-07-08 04:00:00,60.22,60.95,59.38,59.46,40487696
2009-07-09 04:00:00,59.04,59.29,49.43,49.75,14617030
2009-07-10 04:00:00,49.32,58.57,49.13,49.48,8540809
2009-07-13 04:00:00,49.67,58.01,48.92,58.0,12340586
2009-07-14 04:00:00,57.9,58.78,49.5,49.72,8283937
2009-07-15 04:00:00,49.91,57.99,48.96,57.9,10149696
2009-07-16 04:00:00,57.9147,59.82,49.89,58.46,12338351
2009-07-17 04:00:00,58.73,58.99,58.0,58.99,7427763
2009-07-20 04:00:00,58.81,58.9,49.48,49.87,7332504
2009-07-21 04:00:00,50.18,58.8,49.8,58.55,6189652
2009-07-22 04:00:00,58.54,59.11,49.66,58.37,5397453
2009-07-23 04:00:00,58.11,59.7,50.57,51.21,9399161
2009-07-24 04:00:00,50.64,61.0,50.64,60.95,6748202
2009-07-27 04:00:00,61.02,61.5,51.17,52.01,9164518
2009-07-28 04:00:00,53.67,53.78,52.57,53.42,19627856
2009-07-29 04:00:00,53.53,54.29,53.31,54.11,12711348
2009-07-30 04:00:00,63.67,64.5,53.91,54.01,9475407
2009-07-31 04:00:00,53.91,62.81,53.02,62.36,6130665
2009-08-03 04:00:00,62.58,62.98,61.71,62.88,6423039
2009-08-04 04:00:00,62.16,64.43,62.1201,64.42,9603831
2009-08-05 04:00:00,63.7,63.83,53.07,53.33,6849123
2009-08-06 04:00:00,53.41,61.25,51.9,51.94,8723277
2009-08-07 04:00:00,52.68,52.71,51.32,51.77,9098383
2009-08-10 04:00:00,51.76,60.63,51.44,52.41,6875434
2009-08-11 04:00:00,52.31,53.89,51.74,53.75,17395887
2009-08-12 04:00:00,53.66,62.52,52.86,62.17,9934678
2009-08-13 04:00:00,62.26,64.76,52.61,60.84,20245955
2009-08-14 04:00:00,61.05,61.58,51.37,52.08,12021084
2009-08-17 04:00:00,51.57,60.07,51.12,59.84,8203194
2009-08-18 04:00:00,59.95,60.3055,51.13,51.14,5995794
2009-08-19 04:00:00,50.73,60.3,50.61,60.15,6318828
2009-08-20 04:00:00,60.03,60.72,51.29,60.29,4390919
2009-08-21 04:00:00,60.99,61.01,59.7,60.64,5058828
2009-08-24 04:00:00,60.75,60.84,51.38,51.68,5212947
2009-08-25 04:00:00,51.85,52.17,51.44,51.66,6139976
2009-08-26 04:00:00,51.71,61.27,51.39,61.21,5975576
2009-08-27 04:00:00,60.87,61.18,60.0,60.25,5611772
2009-08-28 04:00:00,60.28,60.79,50.63,51.02,5165295
2009-08-31 04:00:00,50.67,51.5,50.64,51.16,5708064
2009-09-01 04:00:00,59.69,60.66,50.35,50.48,6197427
2009-09-02 04:00:00,50.35,59.34,50.12,50.58,5120699
2009-09-03 04:00:00,50.35,50.35,49.35,50.04,6955234
2009-09-04 04:00:00,49.88,58.95,49.88,50.45,4464150
2009-09-08 04:00:00,50.5,51.04,50.35,50.63,4693274
2009-09-09 04:00:00,50.67,50.99,50.31,50.65,4699011
2009-09-10 04:00:00,50.54,59.07,50.32,59.05,5425460
2009-09-11 04:00:00,58.88,59.02,50.07,50.1,4414081
2009-09-14 04:00:00,50.1,50.95,50.07,50.67,5104099
2009-09-15 04:00:00,50.61,50.61,49.72,50.05,7158341
2009-09-16 04:00:00,50.2,59.77,50.03,59.69,5986375
2009-09-17 04:00:00,59.79,60.56,59.618,60.52,6252932
