Date,Open,High,Low,Close,Volume
2009-05-15 04:00:00,29.03,29.03,27.93,28.24,4935179
2009-05-18 04:00:00,29.02,30.3,28.94,30.28,4942330
2009-05-19 04:00:00,30.5,30.53,29.99,30.13,2819213
2009-05-20 04:00:00,30.44,30.87,29.88,29.98,2913875
2009-05-21 04:00:00,29.66,29.89,28.89,29.42,2327303
2009-05-22 04:00:00,29.38,29.88,29.03,29.56,2050113
2009-05-26 04:00:00,29.26,30.92,29.02,30.46,3365579
2009-05-27 04:00:00,30.71,31.51,30.2,30.61,3189559
2009-05-28 04:00:00,30.68,31.49,30.42,31.12,2914927
2009-05-29 04:00:00,31.19,31.91,31.07,31.91,2764086
2009-06-01 04:00:00,32.41,32.5,31.79,32.21,3066639
2009-06-02 04:00:00,32.05,32.49,31.54,32.01,3296060
2009-06-03 04:00:00,31.94,31.94,30.77,31.06,3032836
2009-06-04 04:00:00,31.14,31.41,30.47,30.81,4146860
2009-06-05 04:00:00,31.23,31.47,30.24,30.47,4040599
2009-06-08 04:00:00,30.07,30.1,29.35,29.7,5874755
2009-06-09 04:00:00,29.9,30.99,29.51,30.69,3817479
2009-06-10 04:00:00,31.09,31.2,29.88,30.2,5104303
2009-06-11 04:00:00,30.15,30.75,29.92,30.24,2704898
2009-06-12 04:00:00,30.14,30.4,29.9,30.36,2669455
2009-06-15 04:00:00,30.26,30.26,29.5,29.91,2653336
2009-06-16 04:00:00,29.99,30.15,29.34,29.44,2668246
2009-06-17 04:00:00,29.51,29.71,29.21,29.27,3055826
2009-06-18 04:00:00,29.28,29.72,29.1,29.59,2998161
2009-06-19 04:00:00,29.76,30.05,29.58,29.69,2902896
2009-06-22 04:00:00,29.48,29.58,29.02,29.22,3977604
2009-06-23 04:00:00,29.33,29.94,29.21,29.84,3539587
2009-06-24 04:00:00,30.61,31.99,30.58,31.67,5539347
2009-06-25 04:00:00,31.63,32.22,31.25,32.03,3516749
2009-06-26 04:00:00,31.83,32.23,31.632,31.95,2348145
2009-06-29 04:00:00,32.03,32.46,31.64,32.22,2300863
2009-06-30 04:00:00,32.225,32.37,31.32,31.54,2777790
2009-07-01 04:00:00,31.6775,31.93,31.45,31.62,2289431
2009-07-02 04:00:00,31.21,31.21,30.62,30.94,3378890
2009-07-06 04:00:00,30.8,30.8,30.25,30.65,2788499
2009-07-07 04:00:00,30.61,30.88,29.89,30.1,3470529
2009-07-08 04:00:00,30.17,30.529,29.96,30.27,3351163
2009-07-09 04:00:00,30.48,31.14,30.02,30.93,3450255
2009-07-10 04:00:00,30.87,31.13,30.36,30.82,3175360
2009-07-13 04:00:00,30.99,31.66,30.5901,31.66,3915427
2009-07-14 04:00:00,31.57,31.9,31.22,31.87,2182166
2009-07-15 04:00:00,32.13,32.73,31.99,32.7,3727286
2009-07-16 04:00:00,32.6,32.9,32.38,32.56,3338500
2009-07-17 04:00:00,32.77,32.78,31.76,32.19,3020882
2009-07-20 04:00:00,32.38,32.7,32.28,32.415,3573806
2009-07-21 04:00:00,32.6,33.0,31.78,32.34,3288916
2009-07-22 04:00:00,32.17,32.96,32.12,32.73,2592410
2009-07-23 04:00:00,32.7,33.88,32.5,33.77,2512090
2009-07-24 04:00:00,33.33,33.7805,33.19,33.48,2736751
2009-07-27 04:00:00,33.42,33.88,33.13,33.41,2619522
2009-07-28 04:00:00,33.16,33.95,33.03,33.54,2732452
2009-07-29 04:00:00,32.97,33.32,32.14,33.29,3952500
2009-07-30 04:00:00,33.74,34.64,33.65,34.4,3387774
2009-07-31 04:00:00,34.21,34.6299,34.04,34.09,2898788
2009-08-03 04:00:00,34.44,34.89,34.0,34.89,2304192
2009-08-04 04:00:00,34.64,34.84,34.16,34.43,2912876
2009-08-05 04:00:00,34.42,34.6,33.33,33.54,2722203
2009-08-06 04:00:00,33.55,33.83,32.69,32.76,3739055
2009-08-07 04:00:00,33.22,33.22,31.78,32.29,5912350
2009-08-10 04:00:00,32.3,32.52,32.16,32.42,2861892
2009-08-11 04:00:00,32.24,32.48,32.06,32.26,1897718
2009-08-12 04:00:00,32.11,32.74,32.11,32.27,2394807
2009-08-13 04:00:00,32.19,32.93,32.1,32.51,3598455
2009-08-14 04:00:00,32.39,32.46,31.9,32.13,1969173
2009-08-17 04:00:00,31.71,32.11,31.51,31.72,2732845
2009-08-18 04:00:00,31.83,32.48,31.58,32.44,2907607
2009-08-19 04:00:00,32.02,32.47,31.9,32.38,2424166
2009-08-20 04:00:00,32.3,33.05,32.26,33.03,1765598
2009-08-21 04:00:00,33.19,33.47,32.85,33.11,2915194
2009-08-24 04:00:00,33.19,33.25,32.69,32.81,2111815
2009-08-25 04:00:00,33.02,33.2,32.48,32.49,2200108
2009-08-26 04:00:00,32.48,32.68,32.12,32.44,3974536
2009-08-27 04:00:00,32.6,32.62,32.002,32.23,2957303
2009-08-28 04:00:00,32.6,32.6,31.93,32.11,2050353
2009-08-31 04:00:00,31.84,32.13,31.51,31.67,3159417
2009-09-01 04:00:00,31.66,31.89,31.02,31.09,3475855
2009-09-02 04:00:00,31.04,31.32,30.85,30.98,1688969
2009-09-03 04:00:00,31.2,32.02,31.11,32.0,3761919
2009-09-04 04:00:00,32.03,33.55,32.03,33.4,4409023
2009-09-08 04:00:00,33.69,34.32,33.49,34.31,5007982
2009-09-09 04:00:00,34.24,34.41,33.89,34.3,3515279
2009-09-10 04:00:00,34.31,34.95,34.14,34.93,3344623
2009-09-11 04:00:00,35.18,35.65,34.93,35.44,4156933
2009-09-14 04:00:00,34.51,35.27,34.03,34.8,6986490
2009-09-15 04:00:00,34.86,35.59,34.53,35.45,3747829
2009-09-16 04:00:00,36.21,36.27,35.17,35.78,4627609
2009-09-17 04:00:00,35.71,36.68,35.67,36.67,4919591
2009-09-18 04:00:00,36.94,37.71,36.74,37.55,7144652
2009-09-21 04:00:00,37.31,37.59,36.98,37.37,3476591
2009-09-22 04:00:00,37.67,37.7,37.25,37.29,2456572
2009-09-23 04:00:00,37.55,37.66,36.9,37.19,2936598
2009-09-24 04:00:00,37.33,37.56,36.31,36.36,4137528
2009-09-25 04:00:00,36.18,36.63,35.88,36.4,3744089
2009-09-28 04:00:00,36.57,36.97,36.4,36.84,2115336
