Date,Open,High,Low,Close,Volume
2009-05-14 04:00:00,40.87,47.38,40.09,46.81,2995845
2009-05-15 04:00:00,46.56,48.49,41.14,41.32,4603791
2009-05-18 04:00:00,42.15,42.39,40.57,42.31,4454917
2009-05-19 04:00:00,42.24,47.85,41.48,47.04,3165006
2009-05-20 04:00:00,47.48,48.05,46.44,46.48,5152496
2009-05-21 04:00:00,45.98,47.1,44.97,45.34,3159417
2009-05-22 04:00:00,45.02,45.57,39.35,39.44,2928222
2009-05-26 04:00:00,39.21,46.56,38.78,46.19,4508169
2009-05-27 04:00:00,46.95,47.46,40.6,40.83,4381287
2009-05-28 04:00:00,40.83,42.19,40.83,41.23,5552603
2009-05-29 04:00:00,41.33,46.985,40.24,41.05,4672100
2009-06-01 04:00:00,41.34,42.13,41.2,41.84,3404993
2009-06-02 04:00:00,41.8,48.97,41.27,48.54,3185909
2009-06-03 04:00:00,46.81,48.32,41.96,42.8,4941215
2009-06-04 04:00:00,42.83,48.2,41.89,48.03,2825360
2009-06-05 04:00:00,42.38,48.0,41.01,47.85,3514957
2009-06-08 04:00:00,47.38,47.74,40.12,46.14,4581500
2009-06-09 04:00:00,46.14,46.48,39.71,40.1,6406684
2009-06-10 04:00:00,40.57,40.75,39.98,40.56,4318312
2009-06-11 04:00:00,40.21,40.61,39.71,40.18,5985690
2009-06-12 04:00:00,40.07,42.04,39.79,41.18,5068498
2009-06-15 04:00:00,40.77,41.18,40.02,40.31,4163578
2009-06-16 04:00:00,40.35,42.32,40.01,41.47,5426356
2009-06-17 04:00:00,41.55,42.95,40.99,42.44,4345124
2009-06-18 04:00:00,43.01,44.89,42.79,44.72,7316252
2009-06-19 04:00:00,45.38,45.91,44.06,44.89,10561988
2009-06-22 04:00:00,43.9,49.96,43.33,48.79,4917050
2009-06-23 04:00:00,48.69,49.9,42.75,43.04,5254052
2009-06-24 04:00:00,43.55,49.83,43.19,49.41,4896757
2009-06-25 04:00:00,49.07,51.6299,48.99,50.67,5261381
2009-06-26 04:00:00,50.71,51.43,44.84,51.3,4271686
2009-06-29 04:00:00,51.35,51.76,45.16,45.35,3315448
2009-06-30 04:00:00,45.14,50.93,44.5,50.86,4743024
2009-07-01 04:00:00,51.05,51.815,45.07,45.17,6012626
2009-07-02 04:00:00,44.53,44.7,43.51,43.85,5068104
2009-07-06 04:00:00,43.53,50.25,43.28,50.0,3993413
2009-07-07 04:00:00,49.55,52.07,44.99,45.14,9037444
2009-07-08 04:00:00,45.47,51.5,44.1,50.34,7310080
2009-07-09 04:00:00,50.48,50.61,43.52,44.23,4511983
2009-07-10 04:00:00,44.05,51.08,44.03,49.82,3472630
2009-07-13 04:00:00,50.02,50.46,43.72,43.87,4417499
2009-07-14 04:00:00,43.85,49.97,43.39,49.69,4378267
2009-07-15 04:00:00,50.16,50.16,43.68,43.87,5052864
2009-07-16 04:00:00,43.73,44.53,42.6,44.02,6332966
2009-07-17 04:00:00,44.29,44.86,43.74,44.06,5582181
2009-07-20 04:00:00,44.09,50.16,43.23,44.02,4603724
2009-07-21 04:00:00,44.62,49.58,43.56,49.46,5268449
2009-07-22 04:00:00,48.9,50.56,48.9,49.48,3983095
2009-07-23 04:00:00,49.65,52.3,49.25,51.99,5440007
2009-07-24 04:00:00,51.84,52.62,45.95,46.31,2877289
2009-07-27 04:00:00,45.74,47.04,45.39,45.95,3342906
2009-07-28 04:00:00,46.1,54.94,46.1,54.38,6548366
2009-07-29 04:00:00,45.38,46.67,44.47,45.2,14021758
2009-07-30 04:00:00,45.67,54.842,45.1,51.75,6849060
2009-07-31 04:00:00,51.52,53.45,51.51,52.66,4801241
2009-08-03 04:00:00,53.02,53.77,46.86,47.0,4759255
2009-08-04 04:00:00,46.71,52.87,45.72,45.97,4110659
2009-08-05 04:00:00,45.97,46.07,44.67,44.77,4827316
2009-08-06 04:00:00,44.77,50.71,43.97,50.54,3908900
2009-08-07 04:00:00,50.96,51.63,45.2,45.3,3450410
2009-08-10 04:00:00,45.08,51.59,44.92,45.74,3337669
2009-08-11 04:00:00,45.64,46.32,45.16,45.26,2887023
2009-08-12 04:00:00,45.05,45.7,44.84,45.31,3661561
2009-08-13 04:00:00,45.33,46.62,44.89,46.54,3054495
2009-08-14 04:00:00,46.6,46.92,45.39,46.0,2529844
2009-08-17 04:00:00,45.43,48.6,45.24,47.33,7921207
2009-08-18 04:00:00,47.14,53.79,46.37,53.56,2841743
2009-08-19 04:00:00,53.05,53.43,52.1,53.19,2788759
2009-08-20 04:00:00,53.39,54.88,47.23,47.79,3568397
2009-08-21 04:00:00,48.75,48.91,47.97,48.16,4903934
2009-08-24 04:00:00,54.95,54.95,47.96,48.26,2833950
2009-08-25 04:00:00,48.39,55.73,48.1,55.48,4067207
2009-08-26 04:00:00,55.27,55.53,48.03,48.23,2907394
2009-08-27 04:00:00,47.91,48.61,47.76,48.44,2271400
2009-08-28 04:00:00,48.46,48.5,46.76,47.35,4207244
